# page: index.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

cat-art | paper light | img.cat-art | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; max-width=100%; margin-left=3px; overflow-x=clip; overflow-y=clip
h-sub | sage dark | h2.h-sub | color=rgb(228, 234, 217)
h-sub | harbor light | h2.h-sub | color=rgb(17, 24, 32)
h-sub | harbor dark | h2.h-sub | color=rgb(223, 232, 237)
h-sub | aubergine light | h2.h-sub | color=rgb(25, 19, 25)
h-sub | aubergine dark | h2.h-sub | color=rgb(235, 226, 234)
h-sub | press light | h2.h-sub | color=rgb(28, 26, 23)
h-sub | press dark | h2.h-sub | color=rgb(237, 228, 211)
home | paper light | a.home | color=oklch(0.499418 0.146858 33.3477); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=12.16px; font-weight=700; line-height=20.9152px; letter-spacing=0.4864px; text-transform=uppercase; white-space=nowrap; display=flex; min-height=24px; align-items=center
home | paper dark | a.home | color=oklch(0.757751 0.101214 39.1914)
home | slate light | a.home | color=oklch(0.43736 0.193086 277.583)
home | slate dark | a.home | color=oklch(0.801275 0.09737 276.275)
home | ink light | a.home | color=oklch(0.404849 0.132559 259.77)
home | ink dark | a.home | color=oklch(0.823498 0.0879101 261.802)
home | sage light | a.home | color=oklch(0.432336 0.0868142 163.631)
home | sage dark | a.home | color=oklch(0.809508 0.121133 160.847)
home | harbor light | a.home | color=oklch(0.432492 0.0738736 217.305)
home | harbor dark | a.home | color=oklch(0.791639 0.0999238 208.5)
home | aubergine light | a.home | color=oklch(0.442656 0.148251 348.987)
home | aubergine dark | a.home | color=oklch(0.790447 0.107073 342.846)
home | press light | a.home | color=oklch(0.469491 0.14072 37.3824)
home | press dark | a.home | color=oklch(0.75735 0.110947 41.5668)
lcard | paper light | a.lcard | color=rgb(166, 58, 36); background-color=color(srgb 0.961 0.957216 0.941804); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=color(srgb 0.876431 0.87302 0.858353); box-shadow=rgba(38, 34, 24, 0.06) 0px 1px 2px 0px, rgba(38, 34, 24, 0.07) 0px 6px 20px 0px; font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; padding-top=16px; padding-right=17.6px; padding-bottom=16px; padding-left=17.6px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px
lcard | paper dark | a.lcard | color=rgb(232, 154, 128); background-color=color(srgb 0.119157 0.114824 0.0866863); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=color(srgb 0.197765 0.192314 0.162314); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | slate light | a.lcard | color=rgb(64, 56, 184); background-color=color(srgb 0.967745 0.968157 0.968843); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=color(srgb 0.880196 0.881725 0.884275)
lcard | slate dark | a.lcard | color=rgb(173, 185, 253); background-color=color(srgb 0.103471 0.119157 0.142824); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=color(srgb 0.182078 0.197765 0.221804); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | ink light | a.lcard | color=rgb(23, 69, 143); background-color=color(srgb 0.966784 0.966784 0.966784); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=color(srgb 0.876627 0.876627 0.876627)
lcard | ink dark | a.lcard | color=rgb(166, 198, 255); background-color=color(srgb 0.0903922 0.0941765 0.0979608); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=color(srgb 0.176078 0.17949 0.182902); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | sage light | a.lcard | color=rgb(15, 95, 67); background-color=color(srgb 0.952882 0.961 0.937333); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=color(srgb 0.867569 0.876431 0.852392)
lcard | sage dark | a.lcard | color=rgb(114, 217, 167); background-color=color(srgb 0.0994118 0.119157 0.097902); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=color(srgb 0.177647 0.197765 0.172039); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | harbor light | a.lcard | color=rgb(11, 90, 107); background-color=color(srgb 0.952196 0.960725 0.965608); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=color(srgb 0.86502 0.875412 0.882902)
lcard | harbor dark | a.lcard | color=rgb(99, 205, 221); background-color=color(srgb 0.0835883 0.115098 0.134706); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=color(srgb 0.161451 0.193333 0.212941); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | aubergine light | a.lcard | color=rgb(138, 37, 96); background-color=color(srgb 0.960863 0.952471 0.960863); border-top-color=color(srgb 0.875922 0.866039 0.875922); border-right-color=color(srgb 0.875922 0.866039 0.875922); border-bottom-color=color(srgb 0.875922 0.866039 0.875922); border-left-color=color(srgb 0.875922 0.866039 0.875922)
lcard | aubergine dark | a.lcard | color=rgb(235, 159, 205); background-color=color(srgb 0.11551 0.095353 0.115373); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=color(srgb 0.194863 0.173216 0.194353); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
lcard | press light | a.lcard | color=rgb(153, 53, 20); background-color=color(srgb 0.942353 0.930725 0.911392); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=color(srgb 0.860392 0.849137 0.830549)
lcard | press dark | a.lcard | color=rgb(236, 152, 120); background-color=color(srgb 0.142275 0.125902 0.0970785); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=color(srgb 0.219765 0.201529 0.16898); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
ld | paper light | div.ld | color=rgb(74, 74, 68); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=13.28px; font-weight=400; line-height=19.256px; display=block; min-height=0px
ld | paper dark | div.ld | color=rgb(195, 189, 174)
ld | slate light | div.ld | color=rgb(67, 73, 85)
ld | slate dark | div.ld | color=rgb(178, 186, 199)
ld | ink light | div.ld | color=rgb(58, 58, 58)
ld | ink dark | div.ld | color=rgb(200, 200, 200)
ld | sage light | div.ld | color=rgb(65, 71, 60)
ld | sage dark | div.ld | color=rgb(180, 189, 167)
ld | harbor light | div.ld | color=rgb(60, 71, 79)
ld | harbor dark | div.ld | color=rgb(171, 184, 194)
ld | aubergine light | div.ld | color=rgb(70, 61, 70)
ld | aubergine dark | div.ld | color=rgb(191, 178, 188)
ld | press light | div.ld | color=rgb(74, 68, 60)
ld | press dark | div.ld | color=rgb(194, 183, 163)
lgrid | paper light | div.lgrid | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=grid; min-height=0px; margin-top=18px; column-gap=13.6px; row-gap=13.6px; grid-template-columns=396px 396px 396px
lgrid | paper dark | div.lgrid | color=rgb(234, 230, 218)
lgrid | slate light | div.lgrid | color=rgb(20, 23, 28)
lgrid | slate dark | div.lgrid | color=rgb(230, 234, 241)
lgrid | ink light | div.lgrid | color=rgb(13, 13, 13)
lgrid | ink dark | div.lgrid | color=rgb(245, 245, 245)
lgrid | sage light | div.lgrid | color=rgb(22, 26, 19)
lgrid | sage dark | div.lgrid | color=rgb(228, 234, 217)
lgrid | harbor light | div.lgrid | color=rgb(17, 24, 32)
lgrid | harbor dark | div.lgrid | color=rgb(223, 232, 237)
lgrid | aubergine light | div.lgrid | color=rgb(25, 19, 25)
lgrid | aubergine dark | div.lgrid | color=rgb(235, 226, 234)
lgrid | press light | div.lgrid | color=rgb(28, 26, 23)
lgrid | press dark | div.lgrid | color=rgb(237, 228, 211)
lmeta | paper light | div.lmeta | color=rgb(166, 58, 36); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=flex; min-height=0px; margin-top=10px; column-gap=5.6px; row-gap=5.6px; align-items=center
lmeta | paper dark | div.lmeta | color=rgb(232, 154, 128)
lmeta | slate light | div.lmeta | color=rgb(64, 56, 184)
lmeta | slate dark | div.lmeta | color=rgb(173, 185, 253)
lmeta | ink light | div.lmeta | color=rgb(23, 69, 143)
lmeta | ink dark | div.lmeta | color=rgb(166, 198, 255)
lmeta | sage light | div.lmeta | color=rgb(15, 95, 67)
lmeta | sage dark | div.lmeta | color=rgb(114, 217, 167)
lmeta | harbor light | div.lmeta | color=rgb(11, 90, 107)
lmeta | harbor dark | div.lmeta | color=rgb(99, 205, 221)
lmeta | aubergine light | div.lmeta | color=rgb(138, 37, 96)
lmeta | aubergine dark | div.lmeta | color=rgb(235, 159, 205)
lmeta | press light | div.lmeta | color=rgb(153, 53, 20)
lmeta | press dark | div.lmeta | color=rgb(236, 152, 120)
ln | paper light | div.ln | color=rgb(99, 99, 91); font-family="JetBrains Mono", ui-monospace, "SF Mono", SFMono-Regular, Menlo, Consolas, "Liberation Mono", monospace; font-size=11.36px; font-weight=400; line-height=19.5392px; display=block; min-height=0px
ln | paper dark | div.ln | color=rgb(154, 148, 134)
ln | slate light | div.ln | color=rgb(95, 103, 116)
ln | slate dark | div.ln | color=rgb(138, 146, 160)
ln | ink light | div.ln | color=rgb(88, 88, 88)
ln | ink dark | div.ln | color=rgb(154, 154, 154)
ln | sage light | div.ln | color=rgb(94, 101, 87)
ln | sage dark | div.ln | color=rgb(139, 148, 126)
ln | harbor light | div.ln | color=rgb(90, 102, 112)
ln | harbor dark | div.ln | color=rgb(131, 145, 155)
ln | aubergine light | div.ln | color=rgb(101, 92, 101)
ln | aubergine dark | div.ln | color=rgb(148, 135, 152)
ln | press light | div.ln | color=rgb(107, 97, 84)
ln | press dark | div.ln | color=rgb(151, 141, 123)
lt | paper light | div.lt | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=16.32px; font-weight=700; line-height=20.8896px; display=block; min-height=0px; margin-top=4px; margin-bottom=6px
lt | paper dark | div.lt | color=rgb(234, 230, 218)
lt | slate light | div.lt | color=rgb(20, 23, 28)
lt | slate dark | div.lt | color=rgb(230, 234, 241)
lt | ink light | div.lt | color=rgb(13, 13, 13)
lt | ink dark | div.lt | color=rgb(245, 245, 245)
lt | sage light | div.lt | color=rgb(22, 26, 19)
lt | sage dark | div.lt | color=rgb(228, 234, 217)
lt | harbor light | div.lt | color=rgb(17, 24, 32)
lt | harbor dark | div.lt | color=rgb(223, 232, 237)
lt | aubergine light | div.lt | color=rgb(25, 19, 25)
lt | aubergine dark | div.lt | color=rgb(235, 226, 234)
lt | press light | div.lt | color=rgb(28, 26, 23)
lt | press dark | div.lt | color=rgb(237, 228, 211)
mcount | paper light | span.mcount | color=rgb(99, 99, 91); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=12.48px; font-weight=400; line-height=21.4656px; display=block; margin-left=893px
mcount | paper dark | span.mcount | color=rgb(154, 148, 134)
mcount | slate light | span.mcount | color=rgb(95, 103, 116)
mcount | slate dark | span.mcount | color=rgb(138, 146, 160)
mcount | ink light | span.mcount | color=rgb(88, 88, 88)
mcount | ink dark | span.mcount | color=rgb(154, 154, 154)
mcount | sage light | span.mcount | color=rgb(94, 101, 87)
mcount | sage dark | span.mcount | color=rgb(139, 148, 126)
mcount | harbor light | span.mcount | color=rgb(90, 102, 112)
mcount | harbor dark | span.mcount | color=rgb(131, 145, 155)
mcount | aubergine light | span.mcount | color=rgb(101, 92, 101)
mcount | aubergine dark | span.mcount | color=rgb(148, 135, 152)
mcount | press light | span.mcount | color=rgb(107, 97, 84)
mcount | press dark | span.mcount | color=rgb(151, 141, 123)
med | paper light | span.med.pill | color=rgb(122, 90, 10); background-color=color(srgb 0.915098 0.892941 0.832549); border-top-color=color(srgb 0.812353 0.765882 0.645882); border-right-color=color(srgb 0.812353 0.765882 0.645882); border-bottom-color=color(srgb 0.812353 0.765882 0.645882); border-left-color=color(srgb 0.812353 0.765882 0.645882); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.36px; font-weight=700; line-height=19.5392px; display=block; padding-top=2.56px; padding-right=8px; padding-bottom=2.56px; padding-left=8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=999px; border-top-right-radius=999px; border-bottom-right-radius=999px; border-bottom-left-radius=999px
med | paper dark | span.med.pill | color=rgb(220, 174, 58); background-color=color(srgb 0.206078 0.175686 0.0841176); border-top-color=color(srgb 0.360588 0.294902 0.117843); border-right-color=color(srgb 0.360588 0.294902 0.117843); border-bottom-color=color(srgb 0.360588 0.294902 0.117843); border-left-color=color(srgb 0.360588 0.294902 0.117843)
med | slate light | span.med.pill | color=rgb(125, 83, 6); background-color=color(srgb 0.923529 0.898823 0.853529); border-top-color=color(srgb 0.821569 0.763922 0.658235); border-right-color=color(srgb 0.821569 0.763922 0.658235); border-bottom-color=color(srgb 0.821569 0.763922 0.658235); border-left-color=color(srgb 0.821569 0.763922 0.658235)
med | slate dark | span.med.pill | color=rgb(224, 181, 82); background-color=color(srgb 0.195098 0.183137 0.144902); border-top-color=color(srgb 0.355882 0.307059 0.186471); border-right-color=color(srgb 0.355882 0.307059 0.186471); border-bottom-color=color(srgb 0.355882 0.307059 0.186471); border-left-color=color(srgb 0.355882 0.307059 0.186471)
med | ink light | span.med.pill | color=rgb(99, 80, 10); background-color=color(srgb 0.908235 0.897059 0.855882); border-top-color=color(srgb 0.785882 0.759804 0.663725); border-right-color=color(srgb 0.785882 0.759804 0.663725); border-bottom-color=color(srgb 0.785882 0.759804 0.663725); border-left-color=color(srgb 0.785882 0.759804 0.663725)
med | ink dark | span.med.pill | color=rgb(230, 196, 108); background-color=color(srgb 0.185294 0.168627 0.120196); border-top-color=color(srgb 0.353922 0.309804 0.191569); border-right-color=color(srgb 0.353922 0.309804 0.191569); border-bottom-color=color(srgb 0.353922 0.309804 0.191569); border-left-color=color(srgb 0.353922 0.309804 0.191569)
med | sage light | span.med.pill | color=rgb(125, 83, 9); background-color=color(srgb 0.910196 0.892157 0.828627); border-top-color=color(srgb 0.811373 0.758824 0.641961); border-right-color=color(srgb 0.811373 0.758824 0.641961); border-bottom-color=color(srgb 0.811373 0.758824 0.641961); border-left-color=color(srgb 0.811373 0.758824 0.641961)
med | sage dark | span.med.pill | color=rgb(220, 182, 76); background-color=color(srgb 0.189412 0.183725 0.104706); border-top-color=color(srgb 0.347843 0.308431 0.150196); border-right-color=color(srgb 0.347843 0.308431 0.150196); border-bottom-color=color(srgb 0.347843 0.308431 0.150196); border-left-color=color(srgb 0.347843 0.308431 0.150196)
med | harbor light | span.med.pill | color=rgb(125, 86, 6); background-color=color(srgb 0.910196 0.893922 0.850196); border-top-color=color(srgb 0.811373 0.762941 0.655686); border-right-color=color(srgb 0.811373 0.762941 0.655686); border-bottom-color=color(srgb 0.811373 0.762941 0.655686); border-left-color=color(srgb 0.811373 0.762941 0.655686)
med | harbor dark | span.med.pill | color=rgb(219, 179, 78); background-color=color(srgb 0.17549 0.178627 0.135882); border-top-color=color(srgb 0.336275 0.301765 0.175882); border-right-color=color(srgb 0.336275 0.301765 0.175882); border-bottom-color=color(srgb 0.336275 0.301765 0.175882); border-left-color=color(srgb 0.336275 0.301765 0.175882)
med | aubergine light | span.med.pill | color=rgb(111, 82, 16); background-color=color(srgb 0.908627 0.884902 0.852745); border-top-color=color(srgb 0.797255 0.752353 0.666863); border-right-color=color(srgb 0.797255 0.752353 0.666863); border-bottom-color=color(srgb 0.797255 0.752353 0.666863); border-left-color=color(srgb 0.797255 0.752353 0.666863)
med | aubergine dark | span.med.pill | color=rgb(224, 180, 95); background-color=color(srgb 0.205098 0.162549 0.129216); border-top-color=color(srgb 0.363529 0.290392 0.186471); border-right-color=color(srgb 0.363529 0.290392 0.186471); border-bottom-color=color(srgb 0.363529 0.290392 0.186471); border-left-color=color(srgb 0.363529 0.290392 0.186471)
med | press light | span.med.pill | color=rgb(122, 86, 6); background-color=color(srgb 0.898431 0.867255 0.803529); border-top-color=color(srgb 0.799608 0.742549 0.62); border-right-color=color(srgb 0.799608 0.742549 0.62); border-bottom-color=color(srgb 0.799608 0.742549 0.62); border-left-color=color(srgb 0.799608 0.742549 0.62)
med | press dark | span.med.pill | color=rgb(217, 171, 82); background-color=color(srgb 0.224314 0.183922 0.108235); border-top-color=color(srgb 0.371765 0.298431 0.158431); border-right-color=color(srgb 0.371765 0.298431 0.158431); border-bottom-color=color(srgb 0.371765 0.298431 0.158431); border-left-color=color(srgb 0.371765 0.298431 0.158431)
mnum | paper light | span.mnum | color=oklch(0.499418 0.146858 33.3477); font-family="JetBrains Mono", ui-monospace, "SF Mono", SFMono-Regular, Menlo, Consolas, "Liberation Mono", monospace; font-size=14.08px; font-weight=700; line-height=24.2176px; display=block
mnum | paper dark | span.mnum | color=oklch(0.757751 0.101214 39.1914)
mnum | slate light | span.mnum | color=oklch(0.43736 0.193086 277.583)
mnum | slate dark | span.mnum | color=oklch(0.801275 0.09737 276.275)
mnum | ink light | span.mnum | color=oklch(0.404849 0.132559 259.77)
mnum | ink dark | span.mnum | color=oklch(0.823498 0.0879101 261.802)
mnum | sage light | span.mnum | color=oklch(0.432336 0.0868142 163.631)
mnum | sage dark | span.mnum | color=oklch(0.809508 0.121133 160.847)
mnum | harbor light | span.mnum | color=oklch(0.432492 0.0738736 217.305)
mnum | harbor dark | span.mnum | color=oklch(0.791639 0.0999238 208.5)
mnum | aubergine light | span.mnum | color=oklch(0.442656 0.148251 348.987)
mnum | aubergine dark | span.mnum | color=oklch(0.790447 0.107073 342.846)
mnum | press light | span.mnum | color=oklch(0.469491 0.14072 37.3824)
mnum | press dark | span.mnum | color=oklch(0.75735 0.110947 41.5668)
module | paper light | section.module | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; margin-top=45px; margin-bottom=45px
module | paper dark | section.module | color=rgb(234, 230, 218)
module | slate light | section.module | color=rgb(20, 23, 28)
module | slate dark | section.module | color=rgb(230, 234, 241)
module | ink light | section.module | color=rgb(13, 13, 13)
module | ink dark | section.module | color=rgb(245, 245, 245)
module | sage light | section.module | color=rgb(22, 26, 19)
module | sage dark | section.module | color=rgb(228, 234, 217)
module | harbor light | section.module | color=rgb(17, 24, 32)
module | harbor dark | section.module | color=rgb(223, 232, 237)
module | aubergine light | section.module | color=rgb(25, 19, 25)
module | aubergine dark | section.module | color=rgb(235, 226, 234)
module | press light | section.module | color=rgb(28, 26, 23)
module | press dark | section.module | color=rgb(237, 228, 211)
module-h | paper light | div.module-h | color=rgb(26, 26, 24); border-bottom-color=color(srgb 0.547059 0.545098 0.533333); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=flex; min-height=0px; padding-bottom=7.2px; border-bottom-width=1px; border-bottom-style=solid; column-gap=12px; row-gap=12px; align-items=baseline
module-h | paper dark | div.module-h | color=rgb(234, 230, 218); border-bottom-color=color(srgb 0.503922 0.494118 0.456863)
module-h | slate light | div.module-h | color=rgb(20, 23, 28); border-bottom-color=color(srgb 0.539216 0.545098 0.554902)
module-h | slate dark | div.module-h | color=rgb(230, 234, 241); border-bottom-color=color(srgb 0.488235 0.503922 0.529412)
module-h | ink light | div.module-h | color=rgb(13, 13, 13); border-bottom-color=color(srgb 0.52549 0.52549 0.52549)
module-h | ink dark | div.module-h | color=rgb(245, 245, 245); border-bottom-color=color(srgb 0.509804 0.511765 0.513726)
module-h | sage light | div.module-h | color=rgb(22, 26, 19); border-bottom-color=color(srgb 0.535294 0.547059 0.521569)
module-h | sage dark | div.module-h | color=rgb(228, 234, 217); border-bottom-color=color(srgb 0.482353 0.503922 0.460784)
module-h | harbor light | div.module-h | color=rgb(17, 24, 32); border-bottom-color=color(srgb 0.52549 0.543137 0.560784)
module-h | harbor dark | div.module-h | color=rgb(223, 232, 237); border-bottom-color=color(srgb 0.464706 0.498039 0.517647)
module-h | aubergine light | div.module-h | color=rgb(25, 19, 25); border-bottom-color=color(srgb 0.545098 0.529412 0.545098)
module-h | aubergine dark | div.module-h | color=rgb(235, 226, 234); border-bottom-color=color(srgb 0.503922 0.476471 0.501961)
module-h | press light | div.module-h | color=rgb(28, 26, 23); border-bottom-color=color(srgb 0.541176 0.531373 0.515686)
module-h | press dark | div.module-h | color=rgb(237, 228, 211); border-bottom-color=color(srgb 0.521569 0.496078 0.44902)
pill | paper light | span.easy.pill | color=rgb(26, 110, 53); background-color=color(srgb 0.876431 0.915843 0.873137); border-top-color=color(srgb 0.680588 0.793333 0.704902); border-right-color=color(srgb 0.680588 0.793333 0.704902); border-bottom-color=color(srgb 0.680588 0.793333 0.704902); border-left-color=color(srgb 0.680588 0.793333 0.704902); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.36px; font-weight=700; line-height=19.5392px; display=block; padding-top=2.56px; padding-right=8px; padding-bottom=2.56px; padding-left=8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=999px; border-top-right-radius=999px; border-bottom-right-radius=999px; border-bottom-left-radius=999px
pill | paper dark | span.easy.pill | color=rgb(127, 211, 154); background-color=color(srgb 0.143216 0.182627 0.129686); border-top-color=color(srgb 0.232941 0.345686 0.249608); border-right-color=color(srgb 0.232941 0.345686 0.249608); border-bottom-color=color(srgb 0.232941 0.345686 0.249608); border-left-color=color(srgb 0.232941 0.345686 0.249608)
