doc_id,topic,model,data,loss,gradient,tensor,training,vector,matrix,recipe,oven,flour,sauce,simmer,knife,dough,flavour,orbit,telescope,galaxy,spectrum,comet,nebula,parsec,eclipse,striker,offside,penalty,midfield,keeper,stadium,kickoff,referee,the,of,and,a,to,in,is,for
d00027,astronomy,0,4,2,0,0,1,1,0,1,0,0,4,0,2,1,0,9,13,16,8,11,16,18,13,1,1,1,2,2,0,0,1,19,20,23,24,16,21,19,14
d00028,astronomy,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,5,6,8,8,8,6,4,10,1,1,0,1,0,1,1,0,12,15,13,5,13,12,17,10
d00029,astronomy,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,10,9,10,7,15,10,16,0,0,1,1,0,0,0,0,13,15,7,13,23,14,17,26
d00030,football,0,0,1,1,0,2,1,2,3,1,1,2,0,1,2,0,1,1,2,1,3,0,2,0,23,23,18,22,24,17,19,17,35,36,40,39,37,29,22,47
d00031,cooking,0,1,2,0,1,0,0,0,21,22,22,20,31,21,29,21,2,2,0,0,2,0,1,0,1,2,0,0,0,1,1,0,33,33,31,24,45,39,29,34
d00032,astronomy,0,0,0,1,1,0,1,0,1,0,1,2,0,0,0,0,12,15,16,15,17,16,7,10,0,1,2,2,1,2,1,1,22,31,24,13,25,27,15,16
d00033,football,1,1,2,1,1,1,2,1,4,1,2,6,3,1,3,1,4,0,2,1,0,2,2,0,38,35,28,28,35,30,43,33,51,49,64,50,70,67,65,72
d00034,football,1,1,0,1,2,3,3,1,2,0,1,3,3,0,0,1,5,2,0,4,1,1,4,2,37,27,31,32,35,33,24,31,56,64,58,58,47,70,44,57
d00035,football,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,9,9,8,8,20,8,9,13,17,22,19,23,25,18,16,20
d00036,astronomy,0,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,14,7,21,11,16,16,7,18,0,1,0,1,0,0,1,0,32,21,26,20,18,20,29,20
d00037,cooking,0,1,1,0,1,1,0,2,17,20,28,20,23,21,31,17,1,0,1,0,1,1,0,2,3,1,1,3,1,2,0,1,29,37,34,33,38,32,32,36
d00038,cooking,1,1,0,1,1,1,1,0,12,11,17,18,19,10,12,15,2,2,0,1,1,2,0,1,0,0,0,2,1,1,0,1,18,30,28,26,18,33,23,24
d00039,cooking,1,0,2,1,2,0,0,1,19,18,20,20,13,21,18,27,0,1,3,1,0,2,0,3,0,0,1,2,2,1,0,0,38,29,43,39,33,37,33,35
d00040,football,0,3,2,0,1,1,0,2,3,2,1,1,2,0,0,2,2,0,6,0,2,1,2,1,34,34,41,38,41,41,40,37,72,58,62,54,55,61,46,55
d00041,football,0,2,1,1,5,2,4,3,1,3,3,1,2,1,0,1,2,1,2,3,2,1,0,3,31,21,24,17,27,23,25,26,50,36,49,51,53,55,51,35
d00042,football,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,15,16,3,7,10,8,7,12,13,15,14,13,13,15,7,16
d00043,football,4,4,2,3,8,1,1,3,1,4,1,3,4,8,2,2,2,3,4,2,4,6,3,3,74,72,56,87,67,76,63,71,108,114,128,126,108,124,133,118
d00044,astronomy,1,1,2,0,3,1,1,1,1,1,2,3,3,2,2,2,40,47,44,48,38,39,41,51,1,1,0,2,2,4,0,4,69,55,64,61,73,72,63,81
d00045,football,1,4,0,2,1,1,2,3,2,2,5,0,1,2,1,0,2,2,4,0,4,0,1,0,29,28,24,29,33,25,23,26,33,45,37,53,47,48,51,54
d00046,cooking,1,0,0,0,2,0,0,0,4,8,6,3,2,2,4,4,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,8,12,10,9,9,7,13,6
d00047,astronomy,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,4,8,6,6,14,7,10,0,0,0,0,2,0,0,1,27,13,17,13,15,17,11,11
d00048,football,2,1,2,1,2,0,1,0,1,0,1,2,3,1,1,2,0,1,1,0,1,1,0,1,22,12,21,24,21,13,19,18,42,29,33,28,33,47,39,45
d00049,astronomy,0,2,2,0,2,1,0,0,1,1,1,1,1,0,0,0,28,23,25,16,16,18,28,24,2,1,0,3,0,1,0,1,40,38,50,35,31,35,36,39
d00050,machine_learning,9,5,8,6,3,6,5,5,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,11,9,3,9,7,7,4
d00051,football,1,2,1,1,1,1,0,2,1,0,1,2,1,2,0,3,2,1,1,0,1,2,1,1,30,28,38,23,40,28,25,33,55,57,59,48,44,63,48,58
d00052,football,1,0,0,0,1,0,0,0,1,2,1,1,2,1,1,0,0,2,2,1,1,0,0,1,9,15,11,11,13,16,14,20,20,25,21,25,17,21,17,26
d00053,astronomy,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,1,2,8,8,6,9,6,15,4,1,0,0,0,0,0,0,0,14,8,14,12,23,13,15,10
d00054,astronomy,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,6,7,6,9,4,8,6,6,0,0,1,0,0,0,0,0,13,23,7,16,12,9,16,14
d00055,football,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,10,7,11,6,13,13,13,8,14,11,26,19,19,19,19,14
d00056,cooking,0,1,0,0,0,1,0,0,9,4,7,11,4,10,6,11,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,9,10,7,14,14,10,14,8
d00057,cooking,2,1,1,2,1,1,1,1,25,25,35,30,33,36,23,33,0,1,2,1,1,1,0,1,4,2,2,3,2,1,1,2,53,48,37,32,50,45,41,51
d00058,machine_learning,7,4,8,5,7,10,7,6,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12,15,16,13,13,18,20,13
d00059,cooking,0,1,0,1,1,2,0,0,18,15,8,17,16,15,16,26,0,1,1,2,0,0,0,0,1,0,3,0,0,0,1,2,21,32,28,30,32,35,29,25
d00060,cooking,1,2,2,2,1,0,4,2,52,44,43,52,38,40,43,47,3,5,4,4,3,2,1,2,4,4,5,2,2,4,0,1,88,57,78,61,77,80,59,66
d00061,cooking,0,0,0,0,0,0,0,0,8,8,3,4,5,3,4,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,7,10,7,12,5,10,9,5
d00062,astronomy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,9,7,4,7,0,0,0,0,0,0,0,0,9,6,7,4,6,3,5,7
d00063,astronomy,1,3,3,1,2,1,2,2,2,6,2,2,2,3,1,3,37,54,43,43,47,43,56,40,1,2,3,2,2,2,2,0,72,73,62,66,62,91,85,81
d00064,cooking,1,1,3,1,0,1,2,0,16,13,21,17,21,25,16,26,0,2,1,0,1,0,2,3,2,1,4,1,0,2,1,0,55,37,38,33,28,44,37,27
d00065,machine_learning,11,9,6,4,5,7,6,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,8,13,15,14,7,11,11,11
d00066,cooking,1,1,1,1,1,1,2,2,31,33,29,25,27,28,23,28,3,2,1,0,4,2,2,0,1,1,4,0,0,0,1,2,47,46,39,43,44,43,45,56
d00067,football,0,0,0,1,1,1,3,1,1,1,0,2,1,0,0,1,1,1,0,1,2,1,1,2,20,18,16,27,16,27,21,16,45,27,38,35,30,41,37,30
d00068,football,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,5,0,3,2,4,6,5,2,13,7,10,6,9,13
d00069,astronomy,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,3,12,9,12,9,9,14,11,8,0,0,1,1,0,0,0,0,18,15,15,14,13,12,13,8
d00070,astronomy,2,0,0,0,3,0,0,2,0,2,0,1,0,1,1,0,27,29,25,20,18,24,15,20,1,2,0,0,0,1,1,1,31,31,24,29,42,39,31,31
d00071,football,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,10,6,4,4,8,8,10,12,8,9,9,9,8,13,7,8
d00072,machine_learning,21,16,27,25,17,30,17,25,1,1,0,0,0,2,3,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,2,31,33,28,36,24,32,40,31
d00073,football,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,4,9,4,6,1,7,7,5,2,5,14,8,7,12,10
d00074,football,0,0,0,1,2,1,0,1,3,1,1,0,0,1,2,1,0,0,1,1,1,0,0,0,16,17,17,22,17,17,13,16,32,35,45,32,31,37,22,27
d00075,astronomy,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5,4,8,4,6,5,5,2,0,0,0,0,1,0,0,0,3,3,7,10,13,8,6,3
d00076,cooking,1,1,0,0,0,0,1,0,9,8,4,10,9,6,9,12,1,1,0,1,2,0,1,0,1,0,0,1,0,0,0,0,14,13,14,16,10,15,15,17
d00077,football,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,3,2,1,0,1,9,7,10,5,14,16,12,5,19,19,19,19,16,15,21,19
d00078,football,3,0,1,1,1,0,0,0,1,0,1,0,0,2,1,0,0,1,1,1,1,1,1,0,11,11,13,5,12,15,13,17,28,20,20,18,21,27,17,29
d00079,football,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,11,8,5,3,7,7,7,9,13,7,12,12,8,12,7,12
d00080,cooking,0,1,2,0,0,1,2,0,21,20,17,18,12,21,17,23,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,22,16,31,34,29,25,41,29
d00081,astronomy,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,10,9,11,10,7,8,10,11,1,0,1,2,0,0,1,1,16,23,12,15,21,12,13,17
d00082,machine_learning,23,27,26,16,20,22,30,18,1,2,0,0,1,2,3,0,0,1,0,1,0,2,0,2,0,2,0,0,0,0,2,1,42,47,34,29,41,53,36,28
d00083,football,1,1,0,0,0,1,1,1,0,1,0,0,1,0,3,2,2,1,0,0,2,3,0,1,18,13,16,20,24,18,12,23,29,31,30,27,36,20,39,34
d00084,cooking,0,0,2,1,0,3,1,1,25,28,21,37,20,27,26,26,2,2,0,2,0,3,1,1,0,1,1,0,0,6,0,2,36,35,39,42,44,46,48,42
d00085,football,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,11,12,12,12,10,6,10,5,24,10,12,8,22,10,12,17
d00086,football,1,2,1,2,1,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,2,1,1,16,10,13,15,12,13,15,10,28,26,21,18,16,15,25,21
d00087,cooking,1,0,3,2,2,4,3,3,43,36,29,46,43,49,54,20,2,5,2,5,3,0,2,3,1,2,1,4,1,2,1,0,65,77,70,75,71,65,55,66
d00088,astronomy,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,4,0,6,4,2,3,0,0,0,0,0,0,0,0,8,2,9,4,4,4,2,3
d00089,football,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,6,6,1,0,4,4,4,3,5,2,6,3,5,5,3
d00090,cooking,0,1,0,0,0,0,0,0,8,8,7,9,5,5,3,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,8,13,14,7,12,8,10
d00091,machine_learning,7,8,8,9,11,9,8,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,17,17,19,18,11,13,17,15
d00092,cooking,0,1,1,0,0,1,0,0,8,5,4,6,8,3,7,9,2,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,13,20,15,7,7,11,11,18
d00093,astronomy,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,18,10,18,11,17,15,18,17,2,1,3,1,0,3,1,0,28,30,33,22,19,32,26,19
d00094,astronomy,0,3,0,1,0,2,0,1,1,0,1,0,0,1,0,0,18,17,14,19,14,17,16,12,0,0,0,0,0,0,0,1,25,15,18,17,34,20,26,20
d00095,astronomy,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,7,5,8,4,9,5,10,2,0,0,1,1,0,0,0,13,14,14,13,13,11,17,8
d00096,football,0,0,2,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,1,1,1,0,1,18,19,14,17,19,14,15,14,27,24,19,25,26,26,20,25
d00097,astronomy,1,0,2,1,0,1,1,0,0,1,1,0,0,0,2,0,15,19,21,12,15,15,12,13,1,1,0,0,0,0,0,1,24,29,24,28,18,18,22,22
d00098,astronomy,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,8,7,5,7,6,6,9,2,0,0,0,1,1,0,0,9,18,13,15,15,10,17,9
d00099,cooking,1,2,0,1,2,0,0,1,31,29,23,23,30,25,33,22,2,1,3,0,0,1,0,1,1,0,2,0,0,2,0,1,42,38,57,45,33,41,51,42
d00100,cooking,0,0,1,1,2,1,1,0,13,12,13,12,18,14,4,12,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,20,20,17,24,16,23,17,22
d00101,football,4,1,0,1,0,0,1,0,1,2,0,3,1,1,1,0,0,0,2,1,1,0,1,2,19,10,14,16,14,17,15,16,22,20,26,32,20,29,24,19
d00102,astronomy,2,5,2,2,1,5,4,0,1,1,3,0,1,3,2,3,48,62,53,49,60,54,61,50,1,3,3,1,1,3,5,2,90,71,87,84,87,82,87,83
d00103,machine_learning,28,27,17,25,22,28,19,19,2,0,1,0,1,1,2,1,3,1,2,4,1,4,1,1,0,0,0,1,3,0,1,2,37,39,38,47,37,34,41,46
d00104,football,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,5,9,10,12,11,10,11,2,16,17,21,15,9,23,19,25
d00105,cooking,0,0,2,2,2,1,1,1,26,28,15,26,32,16,22,20,1,1,1,2,2,0,2,3,0,2,1,2,0,0,2,2,32,39,38,35,43,40,45,50
d00106,cooking,2,0,1,1,2,0,0,1,22,30,22,39,23,24,19,28,3,1,1,1,1,0,0,0,1,0,1,0,1,1,1,3,43,44,46,55,39,37,49,45
d00107,football,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,5,4,8,16,8,7,10,3,6,10,10,14,6,13,8,9
d00108,machine_learning,4,6,4,7,14,4,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,11,10,8,6,9,7,10
d00109,astronomy,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,11,8,14,10,11,6,6,9,1,1,0,0,0,1,0,0,12,19,19,11,14,11,16,12
d00110,football,0,1,1,2,0,0,2,1,0,0,0,0,1,3,1,3,0,0,1,0,0,0,1,1,16,14,13,16,17,14,17,17,15,13,23,40,21,21,27,24
d00111,cooking,1,2,0,2,1,0,0,0,20,15,26,20,26,15,19,17,3,1,0,0,2,1,1,1,0,2,0,0,1,1,2,3,38,22,30,28,33,33,30,26
d00112,machine_learning,7,8,8,12,9,5,8,8,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,8,12,10,11,12,9,9,16
d00113,cooking,1,2,0,0,1,1,1,1,17,15,23,16,22,17,16,14,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,2,28,36,24,41,26,29,24,24
d00114,machine_learning,9,13,7,11,7,9,11,12,0,0,0,0,0,0,3,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,18,15,20,19,17,13,15,13
d00115,cooking,1,0,0,1,0,0,2,1,18,7,13,20,21,14,15,16,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,17,21,24,27,26,31,17,23
d00116,astronomy,13,2,3,5,3,5,7,7,6,7,6,4,8,5,2,9,84,102,85,81,79,98,80,94,4,2,4,2,7,5,2,6,120,141,156,158,139,144,150,128
d00117,cooking,0,0,1,0,0,0,2,1,15,11,12,13,13,9,10,13,0,1,1,0,0,0,0,1,0,2,1,1,1,3,0,0,12,15,16,24,14,16,16,20
d00118,astronomy,6,4,3,5,4,6,7,2,2,3,2,3,5,2,6,6,86,94,76,74,73,83,90,91,10,5,1,7,7,1,5,4,124,131,131,142,143,137,145,132
d00119,cooking,0,1,0,1,0,0,1,0,17,16,17,12,26,16,17,13,0,1,2,1,0,0,0,2,0,2,3,0,2,0,1,0,37,27,34,34,32,38,35,29
d00120,astronomy,3,2,1,1,0,4,2,2,1,2,1,1,3,3,2,3,35,49,45,46,52,43,43,44,2,4,2,2,3,1,2,1,76,78,75,88,79,75,85,84
d00121,cooking,0,1,1,1,0,2,1,2,11,14,14,9,14,27,13,22,0,0,1,0,0,2,0,2,0,1,0,0,0,4,0,1,30,24,22,21,23,22,28,32
d00122,football,0,2,2,2,0,0,0,0,1,0,0,1,1,0,2,2,0,2,2,0,0,3,0,1,18,14,16,11,22,17,18,17,28,34,33,21,24,24,25,18
d00123,machine_learning,5,5,8,9,9,11,6,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,6,17,14,12,10,12,13,9
d00124,machine_learning,38,39,45,39,37,31,37,44,4,0,3,0,1,4,3,2,1,2,4,1,1,3,1,3,2,2,2,0,2,2,0,1,60,58,58,62,65,58,57,55
d00125,football,1,2,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,3,2,0,0,1,22,20,22,17,14,27,27,15,31,44,44,29,40,36,22,34
d00126,football,1,1,0,2,1,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,2,8,14,10,10,10,9,15,16,24,10,19,20,29,20,18,18
d00127,football,0,1,1,1,1,2,0,3,0,0,0,1,2,0,4,2,2,0,0,1,2,1,1,1,16,20,12,16,18,11,16,17,31,29,39,29,34,34,33,24
d00128,cooking,0,3,4,0,1,0,1,0,21,31,24,27,26,29,16,28,1,1,2,0,1,0,1,2,2,2,1,0,1,2,0,0,59,46,48,38,42,37,36,32
d00129,football,1,1,0,1,2,0,1,1,1,1,2,0,1,0,1,1,0,2,2,2,0,3,2,0,23,17,24,18,20,14,29,19,35,28,29,37,26,31,24,32
d00130,football,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,7,4,9,5,10,4,13,9,15,14,10,8,15,20,15,12
d00131,cooking,0,0,0,0,0,0,1,0,4,5,5,11,7,10,3,5,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,9,15,14,9,16,11,10,9
d00132,cooking,0,1,0,0,1,2,0,0,14,36,21,27,29,18,18,32,1,1,1,0,0,1,0,1,1,1,1,1,1,0,2,1,38,39,41,35,34,33,35,44
d00133,machine_learning,8,12,7,5,3,11,8,8,2,0,2,0,0,1,0,0,1,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,14,16,5,16,15,10,10,11
d00134,football,1,0,0,0,0,0,1,1,0,0,0,3,0,2,3,1,0,2,1,2,1,1,1,0,25,28,17,29,21,25,17,26,48,37,46,57,42,42,44,34
d00135,football,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,8,5,3,6,7,11,4,9,13,12,6,10,11,12,19,10
d00136,machine_learning,40,37,35,39,33,35,31,27,0,1,2,1,0,2,2,1,1,0,4,3,2,0,1,0,2,1,2,1,2,1,1,1,67,65,69,56,55,78,58,54
d00137,football,0,0,1,1,0,0,2,0,1,1,1,0,1,0,2,0,1,2,2,2,0,1,0,0,13,14,11,10,9,9,13,8,18,24,24,24,12,14,15,20
d00138,football,2,1,2,3,1,1,2,4,1,4,1,1,3,2,2,2,2,5,3,0,2,0,1,1,50,30,37,29,39,32,38,40,55,60,52,62,71,67,72,75
d00139,astronomy,1,2,1,4,3,3,2,6,3,4,2,8,2,7,1,5,68,67,73,70,68,76,63,76,4,5,4,5,6,6,4,5,135,113,127,119,109,119,109,129
d00140,machine_learning,4,11,5,4,8,8,6,11,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,10,11,13,9,13,13,13
d00141,cooking,5,0,1,1,0,1,1,1,45,28,36,30,27,40,30,33,2,3,1,1,1,3,1,2,0,0,4,2,1,1,4,1,48,63,56,54,50,51,51,42
d00142,astronomy,1,0,0,1,1,0,0,2,0,2,1,1,0,0,1,1,22,18,21,20,21,26,21,22,1,1,3,3,2,1,0,2,43,42,46,46,34,40,38,35
d00143,machine_learning,19,14,15,14,10,13,8,20,2,0,2,3,0,1,1,0,0,0,0,1,0,0,1,1,3,0,0,1,1,0,0,1,24,22,23,19,13,29,21,16
d00144,cooking,0,0,1,1,0,2,0,0,12,14,8,19,14,14,12,13,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,27,22,18,20,18,22,35,26
d00145,cooking,0,1,0,0,0,1,1,0,6,10,10,4,5,9,8,3,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,19,11,13,13,22,17,18,18
d00146,cooking,1,1,1,0,2,1,0,0,14,9,7,9,14,12,8,13,1,0,1,0,1,2,0,0,0,1,0,0,2,0,1,0,17,20,18,15,16,19,19,19
d00147,cooking,0,0,1,0,0,2,1,0,16,12,18,10,11,11,13,10,2,0,3,1,1,1,0,2,0,0,0,0,0,1,2,0,28,24,30,36,21,26,21,32
d00148,astronomy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,4,5,4,3,7,7,8,0,1,0,1,1,0,0,1,8,9,6,7,8,5,10,11
d00149,cooking,0,0,0,0,1,0,0,0,5,8,6,7,4,7,4,6,2,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,11,9,8,7,8,6,3,8
d00150,astronomy,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,9,9,19,12,14,9,16,0,1,1,0,1,1,0,2,15,14,13,18,21,5,18,18
d00151,football,2,2,1,1,1,1,5,1,4,2,2,1,2,1,1,1,1,3,2,3,2,1,1,1,31,48,44,40,39,44,34,40,68,79,71,60,77,66,57,64
d00152,machine_learning,60,33,50,47,47,34,36,45,2,1,0,2,1,3,1,2,4,4,4,3,0,2,3,2,1,1,2,3,6,1,0,2,71,69,80,67,52,56,75,72
d00153,football,0,3,0,0,1,3,1,2,0,1,1,1,1,0,0,0,1,1,0,0,0,5,1,0,12,12,14,16,21,13,14,5,18,27,22,24,24,20,31,28
d00154,astronomy,5,0,1,2,1,0,0,0,3,2,1,1,3,2,1,1,22,18,25,17,15,22,23,25,1,1,2,1,0,0,4,3,33,39,36,32,34,39,31,39
