ticket_id,customer_id,row_split,label,n_tokens,first_response_seconds,score_urgent,logit_urgent,logit_normal,logit_spam,tokens
17,208,train,normal,8,23.55,0.21475,-0.0416,2.7255,-1.7981,billing feedback charge cosmetic curious whenever minor someday
18,865,test,normal,11,108.69,0.13386,0.0804,2.0778,-1.353,cannot nice cosmetic minor feedback suggestion payment invoice feedback question suggestion
19,683,train,urgent,13,570.6,0.68012,1.2188,-0.2919,-1.0833,loss account blocked account down failing charge help cannot down breach urgent account
20,662,train,normal,9,1562.78,0.44459,-0.89,1.5533,-0.7483,nice typo account blocked revenue order curious question data
21,204,train,normal,40,1824.83,0.36709,0.0192,1.7936,0.7956,suggestion feedback nice cannot someday feedback cosmetic account charge documentation billing page cosmetic payment billing curious feedback question account nice documentation typo nice error typo documentation suggestion someday question typo whenever nice account support payment suggestion nice nice wondering account
22,322,train,normal,38,940.79,0.10767,-0.5705,1.755,-1.6037,charge typo curious billing typo help password feedback screen feedback charge account invoice cosmetic error error question billing billing suggestion error whenever account question billing curious minor cannot typo wondering question someday documentation cosmetic urgent payment cosmetic curious
23,558,val,normal,38,679.2,0.50025,-1.677,1.3539,-1.6453,someday typo curious wondering account minor documentation account production please question account feedback cannot documentation account account minor wondering question account curious whenever billing account please password someday someday feedback account question question account account page support password
24,618,val,normal,8,791.46,0.32565,-0.0645,1.8008,-1.9603,account charge suggestion billing account someday billing account
25,335,train,normal,14,327.2,0.15048,-0.3004,1.6149,-2.1894,question account refund cannot login documentation page account order cosmetic billing whenever wondering suggestion
26,521,val,urgent,12,263.12,0.62124,2.5173,-0.4793,-1.4914,breach urgent outage account thanks account loss customers blocked down down click
27,670,val,normal,86,924.26,0.46189,-0.3464,2.5823,-1.3236,support question whenever question help account suggestion curious cannot invoice account invoice cannot reset cosmetic account invoice cannot typo cannot documentation question password error account minor whenever typo feedback wondering documentation payment documentation refund documentation question billing click minor whenever whenever click support documentation support payment suggestion account error curious curious minor wondering suggestion support update cannot billing error charge account account cosmetic typo wondering account charge nice question charge billing documentation payment cosmetic suggestion documentation billing whenever suggestion error cosmetic question feedback invoice whenever someday
28,579,train,normal,35,340.37,0.0612,-1.0558,1.6483,-2.3793,help account cosmetic account question someday feedback billing account feedback cosmetic wondering nice reset feedback charge error charge account billing refund curious wondering account nice typo account account minor someday cannot cosmetic invoice login nice
29,742,train,normal,15,451.44,0.2315,-1.4173,2.9224,-2.7752,thanks whenever someday error billing wondering typo account click feedback whenever wondering suggestion curious suggestion
30,682,train,normal,45,659.47,0.49055,-0.3254,2.7623,-1.9068,nice whenever billing question typo thanks question suggestion documentation click suggestion suggestion suggestion error account account curious billing feedback nice minor question someday suggestion support error feedback wondering charge help wondering someday wondering help account feedback minor typo account typo account minor typo question wondering
31,885,val,urgent,12,58.4,0.56352,2.3334,-1.4033,-2.4931,production failing account critical outage revenue outage revenue billing breach cannot outage
32,327,test,normal,30,164.64,0.61626,-2.0314,0.1932,-1.4035,wondering question account charge someday cosmetic billing question account curious account wondering invoice refund billing whenever question nice wondering error cosmetic someday account question billing question cannot invoice account account
33,556,train,normal,8,669.65,0.23653,-1.1295,2.8951,-3.1864,suggestion account account account cannot invoice wondering account
34,922,train,normal,17,537.76,0.60048,-1.4472,1.8673,-1.0472,suggestion order feedback whenever wondering curious typo account login suggestion cannot wondering order suggestion update nice click
35,922,test,normal,26,373.17,0.11782,0.2106,2.6115,-1.7746,documentation charge someday minor charge wondering cosmetic billing charge billing error typo click minor minor billing minor billing login question help login account wondering feedback account
36,780,train,urgent,64,733.99,0.84972,2.4211,-0.5734,-0.8921,error blocked production billing data page account billing urgent critical urgent outage escalate critical escalate critical breach loss account account customers thanks critical cannot critical revenue screen charge password failing urgent page failing critical refund escalate page production help revenue outage failing breach urgent revenue curious data error loss failing critical account charge account down loss loss outage data login failing down urgent customers
37,545,train,normal,53,177.96,0.32395,-1.2942,1.6135,-1.153,screen help help thanks login someday cosmetic minor feedback cosmetic account billing account minor documentation documentation minor whenever someday cosmetic question nice feedback account typo nice password urgent invoice curious page please billing question charge whenever please wondering nice suggestion support typo billing whenever billing minor password account cosmetic question account account account
38,431,train,normal,31,1590.32,0.08823,-0.4752,3.3122,-3.2726,page someday account billing payment invoice page error wondering someday billing question account nice cosmetic account account login account feedback documentation documentation order feedback cosmetic someday typo minor click support billing
39,496,train,normal,83,216.39,0.50033,-0.1783,1.6218,-2.4751,payment billing curious page screen account invoice question feedback documentation login someday account order feedback feedback account account password nice cosmetic account whenever reset cannot whenever curious error help curious typo curious cosmetic account typo account question typo cosmetic billing someday minor documentation billing billing suggestion cannot cannot minor wondering thanks suggestion curious billing suggestion billing charge suggestion refund billing account billing account question update whenever question question typo someday billing account suggestion reset account suggestion someday account wondering curious please feedback question
40,475,train,normal,213,52.31,0.43294,0.9013,2.2416,-1.8976,account minor cosmetic cannot feedback suggestion payment wondering click click documentation update cannot billing cannot cannot account billing nice account cannot curious cannot someday payment cosmetic documentation question cannot order account account question cosmetic curious account question nice payment someday someday question question support thanks wondering account whenever cannot minor minor account typo click cosmetic account typo billing click suggestion account whenever refund feedback help billing cannot documentation error someday reset billing page curious account feedback billing order whenever login someday question nice billing curious invoice screen account minor someday account suggestion whenever please minor nice minor documentation account someday billing whenever help question cannot minor wondering cannot typo minor minor click cosmetic feedback wondering cannot typo error question login cosmetic suggestion account someday cosmetic question question cannot charge billing curious suggestion typo account cannot down whenever typo account feedback minor typo login wondering login account charge whenever feedback suggestion error feedback account suggestion minor curious account whenever refund cosmetic account documentation question feedback click click wondering help charge password page account thanks billing feedback error curious documentation someday error suggestion account whenever account account minor documentation documentation order billing error suggestion nice nice order typo documentation production wondering someday account account nice nice account typo typo typo account suggestion feedback suggestion payment
41,947,train,urgent,32,308.09,0.51351,2.2639,-1.9746,-2.345,revenue password outage critical order help account billing production please critical blocked charge charge critical login account breach data billing order charge cannot critical production blocked down help critical billing account urgent
42,802,val,normal,63,29.83,0.40151,-0.3406,1.7479,-0.1618,minor account nice account curious please minor error billing minor cannot feedback minor page wondering nice account account charge account password suggestion charge account error cannot someday charge nice account documentation question refund cosmetic error account wondering feedback feedback nice password whenever someday account page billing account wondering account someday refund curious nice feedback whenever documentation question typo documentation curious someday question cannot
43,763,train,normal,51,761.48,0.16775,-1.2368,1.8235,-1.0617,charge cosmetic update suggestion documentation cosmetic error account documentation suggestion account charge account please billing charge click invoice question someday documentation typo documentation account error error question cannot account feedback billing documentation typo minor nice please charge suggestion cannot whenever error question page billing curious account charge click whenever someday invoice
44,844,val,normal,23,552.68,0.04071,0.4319,2.4075,-1.6871,feedback suggestion account billing account account nice nice account help cosmetic question password documentation question someday wondering wondering wondering feedback account cosmetic curious
45,660,train,normal,20,512.24,0.14484,0.0114,2.9674,-0.8482,click reset nice account account invoice account someday account wondering cosmetic nice billing cannot charge data wondering cannot cosmetic whenever
46,994,train,normal,13,361.5,0.393,-0.3099,2.2084,-2.5425,login payment refund suggestion documentation wondering click question documentation invoice someday minor documentation
47,486,train,urgent,35,75.98,0.40235,3.034,-0.8194,-2.1054,loss revenue loss click breach cannot account escalate account critical billing failing account account failing password revenue critical blocked invoice click blocked account data billing failing revenue outage billing billing outage failing account data invoice
48,606,train,normal,20,531.73,0.4672,0.0985,1.5742,-1.9088,billing cannot billing order curious suggestion feedback wondering someday someday thanks curious billing wondering charge account cannot click whenever account
49,847,train,normal,45,1945.69,0.13672,-1.7345,0.5946,-1.7439,documentation cosmetic wondering someday cosmetic account account invoice account screen account billing someday cosmetic refund support nice update nice account typo page whenever feedback login order account question question whenever account documentation minor account feedback cosmetic update account curious wondering account cosmetic question someday documentation
50,642,test,urgent,32,407.74,0.6527,2.0834,-0.7797,-2.0002,billing down breach login critical loss failing production data urgent account urgent escalate cannot failing down down loss revenue data breach escalate help outage loss outage account failing loss escalate account escalate
51,170,train,normal,24,1356.44,0.17957,-0.097,1.4498,-2.018,cannot question charge curious question cannot curious feedback error cannot login feedback password curious click typo typo typo please charge invoice wondering account billing
52,857,train,normal,82,14.37,0.25446,-0.6436,3.3567,-2.9914,minor account help typo account cannot invoice nice cannot account login invoice typo cosmetic cannot account account help click cannot click documentation please invoice curious nice account curious documentation account documentation someday question wondering order click typo someday question curious billing whenever wondering screen billing click thanks invoice account charge click account suggestion wondering billing documentation account typo account account help billing account documentation cannot wondering cannot page curious payment nice charge billing feedback nice page feedback page minor documentation please feedback
53,866,train,normal,96,502.85,0.25163,-0.7897,0.4787,-2.812,please suggestion page suggestion charge order account wondering account wondering typo nice order password cosmetic billing curious screen invoice question wondering help wondering curious account please minor thanks account charge billing help cannot password thanks cosmetic curious question account feedback someday nice cosmetic password account error click account minor account documentation documentation account cosmetic someday charge account wondering someday someday curious question cannot cannot error typo wondering cosmetic account account account typo curious feedback curious cannot whenever account wondering billing curious cannot click login documentation whenever login help documentation feedback account billing nice typo cosmetic account
54,602,val,normal,20,3399.85,0.8588,-1.3543,1.3523,-0.5059,login please minor someday wondering someday error invoice nice whenever refund whenever cosmetic cannot cosmetic screen curious cosmetic typo documentation
55,515,train,urgent,11,1466.84,0.86569,3.7652,-0.7968,3.1812,blocked urgent order billing production production revenue account billing escalate failing
56,874,train,urgent,27,1159.25,0.76542,1.9076,0.3748,-1.9469,data loss blocked account loss data urgent down data blocked revenue revenue breach account breach blocked breach critical data urgent order please down account blocked outage account
57,450,val,normal,29,430.88,0.25794,-0.8128,1.2234,3.845,charge curious order suggestion account documentation wondering page refund billing question someday click page question account cosmetic whenever question curious account feedback cosmetic minor feedback curious whenever feedback refund
58,459,train,urgent,71,14.66,0.68657,1.278,0.5438,-3.1138,account critical escalate support account support production blocked data failing please cannot error cannot account loss outage help escalate down error password account account loss breach outage cannot please blocked account click cannot production production failing loss customers urgent data help account customers customers failing blocked thanks cannot blocked billing failing click error down data urgent revenue please breach down breach click down account outage failing cannot down login support account
59,130,val,urgent,29,1858.21,0.85039,3.3687,-1.3178,-0.847,revenue urgent blocked revenue charge escalate escalate billing breach account urgent urgent help failing charge escalate account revenue charge failing order critical outage account account critical account down charge
60,463,train,normal,99,670.77,0.20022,0.18,2.9922,-1.5623,nice wondering typo whenever feedback suggestion account minor billing cosmetic support cannot payment account charge invoice error cosmetic cannot charge thanks click cosmetic account question click cannot help account cosmetic account account curious password question password nice account cosmetic password account minor curious nice wondering wondering documentation account account account password page curious account typo billing invoice whenever curious click click account question suggestion account screen question billing question account cosmetic cosmetic cosmetic cannot billing account whenever curious someday someday cosmetic account feedback login wondering password cosmetic help click cosmetic account wondering whenever billing typo error whenever order suggestion
61,479,train,urgent,18,1012.7,0.05387,0.4838,-1.4145,-1.1547,urgent account account down breach order billing data billing account revenue blocked customers revenue help outage account loss
62,401,train,normal,12,4032.39,0.63711,-0.9255,1.5293,-1.5376,cosmetic order whenever curious error thanks curious login wondering help update charge
63,598,train,normal,73,555.97,0.47899,-1.8372,1.8557,-0.3931,charge typo curious feedback whenever billing typo account invoice minor screen update click billing curious nice minor feedback documentation cosmetic wondering invoice minor curious wondering suggestion screen minor cannot billing whenever minor feedback typo wondering help error question curious wondering curious someday charge minor documentation invoice typo question cannot invoice account question account charge minor cannot billing account feedback question billing cosmetic documentation nice typo cosmetic password wondering invoice wondering update order documentation
64,504,train,normal,27,601.56,0.17842,-1.5782,1.6732,-1.8529,feedback minor curious please account question cannot account billing support question cannot billing curious typo error someday payment someday curious documentation billing billing wondering error account page
65,466,train,normal,12,219.72,0.31529,0.9362,1.707,-4.3124,login click click nice billing wondering wondering documentation charge password account account
66,100,train,urgent,22,101.82,0.74541,2.4108,-1.1118,-3.0457,critical outage escalate outage screen invoice failing revenue account billing account outage question production billing click billing account customers data update critical
67,253,train,normal,29,1490.14,0.12654,0.1328,0.6655,-1.4045,password curious click account typo screen suggestion billing login suggestion typo click account cannot nice account suggestion login question page wondering payment wondering invoice account password click please suggestion
68,892,train,normal,58,475.12,0.25128,0.4481,2.1807,-1.6171,nice typo typo suggestion question cannot refund typo typo nice please page documentation account billing whenever please question page invoice account wondering cosmetic documentation whenever account minor documentation charge reset invoice nice documentation suggestion suggestion suggestion curious account order wondering account account wondering question billing someday account documentation whenever click invoice someday billing please wondering cannot help account
69,793,train,normal,16,26.9,0.11935,-0.0825,3.4458,-2.0872,account critical cannot cosmetic someday someday nice suggestion invoice someday error feedback click click suggestion page
70,515,train,normal,24,2828.11,0.40325,-0.8655,1.9133,-2.3711,documentation cannot suggestion feedback question account cannot minor cosmetic question suggestion question cosmetic suggestion question account feedback billing feedback order click minor billing refund
71,569,train,normal,23,111.23,0.3211,-0.1792,1.5634,-1.5585,nice documentation curious whenever help account order wondering account invoice billing account documentation curious suggestion invoice someday account charge invoice minor cosmetic invoice
72,996,train,normal,45,201.42,0.27111,-1.9104,1.5291,-1.0597,please cannot question login question nice question page wondering someday cannot feedback refund click support someday refund wondering curious someday nice account support someday cosmetic documentation documentation curious question typo someday cosmetic feedback account question question error whenever nice account account critical charge question documentation
73,144,train,urgent,33,93.32,0.82313,4.2914,0.345,-2.3093,account charge loss revenue refund failing failing customers help blocked production revenue loss billing breach charge outage failing down down critical down account breach loss account cannot escalate account escalate billing charge urgent
74,931,train,normal,15,212.28,0.16337,0.6023,0.5718,-0.6592,cosmetic nice account nice typo someday question billing wondering support whenever suggestion documentation payment reset
75,757,val,normal,41,1203.37,0.41361,-1.1623,2.0497,-4.2225,payment reset cosmetic screen wondering whenever question billing login suggestion billing account account invoice account order cosmetic account minor error typo someday charge curious click minor whenever minor order nice order billing feedback update account nice typo minor thanks documentation account
76,640,test,urgent,25,30.61,0.72448,3.3582,0.6126,2.0148,failing data click click failing click click critical account revenue revenue breach loss account revenue production outage billing click critical outage error data urgent outage
77,484,val,normal,28,919.15,0.26319,-0.8532,1.4771,3.0996,billing account wondering nice curious account wondering wondering password feedback minor cosmetic page billing minor account typo account feedback account cosmetic billing someday typo typo account question question
78,796,train,normal,57,294.49,0.38888,-0.7989,2.7622,-0.7829,password invoice click error reset wondering feedback cosmetic cosmetic feedback curious help support question billing question documentation suggestion curious account whenever typo someday account curious question nice cannot account billing help cosmetic click payment someday account billing nice curious typo charge documentation billing minor question billing minor feedback minor wondering billing documentation account account account wondering wondering
79,806,train,urgent,11,790.99,0.80822,2.5949,-0.5594,-1.1422,critical revenue blocked outage urgent billing breach urgent billing password blocked
80,921,test,normal,36,626.51,0.51911,-0.1957,2.6354,-0.0209,wondering curious billing question feedback wondering payment feedback payment charge account typo account documentation question account documentation minor login payment curious account account account help minor update cannot nice nice cosmetic account cannot account someday typo
81,450,test,urgent,63,546.81,0.52272,2.6947,-1.2762,-1.78,blocked cannot reset update refund escalate down account account account page login revenue cannot billing billing support charge escalate billing cannot down breach order failing account click billing payment failing billing account production click urgent account click blocked down account failing production account customers urgent invoice critical outage blocked production breach account escalate production urgent production critical urgent revenue breach urgent refund urgent
82,616,test,normal,54,42.54,0.32997,-1.4825,2.2812,-3.5043,feedback minor billing order account wondering typo suggestion suggestion cosmetic minor minor feedback typo billing account billing whenever cannot account feedback account typo cannot update error cosmetic cosmetic account whenever nice documentation question payment feedback billing curious reset suggestion cannot error cannot question curious question click documentation cannot suggestion cosmetic someday suggestion typo wondering
83,95,test,urgent,38,1514.42,0.8742,1.281,0.3768,-1.024,update data escalate breach cannot critical production outage down critical escalate loss help loss charge click failing production failing outage outage revenue urgent refund breach down critical breach critical urgent revenue billing urgent loss billing refund billing billing
84,900,train,urgent,45,1256.48,0.91819,1.9469,0.1762,-2.9156,account loss wondering revenue urgent charge cannot loss loss revenue escalate outage urgent urgent down outage revenue down critical cannot revenue customers error escalate page customers blocked failing update error help customers revenue account failing outage revenue account blocked account critical billing billing account reset
85,375,val,urgent,8,1150.36,0.81249,1.8567,-0.5238,-1.9825,charge outage please account production down critical billing
86,910,train,normal,25,442.03,0.12012,-0.642,1.2477,-0.9877,order account account whenever invoice account curious minor please order account nice cosmetic account help typo error cosmetic billing wondering wondering someday charge page blocked
87,941,train,urgent,8,81.24,0.50283,1.4836,-1.2531,-2.2036,revenue urgent breach outage billing escalate account failing
88,309,train,normal,23,290.78,0.08444,0.3962,1.2989,-1.3914,click thanks invoice nice someday wondering typo wondering question minor documentation page whenever please minor account suggestion feedback billing account account typo error
89,703,train,urgent,16,381.74,0.80566,2.8206,0.496,-1.6088,billing data charge account invoice blocked production failing help loss escalate urgent critical charge click down
90,943,val,normal,56,341.01,0.06035,0.4451,2.1277,-1.4031,feedback suggestion account billing cosmetic question wondering invoice account billing charge invoice error suggestion help error account billing please question wondering charge click feedback nice account whenever account someday cannot someday wondering documentation charge someday someday nice charge whenever typo documentation help someday page typo invoice page suggestion account suggestion nice account question account minor question
91,487,test,urgent,31,297.49,0.70874,1.5215,-1.4756,-3.7719,revenue down breach loss data error data login billing data revenue outage urgent outage account account reset loss escalate production loss failing failing urgent account charge critical breach blocked critical outage
92,250,train,urgent,169,1356.31,0.61475,0.6934,0.0885,2.3361,account blocked down cannot down production failing loss down loss escalate order data account data critical password data invoice invoice urgent help down outage outage data account down page production data login click charge critical production revenue help order cannot breach blocked urgent urgent cannot failing charge page wondering escalate failing critical failing order billing outage account breach customers blocked account critical urgent blocked blocked refund cannot critical escalate outage critical failing blocked help account invoice production billing data password error customers production account cannot blocked data production blocked production loss help password order urgent account login critical down loss customers thanks payment billing help data account billing cannot loss down down click screen blocked loss blocked urgent outage customers data loss failing billing billing escalate account support blocked cannot payment revenue data page account failing critical critical breach breach billing data loss order failing cannot outage failing production cannot password down production reset loss data down critical billing breach urgent customers urgent down outage click urgent login down
93,391,train,normal,21,1427.7,0.21342,-0.5615,2.5245,-1.4123,password question cosmetic account suggestion wondering billing billing account account account cosmetic suggestion support minor account account cannot billing nice feedback
94,736,train,urgent,10,732.61,0.45651,2.8777,0.0628,-2.8133,click production account escalate escalate account outage down update account
95,697,val,normal,13,910.24,0.34717,-1.2589,2.1975,-2.6832,billing feedback documentation click wondering error documentation documentation please minor error cosmetic someday
96,742,train,normal,17,942.09,0.418,0.6286,2.4713,-2.0953,wondering account account question page someday question billing cannot wondering someday someday account cosmetic nice order billing
97,801,val,urgent,26,129.92,0.7704,0.3331,-0.4202,-0.8795,customers customers urgent revenue charge outage revenue order invoice urgent breach loss account invoice down customers billing critical loss cannot billing critical data revenue order billing
98,617,test,normal,35,330.46,0.27128,-1.5581,1.2159,-1.813,wondering charge reset cannot suggestion billing feedback account typo error account charge cannot suggestion invoice error help documentation typo click whenever password account invoice someday curious billing documentation billing whenever nice typo update help charge
99,707,val,normal,52,1714.33,0.22253,-1.0596,2.6006,-3.1395,payment question cannot help error cosmetic minor payment cannot question account error screen charge nice typo typo refund account billing feedback whenever login question please account charge someday documentation reset account typo thanks wondering question question reset curious billing cosmetic account charge someday order billing wondering typo wondering thanks error cannot account
100,316,train,normal,17,882.08,0.18915,-0.2095,1.3128,-3.1133,order whenever suggestion charge charge charge cannot account minor question charge documentation error curious please someday billing
101,291,train,normal,31,444.01,0.27937,-1.3741,0.8208,-2.5027,nice account curious wondering question suggestion someday billing suggestion cannot whenever error curious cannot invoice password account billing nice account minor account wondering account nice typo account account curious whenever account
102,927,val,normal,40,606.02,0.40713,0.4876,0.7864,-2.4579,billing someday minor documentation billing wondering curious minor someday charge invoice support billing cosmetic payment whenever someday cannot curious order whenever charge invoice account curious account account billing documentation minor billing nice question wondering payment account cosmetic typo feedback typo
103,584,train,urgent,46,1270.02,0.85564,2.1712,-0.9612,-2.8861,data charge failing account escalate charge page account escalate billing cannot loss customers failing revenue failing outage error billing blocked charge down thanks customers data breach urgent outage escalate error outage billing customers loss production loss help critical failing down critical failing cannot revenue revenue data
104,19,train,normal,40,332.76,0.24152,1.3489,1.5425,-2.791,payment cannot account cosmetic login account minor thanks wondering whenever cosmetic suggestion billing account cosmetic feedback cannot nice typo curious minor charge billing cannot suggestion error question screen whenever login feedback account wondering nice curious nice cosmetic account question feedback
105,948,train,normal,81,881.5,0.08802,-1.2783,2.1906,-1.9537,charge reset billing whenever billing question charge account curious account feedback account minor charge reset cannot page cannot help payment nice question nice whenever wondering account suggestion update curious password whenever billing account typo minor documentation feedback account charge wondering documentation nice account click suggestion account whenever suggestion login question reset account account feedback cosmetic account account thanks whenever account nice someday minor cosmetic please cosmetic minor curious whenever curious account screen feedback error invoice nice please account billing whenever wondering
106,438,train,normal,59,210.79,0.1713,-0.9517,2.5811,-1.1838,suggestion someday documentation update nice login account account cosmetic whenever whenever charge account feedback suggestion suggestion error cosmetic account feedback help wondering feedback account cosmetic error account wondering someday billing please cosmetic cosmetic wondering feedback charge help account cannot question someday account someday suggestion account whenever account cannot question page question click question someday account nice charge suggestion documentation
107,281,train,normal,92,141.79,0.61953,-1.5749,1.3785,-2.0355,cannot cosmetic login charge payment invoice payment minor payment help invoice typo update billing wondering curious curious billing page minor minor question password cannot billing minor suggestion error password typo account account thanks cannot cosmetic someday someday feedback suggestion billing cannot minor thanks whenever documentation login account feedback production cannot curious billing account cannot wondering account error minor nice reset cosmetic wondering account suggestion typo cosmetic cosmetic support page curious cannot whenever curious feedback question nice feedback account account charge account account someday account login account order account account billing whenever cannot
108,785,train,normal,94,327.41,0.35659,-0.1524,1.9689,-1.1899,account account question wondering invoice minor account someday account wondering login minor curious documentation suggestion nice wondering payment nice feedback page someday suggestion whenever invoice billing whenever feedback page nice thanks suggestion login documentation cannot cosmetic cosmetic reset wondering account error someday account cannot typo feedback curious documentation wondering feedback suggestion login error account question account click charge error minor suggestion account billing account nice click feedback whenever error curious screen curious invoice charge minor billing account screen click whenever update curious account billing page billing curious account someday billing cosmetic nice someday blocked
109,40,train,normal,18,806.76,0.25405,-0.1864,1.7394,-2.1826,typo suggestion update screen click support someday someday question someday invoice nice error invoice typo click minor wondering
110,527,train,urgent,43,562.2,0.58487,2.0651,-0.8548,-1.4137,account billing loss click loss invoice revenue breach outage order data loss outage failing urgent blocked account down breach production update data production down urgent down data critical billing urgent failing data help failing error revenue data outage urgent critical account update failing
111,913,test,normal,31,752.19,0.10532,-0.8709,3.0221,-1.4447,minor account account error typo help question typo nice help someday someday error reset minor typo error account account billing cannot question wondering documentation minor whenever help cannot wondering cannot invoice
112,276,train,urgent,8,274.86,0.69706,1.6341,0.1105,-3.2768,critical please page account data outage refund invoice
113,198,val,normal,17,260.59,0.3243,-1.4261,2.6722,-2.532,click account minor billing support curious error wondering reset billing please billing charge wondering nice curious screen
114,253,val,normal,8,623.59,0.60395,-1.742,2.2472,-1.803,please suggestion feedback invoice cannot account typo support
115,54,train,normal,8,515.59,0.43261,-1.0242,0.9775,-0.5398,minor minor cannot whenever click minor account question
116,448,train,normal,177,12.92,0.2768,-1.2322,2.5676,-1.0881,feedback charge account order feedback cosmetic cannot cannot suggestion login documentation billing suggestion update typo charge billing payment billing curious someday billing cosmetic account billing minor charge curious update someday wondering curious login nice question billing nice please login curious account nice wondering billing password order billing down wondering wondering nice suggestion someday cannot curious wondering curious wondering whenever suggestion account question typo feedback wondering account charge minor account account billing curious click someday documentation account charge account question wondering charge feedback cannot cosmetic billing nice curious error curious please account question order question whenever billing nice wondering curious wondering reset account charge feedback question cosmetic account wondering documentation typo account login someday reset cosmetic question curious help billing wondering whenever charge documentation suggestion question whenever invoice help cannot documentation suggestion account charge billing curious account account someday invoice someday wondering billing feedback click someday billing charge typo documentation question invoice account minor account feedback question charge someday billing curious someday billing billing someday whenever error someday whenever someday question someday whenever suggestion account wondering someday curious
117,732,train,urgent,20,1075.51,0.76387,2.2678,-0.229,-2.1012,production urgent production charge outage data loss down failing data revenue failing refund page outage loss data account blocked page
