sample_id,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
24,0.173915,0.245381,0.332317,0.381555,0.412715,0.459341,0.433005,0.465949,0.515789,0.524568,0.518718,0.498267,0.412186,0.380210,0.314291,0.312847,0.277187,0.280114,0.206094,0.230529,0.181132,0.093878,0.108061,0.022809
25,0.195123,0.286833,0.447288,0.479629,0.528321,0.493817,0.484811,0.441363,0.416145,0.426592,0.407554,0.399675,0.398061,0.355481,0.310027,0.333726,0.303938,0.290749,0.235092,0.206444,0.167260,0.075270,0.088044,0.029972
26,0.090092,0.118655,0.197461,0.212378,0.219429,0.250667,0.324221,0.345476,0.361129,0.383535,0.365716,0.322494,0.256199,0.200128,0.109137,0.084322,0.102880,0.076959,0.067376,0.051115,0.068861,0.052715,0.024317,-0.005070
27,0.630172,0.978111,1.261699,1.453419,1.608385,1.536423,1.353011,1.172976,0.927191,0.684876,0.555197,0.414735,0.351531,0.231470,0.207179,0.173258,0.148806,0.173897,0.183647,0.116606,0.144132,0.050402,0.035719,-0.008268
28,0.176953,0.318389,0.379447,0.436709,0.495431,0.474565,0.438332,0.371521,0.359815,0.283559,0.272466,0.188981,0.199459,0.173202,0.161527,0.111554,0.138208,0.133915,0.117933,0.103280,0.114430,0.059414,-0.004755,0.025075
29,0.199607,0.287220,0.364007,0.478919,0.496347,0.546665,0.562389,0.554065,0.542913,0.568777,0.524653,0.448769,0.369215,0.266737,0.263995,0.233589,0.192831,0.263988,0.215427,0.270458,0.209694,0.147666,0.074316,0.057285
30,0.068182,0.112433,0.176939,0.208871,0.185326,0.228585,0.257497,0.240913,0.287205,0.240206,0.263839,0.202215,0.213424,0.174900,0.144534,0.119163,0.147271,0.133039,0.174568,0.144157,0.094076,0.042763,0.024751,0.045304
31,0.245902,0.337097,0.436502,0.576208,0.592910,0.622877,0.536567,0.493231,0.469891,0.452110,0.337177,0.335029,0.279629,0.260004,0.250284,0.176612,0.161174,0.147363,0.113743,0.093161,0.073122,0.043573,0.004368,0.021386
32,0.203652,0.311708,0.396938,0.440835,0.519103,0.500905,0.541155,0.459685,0.485600,0.447585,0.411520,0.365793,0.265780,0.243024,0.167677,0.148081,0.160490,0.162685,0.132750,0.143543,0.088861,0.069385,0.030774,0.019646
33,0.191454,0.282213,0.400152,0.430659,0.463482,0.579208,0.607093,0.664853,0.747734,0.800431,0.786210,0.658282,0.485824,0.385755,0.294655,0.244931,0.178959,0.197568,0.237900,0.193257,0.172052,0.117072,0.063645,0.049815
34,0.138816,0.191565,0.244772,0.309164,0.346075,0.355267,0.328171,0.337404,0.356239,0.357642,0.344813,0.293287,0.275604,0.202465,0.196309,0.149098,0.128094,0.085810,0.118770,0.124598,0.089567,0.063018,0.006029,0.012074
35,0.305389,0.437166,0.539079,0.654756,0.678805,0.639355,0.595559,0.571556,0.453452,0.449035,0.408006,0.334763,0.324932,0.266364,0.242363,0.213526,0.180307,0.189400,0.235661,0.209997,0.154203,0.102389,0.070769,0.013524
36,0.210663,0.321288,0.433546,0.500511,0.571597,0.507708,0.511023,0.446287,0.415941,0.419469,0.391172,0.375403,0.438016,0.407760,0.426685,0.405403,0.357130,0.299510,0.253278,0.245054,0.143467,0.111126,0.074963,0.008275
37,0.345600,0.464269,0.681522,0.735926,0.775978,0.814762,0.780559,0.704462,0.648282,0.623771,0.576798,0.525670,0.489546,0.392073,0.358164,0.326579,0.309748,0.326700,0.286652,0.257196,0.238756,0.170107,0.070451,0.045577
38,0.029890,0.077955,0.122989,0.154596,0.163768,0.172658,0.257771,0.275676,0.342495,0.401314,0.389708,0.370384,0.285647,0.243877,0.220208,0.219272,0.199849,0.200559,0.220095,0.156918,0.163198,0.114459,0.074785,0.006641
39,0.210022,0.280356,0.429488,0.490757,0.518330,0.562046,0.552537,0.557913,0.576577,0.575105,0.529159,0.449223,0.410432,0.325792,0.218764,0.202240,0.195432,0.157339,0.150773,0.140637,0.085405,0.054473,0.019831,0.042092
40,0.330526,0.444387,0.596596,0.718755,0.744378,0.771289,0.764241,0.705240,0.666499,0.620538,0.542243,0.530390,0.428238,0.326985,0.253034,0.184359,0.170022,0.207722,0.206360,0.187861,0.126117,0.092652,0.048643,0.019542
41,0.087493,0.174114,0.224329,0.285297,0.315592,0.306693,0.384000,0.431611,0.522478,0.580419,0.519980,0.485257,0.414371,0.345447,0.251334,0.184852,0.178804,0.146173,0.140634,0.163359,0.132487,0.068233,0.013480,0.007080
42,0.151227,0.223040,0.309534,0.387518,0.453094,0.436522,0.394989,0.335230,0.302030,0.283108,0.232744,0.251043,0.214997,0.202105,0.119781,0.101828,0.132272,0.079674,0.109158,0.085228,0.057626,0.082171,-0.019745,0.045201
43,0.205341,0.357495,0.465415,0.581060,0.589713,0.610736,0.572362,0.484919,0.456425,0.397619,0.304413,0.238298,0.203592,0.132515,0.106650,0.051662,0.085537,0.124070,0.177415,0.171383,0.130344,0.095128,0.038700,0.015614
44,0.134241,0.207987,0.270537,0.331417,0.407201,0.475926,0.565465,0.671300,0.753773,0.804218,0.819149,0.679326,0.539013,0.391378,0.271678,0.201565,0.191474,0.234004,0.245480,0.228372,0.214232,0.100122,0.060779,0.021112
45,0.226702,0.397571,0.512912,0.624740,0.657014,0.654229,0.669870,0.688781,0.688398,0.689027,0.639957,0.573694,0.499669,0.349893,0.312640,0.248958,0.213622,0.225237,0.222102,0.183904,0.222308,0.144910,0.075553,0.047103
46,0.097456,0.170613,0.206582,0.273957,0.308986,0.277415,0.307413,0.359999,0.396786,0.399303,0.428877,0.403981,0.326071,0.236326,0.223147,0.181065,0.194790,0.225201,0.221771,0.191849,0.142952,0.114209,0.047792,0.013413
47,0.207414,0.310426,0.401694,0.476223,0.531477,0.545689,0.543760,0.570319,0.644993,0.653141,0.609443,0.535663,0.466544,0.404645,0.321182,0.266423,0.261016,0.216214,0.173944,0.177702,0.123833,0.098676,0.057867,0.012801
48,0.634069,0.905306,1.231384,1.470325,1.565019,1.504382,1.327519,1.107651,0.872639,0.637081,0.506508,0.348921,0.270195,0.177706,0.164319,0.128181,0.122615,0.131876,0.159435,0.202574,0.163543,0.104515,0.077492,-0.000258
49,0.199078,0.239980,0.337291,0.410334,0.428078,0.524975,0.536565,0.599493,0.685226,0.693802,0.687803,0.631488,0.533001,0.438968,0.320664,0.287757,0.271340,0.267684,0.248400,0.249115,0.185380,0.101030,0.066588,0.013453
50,0.181751,0.300397,0.400094,0.469011,0.560834,0.549289,0.603154,0.640924,0.719680,0.795356,0.766703,0.677089,0.560832,0.400638,0.349188,0.278692,0.215378,0.220058,0.231432,0.132521,0.117729,0.103529,0.012742,0.041237
51,0.110926,0.111189,0.203223,0.215011,0.308464,0.282817,0.316307,0.355704,0.363984,0.381268,0.388068,0.369732,0.312015,0.285840,0.233383,0.202082,0.195173,0.221894,0.223419,0.206285,0.173927,0.123066,0.084861,0.027023
52,0.167067,0.257155,0.298355,0.382523,0.399666,0.391765,0.441458,0.395496,0.392483,0.414116,0.397281,0.280137,0.246820,0.166117,0.119622,0.145932,0.103172,0.119375,0.153402,0.142317,0.094904,0.113580,0.046286,0.020175
53,0.122968,0.211093,0.231352,0.342792,0.337393,0.425787,0.477155,0.490675,0.549994,0.589245,0.505394,0.494920,0.427584,0.335622,0.258605,0.200913,0.180365,0.201651,0.191162,0.189889,0.181881,0.121722,0.081922,0.033104
54,0.143287,0.260516,0.351055,0.441024,0.423393,0.437902,0.431836,0.395204,0.373958,0.359643,0.311111,0.271792,0.222033,0.237781,0.227748,0.203373,0.176139,0.212058,0.216663,0.186461,0.150867,0.122367,0.066701,0.024555
55,0.154653,0.264305,0.302504,0.367055,0.406829,0.408510,0.452024,0.423585,0.421146,0.453063,0.366670,0.323191,0.278057,0.168248,0.153582,0.119951,0.079201,0.128117,0.124068,0.114165,0.120672,0.038035,0.021065,0.031441
56,0.130636,0.151260,0.288724,0.342208,0.358339,0.380279,0.412487,0.404042,0.424763,0.449469,0.454947,0.448246,0.366245,0.309194,0.299879,0.212416,0.197040,0.195255,0.143255,0.134283,0.100369,0.070826,0.027143,0.045634
57,0.144246,0.278267,0.355372,0.388925,0.427126,0.430460,0.427204,0.473298,0.494247,0.480845,0.446896,0.400626,0.288285,0.209064,0.119494,0.093816,0.098519,0.093025,0.103037,0.117170,0.115736,0.043951,0.002863,0.021991
58,0.211648,0.286188,0.378738,0.496806,0.514873,0.541055,0.597129,0.578775,0.614531,0.537499,0.532158,0.452167,0.389707,0.275690,0.167850,0.170407,0.130606,0.115576,0.154628,0.084465,0.101702,-0.008033,0.049257,0.014097
59,0.135561,0.206136,0.281059,0.367537,0.404143,0.415132,0.447790,0.492303,0.541911,0.570767,0.544144,0.457288,0.370369,0.286156,0.221738,0.140705,0.124634,0.129223,0.147839,0.151728,0.117029,0.053010,0.061374,0.039981
60,0.064588,0.108741,0.152711,0.190031,0.246280,0.222730,0.239057,0.252169,0.221743,0.232471,0.192992,0.168181,0.169934,0.177039,0.119704,0.123343,0.165938,0.149697,0.200705,0.196557,0.159476,0.093166,0.055251,0.021292
61,0.183458,0.273714,0.405309,0.503292,0.572376,0.618535,0.615226,0.710134,0.761568,0.795717,0.758134,0.649727,0.475850,0.371466,0.257442,0.168385,0.148324,0.148487,0.145256,0.132593,0.079818,0.046594,0.031246,0.038970
62,0.167096,0.217263,0.341313,0.375772,0.421151,0.461775,0.446160,0.476692,0.542858,0.505655,0.486789,0.483693,0.404177,0.372891,0.332499,0.248637,0.211849,0.170472,0.173157,0.141776,0.077915,0.029013,0.011979,-0.001301
63,0.351736,0.546728,0.697191,0.847292,0.936633,0.914416,0.774851,0.655764,0.577289,0.475085,0.425118,0.340489,0.241019,0.208461,0.082551,0.125697,0.109533,0.129299,0.158973,0.153210,0.133464,0.031901,0.056073,0.020649
64,0.143855,0.110572,0.231608,0.212183,0.255018,0.241901,0.289414,0.359301,0.408867,0.396330,0.408842,0.378937,0.310650,0.271685,0.199606,0.174273,0.177862,0.196128,0.169751,0.132420,0.071054,0.096197,0.028853,0.071029
65,0.087704,0.112418,0.199973,0.231315,0.241341,0.302756,0.299078,0.325768,0.359504,0.400332,0.391135,0.398155,0.313926,0.280455,0.219746,0.215070,0.211568,0.183539,0.155756,0.159967,0.115991,0.086917,0.044619,0.088474
66,0.152243,0.197792,0.248521,0.281468,0.365324,0.381899,0.382839,0.438855,0.457181,0.464279,0.454270,0.420495,0.340952,0.323053,0.260267,0.205095,0.172027,0.162519,0.146441,0.154650,0.131953,0.040259,0.035136,0.041272
67,0.232069,0.358827,0.457849,0.558688,0.596871,0.588418,0.622173,0.599858,0.596548,0.558597,0.546491,0.525275,0.452252,0.410703,0.358292,0.306568,0.266360,0.273125,0.228588,0.200798,0.158738,0.166477,0.040293,0.031376
68,0.183399,0.262932,0.334788,0.423475,0.447529,0.449003,0.443997,0.467918,0.494707,0.487585,0.588774,0.534893,0.486921,0.449276,0.425683,0.367067,0.340998,0.304168,0.224688,0.190031,0.164139,0.098562,0.065487,-0.004886
69,0.109444,0.169528,0.235765,0.244567,0.278688,0.339042,0.371197,0.433948,0.455207,0.431614,0.463411,0.397416,0.346195,0.278279,0.210544,0.127954,0.189954,0.125405,0.143156,0.090993,0.091875,0.074858,0.036398,-0.010871
70,0.178647,0.231374,0.354698,0.407395,0.452141,0.424492,0.458246,0.420241,0.409005,0.397455,0.394154,0.328450,0.280551,0.217594,0.213411,0.174009,0.186004,0.190742,0.188278,0.204087,0.158378,0.090243,0.047836,0.037778
71,0.133364,0.192947,0.255475,0.309282,0.349170,0.361175,0.384857,0.410784,0.430692,0.441421,0.406262,0.408641,0.347620,0.291372,0.249620,0.185978,0.190837,0.165705,0.150842,0.144528,0.137742,0.070805,0.053772,0.047435
72,0.099258,0.134253,0.216925,0.270662,0.317389,0.309608,0.317702,0.348517,0.430633,0.508307,0.497936,0.508835,0.475234,0.453593,0.417998,0.357894,0.344939,0.307988,0.237626,0.188779,0.129772,0.094215,0.018904,0.017425
73,0.227291,0.273068,0.400403,0.486128,0.550304,0.548712,0.538831,0.544795,0.539814,0.544870,0.493578,0.464693,0.417390,0.342369,0.290539,0.246228,0.247540,0.214756,0.226330,0.202661,0.219181,0.110455,0.064214,0.023202
74,0.086054,0.096097,0.172906,0.178587,0.215126,0.217490,0.235584,0.243874,0.314273,0.298803,0.276908,0.281149,0.276095,0.254866,0.243561,0.236651,0.223295,0.208145,0.190440,0.256533,0.165658,0.117040,0.062427,0.024989
75,0.197022,0.233938,0.250277,0.354942,0.429884,0.443344,0.532593,0.560307,0.601197,0.613294,0.619184,0.550926,0.455132,0.274983,0.205937,0.159487,0.143350,0.138811,0.176269,0.181747,0.149216,0.092717,0.053622,0.011055
76,0.154036,0.240083,0.362389,0.431638,0.434246,0.527682,0.561543,0.594342,0.652113,0.708822,0.704816,0.634537,0.568015,0.394772,0.330265,0.290249,0.272254,0.208921,0.224509,0.149612,0.093414,0.060171,0.049237,0.005800
77,0.210687,0.305755,0.398984,0.477625,0.505708,0.530439,0.516353,0.440256,0.438071,0.377194,0.335363,0.342216,0.265103,0.225310,0.175998,0.184187,0.172959,0.169394,0.124936,0.170342,0.135056,0.052763,0.026870,0.007249
78,0.207481,0.311768,0.388862,0.535623,0.569245,0.585939,0.648495,0.633426,0.676253,0.665761,0.616080,0.517698,0.357374,0.309053,0.187161,0.103341,0.117517,0.107487,0.139424,0.092819,0.079157,0.035750,0.051443,0.006042
79,0.221317,0.295618,0.384752,0.496121,0.528387,0.622653,0.645149,0.680991,0.785973,0.744642,0.764278,0.651293,0.514199,0.364368,0.236827,0.195005,0.170185,0.135818,0.123428,0.119136,0.082543,0.076155,0.011393,-0.002232
80,0.225611,0.321369,0.386490,0.534162,0.574656,0.560538,0.551231,0.556785,0.568337,0.620118,0.612540,0.633204,0.597725,0.563654,0.526804,0.487511,0.445372,0.453543,0.361770,0.343760,0.231241,0.147873,0.073914,0.008129
81,0.116757,0.138762,0.181302,0.222410,0.284799,0.280949,0.315694,0.312927,0.363630,0.358170,0.376647,0.323306,0.305357,0.221915,0.178849,0.199371,0.159502,0.157296,0.171849,0.149454,0.163613,0.104175,0.056238,0.035944
82,0.188720,0.331887,0.364787,0.530466,0.553500,0.540850,0.567439,0.553631,0.520884,0.539910,0.504415,0.455009,0.353966,0.280833,0.212750,0.193451,0.131446,0.137086,0.162946,0.150103,0.115014,0.105983,0.035163,0.042174
83,0.068584,0.146372,0.188563,0.265451,0.292192,0.294952,0.310619,0.335946,0.348489,0.382588,0.394014,0.329155,0.309655,0.281037,0.228287,0.208563,0.184800,0.176763,0.150634,0.133362,0.075884,0.026721,0.041612,-0.029015
84,0.276338,0.392079,0.541491,0.637559,0.671436,0.671431,0.668892,0.607777,0.546092,0.473818,0.432633,0.354135,0.332616,0.317281,0.244036,0.203595,0.182613,0.181334,0.146566,0.146302,0.109718,0.018653,0.026064,0.000881
85,0.076026,0.150807,0.163153,0.174558,0.194013,0.236392,0.242753,0.284082,0.327379,0.332761,0.379010,0.327377,0.315639,0.231383,0.245487,0.197325,0.202459,0.192949,0.193477,0.153224,0.162464,0.082714,0.037807,0.049159
86,0.143725,0.201148,0.300502,0.323450,0.335878,0.387402,0.419256,0.380724,0.369231,0.360874,0.334310,0.278857,0.262445,0.196235,0.143688,0.141720,0.116375,0.143249,0.183739,0.111018,0.132718,0.047788,0.020416,0.041702
87,0.104110,0.181773,0.283632,0.329543,0.332137,0.364097,0.395764,0.348323,0.328026,0.342999,0.388743,0.288396,0.232782,0.177204,0.143377,0.132540,0.103519,0.092368,0.086617,0.086408,0.100720,0.047296,0.036604,0.025115
88,0.110423,0.146922,0.188588,0.237333,0.247334,0.304129,0.310501,0.274433,0.285271,0.261954,0.240673,0.263759,0.190961,0.255300,0.202758,0.179392,0.164133,0.179872,0.190356,0.167374,0.135320,0.098339,0.069152,0.054497
89,0.226981,0.346100,0.441326,0.559148,0.638981,0.602471,0.637543,0.629917,0.597847,0.641015,0.628823,0.538208,0.471306,0.385001,0.308871,0.289347,0.244740,0.259970,0.246455,0.243476,0.140280,0.153899,0.043896,0.042496
90,0.102821,0.120967,0.173259,0.166881,0.261613,0.219289,0.270471,0.323478,0.326671,0.382588,0.404736,0.504152,0.476295,0.491813,0.482492,0.469827,0.416845,0.380654,0.368557,0.335272,0.233502,0.167462,0.116217,0.000787
91,0.352986,0.518041,0.666770,0.784686,0.827347,0.782883,0.779404,0.678618,0.557359,0.500847,0.419553,0.330724,0.278618,0.213937,0.161599,0.160479,0.140125,0.146907,0.173548,0.151818,0.118540,0.056718,0.034743,0.002933
92,0.108023,0.148881,0.182925,0.225016,0.212084,0.281663,0.303432,0.287846,0.309733,0.331775,0.322238,0.323948,0.262408,0.253850,0.214801,0.168697,0.126702,0.154896,0.150296,0.144531,0.090960,0.019465,0.032977,0.011963
93,0.091067,0.099900,0.195166,0.269923,0.300656,0.335973,0.290971,0.241978,0.296928,0.299606,0.317305,0.244044,0.215160,0.159830,0.153844,0.095781,0.097529,0.122017,0.111837,0.093129,0.079693,0.002759,0.048910,0.011007
94,0.160309,0.155072,0.227391,0.315097,0.367055,0.324972,0.391962,0.422039,0.493831,0.481442,0.417089,0.370497,0.282048,0.195307,0.191431,0.126611,0.117587,0.122041,0.136144,0.124129,0.099091,0.068952,0.009730,-0.002678
95,0.168706,0.312446,0.395810,0.482913,0.553786,0.573253,0.589123,0.634814,0.656857,0.670286,0.593630,0.542552,0.391380,0.333833,0.236908,0.176569,0.178367,0.148928,0.177951,0.187997,0.172728,0.108838,0.047226,0.057849
96,0.082754,0.129973,0.238600,0.286976,0.311487,0.373976,0.389691,0.496464,0.557847,0.588881,0.567408,0.471622,0.377387,0.290870,0.184964,0.157210,0.119774,0.098030,0.085214,0.085428,0.072852,0.048446,0.052238,-0.015782
97,0.156055,0.265655,0.357845,0.425953,0.499378,0.525341,0.547768,0.555720,0.556595,0.551390,0.493927,0.441201,0.339717,0.220845,0.124105,0.089437,0.110713,0.115290,0.105296,0.163200,0.127609,0.086810,0.042912,0.006721
98,0.416466,0.580738,0.760796,0.926005,0.950500,0.932772,0.836265,0.705485,0.626516,0.487788,0.449887,0.358048,0.240596,0.190062,0.144507,0.082913,0.111750,0.119432,0.214576,0.203621,0.142448,0.111164,0.035050,0.057842
99,0.188197,0.266575,0.409041,0.463107,0.564460,0.616461,0.612132,0.763190,0.833406,0.856767,0.816405,0.696867,0.612048,0.379639,0.250004,0.207414,0.167179,0.195425,0.241384,0.226884,0.223297,0.124133,0.084482,0.047551
100,0.296414,0.439914,0.618752,0.714284,0.772793,0.798687,0.768621,0.742507,0.716504,0.682205,0.588269,0.526486,0.374853,0.297325,0.209383,0.183295,0.146435,0.131111,0.094627,0.082679,0.084458,0.077332,0.044763,0.015413
101,0.275360,0.454951,0.549841,0.672767,0.716357,0.734565,0.683434,0.661624,0.592293,0.553852,0.467876,0.412606,0.288999,0.251222,0.176088,0.152689,0.109054,0.135505,0.167595,0.122041,0.092098,0.068374,0.013331,0.012499
102,0.281935,0.420128,0.583823,0.660239,0.734312,0.797120,0.758604,0.769496,0.786963,0.748042,0.668502,0.603996,0.428944,0.317357,0.221507,0.187265,0.150731,0.116239,0.139235,0.129329,0.105890,0.055209,0.055070,0.007211
103,0.209629,0.293098,0.443714,0.542543,0.592324,0.614285,0.615183,0.647394,0.653358,0.667925,0.678826,0.513489,0.434976,0.297167,0.190238,0.180151,0.082527,0.159282,0.166258,0.153319,0.134188,0.087497,0.059329,0.043273
104,0.111352,0.158085,0.202419,0.244204,0.274807,0.264437,0.231601,0.237914,0.266124,0.256098,0.247534,0.249530,0.238689,0.248128,0.209316,0.187124,0.168656,0.136032,0.171835,0.088502,0.060124,0.053858,0.007913,0.022237
105,0.359737,0.509633,0.663527,0.813123,0.864536,0.846831,0.787286,0.667618,0.599380,0.520694,0.465797,0.377264,0.267673,0.206981,0.174526,0.164002,0.148553,0.142891,0.086436,0.100127,0.025287,0.016512,0.048777,0.034606
106,0.181193,0.279806,0.340373,0.392057,0.448906,0.396052,0.458441,0.462425,0.472366,0.477053,0.475386,0.418582,0.308025,0.280026,0.193506,0.203720,0.190347,0.202085,0.178517,0.157436,0.122199,0.077036,0.070420,0.044552
107,0.302905,0.441225,0.570821,0.676030,0.763576,0.761726,0.692560,0.725250,0.724080,0.709143,0.678068,0.618437,0.535810,0.505313,0.426368,0.409569,0.322701,0.313737,0.307565,0.274409,0.213816,0.133371,0.076311,0.021146
108,0.352576,0.486396,0.638576,0.759093,0.824704,0.774575,0.763254,0.659814,0.577369,0.485146,0.440346,0.350699,0.335770,0.233053,0.199932,0.215958,0.164115,0.158127,0.128545,0.141703,0.097270,0.076779,0.020919,0.036620
109,0.181541,0.264246,0.383734,0.450901,0.471904,0.490018,0.461091,0.471986,0.464501,0.469402,0.410623,0.338503,0.292886,0.219621,0.154691,0.123773,0.112272,0.152595,0.124942,0.115178,0.109402,0.091198,0.049590,0.009454
110,0.280769,0.459937,0.572843,0.680389,0.725025,0.759519,0.697701,0.692789,0.589234,0.564224,0.564762,0.412955,0.337108,0.243600,0.227080,0.154600,0.117618,0.102010,0.126836,0.094840,0.093128,0.083220,0.063481,0.033255
111,0.193417,0.246522,0.371031,0.444048,0.456956,0.472950,0.504366,0.485931,0.524451,0.526289,0.479472,0.510837,0.455633,0.370649,0.309834,0.297006,0.228312,0.258016,0.223255,0.168630,0.098780,0.073537,0.063237,0.040558
112,0.139516,0.256897,0.308564,0.398251,0.473678,0.519272,0.620515,0.751056,0.848905,0.900311,0.879952,0.768128,0.584744,0.392424,0.307753,0.231770,0.119075,0.139887,0.109486,0.088461,0.105451,0.048254,-0.009649,0.001601
