x,y,group
0.947596,-0.201301,ring
0.805177,-0.49097,ring
-0.956354,-0.016738,ring
0.942049,0.198086,ring
-0.536163,0.934664,ring
-0.848471,0.615551,ring
0.740222,-0.514568,ring
0.894898,-0.443045,ring
-0.943823,-0.20033,ring
-0.43245,0.868706,ring
-0.772991,0.706106,ring
-0.6875,0.701602,ring
0.972495,-0.221022,ring
0.968684,-0.209697,ring
0.689239,0.669332,ring
0.173227,-1.003478,ring
0.827609,0.519871,ring
-0.833721,-0.504166,ring
0.899486,0.185727,ring
-0.953519,-0.242811,ring
-0.362722,-0.999824,ring
0.60005,0.86992,ring
0.325648,0.940596,ring
-0.58369,0.932953,ring
0.917852,-0.523062,ring
0.591173,-0.713678,ring
1.02268,0.164362,ring
-0.722259,-0.7401,ring
0.955018,0.431079,ring
-0.471926,0.924049,ring
-0.061927,1.030201,ring
-0.814612,0.532169,ring
1.068093,0.071347,ring
0.310575,0.986306,ring
-0.308189,0.89246,ring
-0.927051,0.532997,ring
-0.870116,-0.473218,ring
0.937033,-0.325822,ring
-0.260965,-0.918612,ring
0.0428,-1.04187,ring
0.839669,0.517775,ring
-1.021499,0.142865,ring
0.189089,1.03777,ring
-0.528429,0.868222,ring
-0.876538,-0.611,ring
-0.987005,-0.042002,ring
0.823557,-0.500576,ring
-0.608275,0.610065,ring
0.51163,-0.881016,ring
0.5373,0.833763,ring
0.745426,-0.754774,ring
0.038029,-0.929351,ring
0.579346,-0.757179,ring
0.952157,-0.072355,ring
-0.525379,0.866283,ring
0.541272,-0.813607,ring
-0.673019,0.779907,ring
0.046224,0.926286,ring
-0.996319,-0.155485,ring
-0.609224,0.6882,ring
0.977658,0.023819,ring
0.905257,-0.576989,ring
-0.793809,0.586276,ring
0.735765,0.668036,ring
-0.290976,0.960964,ring
0.076464,1.055974,ring
-0.6935,0.765951,ring
-1.064064,0.376885,ring
1.067754,-0.113167,ring
0.720679,-0.740602,ring
0.949092,-0.410867,ring
-0.331899,0.94416,ring
1.032881,0.254569,ring
0.700957,0.691046,ring
-0.949236,0.00882,ring
0.8547,0.603537,ring
0.958309,0.234454,ring
-0.993268,0.114596,ring
0.929019,0.495909,ring
-0.270336,1.017961,ring
-0.858019,-0.470796,ring
-0.029094,-0.9324,ring
0.929498,0.394267,ring
-0.024331,-0.912558,ring
-0.687274,0.748615,ring
-0.849123,-0.485733,ring
0.289237,-0.915976,ring
0.051895,-1.015963,ring
-0.260407,-1.02851,ring
-0.953991,-0.015633,ring
0.075498,0.947373,ring
-0.71668,-0.653815,ring
-0.346897,-0.90822,ring
-0.08619,0.974481,ring
0.54754,-0.891942,ring
0.628078,0.756215,ring
-0.798155,0.507544,ring
-1.016535,0.109306,ring
0.925686,0.263038,ring
1.060272,-0.045029,ring
0.056125,0.938524,ring
-0.684418,0.680826,ring
-0.366827,0.967977,ring
0.257616,-1.002296,ring
0.155925,0.962756,ring
-0.621798,-0.783554,ring
0.277298,0.972048,ring
0.839467,-0.597301,ring
1.024153,0.141974,ring
0.071108,0.905702,ring
-0.815433,-0.664552,ring
-0.295487,0.966372,ring
0.772688,-0.626119,ring
-0.783756,-0.524824,ring
-0.675312,0.717511,ring
0.963433,0.259739,ring
-0.276527,-0.980198,ring
0.221679,0.976069,ring
0.01189,-0.933511,ring
-0.683094,0.688888,ring
-0.942983,-0.020673,ring
0.87205,0.150039,ring
0.150491,0.939525,ring
-0.925623,0.206924,ring
-0.871019,-0.495153,ring
-0.16728,0.984858,ring
0.774935,0.637932,ring
0.496037,-0.92841,ring
0.931705,0.480747,ring
0.247874,1.054007,ring
0.950452,0.392102,ring
-0.92778,0.078585,ring
0.565699,-0.824757,ring
-0.817441,0.554232,ring
0.312567,-1.001658,ring
-0.999793,0.087529,ring
0.627317,0.801282,ring
-0.927081,0.454883,ring
0.963244,-0.140551,ring
-0.619109,-0.837391,ring
-0.980225,-0.429932,ring
0.94735,-0.197637,ring
-0.925956,0.344987,ring
0.436456,0.825936,ring
-1.070101,-0.126557,ring
0.828216,0.568024,ring
-0.942028,-0.028684,ring
0.9299,0.360067,ring
0.904291,0.436175,ring
0.908125,-0.362313,ring
0.095221,0.951088,ring
-0.903052,0.224246,ring
0.247609,0.928967,ring
-0.948504,0.256882,ring
0.983044,0.078904,ring
1.046294,0.176873,ring
-0.703427,-0.644984,ring
-0.387017,-0.906595,ring
0.93591,0.438553,ring
-0.451527,-0.890345,ring
0.79286,0.445976,ring
-0.970638,-0.303673,ring
0.86607,-0.584904,ring
0.718453,0.76674,ring
0.178608,0.994186,ring
0.949713,-0.00252,ring
-0.680561,0.701091,ring
0.759611,-0.565002,ring
0.083441,-0.976076,ring
-0.825556,0.584113,ring
-0.400945,-0.88416,ring
0.842218,0.613329,ring
-0.864951,-0.277188,ring
0.987548,-0.103139,ring
-0.216626,0.965464,ring
-0.155344,-0.88984,ring
1.00171,-0.094992,ring
-0.212585,0.958049,ring
0.521434,-0.912757,ring
0.386364,0.958502,ring
-0.240046,0.903137,ring
-0.972725,0.036493,ring
-0.878345,-0.383012,ring
0.251069,1.084053,ring
0.756388,-0.585394,ring
0.821139,0.518835,ring
-0.742342,0.697934,ring
0.045742,0.958517,ring
-0.975867,0.196444,ring
-0.676446,-0.670071,ring
-0.888801,-0.539532,ring
-1.003621,0.143695,ring
-0.816999,-0.533654,ring
-0.405785,-0.996451,ring
0.784333,-0.662896,ring
-0.544754,-0.863856,ring
0.786311,-0.562622,ring
1.110042,-0.141921,ring
-0.879937,-0.540075,ring
0.439103,0.923848,ring
0.833737,0.393173,ring
0.999264,0.301678,ring
0.387587,-0.881124,ring
-0.747883,-0.631574,ring
1.030865,-0.0103,ring
-0.645461,-0.740222,ring
-0.284882,-0.924302,ring
0.599288,0.819705,ring
0.415371,0.888202,ring
-0.46293,-0.834225,ring
-0.922528,0.05832,ring
-0.238734,-0.854489,ring
0.572973,0.854581,ring
-0.101556,1.007748,ring
-0.857398,0.469484,ring
-0.841048,0.485512,ring
0.951385,0.256889,ring
0.90352,0.25765,ring
-0.837544,-0.41049,ring
0.702678,-0.735455,ring
0.935473,-0.404104,ring
0.991614,0.090553,ring
-0.354885,0.968386,ring
-0.038337,1.001815,ring
0.981763,0.061404,ring
0.451053,0.91952,ring
0.057453,-0.99544,ring
0.825763,0.41214,ring
-0.551135,0.871671,ring
0.015513,-0.95861,ring
0.962273,-0.148092,ring
-0.865651,-0.483501,ring
0.258215,-0.965018,ring
1.041859,-0.240855,ring
-0.717637,-0.595789,ring
0.044087,0.971514,ring
0.071069,-0.952797,ring
0.372902,-0.91001,ring
0.867996,-0.58785,ring
-0.966248,0.0885,ring
0.026241,1.057764,ring
-0.711811,-0.782222,ring
0.561458,-0.708161,ring
1.054485,-0.252407,ring
-0.184968,-0.963712,ring
-0.603287,-0.87211,ring
0.51883,0.7485,ring
0.912359,-0.430767,ring
-0.942728,-0.230742,ring
0.860895,0.336262,ring
-0.890487,-0.531036,ring
0.475581,0.935942,ring
0.373866,-0.974758,ring
-0.772651,0.572255,ring
-0.592861,-0.707274,ring
-0.075486,-1.026654,ring
0.706221,-0.678441,ring
0.148922,0.985653,ring
-0.195689,0.993137,ring
0.986289,0.090155,ring
0.04357,-0.969145,ring
-0.98219,-0.230141,ring
-0.345487,-0.939084,ring
0.580556,0.882509,ring
-0.983583,-0.139722,ring
1.023441,-0.130185,ring
0.713849,0.733615,ring
-0.773589,-0.800503,ring
-0.994556,-0.137862,ring
1.031187,0.040341,ring
0.733362,0.68112,ring
-0.265426,0.983158,ring
-0.206298,1.021766,ring
0.062374,0.911169,ring
-0.568692,0.777289,ring
0.955525,-0.412961,ring
-1.031011,-0.147522,ring
-0.089244,-0.972922,ring
0.914713,-0.48087,ring
-0.661633,0.739099,ring
0.232907,-0.941699,ring
-0.476841,0.961111,ring
-0.532411,-0.78552,ring
0.932525,0.463676,ring
-0.668752,0.677599,ring
0.280998,-0.926912,ring
-0.00942,1.066672,ring
0.57432,0.893946,ring
0.903389,-0.297507,ring
0.25958,-0.935927,ring
0.797153,0.586319,ring
0.384679,0.879465,ring
0.628309,0.673009,ring
-1.014091,0.242651,ring
0.478959,0.842816,ring
-0.961818,0.151935,ring
-0.47645,0.928691,ring
0.876124,-0.611958,ring
0.357736,-0.883848,ring
-0.320487,-0.937579,ring
-0.581311,-0.798223,ring
1.034972,0.285088,ring
0.922486,-0.366818,ring
-0.489525,0.809841,ring
-0.178925,-0.952067,ring
0.817109,0.445352,ring
0.917457,0.395452,ring
-0.032715,1.078159,ring
-0.660294,0.772256,ring
-0.947247,-0.259078,ring
0.61353,0.828124,ring
-0.837039,-0.56649,ring
-0.689843,-0.832086,ring
-0.606953,0.823848,ring
0.364223,-0.974454,ring
-0.057835,-0.974494,ring
-0.319634,0.851423,ring
-0.34144,-0.924974,ring
0.596567,0.850562,ring
-0.951245,-0.32089,ring
0.737492,0.618908,ring
-0.368361,-0.907163,ring
-0.683542,-0.629578,ring
0.273715,0.976289,ring
-0.957079,0.231582,ring
-0.985678,0.288058,ring
-0.2663,1.009342,ring
0.999311,-0.129354,ring
-0.849322,-0.581792,ring
0.161622,-0.990291,ring
0.083212,-1.002826,ring
0.964338,-0.26983,ring
0.182155,-1.038656,ring
-0.453988,0.906544,ring
0.963006,-0.339689,ring
0.585568,0.761736,ring
-1.006835,-0.024841,ring
0.05103,-1.057308,ring
-0.97938,0.126387,ring
-0.879253,0.398647,ring
0.20015,-0.98925,ring
-0.285599,0.957572,ring
-0.912435,0.521017,ring
0.874898,0.483647,ring
0.884771,0.3842,ring
0.985543,0.169825,ring
-0.961837,0.259791,ring
-0.865534,0.589553,ring
-0.789927,0.508193,ring
-0.111823,1.007083,ring
0.017459,0.955397,ring
0.936866,0.114062,ring
-0.147575,0.956183,ring
0.464089,-0.719847,ring
0.742677,0.697206,ring
0.62837,-0.888506,ring
0.995857,-0.261028,ring
0.733192,0.681338,ring
-0.45841,-0.828814,ring
0.186783,-0.911744,ring
0.977173,0.005276,ring
-0.814505,-0.604524,ring
-0.080392,0.922975,ring
-0.679154,0.664784,ring
-0.16282,1.026021,ring
-0.761911,0.594783,ring
1.0975,-0.089054,ring
0.377976,-0.944405,ring
0.985458,0.199145,ring
1.027364,-0.018996,ring
0.951892,-0.32729,ring
-0.806691,-0.647046,ring
-0.991622,-0.211006,ring
0.565642,0.74249,ring
-0.512227,-0.847873,ring
-0.745962,-0.755047,ring
-0.20768,-0.987084,ring
-0.99296,-0.21518,ring
0.916573,0.45521,ring
-0.16579,0.989384,ring
-0.702401,-0.678922,ring
0.526171,0.862542,ring
0.371125,0.942887,ring
-0.936082,0.352326,ring
-0.46418,-0.880483,ring
0.455108,-0.919743,ring
0.762131,-0.605742,ring
-0.419235,0.858231,ring
0.769114,0.643574,ring
0.254955,1.021388,ring
0.195604,-0.983594,ring
0.981263,-0.301744,ring
-0.74796,0.679799,ring
0.077319,-1.028378,ring
0.615447,-0.75197,ring
-1.036049,-0.027426,ring
-0.363845,0.882103,ring
0.34612,0.917091,ring
-0.843965,0.525399,ring
0.112973,0.967658,ring
-0.876451,-0.324231,ring
0.66272,-0.755673,ring
-0.264893,0.967417,ring
0.293059,0.96692,ring
0.244859,1.027037,ring
0.956766,-0.031821,ring
-0.555715,0.757732,ring
-1.016503,-0.010822,ring
0.390713,-0.909179,ring
-0.647273,-0.791196,ring
0.982882,0.323352,ring
-0.954285,-0.183481,ring
0.999176,-0.279239,ring
-0.540359,0.76781,ring
0.852175,0.519291,ring
0.8559,-0.447397,ring
0.274426,0.911411,ring
-0.516266,-0.834665,ring
-0.268376,-0.963212,ring
-0.203639,1.058472,ring
0.220145,0.971124,ring
-0.93181,-0.429633,ring
-0.098719,-1.031846,ring
0.881881,0.668644,ring
-0.870879,-0.254321,ring
-0.931435,-0.517577,ring
1.025013,-0.287761,ring
-0.353813,0.921736,ring
-0.114369,0.977224,ring
-0.428917,-0.935677,ring
-0.167596,1.032169,ring
1.121859,-0.085838,ring
-0.74393,0.636511,ring
-0.98796,0.080351,ring
-0.988479,-0.126361,ring
0.897508,-0.418899,ring
0.291592,-1.003446,ring
-0.283953,0.95622,ring
-0.345913,-0.868828,ring
0.713282,0.656972,ring
0.96665,-0.422551,ring
0.898695,0.186426,ring
0.375205,-0.88493,ring
-0.881942,0.171596,ring
-0.418526,-0.871167,ring
0.955585,0.141385,ring
-0.219371,0.93541,ring
-0.928422,-0.248082,ring
1.03973,-0.056961,ring
0.737001,-0.645145,ring
-0.912916,0.382874,ring
-0.531228,0.85609,ring
0.162081,0.972455,ring
-0.887557,-0.489769,ring
1.000982,-0.204837,ring
-0.503757,-0.807032,ring
-1.083607,-0.185885,ring
-0.286765,-0.968272,ring
-0.171808,0.943345,ring
0.647408,0.752831,ring
-1.012641,-0.202231,ring
-0.160404,0.971656,ring
0.094195,0.972541,ring
-0.880916,0.496783,ring
-0.513354,0.855114,ring
-0.957935,-0.092387,ring
0.008555,-1.010515,ring
0.897073,0.511681,ring
0.295217,0.992057,ring
-0.648602,-0.793245,ring
0.479118,-0.858153,ring
-0.858417,0.618037,ring
0.79117,-0.487991,ring
0.412783,-0.957529,ring
-0.734243,0.73907,ring
-0.472225,0.888765,ring
0.859843,-0.412248,ring
1.018423,0.069705,ring
-0.092093,0.993724,ring
1.029095,-0.1295,ring
-1.055248,0.124916,ring
-0.423434,-0.859469,ring
0.935586,0.312881,ring
-0.625882,-0.711429,ring
0.003518,-0.976864,ring
-0.71909,0.850305,ring
0.574291,-0.77842,ring
0.216316,-0.972285,ring
0.389481,0.907138,ring
-1.048663,-0.16913,ring
1.03063,-0.054161,ring
-0.755301,0.544795,ring
-0.313401,-0.967707,ring
0.687975,0.708614,ring
-0.342266,0.989111,ring
0.307798,0.889977,ring
-0.666891,0.697479,ring
0.934122,-0.063575,ring
0.962288,-0.172445,ring
-0.622472,0.83075,ring
-1.001392,0.192531,ring
0.221605,0.942524,ring
-0.206596,0.969406,ring
0.632877,-0.74961,ring
-0.559721,0.835382,ring
0.87666,-0.488506,ring
-0.376375,0.913345,ring
-0.746106,0.743444,ring
-0.393053,-0.93728,ring
1.002584,0.112595,ring
-0.973436,0.421724,ring
-0.510919,0.901099,ring
0.484464,-0.83652,ring
-1.035247,-0.130268,ring
1.036531,-0.125731,ring
0.682171,-0.627023,ring
0.852552,-0.535235,ring
-0.874202,0.457424,ring
0.286443,-0.972565,ring
-0.858972,-0.514964,ring
0.493524,-0.728167,ring
0.073834,-0.975037,ring
-0.474622,-0.8123,ring
1.044902,0.216317,ring
-0.996708,-0.197682,ring
0.964654,0.255307,ring
-0.026251,0.984193,ring
0.933297,-0.194356,ring
0.725728,0.741081,ring
-1.026186,-0.240526,ring
-0.832675,0.651542,ring
-0.737427,0.569919,ring
0.206323,-1.00968,ring
-0.851728,-0.451115,ring
-0.954537,-0.330453,ring
-0.935234,0.503173,ring
-0.905123,-0.408962,ring
0.745408,-0.735389,ring
-0.565977,0.834487,ring
-0.460867,0.943958,ring
-0.736992,-0.480463,ring
0.658935,-0.837856,ring
-0.094695,1.024778,ring
0.901082,0.248367,ring
-0.309625,-0.943691,ring
-0.542273,0.876866,ring
0.987962,-0.450984,ring
-0.571724,-0.890365,ring
-0.286203,0.942106,ring
0.941497,0.312661,ring
-0.7153,-0.785154,ring
1.000905,-0.044868,ring
-0.99967,-0.100157,ring
-0.099344,-1.033649,ring
-0.748886,-0.740163,ring
0.433758,0.840621,ring
0.739677,0.690398,ring
-0.509197,-0.889146,ring
-0.974499,-0.193607,ring
-1.021322,-0.216353,ring
-0.905209,0.214703,ring
-0.863529,0.404985,ring
-0.590531,0.849047,ring
-0.186319,0.97654,ring
0.933827,-0.378098,ring
-0.72241,-0.657448,ring
-0.814349,0.552033,ring
0.577061,-0.792642,ring
-0.695268,0.704148,ring
-0.577301,-0.791699,ring
-0.743644,0.740797,ring
1.007015,0.048326,ring
-0.323469,0.972225,ring
-0.394952,1.033308,ring
-0.983911,0.0814,ring
-0.834644,0.484523,ring
-0.056841,1.015554,ring
-0.510751,-0.83441,ring
0.177187,0.889423,ring
0.599624,-0.754559,ring
-0.532971,-0.785736,ring
-0.939565,-0.23598,ring
-0.721168,-0.779447,ring
0.295018,-0.891322,ring
-0.973258,0.451205,ring
0.787699,0.631677,ring
-0.702136,-0.622267,ring
-0.673657,-0.709653,ring
-0.055277,0.942032,ring
-1.115307,-0.055115,ring
0.994158,-0.209546,ring
-0.845073,-0.565201,ring
-0.815498,0.633538,ring
-1.020112,0.286191,ring
-0.299558,-0.900774,ring
0.911672,-0.334784,ring
0.840474,-0.481825,ring
0.944809,0.222289,ring
0.849956,-0.526926,ring
0.278233,0.881232,ring
-0.993591,0.227707,ring
-0.409718,-0.881697,ring
0.679984,0.771376,ring
-0.58059,-0.81735,ring
-0.932552,-0.421582,ring
0.48716,-0.884093,ring
-0.227271,-0.943601,ring
-0.059645,-0.98521,ring
-1.028093,-0.085818,ring
0.971591,-0.14516,ring
-0.80261,-0.528419,ring
-0.265926,-0.949257,ring
-0.457766,-0.866646,ring
0.719319,0.622645,ring
0.519511,-0.861088,ring
0.997211,-0.11027,ring
0.672533,-0.800834,ring
-0.909889,-0.257878,ring
-0.498334,-0.866379,ring
0.855259,-0.555319,ring
1.00663,-0.174132,ring
-0.34511,-0.990156,ring
-1.098484,0.197086,ring
-0.960819,0.298433,ring
-0.119959,0.956278,ring
-0.286958,0.973668,ring
-0.600491,-0.7736,ring
-0.071413,0.98359,ring
0.844738,0.402089,ring
0.822884,0.610834,ring
0.174576,1.016429,ring
0.33106,0.894668,ring
0.819351,-0.531853,ring
0.518528,-1.004302,ring
-0.364451,-0.956444,ring
0.641553,0.802669,ring
0.802126,-0.590036,ring
0.759488,-0.563698,ring
-0.75995,0.709217,ring
-0.777289,-0.70553,ring
1.055412,0.211787,ring
-0.039005,0.986122,ring
1.014124,0.092998,ring
-0.804009,0.608263,ring
-0.54766,-0.852673,ring
0.116985,-0.952352,ring
0.598267,0.816958,ring
-0.921058,-0.40665,ring
-0.122533,-0.907819,ring
-0.650508,-0.681916,ring
-0.271808,-0.954024,ring
0.215469,-0.969301,ring
0.969029,0.031029,ring
-0.946063,-0.122661,ring
-0.357666,-1.012272,ring
0.905655,0.382195,ring
0.173412,-0.975151,ring
-0.889279,0.391243,ring
0.094063,-0.993198,ring
0.112331,-0.95981,ring
0.980991,-0.180237,ring
-0.13393,-0.910012,ring
0.188089,0.983502,ring
-0.537881,-0.936474,ring
-0.886133,-0.584624,ring
-0.53323,-0.863299,ring
0.842895,0.396883,ring
-0.716102,0.725255,ring
-0.510887,-0.817348,ring
-0.171652,-0.939708,ring
-0.90405,0.49314,ring
-0.151421,1.034577,ring
-0.839037,-0.624723,ring
-0.350372,0.929625,ring
0.172378,1.001935,ring
0.838029,0.579627,ring
-0.840468,0.544032,ring
-0.743278,-0.681865,ring
0.261051,0.998581,ring
0.581767,-0.840636,ring
-0.661865,0.80087,ring
-0.936004,-0.453624,ring
-0.258153,-0.961498,ring
-0.114,0.931859,ring
0.752879,-0.69738,ring
-0.699397,-0.687795,ring
0.876855,0.537773,ring
0.261062,-0.950673,ring
1.026576,-0.021664,ring
-0.826628,0.550038,ring
0.420376,-0.913813,ring
-1.006455,-0.231796,ring
-0.94381,-0.175662,ring
0.159286,1.024807,ring
0.427099,-0.903005,ring
0.996102,-0.225592,ring
0.943151,0.512395,ring
-1.023044,0.255192,ring
-0.986935,0.072408,ring
0.815431,0.406473,ring
-0.737787,0.638577,ring
0.557538,0.821876,ring
-0.937271,-0.277797,ring
-0.904167,-0.461034,ring
-1.003664,-0.074909,ring
0.981514,0.395549,ring
-0.27479,-0.902934,ring
-0.908284,0.32548,ring
-0.654251,-0.708609,ring
-0.753703,-0.695994,ring
0.706759,0.684825,ring
0.536812,0.904074,ring
-0.320358,1.028611,ring
-0.790719,0.712558,ring
0.501072,0.818822,ring
-0.88203,-0.425761,ring
-0.827196,0.667075,ring
-0.907157,-0.412918,ring
-0.273398,0.930476,ring
-0.180627,-0.960386,ring
-0.798714,0.690047,ring
0.64564,0.735218,ring
0.739164,0.567694,ring
-1.052009,0.299915,ring
1.061117,-0.053684,ring
1.013957,-0.278188,ring
-0.826469,0.597745,ring
0.856456,0.340857,ring
-0.045981,1.009585,ring
-0.987589,-0.315762,ring
0.323747,-0.910292,ring
-0.901569,-0.090812,ring
0.813886,0.627571,ring
0.660914,0.836118,ring
-0.684384,0.747012,ring
0.938976,0.359677,ring
0.581077,-0.87696,ring
-0.877716,0.331882,ring
-0.353408,0.939614,ring
0.687197,0.766158,ring
0.97935,0.107001,ring
-0.659795,0.803825,ring
0.671356,-0.710879,ring
0.823822,-0.645899,ring
-0.427667,0.930286,ring
0.68664,0.665629,ring
0.176807,0.967894,ring
-0.602328,0.840938,ring
-0.799112,-0.547489,ring
0.549773,-0.841194,ring
0.920762,0.255376,ring
-0.124793,1.037984,ring
-1.028691,-0.061529,ring
1.021946,0.02109,ring
-1.028542,0.170709,ring
0.153215,1.019904,ring
-0.664076,0.724445,ring
-0.343514,0.921617,ring
0.969862,0.156684,ring
0.46434,-0.796499,ring
-0.746869,-0.773529,ring
-0.516917,0.86291,ring
0.696072,-0.65428,ring
0.731581,-0.662276,ring
-0.92131,-0.490536,ring
0.980862,0.3437,ring
-0.348126,-0.883987,ring
0.639882,0.769542,ring
-0.437577,-0.931454,ring
0.752974,-0.642667,ring
-0.953328,0.508588,ring
-0.394936,-0.938109,ring
0.590317,-0.808182,ring
0.035123,0.9291,ring
0.704851,-0.661127,ring
1.028118,-0.151683,ring
-0.467093,0.805873,ring
-0.645634,0.771431,ring
0.432433,-0.941139,ring
-0.857456,-0.500467,ring
0.628522,-0.808331,ring
0.083013,-1.010601,ring
-0.594476,0.786137,ring
0.516402,-0.921678,ring
-0.239003,0.94088,ring
-0.887812,-0.540741,ring
-1.011704,0.072415,ring
-1.030441,0.122668,ring
-0.967665,0.327088,ring
-1.001074,-0.385299,ring
0.704982,0.7224,ring
0.951083,0.063687,ring
-0.550175,0.893329,ring
0.106573,-1.010215,ring
0.989178,-0.166656,ring
-0.955008,-0.177503,ring
-0.292134,-0.921028,ring
0.157374,0.989532,ring
0.005215,-1.004575,ring
0.206948,0.995443,ring
-0.642093,-0.730278,ring
-0.802999,0.593365,ring
0.031998,-0.995695,ring
0.14252,-1.018524,ring
-0.756082,-0.592087,ring
-0.966984,-0.380753,ring
0.148788,-1.05158,ring
-0.91567,-0.436551,ring
0.949754,-0.44835,ring
-1.006445,-0.375246,ring
0.53237,0.934877,ring
-0.71817,-0.69224,ring
-0.311742,-1.002761,ring
0.174305,0.985704,ring
-0.730456,0.649835,ring
0.122256,-0.91324,ring
0.95017,-0.323396,ring
0.514859,0.811033,ring
-0.991014,0.156546,ring
-0.971455,-0.283162,ring
1.033663,-0.005143,ring
0.117809,0.931303,ring
-0.388876,-0.911248,ring
-0.00419,-0.99898,ring
0.599986,0.824264,ring
-0.171565,0.981506,ring
-0.633073,0.70958,ring
-0.742484,0.633314,ring
0.938548,0.113626,ring
0.899311,0.497551,ring
-0.904231,0.422974,ring
0.136971,-1.044913,ring
0.735022,0.649375,ring
0.983672,0.02487,ring
0.695139,-0.649392,ring
-0.709161,-0.713167,ring
0.268259,1.006945,ring
-0.113524,1.03702,ring
0.975512,0.113591,ring
-0.691959,-0.642585,ring
0.606728,-0.761647,ring
0.885102,-0.159623,ring
0.924824,0.566331,ring
0.928039,-0.071491,ring
-0.617652,0.877073,ring
0.240118,-0.929722,ring
-0.94187,-0.492156,ring
0.198937,0.938146,ring
-0.954038,0.283007,ring
0.846233,-0.643643,ring
0.101672,0.978362,ring
-0.913599,-0.257948,ring
-0.967727,0.003652,ring
0.780489,-0.704697,ring
0.019623,-1.022339,ring
-0.258311,0.973926,ring
0.860833,0.44644,ring
-0.980974,0.236005,ring
-0.849468,-0.616941,ring
-0.948987,-0.031964,ring
-0.823572,-0.527883,ring
-0.963357,0.165004,ring
-0.583555,0.82461,ring
0.871129,-0.502345,ring
-0.626728,0.834647,ring
-0.428255,0.951403,ring
-0.42873,-1.014433,ring
0.520556,0.828927,ring
-0.987872,0.093638,ring
0.293466,1.01347,ring
1.019573,-0.099173,ring
-0.842571,0.547671,ring
0.877669,0.042414,ring
-0.398891,0.915793,ring
0.687139,0.708454,ring
0.946769,0.331393,ring
0.926018,-0.427573,ring
0.827982,0.445506,ring
0.842357,-0.693657,ring
-0.923045,-0.442424,ring
0.788745,-0.609184,ring
-0.319535,-0.867404,ring
-0.804999,0.556984,ring
0.233066,-0.944113,ring
0.246295,0.96514,ring
0.975211,0.24925,ring
