unit_id,stratum,cluster,spend
U-000106,smb,36,181.03
U-000107,large,288,636.65
U-000108,large,157,976.66
U-000109,mid,549,631.55
U-000110,mid,82,420.65
U-000111,large,166,1606.48
U-000112,smb,302,330.03
U-000113,smb,483,265.32
U-000114,smb,469,307.14
U-000115,large,90,1667.5
U-000116,smb,262,315.76
U-000117,mid,44,539.9
U-000118,strategic,556,2393.43
U-000119,smb,357,174.71
U-000120,smb,458,0.0
U-000121,large,514,1856.5
U-000122,mid,446,551.55
U-000123,smb,564,371.04
U-000124,mid,231,668.69
U-000125,mid,219,327.68
U-000126,mid,405,775.76
U-000127,smb,427,150.81
U-000128,smb,347,213.55
U-000129,mid,239,763.29
U-000130,large,505,1727.78
U-000131,smb,242,186.31
U-000132,large,360,978.91
U-000133,smb,495,232.69
U-000134,smb,514,281.09
U-000135,smb,144,220.24
U-000136,smb,284,188.88
U-000137,mid,57,320.38
U-000138,smb,133,226.74
U-000139,smb,576,167.53
U-000140,smb,521,229.86
U-000141,smb,276,282.42
U-000142,smb,381,184.37
U-000143,mid,451,381.79
U-000144,large,185,2272.87
U-000145,mid,160,936.2
U-000146,mid,429,343.34
U-000147,smb,279,235.94
U-000148,smb,211,112.89
U-000149,mid,333,515.51
U-000150,smb,298,256.92
U-000151,large,6,1347.24
U-000152,smb,358,377.3
U-000153,smb,191,283.86
U-000154,mid,153,876.14
U-000155,smb,495,314.58
U-000156,smb,187,274.09
U-000157,smb,402,184.43
U-000158,smb,110,288.5
U-000159,smb,404,206.3
U-000160,smb,300,226.78
U-000161,smb,333,206.98
U-000162,smb,117,225.68
U-000163,mid,271,856.96
U-000164,smb,144,156.96
U-000165,smb,287,213.65
U-000166,smb,163,308.01
U-000167,mid,545,749.4
U-000168,smb,286,193.87
U-000169,large,42,953.5
U-000170,smb,219,324.43
U-000171,smb,344,367.75
U-000172,large,583,1257.51
U-000173,large,391,1381.69
U-000174,mid,459,492.08
U-000175,smb,80,375.48
U-000176,mid,140,578.11
U-000177,mid,28,744.51
U-000178,mid,351,709.56
U-000179,smb,128,256.11
U-000180,mid,30,676.87
U-000181,mid,325,238.34
U-000182,smb,557,281.9
U-000183,smb,288,160.13
U-000184,smb,218,178.19
U-000185,smb,4,257.29
U-000186,smb,297,188.14
U-000187,mid,449,685.92
U-000188,mid,595,788.13
U-000189,large,4,1605.9
U-000190,mid,235,448.99
U-000191,smb,270,210.21
U-000192,smb,375,281.74
U-000193,mid,589,640.12
U-000194,mid,270,602.72
U-000195,smb,361,331.71
U-000196,large,79,999.97
U-000197,smb,23,187.99
U-000198,smb,580,301.6
U-000199,smb,315,158.88
U-000200,smb,87,220.54
U-000201,mid,217,620.93
U-000202,mid,219,593.05
U-000203,smb,487,269.31
U-000204,large,550,1693.51
U-000205,mid,207,647.29
U-000206,smb,559,324.04
U-000207,smb,65,271.1
U-000208,smb,33,207.32
U-000209,smb,475,217.17
U-000210,mid,185,330.69
U-000211,smb,315,302.81
U-000212,smb,279,230.49
U-000213,mid,386,641.61
U-000214,strategic,296,5956.92
U-000215,smb,510,356.22
U-000216,smb,410,233.22
U-000217,smb,590,171.83
U-000218,smb,460,146.4
U-000219,mid,350,781.66
U-000220,smb,586,147.04
U-000221,mid,182,616.79
U-000222,mid,287,921.85
U-000223,mid,293,520.2
U-000224,smb,478,279.77
U-000225,smb,185,219.7
U-000226,mid,74,572.62
U-000227,smb,114,248.1
U-000228,smb,471,224.58
U-000229,strategic,64,2838.94
U-000230,mid,296,521.77
U-000231,smb,296,177.28
U-000232,large,171,2097.84
U-000233,mid,124,600.73
U-000234,large,116,1737.25
U-000235,mid,451,305.86
U-000236,smb,404,244.96
U-000237,smb,504,268.12
U-000238,mid,300,636.68
U-000239,smb,109,221.24
U-000240,mid,596,578.12
U-000241,large,583,1405.57
U-000242,large,123,1310.46
U-000243,smb,159,177.59
U-000244,smb,136,164.23
U-000245,smb,276,185.2
U-000246,mid,522,793.09
U-000247,smb,341,303.76
U-000248,smb,158,208.58
U-000249,mid,255,440.62
U-000250,large,393,1626.86
U-000251,large,65,1642.41
U-000252,smb,92,331.11
U-000253,mid,424,912.52
U-000254,large,502,1685.35
U-000255,smb,211,227.38
U-000256,mid,94,463.33
U-000257,smb,431,207.34
U-000258,large,440,716.23
U-000259,smb,137,228.72
U-000260,smb,346,183.33
U-000261,mid,558,695.17
U-000262,large,372,1577.01
U-000263,mid,375,792.47
U-000264,smb,583,230.42
U-000265,smb,188,230.91
U-000266,smb,56,229.65
U-000267,smb,205,181.19
U-000268,smb,498,393.47
U-000269,mid,369,571.66
U-000270,large,202,1274.33
U-000271,smb,264,287.04
U-000272,mid,315,571.52
U-000273,large,220,1635.32
U-000274,smb,573,241.01
U-000275,smb,582,241.1
U-000276,smb,304,288.45
U-000277,smb,149,204.85
U-000278,smb,54,158.67
U-000279,smb,154,222.74
U-000280,smb,245,104.08
U-000281,strategic,331,3566.73
U-000282,smb,425,303.23
U-000283,smb,193,181.17
U-000284,strategic,82,4794.68
U-000285,smb,55,166.58
U-000286,large,171,1854.68
U-000287,smb,515,329.06
U-000288,smb,19,216.41
U-000289,mid,158,734.98
U-000290,large,347,1254.44
U-000291,smb,369,226.18
U-000292,smb,114,245.65
U-000293,smb,376,276.49
U-000294,smb,103,200.76
U-000295,mid,95,585.28
U-000296,smb,210,279.66
U-000297,mid,361,606.34
U-000298,smb,107,250.13
U-000299,mid,170,529.63
U-000300,mid,304,521.47
U-000301,mid,215,639.25
U-000302,large,570,2097.5
U-000303,mid,436,748.85
U-000304,smb,409,278.56
U-000305,smb,101,363.8
U-000306,smb,382,363.85
U-000307,large,331,1310.0
U-000308,smb,412,255.85
U-000309,smb,545,304.05
U-000310,smb,196,159.29
U-000311,mid,99,675.84
U-000312,large,3,1318.5
U-000313,mid,596,799.11
U-000314,smb,358,215.06
U-000315,smb,247,222.88
U-000316,smb,301,182.08
U-000317,strategic,69,3236.28
U-000318,large,22,1470.78
U-000319,mid,364,545.24
U-000320,mid,230,571.73
U-000321,smb,121,339.35
U-000322,smb,585,246.52
U-000323,mid,347,692.35
U-000324,large,191,1704.54
U-000325,large,327,1867.7
U-000326,mid,539,518.54
U-000327,large,65,1625.02
U-000328,smb,573,365.62
U-000329,mid,176,873.15
U-000330,mid,589,843.0
U-000331,smb,555,202.75
U-000332,smb,596,220.61
U-000333,smb,532,304.91
U-000334,smb,548,248.93
U-000335,smb,537,259.58
U-000336,smb,468,275.3
U-000337,smb,232,180.37
U-000338,smb,293,244.42
U-000339,smb,562,249.4
U-000340,mid,217,469.39
U-000341,mid,208,562.97
U-000342,mid,244,185.16
U-000343,strategic,208,3579.59
U-000344,smb,188,209.71
U-000345,large,219,1754.46
U-000346,mid,509,523.29
U-000347,smb,90,216.19
U-000348,smb,418,177.87
U-000349,large,385,1240.85
U-000350,mid,76,622.71
U-000351,large,68,1794.72
U-000352,smb,472,277.15
U-000353,smb,555,234.81
U-000354,smb,577,174.07
U-000355,smb,453,280.66
U-000356,large,248,1510.77
U-000357,mid,238,723.5
U-000358,smb,364,143.46
U-000359,large,497,1556.9
U-000360,mid,216,512.97
U-000361,mid,440,532.61
U-000362,smb,165,302.46
U-000363,smb,501,367.24
U-000364,smb,49,331.54
U-000365,mid,527,327.05
U-000366,mid,591,510.79
U-000367,large,155,1693.0
U-000368,smb,159,302.87
U-000369,smb,400,224.4
U-000370,large,249,1113.36
U-000371,large,451,627.06
U-000372,mid,558,687.05
U-000373,smb,170,326.87
U-000374,smb,148,235.91
U-000375,smb,426,231.0
U-000376,mid,123,726.77
U-000377,large,505,1422.33
U-000378,smb,479,259.98
U-000379,smb,157,258.94
U-000380,smb,298,109.33
U-000381,mid,82,611.23
U-000382,smb,307,203.04
U-000383,smb,250,147.57
U-000384,smb,125,146.94
U-000385,large,197,1795.74
U-000386,smb,28,318.65
U-000387,smb,415,213.27
U-000388,smb,241,286.93
U-000389,smb,261,272.0
U-000390,large,223,726.05
U-000391,mid,158,708.5
U-000392,smb,311,182.77
U-000393,large,354,510.16
U-000394,smb,278,225.72
U-000395,large,147,2227.24
U-000396,smb,577,343.52
U-000397,smb,484,236.48
U-000398,mid,516,558.77
U-000399,large,462,689.37
U-000400,smb,72,175.04
U-000401,smb,117,258.0
U-000402,mid,118,578.53
U-000403,smb,57,289.58
U-000404,smb,55,110.04
U-000405,smb,362,265.57
U-000406,smb,23,168.17
U-000407,smb,511,273.95
U-000408,mid,323,630.24
U-000409,mid,362,269.19
U-000410,smb,301,199.04
U-000411,large,598,1450.13
U-000412,smb,159,206.06
U-000413,smb,356,203.03
U-000414,large,284,1989.37
U-000415,mid,165,456.74
U-000416,smb,43,286.49
U-000417,strategic,545,3804.33
U-000418,smb,494,198.1
U-000419,large,212,1416.49
U-000420,large,411,877.25
U-000421,smb,390,162.11
U-000422,smb,112,180.48
U-000423,large,409,1636.38
U-000424,smb,430,268.92
U-000425,mid,88,657.49
U-000426,large,171,1939.89
U-000427,smb,552,313.85
U-000428,large,492,2252.49
U-000429,smb,304,399.31
U-000430,large,556,1212.75
U-000431,smb,229,306.26
U-000432,smb,241,226.67
U-000433,large,482,2131.1
U-000434,smb,111,248.16
U-000435,mid,365,620.93
U-000436,smb,355,108.67
U-000437,smb,516,182.17
U-000438,mid,31,727.5
U-000439,smb,186,328.13
U-000440,smb,139,195.25
U-000441,smb,238,217.73
U-000442,mid,537,827.14
U-000443,large,21,1027.33
U-000444,mid,562,677.69
U-000445,smb,319,288.12
U-000446,mid,514,493.59
U-000447,mid,409,576.64
U-000448,smb,366,141.03
U-000449,smb,422,137.09
U-000450,smb,194,373.37
U-000451,smb,165,178.21
U-000452,smb,367,230.01
U-000453,smb,223,232.89
U-000454,smb,331,218.07
U-000455,smb,126,275.72
U-000456,smb,319,269.03
U-000457,smb,453,351.57
U-000458,smb,486,312.89
U-000459,mid,6,898.14
U-000460,smb,194,286.02
U-000461,mid,90,652.76
U-000462,mid,385,425.01
U-000463,smb,339,210.81
U-000464,mid,475,688.24
U-000465,smb,101,239.53
U-000466,mid,243,420.21
U-000467,strategic,234,4915.17
U-000468,smb,526,227.8
U-000469,smb,293,245.69
U-000470,smb,147,133.92
U-000471,smb,272,241.27
U-000472,large,427,1325.46
U-000473,smb,218,299.85
U-000474,smb,229,386.18
U-000475,smb,422,218.09
U-000476,mid,328,716.13
U-000477,large,591,2144.1
U-000478,smb,367,175.97
U-000479,large,296,1219.77
U-000480,mid,189,546.06
U-000481,smb,491,245.85
U-000482,smb,558,104.79
U-000483,smb,421,223.4
U-000484,mid,336,594.32
U-000485,smb,549,219.52
U-000486,strategic,227,4132.02
U-000487,mid,215,830.62
U-000488,large,303,1161.28
U-000489,smb,469,260.28
U-000490,smb,477,159.63
U-000491,large,586,1231.42
U-000492,large,481,2105.16
U-000493,smb,150,221.47
U-000494,smb,252,335.07
U-000495,smb,368,26.31
U-000496,smb,20,208.48
U-000497,smb,314,280.09
U-000498,smb,533,243.49
U-000499,mid,325,445.28
U-000500,large,544,1702.79
U-000501,smb,515,200.65
U-000502,large,184,1512.5
U-000503,smb,434,280.23
U-000504,smb,506,192.42
U-000505,smb,219,290.37
U-000506,large,162,1402.17
U-000507,mid,495,813.44
U-000508,large,567,1752.72
U-000509,smb,568,257.79
U-000510,mid,55,574.46
U-000511,mid,393,680.62
U-000512,smb,300,346.92
U-000513,mid,230,571.39
U-000514,smb,255,225.99
U-000515,smb,488,350.6
U-000516,mid,202,532.96
U-000517,smb,527,268.36
U-000518,smb,407,206.13
U-000519,mid,492,697.4
U-000520,smb,27,246.36
U-000521,mid,329,725.8
U-000522,smb,461,248.98
U-000523,smb,435,263.72
U-000524,smb,160,276.62
U-000525,mid,398,591.36
U-000526,smb,125,132.65
U-000527,mid,591,612.09
U-000528,smb,366,213.57
U-000529,smb,579,241.1
U-000530,strategic,445,3308.6
U-000531,mid,149,549.61
U-000532,mid,244,495.83
U-000533,smb,585,310.7
U-000534,smb,518,277.51
U-000535,smb,503,141.03
U-000536,smb,419,140.93
U-000537,mid,513,617.17
U-000538,mid,77,765.43
U-000539,strategic,501,3357.65
U-000540,smb,419,259.55
U-000541,smb,110,311.34
U-000542,smb,387,271.66
U-000543,large,174,1517.29
U-000544,mid,313,779.7
U-000545,smb,278,207.9
U-000546,smb,226,325.67
U-000547,mid,435,640.9
U-000548,smb,475,367.38
U-000549,smb,414,238.38
U-000550,large,101,741.83
U-000551,mid,580,777.98
U-000552,smb,334,112.4
U-000553,large,90,1620.86
U-000554,large,475,1731.46
U-000555,smb,113,266.14
U-000556,mid,555,624.12
U-000557,smb,83,190.25
U-000558,large,571,244.39
U-000559,mid,159,692.62
U-000560,smb,81,375.29
U-000561,smb,444,227.16
U-000562,smb,117,227.17
U-000563,large,509,1917.13
U-000564,mid,105,252.96
U-000565,smb,400,225.87
U-000566,mid,262,599.27
U-000567,large,365,1754.07
U-000568,large,175,1442.22
U-000569,large,564,1413.96
U-000570,smb,313,157.64
U-000571,smb,344,244.77
U-000572,smb,355,209.81
U-000573,mid,102,496.01
U-000574,smb,92,271.73
U-000575,smb,15,169.8
U-000576,smb,289,337.92
U-000577,large,373,1207.92
U-000578,smb,149,304.13
U-000579,smb,40,194.63
U-000580,smb,359,233.54
U-000581,large,312,1875.17
U-000582,smb,176,324.85
U-000583,smb,332,184.41
U-000584,smb,567,53.03
U-000585,smb,540,335.67
U-000586,large,348,1374.13
U-000587,smb,418,262.72
U-000588,mid,145,496.22
U-000589,strategic,505,3794.45
U-000590,large,342,1122.35
U-000591,smb,87,198.82
U-000592,mid,204,805.61
U-000593,smb,556,322.36
U-000594,mid,523,420.69
U-000595,smb,161,344.46
U-000596,smb,408,155.81
U-000597,smb,54,297.05
U-000598,mid,441,709.6
U-000599,smb,480,142.88
U-000600,strategic,214,5462.49
U-000601,strategic,535,4664.82
U-000602,smb,510,274.86
U-000603,smb,125,265.0
U-000604,smb,14,155.64
U-000605,smb,147,207.14
U-000606,mid,552,839.1
U-000607,smb,599,305.53
U-000608,smb,438,213.26
U-000609,smb,163,216.09
U-000610,smb,185,228.2
U-000611,smb,566,220.62
U-000612,smb,293,249.99
U-000613,smb,591,213.97
U-000614,smb,250,334.28
U-000615,smb,227,256.19
U-000616,smb,88,301.78
U-000617,smb,104,140.84
U-000618,smb,179,348.0
U-000619,smb,513,225.28
U-000620,large,397,1166.58
U-000621,mid,217,512.99
U-000622,mid,72,654.2
U-000623,mid,427,777.25
U-000624,smb,578,261.45
U-000625,smb,30,281.48
U-000626,smb,121,227.48
U-000627,smb,307,221.54
U-000628,mid,147,715.65
U-000629,smb,216,150.98
U-000630,large,321,1844.51
U-000631,mid,355,675.87
U-000632,smb,180,4.94
U-000633,large,325,1762.89
U-000634,mid,241,386.53
U-000635,smb,531,27.34
U-000636,mid,165,510.92
U-000637,smb,565,255.39
U-000638,smb,305,265.84
U-000639,smb,515,158.0
U-000640,smb,53,217.28
U-000641,large,127,1779.26
U-000642,mid,70,783.02
U-000643,smb,74,206.59
U-000644,smb,518,179.08
U-000645,mid,584,589.95
U-000646,smb,314,177.51
U-000647,mid,377,560.69
U-000648,smb,458,285.39
U-000649,mid,87,615.61
U-000650,mid,126,888.84
U-000651,smb,391,254.13
U-000652,smb,461,383.35
U-000653,mid,184,467.14
U-000654,mid,235,509.3
U-000655,mid,578,567.31
U-000656,large,194,1565.1
U-000657,smb,332,257.66
U-000658,smb,421,229.15
U-000659,large,526,1310.56
U-000660,smb,148,154.57
U-000661,smb,353,187.2
U-000662,large,228,2143.42
U-000663,smb,435,217.52
U-000664,mid,226,300.48
U-000665,smb,483,216.66
U-000666,mid,35,346.76
U-000667,smb,277,290.49
U-000668,smb,96,199.42
U-000669,strategic,418,3090.72
U-000670,smb,68,232.13
U-000671,large,213,1683.02
U-000672,smb,158,241.05
U-000673,smb,110,219.21
U-000674,large,128,1500.52
U-000675,smb,201,347.8
U-000676,large,527,1196.03
U-000677,large,95,1967.3
U-000678,mid,153,575.69
U-000679,smb,367,263.71
U-000680,mid,505,341.15
U-000681,strategic,490,2693.29
U-000682,smb,457,377.87
U-000683,smb,129,171.7
U-000684,smb,322,232.2
U-000685,mid,443,419.01
U-000686,smb,474,71.66
U-000687,mid,348,879.53
U-000688,smb,509,106.35
U-000689,smb,470,228.34
U-000690,mid,568,584.71
U-000691,smb,208,160.84
U-000692,smb,357,218.19
U-000693,smb,72,291.91
U-000694,smb,203,216.13
U-000695,mid,109,818.47
U-000696,mid,75,508.91
U-000697,large,84,1783.27
U-000698,smb,312,181.33
U-000699,smb,91,264.47
U-000700,smb,551,316.62
U-000701,mid,484,451.88
U-000702,mid,51,436.3
U-000703,smb,31,294.87
U-000704,large,477,2280.43
U-000705,mid,586,469.03
U-000706,smb,405,247.86
U-000707,large,412,1676.54
U-000708,mid,553,476.6
U-000709,mid,519,1048.74
U-000710,smb,182,261.04
U-000711,smb,253,193.87
U-000712,smb,180,181.17
U-000713,smb,535,189.31
U-000714,smb,85,288.32
U-000715,smb,21,206.78
U-000716,mid,306,767.67
U-000717,smb,476,199.16
U-000718,smb,433,226.79
U-000719,large,28,1127.98
U-000720,smb,52,331.33
U-000721,large,562,818.64
U-000722,smb,100,330.26
U-000723,smb,86,322.32
U-000724,smb,514,327.58
U-000725,large,416,2272.89
U-000726,large,439,1043.14
U-000727,smb,274,216.89
U-000728,smb,44,272.33
U-000729,smb,213,242.7
U-000730,large,492,848.59
U-000731,smb,309,244.19
U-000732,smb,594,352.21
U-000733,large,387,897.84
U-000734,smb,550,244.79
U-000735,smb,533,323.29
U-000736,large,363,1562.28
U-000737,mid,105,580.04
U-000738,large,304,1370.14
U-000739,large,426,1931.8
U-000740,smb,328,286.91
U-000741,smb,575,215.44
U-000742,smb,34,257.71
U-000743,large,156,1805.73
U-000744,smb,176,117.37
U-000745,smb,409,259.0
U-000746,smb,380,200.99
U-000747,mid,270,467.85
U-000748,large,471,2199.53
U-000749,smb,511,230.27
U-000750,smb,382,366.22
U-000751,mid,121,496.92
U-000752,mid,17,416.27
U-000753,mid,69,244.96
U-000754,smb,425,263.27
U-000755,smb,227,274.26
U-000756,smb,47,262.52
U-000757,smb,367,279.41
U-000758,smb,346,211.91
U-000759,mid,114,525.95
U-000760,smb,40,122.06
U-000761,mid,481,686.43
U-000762,mid,268,664.83
U-000763,strategic,525,4137.19
U-000764,smb,174,193.48
U-000765,strategic,159,3199.67
U-000766,smb,377,250.49
U-000767,large,316,991.9
U-000768,large,68,1685.0
U-000769,smb,262,311.96
U-000770,mid,29,660.03
U-000771,smb,318,181.85
U-000772,large,372,1363.07
U-000773,mid,82,377.89
U-000774,mid,489,524.65
U-000775,smb,38,88.73
U-000776,smb,336,204.28
U-000777,smb,56,254.63
U-000778,smb,451,235.49
U-000779,smb,199,285.24
U-000780,smb,164,306.17
U-000781,smb,458,291.95
U-000782,smb,151,310.86
U-000783,smb,585,301.21
U-000784,smb,453,175.31
U-000785,smb,197,209.66
U-000786,smb,125,274.49
U-000787,smb,365,314.97
U-000788,mid,99,792.13
U-000789,smb,95,165.89
U-000790,smb,78,294.5
U-000791,smb,122,251.88
U-000792,mid,580,874.81
U-000793,mid,483,652.21
U-000794,mid,393,541.59
U-000795,smb,430,112.95
U-000796,smb,297,155.54
U-000797,mid,358,421.76
U-000798,large,487,645.34
U-000799,smb,266,173.05
U-000800,smb,213,345.91
U-000801,smb,135,212.1
U-000802,mid,101,705.68
U-000803,smb,331,241.73
U-000804,mid,240,598.97
U-000805,mid,165,624.94
U-000806,mid,374,824.76
U-000807,smb,214,279.23
U-000808,mid,353,860.62
U-000809,large,354,1078.95
U-000810,smb,499,186.27
U-000811,mid,496,512.97
U-000812,smb,348,304.61
U-000813,mid,162,469.83
U-000814,smb,351,373.69
U-000815,smb,268,227.47
U-000816,mid,523,345.7
U-000817,mid,272,858.8
U-000818,mid,185,836.71
U-000819,smb,162,319.58
U-000820,mid,357,834.31
U-000821,smb,458,204.46
U-000822,large,224,1750.39
U-000823,mid,70,406.17
U-000824,strategic,417,5161.66
U-000825,smb,441,225.14
U-000826,smb,586,241.73
U-000827,smb,130,312.24
U-000828,smb,75,249.89
U-000829,smb,166,171.77
U-000830,large,350,1568.13
U-000831,smb,289,288.3
U-000832,mid,320,682.55
U-000833,smb,411,317.3
U-000834,large,93,1649.96
U-000835,large,123,1098.05
U-000836,smb,62,246.37
U-000837,smb,496,209.29
U-000838,strategic,240,2074.47
U-000839,mid,311,654.77
U-000840,smb,565,145.11
U-000841,smb,320,201.78
U-000842,large,94,1268.03
U-000843,mid,307,545.77
U-000844,smb,387,187.23
U-000845,smb,201,289.55
U-000846,smb,463,193.63
U-000847,smb,568,344.87
U-000848,smb,321,296.46
U-000849,smb,507,202.66
U-000850,large,368,810.2
U-000851,strategic,288,2318.36
U-000852,smb,343,170.13
U-000853,mid,340,558.28
U-000854,large,147,1342.58
U-000855,smb,90,86.36
U-000856,smb,122,131.96
U-000857,smb,200,298.86
U-000858,mid,88,571.05
U-000859,smb,592,73.97
U-000860,strategic,205,4731.52
U-000861,smb,357,0.0
U-000862,smb,392,183.12
U-000863,smb,488,192.05
U-000864,smb,165,210.35
U-000865,smb,49,211.23
U-000866,mid,328,595.8
U-000867,large,22,1179.52
U-000868,large,422,1675.82
U-000869,smb,478,219.97
U-000870,strategic,542,4966.26
U-000871,smb,67,242.12
U-000872,smb,284,220.81
U-000873,mid,134,533.04
U-000874,smb,352,220.86
U-000875,mid,104,632.58
U-000876,mid,172,388.19
U-000877,mid,361,622.53
U-000878,smb,471,392.72
U-000879,smb,293,161.42
U-000880,smb,449,299.13
U-000881,mid,146,509.88
U-000882,smb,250,182.67
U-000883,smb,323,278.7
U-000884,mid,362,580.94
U-000885,mid,6,875.35
U-000886,smb,397,163.73
U-000887,mid,402,630.29
U-000888,mid,496,529.28
U-000889,smb,62,314.71
U-000890,mid,453,681.8
U-000891,smb,495,283.73
U-000892,mid,5,563.28
U-000893,mid,326,592.74
U-000894,mid,520,905.6
U-000895,mid,349,663.55
U-000896,smb,360,196.87
U-000897,smb,168,201.41
U-000898,smb,112,197.74
U-000899,mid,51,514.69
U-000900,mid,28,716.16
U-000901,smb,442,150.82
U-000902,mid,332,480.46
U-000903,smb,332,295.7
U-000904,mid,533,573.95
U-000905,large,147,1859.24
U-000906,large,335,1502.29
U-000907,large,449,932.46
U-000908,smb,82,148.66
U-000909,mid,110,418.17
U-000910,mid,512,558.01
U-000911,mid,70,427.47
U-000912,smb,420,309.33
U-000913,smb,149,305.39
U-000914,smb,299,364.56
U-000915,mid,579,772.0
U-000916,smb,327,249.73
U-000917,mid,534,764.41
U-000918,smb,426,204.76
U-000919,strategic,191,5094.73
U-000920,smb,169,284.44
U-000921,smb,150,140.97
U-000922,mid,309,721.4
U-000923,mid,384,554.58
U-000924,smb,37,174.05
U-000925,large,119,1474.8
U-000926,mid,215,742.2
U-000927,mid,420,605.61
U-000928,mid,91,427.67
U-000929,smb,519,160.5
U-000930,large,483,1602.04
U-000931,smb,422,297.64
U-000932,smb,506,216.89
U-000933,mid,387,523.88
U-000934,large,260,1822.36
U-000935,mid,258,603.32
U-000936,smb,56,142.76
U-000937,smb,314,200.65
U-000938,smb,219,226.96
U-000939,mid,190,643.24
U-000940,large,114,1980.65
U-000941,smb,472,250.41
U-000942,mid,593,614.83
U-000943,large,384,986.36
U-000944,large,235,1699.87
U-000945,smb,244,298.3
U-000946,large,160,597.67
U-000947,smb,564,207.85
U-000948,smb,205,244.37
U-000949,mid,201,459.08
U-000950,smb,176,213.34
U-000951,smb,494,262.81
U-000952,large,456,1420.54
U-000953,smb,106,200.96
U-000954,smb,263,133.62
U-000955,large,378,1479.4
U-000956,mid,334,709.32
U-000957,smb,214,266.67
U-000958,smb,491,200.95
U-000959,mid,418,380.33
U-000960,smb,319,392.6
U-000961,large,259,1259.25
U-000962,smb,339,190.61
U-000963,smb,353,231.07
U-000964,smb,504,272.5
U-000965,large,441,1835.36
U-000966,smb,330,154.61
U-000967,smb,570,213.86
U-000968,smb,536,211.54
U-000969,smb,486,204.67
U-000970,smb,104,215.39
U-000971,smb,504,200.54
U-000972,large,118,1525.82
U-000973,smb,240,178.12
U-000974,smb,577,257.34
U-000975,mid,259,750.69
U-000976,smb,462,101.38
U-000977,smb,468,319.85
U-000978,mid,341,480.21
U-000979,mid,484,478.09
U-000980,mid,559,686.69
U-000981,mid,579,810.18
U-000982,smb,366,241.15
U-000983,large,220,1562.57
U-000984,smb,140,259.49
U-000985,smb,160,317.39
U-000986,smb,481,245.23
U-000987,smb,398,316.79
U-000988,smb,188,185.71
U-000989,smb,421,269.38
U-000990,smb,98,324.12
U-000991,smb,108,146.22
U-000992,smb,296,298.46
U-000993,mid,597,525.63
U-000994,smb,567,156.21
U-000995,smb,294,192.25
