account_ref,plan,support_tier,theme,tenure_months,monthly_spend,sessions_week,churned
101743,pro,email,dark,5.7,295.01,6.56,1
100902,enterprise,email,dark,23.7,638.24,12.08,0
110420,pro,none,light,24.1,751.39,9.66,0
106942,basic,none,dark,0.1,142.56,6.71,1
103201,basic,none,light,10.4,481.8,8.41,0
101608,basic,priority,light,11.8,387.35,0.0,1
101307,pro,none,light,20.5,498.23,9.63,1
102418,pro,email,dark,7.4,327.51,14.12,0
109469,enterprise,priority,dark,36.5,958.42,13.05,0
110633,pro,none,light,19.8,496.75,4.69,1
101909,basic,email,dark,2.6,199.77,14.37,0
108701,basic,email,light,37.1,1203.45,12.28,0
107460,basic,email,light,7.2,224.71,15.07,0
105026,basic,none,light,38.7,923.52,4.1,1
104868,basic,email,dark,35.6,1096.05,10.41,0
107501,basic,none,light,16.9,585.37,7.75,1
102539,basic,none,light,24.3,687.27,10.57,1
109891,basic,priority,dark,15.5,688.83,14.06,1
105775,pro,email,light,20.3,787.82,8.31,1
111458,basic,none,dark,27.6,715.91,14.14,0
110391,enterprise,email,light,6.2,710.68,12.79,0
109916,basic,none,light,22.0,801.6,15.42,0
110201,pro,none,light,32.2,1050.21,13.72,0
100689,enterprise,none,light,12.7,735.39,11.22,0
106981,basic,priority,light,27.7,967.74,17.6,0
111134,basic,email,light,26.2,709.06,7.89,0
109261,basic,none,light,25.5,707.94,7.65,0
106319,pro,none,light,19.6,657.17,11.47,0
100560,enterprise,priority,light,33.7,902.23,4.8,1
109260,pro,priority,light,25.2,635.72,7.22,1
107858,pro,email,dark,15.8,436.74,9.6,1
111220,basic,priority,light,30.9,854.86,3.39,1
109495,pro,email,light,19.6,721.97,7.86,0
110463,basic,priority,light,2.9,206.92,2.02,1
103001,enterprise,priority,dark,11.8,399.83,12.09,0
100948,pro,none,dark,26.8,693.06,4.38,1
105268,pro,none,light,12.7,712.34,5.1,1
103235,basic,dedicated,light,11.8,548.49,14.97,0
111245,pro,priority,light,14.4,561.97,11.48,0
101629,basic,dedicated,dark,13.6,628.03,10.24,0
108680,basic,none,dark,13.8,678.12,5.16,1
100967,pro,dedicated,dark,24.4,663.8,12.6,0
101526,pro,email,light,23.2,672.26,18.71,0
105977,enterprise,email,dark,16.3,551.38,13.39,0
110022,basic,none,light,15.2,565.46,9.41,1
106507,enterprise,email,dark,25.4,913.77,16.05,0
104286,basic,none,dark,19.9,811.47,7.96,0
100035,pro,none,light,18.4,690.46,11.4,0
109669,basic,priority,light,12.1,417.47,10.26,1
109940,pro,none,dark,11.1,284.43,10.41,0
106669,pro,none,dark,22.7,883.94,10.11,0
107301,pro,priority,dark,30.8,848.6,10.98,0
104487,pro,dedicated,dark,11.4,516.05,11.7,0
103942,pro,email,light,28.2,900.08,11.63,0
109961,pro,email,dark,26.5,820.47,10.63,0
102004,basic,none,dark,15.0,661.94,6.92,1
102521,enterprise,email,light,21.7,820.25,14.29,0
101911,pro,priority,dark,13.4,562.21,8.87,0
109897,basic,dedicated,dark,13.6,372.4,9.2,0
110264,basic,priority,light,36.3,889.12,15.14,0
102322,pro,email,dark,9.4,605.59,12.55,0
104886,enterprise,none,dark,25.0,622.58,6.64,0
109107,pro,none,dark,28.2,862.91,8.64,0
107887,basic,none,light,23.8,679.11,11.79,1
106795,pro,email,light,23.6,822.9,12.07,0
102049,basic,dedicated,dark,13.0,428.37,11.48,0
103445,basic,none,light,7.4,351.26,9.15,1
110676,basic,dedicated,dark,15.3,572.71,7.4,1
107277,basic,none,light,25.7,656.62,5.43,1
106662,basic,priority,light,0.1,283.4,12.86,1
108726,pro,priority,light,20.0,553.46,11.39,0
107201,pro,email,light,10.0,760.75,8.04,0
107041,pro,priority,dark,5.9,383.47,12.23,0
100442,basic,priority,dark,17.6,685.17,16.37,0
103768,basic,none,dark,12.2,750.56,10.28,1
106943,enterprise,none,light,29.3,911.89,8.52,0
109104,basic,none,dark,7.3,456.91,13.62,0
107916,enterprise,none,light,17.8,548.67,2.54,0
107574,basic,priority,dark,10.9,374.16,5.5,1
109956,enterprise,email,dark,3.0,426.6,12.85,0
102725,pro,none,dark,28.6,669.92,11.91,1
103480,basic,dedicated,dark,25.9,776.0,13.41,0
102870,pro,none,light,11.8,545.39,9.83,1
102003,pro,none,light,20.5,777.44,10.96,0
101585,pro,email,light,12.6,623.35,10.25,0
101806,enterprise,none,light,16.7,596.86,7.93,0
107888,pro,none,light,21.9,456.52,11.46,0
108826,pro,dedicated,light,17.4,515.15,10.53,0
109270,pro,priority,light,7.0,392.64,8.23,1
109779,basic,priority,light,17.0,783.91,7.83,0
102630,basic,none,dark,16.7,670.38,6.89,1
101056,basic,email,light,15.1,413.67,10.65,0
105000,basic,priority,light,17.9,519.35,6.79,1
110190,enterprise,none,light,16.1,695.96,14.78,0
106851,basic,dedicated,dark,27.4,705.74,15.87,0
107022,enterprise,none,light,4.1,391.68,10.57,0
102572,enterprise,email,dark,17.4,692.39,8.54,0
106971,pro,priority,light,0.1,114.28,9.34,0
106564,basic,email,light,16.3,497.66,15.21,0
104988,basic,priority,dark,31.5,882.88,12.05,0
109284,enterprise,email,dark,5.8,240.78,11.48,0
104324,basic,none,light,11.0,439.57,3.28,0
108038,basic,email,dark,12.1,469.45,5.33,0
102893,enterprise,dedicated,light,18.7,698.22,10.12,0
102518,pro,email,dark,33.5,953.32,14.28,0
102556,basic,none,dark,12.6,624.16,2.06,1
105784,pro,email,light,36.3,1020.8,14.4,0
105959,basic,email,dark,14.2,598.36,10.66,0
101858,pro,priority,light,9.9,403.43,9.95,0
101390,basic,none,light,14.3,512.01,7.78,1
100340,basic,none,light,19.4,751.23,3.75,1
111523,basic,none,dark,38.3,967.61,14.37,0
102242,enterprise,none,light,16.0,754.08,12.07,0
109929,basic,none,light,0.1,272.48,9.09,0
109321,pro,email,dark,18.7,640.94,15.05,0
105682,basic,none,dark,7.3,422.32,11.68,1
111509,enterprise,email,dark,16.7,498.02,14.64,0
103147,pro,none,light,15.1,639.85,9.01,1
106309,pro,email,dark,21.3,647.64,7.97,0
109628,basic,none,dark,14.5,251.42,4.26,1
104981,pro,email,light,32.3,697.66,7.91,1
102795,enterprise,none,dark,24.4,771.9,10.35,0
102187,pro,none,dark,17.9,504.97,5.08,1
105375,pro,dedicated,light,20.5,803.0,7.88,1
109404,basic,priority,dark,26.0,793.84,15.66,0
105289,pro,dedicated,dark,12.4,728.01,9.65,0
105955,pro,dedicated,dark,20.2,766.01,3.98,0
102264,enterprise,none,dark,18.2,715.89,8.31,1
104564,basic,dedicated,light,11.8,486.45,5.73,1
102204,pro,dedicated,dark,15.3,606.87,11.87,0
106736,pro,email,light,10.8,510.71,13.51,0
102146,pro,email,dark,12.8,487.13,14.38,0
106809,basic,dedicated,light,8.1,546.32,7.09,0
104646,basic,none,dark,14.5,608.75,11.95,0
102744,pro,email,light,30.6,603.75,7.34,1
110667,basic,email,light,13.8,585.13,3.51,1
104180,basic,none,dark,20.8,716.88,10.62,0
111375,basic,priority,dark,16.8,644.85,15.48,0
110254,basic,none,light,27.2,1047.89,3.25,1
109758,basic,dedicated,light,18.1,555.05,7.97,1
106875,pro,none,light,17.9,742.6,11.98,0
104023,pro,dedicated,light,18.2,526.28,9.01,1
107414,pro,email,dark,14.5,724.3,10.14,0
104654,pro,priority,light,14.0,605.78,10.58,0
111795,pro,email,light,19.1,705.15,6.69,0
104477,enterprise,email,light,13.6,602.47,11.46,0
103688,basic,email,dark,13.7,652.76,13.39,1
108025,basic,none,dark,18.9,615.02,11.66,0
105943,basic,email,dark,23.8,746.78,4.48,1
102871,enterprise,email,light,31.8,970.1,13.71,0
111761,pro,priority,dark,13.9,804.2,13.16,0
100349,pro,none,dark,29.2,597.08,7.9,0
101328,basic,priority,light,16.7,670.78,5.32,1
104553,basic,none,dark,26.3,961.81,3.97,1
108083,pro,dedicated,light,5.9,475.38,10.41,0
106172,basic,priority,dark,0.1,282.46,10.98,0
105870,basic,email,dark,22.0,730.19,10.51,0
104447,basic,none,dark,19.6,703.52,11.3,0
100992,pro,email,dark,16.6,562.49,15.94,0
103733,basic,none,light,19.2,767.31,10.13,0
106914,basic,priority,light,9.1,611.0,10.35,1
101875,enterprise,dedicated,light,17.3,445.69,11.62,0
103440,pro,email,dark,19.6,638.24,9.18,0
110990,pro,none,light,12.7,673.38,15.54,0
111756,basic,dedicated,dark,3.8,516.32,9.68,0
100731,pro,none,light,4.0,388.38,6.48,0
105776,enterprise,email,light,37.8,1029.98,11.42,0
105247,enterprise,email,light,19.9,656.13,13.31,0
100280,basic,email,dark,15.3,643.23,4.89,0
111477,enterprise,email,light,24.2,646.24,14.98,0
107943,pro,none,dark,21.9,731.82,11.79,0
106095,basic,none,dark,28.4,729.78,12.45,0
102808,basic,email,light,22.7,687.15,15.27,0
101931,enterprise,email,light,0.1,219.06,9.5,0
103978,basic,none,light,20.9,667.5,12.44,0
104225,pro,priority,dark,33.4,1075.75,5.16,1
102910,pro,email,light,15.1,539.72,7.84,0
106241,pro,email,light,9.6,377.84,12.26,0
101980,basic,priority,light,15.5,443.82,5.88,0
107065,pro,priority,light,17.9,603.15,6.76,0
108754,enterprise,none,dark,5.4,337.57,11.32,1
100056,basic,none,light,19.1,685.34,2.95,0
108893,basic,email,dark,21.5,648.06,7.4,1
101101,pro,email,light,21.8,725.84,13.88,0
108615,basic,none,light,12.1,418.76,13.8,1
104304,enterprise,priority,dark,30.6,943.55,8.68,0
111419,enterprise,none,light,32.6,1102.68,10.34,0
110963,basic,none,dark,33.0,880.46,9.64,1
111687,enterprise,dedicated,light,12.0,325.78,7.91,0
108441,basic,none,light,18.1,747.54,10.44,0
110880,pro,email,dark,34.3,785.87,11.73,1
109369,enterprise,email,light,14.7,349.05,10.23,0
108424,basic,email,dark,27.3,1017.7,13.42,0
106107,basic,email,dark,12.9,694.18,6.39,0
104805,pro,email,light,22.8,747.63,13.1,0
110968,basic,priority,dark,22.0,675.78,13.67,0
109326,pro,priority,light,32.2,924.3,6.62,0
102651,pro,email,dark,2.1,393.95,3.67,1
110011,pro,none,dark,25.7,790.88,13.54,0
103640,pro,none,dark,17.1,567.62,9.07,0
100788,pro,email,dark,21.2,816.95,11.24,0
109481,enterprise,email,dark,19.0,625.9,7.6,0
108427,basic,email,light,7.8,368.45,12.49,0
108078,enterprise,priority,dark,21.4,814.3,9.16,0
108467,pro,email,dark,4.9,442.07,4.82,1
108748,pro,email,dark,5.5,312.44,13.58,0
103673,basic,none,light,17.1,660.04,14.8,0
103860,basic,priority,light,24.3,773.94,12.44,0
101288,basic,priority,dark,32.2,945.98,9.12,0
105253,basic,priority,dark,24.9,797.63,9.58,0
101444,basic,none,dark,35.7,877.45,11.11,0
104922,basic,none,light,23.2,887.3,8.72,1
103201,basic,none,dark,25.9,770.51,8.1,1
108305,basic,none,dark,22.7,731.22,7.67,1
101342,pro,none,light,23.2,804.95,11.55,0
101741,basic,none,light,27.8,913.53,7.32,1
106254,pro,none,dark,18.0,583.5,14.41,0
107862,pro,email,light,2.2,124.03,11.09,0
106067,enterprise,email,dark,33.4,983.0,13.01,0
110071,basic,priority,light,12.4,509.73,11.18,0
100729,pro,dedicated,dark,30.5,739.75,4.19,0
105615,basic,none,light,37.3,1064.05,7.22,1
102900,pro,none,dark,15.1,614.04,8.15,0
111153,enterprise,dedicated,light,24.0,719.77,13.71,0
102053,basic,dedicated,dark,5.1,342.31,12.99,0
103170,basic,none,light,19.9,850.13,14.68,0
111793,basic,dedicated,dark,17.6,880.61,6.9,0
105481,pro,dedicated,light,24.4,1027.83,6.26,0
104595,basic,priority,light,9.9,594.07,7.05,1
102108,pro,dedicated,light,31.0,639.38,9.78,0
103887,enterprise,priority,dark,19.8,673.69,11.94,0
101846,pro,email,dark,11.7,566.97,12.31,0
109286,basic,none,dark,19.4,856.27,10.38,0
108934,enterprise,priority,dark,31.8,941.21,8.73,0
102734,pro,priority,light,36.9,1204.54,6.44,0
102260,pro,none,light,10.9,568.47,16.39,0
108447,basic,none,dark,24.4,965.25,7.3,1
100349,pro,priority,light,29.6,852.21,3.31,0
104543,basic,email,light,22.9,447.58,10.03,1
102522,pro,email,light,30.9,947.43,15.49,0
100275,pro,email,light,23.9,746.85,9.35,0
106388,enterprise,email,light,25.9,854.52,8.78,0
106849,pro,none,light,25.3,835.7,9.56,0
110752,pro,none,light,27.1,901.05,6.46,0
108005,basic,priority,dark,25.1,850.51,5.36,1
110051,pro,priority,light,8.8,507.28,13.53,1
109924,basic,email,dark,23.1,770.74,10.98,0
107047,basic,none,dark,24.8,792.21,11.91,0
106467,basic,email,light,1.6,427.96,14.18,0
104373,pro,email,dark,16.6,646.38,9.0,0
106293,basic,priority,dark,21.9,593.91,7.64,1
111162,pro,none,light,9.6,505.13,11.78,0
102609,basic,priority,light,32.5,866.73,1.61,1
103317,enterprise,email,light,17.5,424.62,13.44,0
102340,basic,priority,dark,12.3,431.03,7.6,1
101950,pro,none,dark,10.8,419.14,6.07,1
102959,basic,email,light,13.2,803.47,13.01,0
102493,basic,email,dark,19.3,673.55,14.16,1
109509,basic,email,light,24.9,711.75,2.13,1
107345,basic,none,light,17.5,561.47,12.7,0
108004,pro,email,light,30.6,794.72,13.52,0
107538,pro,priority,light,23.7,638.08,9.08,0
109238,pro,none,light,11.6,642.19,12.66,0
110233,basic,email,light,18.3,516.21,8.17,1
103854,enterprise,none,light,26.7,914.71,12.69,0
108976,enterprise,priority,light,26.1,886.34,8.06,0
100892,enterprise,none,light,27.2,739.42,14.51,0
104806,pro,email,light,20.3,717.74,4.08,1
110464,basic,email,dark,23.3,638.09,10.35,1
100664,basic,priority,light,19.3,707.84,14.65,0
109343,basic,none,dark,13.3,702.44,11.94,0
104306,basic,none,dark,16.2,523.86,14.25,0
105716,pro,none,light,27.1,825.6,12.89,1
109607,basic,none,light,15.2,511.95,11.19,0
100911,enterprise,none,dark,0.1,239.68,9.2,0
111435,enterprise,none,light,21.1,958.35,7.44,0
104855,basic,email,light,23.6,843.2,6.38,0
110571,basic,priority,dark,11.2,321.22,6.91,1
104498,basic,none,light,27.2,957.91,10.77,0
105125,basic,priority,light,20.1,752.67,8.97,0
104381,enterprise,none,light,19.1,481.46,10.06,0
100681,pro,none,light,31.0,880.98,9.22,0
106430,basic,email,dark,11.4,634.72,4.91,0
104454,basic,email,dark,26.7,728.94,11.02,0
108438,pro,priority,dark,14.6,503.34,13.6,0
105097,pro,email,dark,15.9,420.77,5.1,0
111290,basic,priority,dark,0.1,134.64,12.39,0
106204,basic,email,dark,32.5,865.06,7.81,0
104612,basic,none,light,20.7,696.31,4.13,0
104979,basic,priority,light,23.3,849.92,6.52,1
105617,basic,email,light,19.9,441.92,7.51,1
101042,enterprise,priority,dark,7.2,263.1,9.04,0
106507,pro,none,dark,19.0,739.99,9.09,0
108198,basic,none,dark,21.7,614.33,9.38,1
110475,basic,email,light,31.8,1113.9,7.21,0
105983,pro,email,dark,4.2,594.01,16.22,0
102245,basic,email,dark,2.7,212.4,6.05,0
102216,basic,none,light,17.2,422.64,9.2,1
108544,basic,none,light,18.9,645.97,9.58,1
101345,basic,none,light,20.7,952.57,16.27,0
110392,basic,none,dark,26.3,1018.85,5.38,1
100232,pro,dedicated,light,32.8,847.22,7.21,0
102266,enterprise,email,light,8.7,585.03,6.58,0
101061,basic,priority,light,11.6,579.02,16.57,0
101009,basic,none,dark,0.1,210.28,8.41,1
101287,pro,email,light,7.5,470.16,9.36,0
105121,basic,dedicated,dark,10.6,350.71,8.27,0
101085,pro,email,light,18.1,710.55,13.57,0
103392,pro,none,dark,19.5,683.68,15.18,0
109561,basic,none,dark,21.2,769.9,10.28,0
101372,basic,email,dark,18.2,459.45,10.03,1
111532,basic,none,dark,21.0,677.93,11.07,0
100926,basic,none,dark,15.4,503.54,9.22,1
106559,pro,email,light,18.9,598.14,10.45,0
101216,basic,none,dark,21.2,695.8,7.96,1
101761,pro,none,light,26.5,913.71,10.95,0
100712,basic,none,light,8.7,598.75,8.35,1
107929,enterprise,none,light,12.3,706.78,8.31,0
100932,pro,none,light,33.3,901.55,7.86,1
106067,enterprise,email,light,11.0,557.67,9.6,0
101865,basic,none,light,37.1,956.04,7.84,0
111661,basic,priority,dark,21.5,719.49,12.08,1
107184,enterprise,dedicated,light,41.0,1040.23,12.31,0
101977,enterprise,priority,light,19.9,903.91,14.16,0
109937,enterprise,dedicated,light,13.3,518.58,15.38,0
101863,pro,dedicated,light,10.5,546.67,5.28,1
101521,basic,priority,light,9.9,628.73,7.8,1
103569,basic,none,light,4.9,289.85,7.85,1
102372,enterprise,dedicated,dark,15.4,726.43,10.12,0
104412,basic,dedicated,light,19.7,637.32,3.05,1
104651,pro,email,light,23.1,853.09,7.06,1
111424,pro,email,light,10.4,488.6,10.16,0
108186,basic,dedicated,light,20.3,756.78,16.19,0
107579,pro,dedicated,light,31.1,960.99,7.13,0
101327,basic,email,light,12.6,609.38,9.81,0
107880,pro,dedicated,dark,12.7,635.56,8.19,1
103105,pro,none,light,27.5,915.18,9.87,0
101700,enterprise,priority,dark,11.4,573.82,11.7,0
111561,enterprise,none,light,12.8,450.55,10.1,0
108785,basic,email,light,19.3,650.49,7.93,1
111731,pro,priority,light,8.9,513.24,17.66,0
101404,pro,email,light,7.9,309.48,11.31,0
108966,pro,priority,light,26.1,765.54,11.07,0
111197,basic,priority,dark,0.1,509.79,11.72,0
105512,pro,none,light,14.7,580.65,14.53,0
101300,pro,priority,light,4.5,372.51,13.96,0
111264,basic,email,dark,19.7,508.42,2.71,1
100620,enterprise,none,dark,17.5,634.94,18.11,0
104426,pro,dedicated,light,14.4,445.4,5.73,0
103416,basic,dedicated,light,24.6,735.63,6.66,1
100988,basic,none,light,24.9,639.63,9.59,0
103286,basic,none,dark,15.3,684.21,7.0,1
102762,pro,email,light,8.5,500.52,7.55,0
109451,basic,none,dark,20.0,866.79,7.07,1
107663,basic,dedicated,dark,13.0,570.94,11.71,1
104647,pro,email,light,9.3,184.38,3.23,1
108840,pro,email,dark,14.6,634.43,8.35,1
103095,basic,priority,dark,10.6,586.73,13.95,0
111005,pro,email,dark,20.8,747.88,9.31,0
103681,basic,email,light,26.3,816.15,12.53,0
102615,basic,email,light,8.6,380.56,9.25,0
100031,pro,email,light,24.1,606.35,3.84,1
103346,enterprise,dedicated,dark,12.5,426.78,10.52,0
100751,basic,none,dark,27.4,719.88,10.66,0
109492,pro,none,light,20.8,889.04,12.45,0
103727,enterprise,email,light,30.9,807.47,13.88,0
100075,pro,email,dark,4.5,314.65,14.19,0
103632,basic,email,light,31.4,906.62,6.24,1
103967,basic,none,light,9.0,548.28,11.69,1
102421,enterprise,none,dark,9.9,493.8,12.74,0
106929,pro,dedicated,light,8.5,323.56,5.45,1
108268,pro,email,dark,7.2,452.67,8.06,0
103571,pro,priority,light,22.8,679.85,9.34,0
105891,pro,email,light,3.4,318.86,16.12,0
103617,basic,email,dark,7.1,487.01,1.1,1
110778,basic,email,light,12.4,550.26,6.88,0
108036,pro,none,light,19.3,788.85,2.27,1
110341,enterprise,none,dark,19.9,539.23,16.99,0
102619,basic,email,light,24.5,589.51,10.21,0
102375,enterprise,priority,dark,17.6,517.56,14.93,0
107760,pro,none,light,15.0,394.72,13.22,0
106519,basic,none,light,25.9,737.29,2.68,1
110479,pro,priority,light,9.8,456.19,12.15,0
100741,basic,none,light,6.8,464.86,10.97,0
110058,basic,email,light,21.0,736.19,5.74,1
106496,basic,none,dark,29.8,970.25,7.43,1
101739,basic,none,dark,6.5,457.04,10.61,1
104321,basic,email,light,27.5,903.76,15.03,0
103617,basic,priority,dark,4.0,164.71,8.04,1
105304,basic,email,dark,19.2,567.22,7.74,0
111576,basic,none,light,13.4,514.17,4.42,1
107949,pro,none,dark,33.5,1020.85,11.56,0
102121,enterprise,dedicated,dark,29.0,916.84,11.98,0
111268,pro,none,dark,15.7,652.98,10.61,0
110932,basic,email,dark,37.8,820.05,6.09,0
109504,basic,none,dark,26.4,794.52,10.13,0
107597,pro,dedicated,dark,34.0,1098.11,4.76,0
107713,pro,none,light,15.1,633.92,15.56,0
109027,basic,none,dark,24.4,672.57,4.87,1
108398,basic,none,dark,29.4,787.58,6.09,1
109422,pro,none,light,19.8,454.32,11.96,0
110077,pro,email,light,22.1,747.22,7.17,0
102903,basic,dedicated,dark,21.7,920.35,14.7,0
100037,pro,email,dark,23.8,792.08,8.66,0
108450,pro,priority,light,23.1,739.13,12.3,0
108744,enterprise,none,light,8.5,575.22,13.43,0
106481,enterprise,none,light,15.0,553.86,5.5,0
105726,basic,priority,light,7.7,558.36,6.31,1
106822,basic,email,light,29.0,978.65,9.88,1
111610,pro,email,light,23.2,658.37,9.68,0
105018,basic,none,dark,20.3,648.34,13.61,0
102055,enterprise,email,light,8.0,485.48,11.62,0
108136,enterprise,none,light,13.3,612.42,4.51,0
106088,pro,dedicated,light,34.9,1076.23,16.5,0
105174,basic,none,dark,0.1,94.39,12.05,1
106632,basic,none,dark,24.6,715.13,6.05,1
110392,enterprise,none,light,22.8,1012.58,5.66,1
105376,basic,priority,light,9.5,399.88,4.84,1
109517,basic,priority,light,14.7,375.72,15.19,0
102965,pro,none,dark,24.0,888.38,5.88,1
101103,basic,none,light,35.0,1068.94,15.24,0
105841,basic,email,light,7.0,463.69,14.23,0
105238,pro,email,light,20.9,812.52,3.98,1
106780,basic,none,dark,26.3,858.74,14.75,0
103231,basic,email,dark,10.7,411.83,5.64,1
111232,basic,email,light,16.7,555.88,13.8,0
101330,basic,none,dark,3.2,369.78,11.15,0
109372,enterprise,none,light,24.5,802.42,12.65,0
109192,pro,none,dark,33.2,860.27,8.85,0
101696,basic,none,dark,28.9,964.37,10.96,0
101289,basic,priority,dark,14.7,563.87,10.07,0
109779,pro,none,light,26.9,806.26,11.77,0
103308,basic,email,dark,13.7,379.16,6.6,1
100336,enterprise,none,dark,13.1,533.45,9.75,0
101780,pro,none,dark,9.7,400.95,13.38,0
105787,basic,priority,light,21.2,534.87,7.54,1
101881,basic,email,light,11.1,633.21,9.62,0
105825,pro,dedicated,light,21.4,775.99,4.34,0
107220,basic,priority,light,27.4,645.25,7.02,0
100762,pro,dedicated,light,16.7,561.91,9.38,1
110367,enterprise,priority,light,16.8,595.3,9.28,0
101854,enterprise,none,dark,15.3,686.97,8.97,1
106688,pro,priority,light,9.0,404.83,4.13,1
111573,enterprise,none,dark,22.2,515.06,11.36,0
103584,pro,priority,dark,14.0,438.71,10.25,0
101833,pro,none,light,12.1,559.81,13.54,0
111401,basic,none,light,27.1,771.18,7.83,0
