unit_id,region,stratum,cluster,satisfaction,office_temp_c,spend
139,us-east,smb,576,4,18.27,167.53
140,ap-south,smb,521,5,23.8,229.86
141,us-east,smb,276,4,19.75,282.42
142,us-east,smb,381,3,23.31,184.37
143,us-west,mid,451,3,22.48,381.79
144,sa-east,large,185,5,20.96,2272.87
145,ap-south,mid,160,4,17.51,936.2
146,us-west,mid,429,2,21.55,343.34
147,ap-south,smb,279,3,21.6,235.94
148,us-west,smb,211,5,20.02,112.89
149,us-west,mid,333,4,20.26,515.51
150,us-east,smb,298,5,23.22,256.92
151,eu-west,large,6,5,19.99,1347.24
152,ap-south,smb,358,3,19.92,377.3
153,us-east,smb,191,5,18.07,283.86
154,us-east,mid,153,4,20.54,876.14
155,us-west,smb,495,4,18.93,314.58
156,us-west,smb,187,2,22.97,274.09
157,eu-west,smb,402,4,17.86,184.43
158,ap-south,smb,110,4,18.73,288.5
159,eu-west,smb,404,5,22.81,206.3
160,us-west,smb,300,3,23.45,226.78
161,eu-west,smb,333,5,24.42,206.98
162,sa-east,smb,117,4,19.78,225.68
163,eu-west,mid,271,2,19.44,856.96
164,us-east,smb,144,4,19.7,156.96
165,us-east,smb,287,5,20.54,213.65
166,us-east,smb,163,5,20.76,308.01
167,us-east,mid,545,4,20.51,749.4
168,eu-west,smb,286,3,24.26,193.87
169,eu-west,large,42,3,21.59,953.5
170,eu-west,smb,219,2,19.18,324.43
171,eu-west,smb,344,5,16.58,367.75
172,us-east,large,583,3,21.2,1257.51
173,eu-west,large,391,4,22.81,1381.69
174,us-east,mid,459,4,23.69,492.08
175,ap-south,smb,80,1,21.28,375.48
176,eu-west,mid,140,3,20.56,578.11
177,eu-west,mid,28,1,20.08,744.51
178,ap-south,mid,351,5,22.3,709.56
179,us-east,smb,128,4,20.89,256.11
180,us-east,mid,30,1,22.4,676.87
181,us-east,mid,325,2,21.95,238.34
182,ap-south,smb,557,1,22.09,281.9
183,eu-west,smb,288,3,21.23,160.13
184,us-east,smb,218,4,25.55,178.19
185,us-west,smb,4,4,23.79,257.29
186,eu-west,smb,297,4,20.14,188.14
187,ap-south,mid,449,5,18.99,685.92
188,us-east,mid,595,2,20.78,788.13
189,us-west,large,4,3,22.11,1605.9
190,us-east,mid,235,5,22.93,448.99
191,ap-south,smb,270,4,21.93,210.21
192,us-west,smb,375,1,22.64,281.74
193,us-west,mid,589,3,20.95,640.12
194,us-west,mid,270,5,18.09,602.72
195,ap-south,smb,361,2,23.21,331.71
196,ap-south,large,79,4,21.98,999.97
197,us-east,smb,23,5,23.87,187.99
198,us-east,smb,580,3,19.43,301.6
199,us-east,smb,315,2,20.04,158.88
200,eu-west,smb,87,4,19.32,220.54
201,us-west,mid,217,5,22.9,620.93
202,us-west,mid,219,4,18.89,593.05
203,us-west,smb,487,1,23.63,269.31
204,us-west,large,550,3,17.12,1693.51
205,ap-south,mid,207,3,20.64,647.29
206,us-east,smb,559,3,17.88,324.04
207,eu-west,smb,65,4,20.0,271.1
208,sa-east,smb,33,3,24.89,207.32
209,sa-east,smb,475,4,20.36,217.17
210,us-west,mid,185,2,22.25,330.69
211,us-west,smb,315,5,18.33,302.81
212,us-west,smb,279,4,21.71,230.49
213,us-west,mid,386,2,18.62,641.61
214,us-west,strategic,296,1,19.76,5956.92
215,us-east,smb,510,2,21.35,356.22
216,us-east,smb,410,3,21.6,233.22
217,eu-west,smb,590,5,21.99,171.83
218,ap-south,smb,460,4,22.2,146.4
219,ap-south,mid,350,3,18.34,781.66
220,us-west,smb,586,4,22.08,147.04
221,us-east,mid,182,3,19.04,616.79
222,us-west,mid,287,3,20.01,921.85
223,us-west,mid,293,4,22.76,520.2
224,us-east,smb,478,4,20.64,279.77
225,eu-west,smb,185,5,19.19,219.7
226,us-east,mid,74,2,20.34,572.62
227,eu-west,smb,114,3,20.43,248.1
228,us-east,smb,471,2,23.18,224.58
229,eu-west,strategic,64,4,19.93,2838.94
230,eu-west,mid,296,4,20.6,521.77
231,ap-south,smb,296,2,20.08,177.28
232,ap-south,large,171,5,20.67,2097.84
233,us-west,mid,124,4,19.72,600.73
234,sa-east,large,116,1,23.56,1737.25
235,us-east,mid,451,5,22.88,305.86
236,us-east,smb,404,2,20.35,244.96
237,sa-east,smb,504,4,20.93,268.12
238,eu-west,mid,300,2,21.77,636.68
239,sa-east,smb,109,4,21.55,221.24
240,eu-west,mid,596,4,20.52,578.12
241,sa-east,large,583,5,25.7,1405.57
242,us-east,large,123,5,26.07,1310.46
243,us-east,smb,159,4,20.26,177.59
244,eu-west,smb,136,4,21.54,164.23
245,ap-south,smb,276,4,20.71,185.2
246,us-west,mid,522,2,17.53,793.09
247,us-east,smb,341,5,23.37,303.76
248,us-east,smb,158,5,17.96,208.58
249,eu-west,mid,255,5,22.94,440.62
250,us-east,large,393,4,18.7,1626.86
251,eu-west,large,65,5,20.28,1642.41
252,sa-east,smb,92,4,21.02,331.11
253,us-west,mid,424,5,18.57,912.52
254,us-west,large,502,3,22.04,1685.35
255,sa-east,smb,211,3,19.13,227.38
256,us-east,mid,94,4,18.64,463.33
257,eu-west,smb,431,2,20.23,207.34
258,us-west,large,440,3,20.63,716.23
259,us-east,smb,137,5,20.92,228.72
260,ap-south,smb,346,5,19.97,183.33
261,ap-south,mid,558,5,23.17,695.17
262,us-east,large,372,2,18.99,1577.01
263,sa-east,mid,375,3,21.05,792.47
264,us-east,smb,583,4,19.6,230.42
265,us-west,smb,188,4,22.87,230.91
266,ap-south,smb,56,4,22.97,229.65
267,us-west,smb,205,4,21.01,181.19
268,sa-east,smb,498,4,22.73,393.47
269,us-east,mid,369,4,18.84,571.66
270,ap-south,large,202,5,20.68,1274.33
271,us-east,smb,264,5,21.49,287.04
272,us-west,mid,315,4,19.85,571.52
273,eu-west,large,220,4,22.65,1635.32
274,us-west,smb,573,5,20.34,241.01
275,ap-south,smb,582,4,20.79,241.1
276,sa-east,smb,304,5,20.91,288.45
277,us-east,smb,149,4,19.01,204.85
278,us-west,smb,54,3,20.52,158.67
279,eu-west,smb,154,5,23.04,222.74
280,ap-south,smb,245,5,20.63,104.08
281,us-east,strategic,331,5,20.35,3566.73
282,us-west,smb,425,2,20.86,303.23
283,us-east,smb,193,4,20.16,181.17
284,us-east,strategic,82,4,23.1,4794.68
285,eu-west,smb,55,4,18.78,166.58
286,us-east,large,171,3,23.74,1854.68
287,eu-west,smb,515,5,22.53,329.06
288,sa-east,smb,19,4,20.72,216.41
289,us-west,mid,158,4,20.95,734.98
290,us-east,large,347,4,21.93,1254.44
291,us-east,smb,369,3,24.31,226.18
292,us-east,smb,114,4,20.42,245.65
293,us-east,smb,376,3,24.39,276.49
294,ap-south,smb,103,1,21.11,200.76
295,us-west,mid,95,4,22.81,585.28
296,us-east,smb,210,1,20.48,279.66
297,eu-west,mid,361,3,21.9,606.34
298,us-east,smb,107,4,19.22,250.13
299,ap-south,mid,170,5,24.26,529.63
300,us-west,mid,304,4,24.18,521.47
301,eu-west,mid,215,5,20.38,639.25
302,sa-east,large,570,3,23.29,2097.5
303,us-east,mid,436,4,21.58,748.85
304,eu-west,smb,409,3,19.23,278.56
305,us-east,smb,101,4,23.12,363.8
306,eu-west,smb,382,5,23.45,363.85
307,ap-south,large,331,3,19.68,1310.0
308,ap-south,smb,412,5,19.37,255.85
309,us-east,smb,545,4,17.85,304.05
310,us-west,smb,196,5,19.03,159.29
311,ap-south,mid,99,3,20.96,675.84
312,us-east,large,3,3,18.51,1318.5
313,eu-west,mid,596,2,19.56,799.11
314,ap-south,smb,358,1,20.48,215.06
315,ap-south,smb,247,5,17.33,222.88
316,ap-south,smb,301,4,19.73,182.08
317,us-west,strategic,69,5,21.14,3236.28
318,eu-west,large,22,5,18.71,1470.78
319,eu-west,mid,364,1,22.74,545.24
320,ap-south,mid,230,4,23.17,571.73
321,us-east,smb,121,5,21.46,339.35
322,sa-east,smb,585,4,23.13,246.52
323,eu-west,mid,347,3,19.84,692.35
324,us-west,large,191,4,21.93,1704.54
325,us-west,large,327,3,21.69,1867.7
326,sa-east,mid,539,4,22.87,518.54
327,us-west,large,65,5,21.19,1625.02
328,ap-south,smb,573,3,21.43,365.62
329,us-east,mid,176,5,21.91,873.15
330,us-west,mid,589,4,21.21,843.0
331,us-west,smb,555,4,17.65,202.75
332,us-east,smb,596,4,22.38,220.61
333,sa-east,smb,532,5,20.9,304.91
334,us-east,smb,548,3,21.83,248.93
335,us-east,smb,537,4,22.19,259.58
336,us-east,smb,468,5,22.49,275.3
337,eu-west,smb,232,3,23.09,180.37
338,eu-west,smb,293,2,19.64,244.42
339,ap-south,smb,562,5,19.23,249.4
340,eu-west,mid,217,5,19.52,469.39
341,us-east,mid,208,2,23.03,562.97
342,us-east,mid,244,4,24.93,185.16
343,sa-east,strategic,208,5,21.14,3579.59
344,us-east,smb,188,3,18.65,209.71
345,eu-west,large,219,4,17.39,1754.46
346,sa-east,mid,509,2,24.79,523.29
347,sa-east,smb,90,4,19.79,216.19
348,us-east,smb,418,1,21.52,177.87
349,ap-south,large,385,4,18.28,1240.85
350,eu-west,mid,76,5,18.12,622.71
351,eu-west,large,68,3,24.28,1794.72
352,eu-west,smb,472,3,23.36,277.15
353,sa-east,smb,555,3,20.9,234.81
354,us-east,smb,577,4,22.02,174.07
355,eu-west,smb,453,5,18.55,280.66
356,sa-east,large,248,4,18.22,1510.77
357,sa-east,mid,238,1,21.84,723.5
358,us-west,smb,364,5,23.52,143.46
359,us-east,large,497,4,21.01,1556.9
360,ap-south,mid,216,5,20.13,512.97
361,us-west,mid,440,5,19.73,532.61
362,ap-south,smb,165,5,19.76,302.46
363,eu-west,smb,501,3,21.33,367.24
364,us-west,smb,49,4,22.31,331.54
365,us-west,mid,527,5,23.51,327.05
366,eu-west,mid,591,3,20.89,510.79
367,us-east,large,155,5,19.68,1693.0
368,us-west,smb,159,3,20.83,302.87
369,ap-south,smb,400,3,19.16,224.4
370,ap-south,large,249,4,22.0,1113.36
371,us-east,large,451,4,21.55,627.06
372,us-east,mid,558,3,20.01,687.05
373,eu-west,smb,170,5,23.3,326.87
374,eu-west,smb,148,4,19.1,235.91
375,ap-south,smb,426,3,21.33,231.0
376,us-east,mid,123,5,18.77,726.77
377,us-west,large,505,5,20.25,1422.33
378,us-east,smb,479,5,21.13,259.98
379,us-west,smb,157,5,21.61,258.94
380,us-west,smb,298,3,21.58,109.33
381,us-east,mid,82,5,21.85,611.23
382,eu-west,smb,307,3,19.91,203.04
383,us-east,smb,250,4,22.33,147.57
384,eu-west,smb,125,1,18.57,146.94
385,eu-west,large,197,4,18.31,1795.74
386,us-east,smb,28,4,18.24,318.65
387,eu-west,smb,415,5,20.73,213.27
388,us-west,smb,241,4,22.14,286.93
389,eu-west,smb,261,5,23.07,272.0
390,sa-east,large,223,4,23.35,726.05
391,eu-west,mid,158,2,22.03,708.5
392,eu-west,smb,311,3,20.92,182.77
393,us-east,large,354,1,20.95,510.16
394,ap-south,smb,278,4,22.57,225.72
395,us-east,large,147,4,17.48,2227.24
396,us-east,smb,577,4,19.33,343.52
397,sa-east,smb,484,4,21.6,236.48
398,ap-south,mid,516,3,19.87,558.77
399,eu-west,large,462,4,19.22,689.37
400,ap-south,smb,72,5,23.76,175.04
401,eu-west,smb,117,2,19.37,258.0
402,eu-west,mid,118,4,21.2,578.53
403,us-east,smb,57,3,19.22,289.58
404,sa-east,smb,55,3,18.61,110.04
405,eu-west,smb,362,4,22.15,265.57
406,us-east,smb,23,1,18.49,168.17
407,ap-south,smb,511,3,21.95,273.95
408,us-east,mid,323,2,22.02,630.24
409,eu-west,mid,362,4,20.83,269.19
410,ap-south,smb,301,2,23.04,199.04
411,eu-west,large,598,1,20.5,1450.13
412,eu-west,smb,159,3,22.01,206.06
413,us-west,smb,356,5,22.22,203.03
414,eu-west,large,284,4,19.26,1989.37
415,us-east,mid,165,4,21.07,456.74
416,ap-south,smb,43,3,22.49,286.49
417,eu-west,strategic,545,2,22.59,3804.33
418,us-west,smb,494,3,23.44,198.1
419,sa-east,large,212,5,20.34,1416.49
420,us-east,large,411,5,21.98,877.25
421,eu-west,smb,390,4,20.28,162.11
422,eu-west,smb,112,4,17.26,180.48
423,us-east,large,409,4,21.01,1636.38
424,us-west,smb,430,3,22.2,268.92
425,eu-west,mid,88,4,19.92,657.49
426,ap-south,large,171,5,21.33,1939.89
427,us-east,smb,552,3,18.72,313.85
428,us-east,large,492,5,22.41,2252.49
429,eu-west,smb,304,3,22.48,399.31
430,us-west,large,556,4,20.0,1212.75
431,us-east,smb,229,5,20.98,306.26
432,us-west,smb,241,3,19.4,226.67
433,us-east,large,482,5,19.57,2131.1
434,us-east,smb,111,3,20.83,248.16
435,us-east,mid,365,4,23.71,620.93
436,us-west,smb,355,4,21.06,108.67
437,us-east,smb,516,5,20.71,182.17
438,us-east,mid,31,3,22.59,727.5
439,us-east,smb,186,4,23.16,328.13
440,us-east,smb,139,1,20.2,195.25
441,eu-west,smb,238,1,21.38,217.73
442,ap-south,mid,537,4,17.03,827.14
443,us-east,large,21,4,20.12,1027.33
444,us-west,mid,562,3,20.97,677.69
445,eu-west,smb,319,4,20.47,288.12
446,us-west,mid,514,3,19.64,493.59
447,us-east,mid,409,2,20.15,576.64
448,sa-east,smb,366,4,17.64,141.03
449,sa-east,smb,422,4,21.79,137.09
450,eu-west,smb,194,2,19.0,373.37
451,us-west,smb,165,4,19.08,178.21
452,us-east,smb,367,3,20.22,230.01
453,us-east,smb,223,4,19.69,232.89
454,us-east,smb,331,2,22.77,218.07
455,us-west,smb,126,5,21.01,275.72
456,us-east,smb,319,4,24.6,269.03
457,sa-east,smb,453,2,19.89,351.57
458,us-east,smb,486,3,20.95,312.89
459,ap-south,mid,6,2,21.55,898.14
460,us-east,smb,194,3,19.55,286.02
461,us-east,mid,90,3,19.82,652.76
462,ap-south,mid,385,4,23.88,425.01
463,ap-south,smb,339,3,21.78,210.81
464,us-east,mid,475,5,22.18,688.24
465,us-east,smb,101,3,22.11,239.53
466,us-east,mid,243,3,23.14,420.21
467,us-east,strategic,234,4,19.39,4915.17
468,ap-south,smb,526,4,19.89,227.8
469,us-west,smb,293,5,22.26,245.69
470,ap-south,smb,147,5,19.99,133.92
471,eu-west,smb,272,4,19.99,241.27
472,us-east,large,427,4,23.08,1325.46
473,us-east,smb,218,4,20.17,299.85
474,sa-east,smb,229,5,24.31,386.18
475,us-east,smb,422,5,20.99,218.09
476,us-east,mid,328,3,22.53,716.13
477,sa-east,large,591,1,24.8,2144.1
478,eu-west,smb,367,4,20.68,175.97
479,sa-east,large,296,4,20.29,1219.77
480,us-west,mid,189,5,19.05,546.06
481,us-east,smb,491,5,19.12,245.85
482,eu-west,smb,558,3,22.67,104.79
483,us-east,smb,421,4,19.11,223.4
484,ap-south,mid,336,4,20.99,594.32
485,us-west,smb,549,4,20.79,219.52
486,us-east,strategic,227,4,20.06,4132.02
487,sa-east,mid,215,2,21.08,830.62
488,eu-west,large,303,4,19.96,1161.28
489,us-west,smb,469,1,19.43,260.28
490,eu-west,smb,477,3,23.4,159.63
491,us-east,large,586,4,23.11,1231.42
492,eu-west,large,481,3,22.13,2105.16
493,us-west,smb,150,1,19.91,221.47
494,us-west,smb,252,4,19.23,335.07
495,us-west,smb,368,3,19.77,26.31
496,ap-south,smb,20,4,21.94,208.48
497,sa-east,smb,314,3,20.83,280.09
498,us-west,smb,533,3,19.32,243.49
499,eu-west,mid,325,5,21.1,445.28
500,us-east,large,544,3,21.9,1702.79
501,us-east,smb,515,3,20.23,200.65
502,sa-east,large,184,2,19.99,1512.5
503,ap-south,smb,434,3,20.8,280.23
504,sa-east,smb,506,1,21.96,192.42
505,us-west,smb,219,4,19.33,290.37
506,us-east,large,162,4,22.4,1402.17
507,us-west,mid,495,4,21.6,813.44
508,us-east,large,567,2,21.8,1752.72
509,eu-west,smb,568,2,16.74,257.79
510,eu-west,mid,55,4,19.63,574.46
511,eu-west,mid,393,4,20.62,680.62
512,ap-south,smb,300,2,20.51,346.92
513,us-east,mid,230,4,20.78,571.39
514,us-west,smb,255,4,20.85,225.99
515,us-west,smb,488,5,24.59,350.6
516,us-east,mid,202,5,19.29,532.96
517,eu-west,smb,527,5,22.72,268.36
518,eu-west,smb,407,5,22.24,206.13
519,ap-south,mid,492,2,19.01,697.4
520,eu-west,smb,27,4,20.73,246.36
521,eu-west,mid,329,2,21.39,725.8
522,sa-east,smb,461,3,19.42,248.98
523,us-east,smb,435,2,17.8,263.72
524,sa-east,smb,160,4,23.09,276.62
525,eu-west,mid,398,2,20.65,591.36
526,us-east,smb,125,3,22.4,132.65
527,us-east,mid,591,4,23.54,612.09
528,us-east,smb,366,4,19.99,213.57
529,ap-south,smb,579,5,20.72,241.1
530,sa-east,strategic,445,3,21.12,3308.6
531,sa-east,mid,149,4,20.94,549.61
532,eu-west,mid,244,5,18.18,495.83
533,us-west,smb,585,4,20.1,310.7
534,us-east,smb,518,4,21.17,277.51
535,us-west,smb,503,2,22.59,141.03
536,us-west,smb,419,4,20.07,140.93
537,us-east,mid,513,5,20.84,617.17
538,eu-west,mid,77,5,21.02,765.43
539,us-west,strategic,501,4,20.13,3357.65
540,us-west,smb,419,2,21.94,259.55
541,sa-east,smb,110,2,23.64,311.34
542,us-west,smb,387,2,22.11,271.66
543,us-east,large,174,4,22.78,1517.29
544,us-west,mid,313,4,20.57,779.7
545,us-east,smb,278,3,22.98,207.9
546,us-east,smb,226,4,23.22,325.67
547,us-east,mid,435,5,19.87,640.9
548,us-east,smb,475,2,16.04,367.38
549,ap-south,smb,414,3,17.46,238.38
550,us-west,large,101,4,21.8,741.83
551,us-east,mid,580,4,22.35,777.98
552,us-west,smb,334,5,21.6,112.4
553,us-west,large,90,1,23.69,1620.86
554,us-west,large,475,5,18.08,1731.46
555,ap-south,smb,113,3,20.82,266.14
556,us-west,mid,555,2,22.9,624.12
557,ap-south,smb,83,1,23.59,190.25
558,ap-south,large,571,3,19.11,244.39
559,eu-west,mid,159,4,18.16,692.62
560,us-west,smb,81,5,24.94,375.29
561,ap-south,smb,444,4,22.9,227.16
562,eu-west,smb,117,3,22.29,227.17
563,eu-west,large,509,5,20.61,1917.13
564,eu-west,mid,105,5,21.93,252.96
565,eu-west,smb,400,5,20.87,225.87
566,eu-west,mid,262,4,22.5,599.27
567,us-east,large,365,4,21.35,1754.07
568,us-east,large,175,4,18.84,1442.22
569,ap-south,large,564,5,19.94,1413.96
570,eu-west,smb,313,2,24.24,157.64
571,us-east,smb,344,4,24.18,244.77
572,us-west,smb,355,4,21.45,209.81
573,us-east,mid,102,5,21.76,496.01
574,us-east,smb,92,3,20.56,271.73
575,us-west,smb,15,5,20.13,169.8
576,us-west,smb,289,3,22.24,337.92
577,us-east,large,373,2,21.52,1207.92
578,us-west,smb,149,1,22.93,304.13
579,us-west,smb,40,1,18.04,194.63
580,ap-south,smb,359,4,20.35,233.54
581,eu-west,large,312,3,19.69,1875.17
582,us-east,smb,176,5,20.56,324.85
583,sa-east,smb,332,5,18.91,184.41
584,eu-west,smb,567,2,20.76,53.03
585,ap-south,smb,540,4,17.05,335.67
586,ap-south,large,348,3,21.69,1374.13
587,us-east,smb,418,1,19.52,262.72
588,sa-east,mid,145,3,20.53,496.22
589,eu-west,strategic,505,3,22.54,3794.45
590,us-west,large,342,3,20.93,1122.35
591,us-east,smb,87,4,22.64,198.82
592,eu-west,mid,204,5,22.92,805.61
593,eu-west,smb,556,4,20.57,322.36
594,sa-east,mid,523,2,20.71,420.69
595,us-east,smb,161,3,24.24,344.46
596,us-west,smb,408,3,24.22,155.81
597,ap-south,smb,54,5,20.15,297.05
598,eu-west,mid,441,4,19.55,709.6
599,us-east,smb,480,2,18.74,142.88
600,sa-east,strategic,214,3,20.38,5462.49
601,us-west,strategic,535,4,21.78,4664.82
602,us-west,smb,510,3,18.86,274.86
603,ap-south,smb,125,1,21.41,265.0
604,eu-west,smb,14,3,21.56,155.64
605,us-west,smb,147,3,21.19,207.14
606,eu-west,mid,552,5,18.72,839.1
607,eu-west,smb,599,1,21.36,305.53
608,us-west,smb,438,2,20.76,213.26
609,ap-south,smb,163,5,22.31,216.09
610,us-east,smb,185,5,22.02,228.2
611,ap-south,smb,566,5,16.16,220.62
612,eu-west,smb,293,1,21.72,249.99
613,eu-west,smb,591,5,19.28,213.97
614,us-west,smb,250,1,20.09,334.28
615,ap-south,smb,227,3,19.89,256.19
616,ap-south,smb,88,4,23.54,301.78
617,us-west,smb,104,4,21.74,140.84
618,us-west,smb,179,1,20.94,348.0
619,sa-east,smb,513,4,18.54,225.28
620,ap-south,large,397,5,24.12,1166.58
621,us-east,mid,217,3,24.45,512.99
622,eu-west,mid,72,4,22.85,654.2
623,us-east,mid,427,5,23.03,777.25
624,us-east,smb,578,3,21.1,261.45
625,eu-west,smb,30,4,19.87,281.48
626,eu-west,smb,121,5,21.64,227.48
627,us-east,smb,307,2,18.07,221.54
628,ap-south,mid,147,3,20.02,715.65
629,sa-east,smb,216,4,19.04,150.98
630,ap-south,large,321,3,21.74,1844.51
631,us-east,mid,355,3,25.46,675.87
632,eu-west,smb,180,4,21.6,4.94
633,us-east,large,325,5,21.74,1762.89
634,us-east,mid,241,5,20.92,386.53
635,ap-south,smb,531,5,24.03,27.34
636,eu-west,mid,165,3,19.16,510.92
637,us-west,smb,565,5,20.97,255.39
638,us-west,smb,305,4,23.45,265.84
639,us-east,smb,515,5,20.4,158.0
640,us-west,smb,53,3,21.1,217.28
641,us-west,large,127,3,20.16,1779.26
642,eu-west,mid,70,3,18.78,783.02
643,sa-east,smb,74,3,19.23,206.59
644,us-east,smb,518,4,23.02,179.08
645,us-west,mid,584,3,20.62,589.95
646,eu-west,smb,314,4,21.55,177.51
647,us-west,mid,377,2,24.06,560.69
