reading_id,hours_since_service,load_pct,vibration_mm_s,coolant_c,failed
134,1247.5,60.02,2.353,41.16,0
135,151.3,68.94,1.949,38.58,0
136,359.9,84.81,1.017,28.12,1
137,354.1,54.53,1.989,43.86,0
138,406.4,22.82,1.388,34.61,0
139,213.4,32.32,0.82,37.18,0
140,504.2,9.09,2.692,47.44,0
141,124.7,65.93,3.609,28.67,0
142,1203.4,45.55,0.9,39.39,0
143,450.0,43.41,1.234,33.8,0
144,592.4,27.75,3.585,37.85,0
145,65.8,51.69,2.018,41.17,0
146,583.3,52.12,3.458,37.26,0
147,265.8,20.17,0.993,40.89,0
148,224.3,23.23,1.221,32.61,0
149,340.5,27.31,1.841,30.67,0
150,702.2,75.17,2.757,42.6,0
151,439.2,36.51,1.425,36.95,0
152,376.8,62.92,3.654,47.01,0
153,465.4,21.66,3.544,42.76,0
154,146.9,50.01,1.625,38.47,0
155,445.9,37.4,0.959,41.45,0
156,285.9,45.68,3.234,37.9,1
157,475.6,31.73,2.735,49.22,0
158,1506.0,44.91,1.496,42.14,0
159,123.7,22.85,1.56,36.69,0
160,323.8,54.03,2.089,42.33,0
161,446.4,47.33,1.936,28.94,0
162,363.3,48.13,4.553,33.7,0
163,140.7,66.6,2.423,31.61,0
164,511.8,18.76,7.077,36.55,0
165,650.4,76.21,2.257,41.21,0
166,603.5,67.4,2.089,41.72,0
167,75.0,42.06,1.918,30.12,0
168,500.9,68.87,4.444,49.18,1
169,248.9,48.86,2.959,28.41,0
170,264.9,59.55,2.03,42.24,0
171,225.3,77.94,2.419,33.66,1
172,138.2,36.74,3.228,37.02,0
173,157.0,11.58,1.757,41.48,0
174,439.5,20.44,1.01,33.32,0
175,557.8,58.32,2.771,45.99,0
176,718.6,72.48,3.272,43.75,1
177,80.6,80.7,1.961,46.23,0
178,1457.9,81.22,0.593,51.02,1
179,855.4,56.35,0.8,40.58,0
180,282.2,37.92,1.022,47.06,0
181,97.0,36.72,3.304,38.4,0
182,329.9,76.93,1.369,32.91,0
183,146.8,57.92,1.795,31.36,0
184,131.4,76.01,4.973,46.27,0
185,205.1,78.37,2.088,33.25,0
186,58.9,21.08,0.749,33.9,0
187,451.4,31.4,3.68,20.15,0
188,259.3,64.16,3.154,45.52,0
189,140.9,16.09,2.191,28.91,0
190,152.3,47.87,2.489,35.76,0
191,400.0,43.77,4.174,33.53,0
192,91.1,61.86,2.566,41.52,0
193,989.4,74.62,2.779,29.9,1
194,108.2,82.0,5.604,39.38,0
195,427.3,52.2,6.45,35.79,0
196,296.4,16.57,2.498,42.19,0
197,769.7,57.22,2.313,36.56,1
198,286.8,61.68,2.707,44.84,0
199,711.9,40.79,4.281,47.89,0
200,170.6,53.32,1.747,46.83,0
201,722.5,75.42,2.461,30.88,1
202,187.9,33.41,1.456,23.19,0
203,501.0,33.15,5.81,42.84,0
204,238.2,38.79,0.912,46.65,0
205,102.5,60.82,1.332,43.21,0
206,465.2,74.12,1.253,35.73,0
207,872.3,57.17,2.465,45.2,0
208,266.5,30.65,1.653,48.24,0
209,320.9,76.4,3.636,34.78,1
210,413.5,5.91,1.13,45.34,0
211,700.5,28.97,2.438,37.48,0
212,1066.6,73.5,1.628,47.35,0
213,837.6,57.61,2.094,53.43,0
214,373.6,86.55,1.629,43.55,0
215,375.7,77.53,2.536,41.79,0
216,192.0,58.01,1.038,45.05,0
217,717.8,53.56,2.339,27.64,1
218,203.9,43.33,1.881,31.07,0
219,372.6,79.19,2.875,32.11,0
220,801.9,44.82,3.893,44.51,0
221,303.9,60.8,6.207,38.82,0
222,298.3,85.19,1.925,40.24,1
223,134.8,50.08,1.733,48.18,0
224,1046.0,49.65,1.866,33.01,0
225,485.8,87.66,1.391,25.95,1
226,644.0,84.46,1.587,43.27,0
227,532.0,19.1,1.027,36.0,0
228,149.5,52.42,1.698,38.78,0
229,451.1,36.14,4.254,34.98,1
230,427.4,35.23,2.283,37.08,0
231,119.0,46.93,1.76,29.09,0
232,180.0,80.93,2.442,42.22,0
233,1513.9,46.82,3.324,42.55,1
234,554.8,74.33,1.895,42.48,0
235,296.8,77.91,0.75,35.01,0
236,132.2,51.44,2.088,35.46,0
237,437.3,32.04,1.126,27.53,0
238,163.4,66.41,1.975,44.76,0
239,126.1,41.16,1.025,31.44,0
240,385.3,21.19,2.586,49.79,0
241,925.8,6.93,2.105,37.78,0
242,287.8,90.43,2.523,38.93,1
243,432.3,23.57,2.944,26.7,0
244,1515.5,75.37,10.984,34.49,1
245,354.4,54.51,0.996,30.03,0
246,549.2,50.13,3.203,42.34,0
247,23.2,64.39,2.651,30.94,0
248,834.7,82.09,2.83,38.91,1
249,1085.4,83.08,1.577,45.32,1
250,145.8,68.26,1.766,40.09,0
251,401.1,59.01,2.116,36.61,0
252,95.2,20.4,0.738,24.6,0
253,359.4,51.93,1.378,39.2,0
254,278.0,90.68,3.128,41.87,0
255,211.8,12.83,1.609,40.52,0
256,990.6,66.41,1.667,30.68,0
257,223.1,76.63,3.136,39.85,0
258,168.3,37.67,0.971,39.52,0
259,172.6,35.21,2.613,39.79,0
260,466.9,66.98,9.346,36.33,1
261,271.6,70.86,1.004,26.63,1
262,403.0,30.11,0.993,48.33,0
263,538.9,59.38,1.302,46.77,0
264,348.9,93.03,2.075,35.62,1
265,829.2,39.04,0.722,36.51,0
266,1119.0,67.06,4.346,46.04,1
267,419.3,79.81,2.246,41.97,1
268,91.4,56.41,0.99,37.61,0
269,373.1,55.79,4.1,42.52,0
270,178.0,70.63,2.718,36.92,0
271,181.7,15.96,4.52,42.08,0
272,346.6,29.54,1.401,32.82,0
273,538.2,74.45,1.542,43.32,0
274,515.3,38.7,4.038,37.04,0
275,209.8,46.99,1.214,41.05,0
276,141.4,48.34,1.488,37.77,0
277,475.8,73.03,0.876,36.68,0
278,446.8,57.58,2.731,40.64,0
279,34.5,59.09,1.796,28.66,0
280,260.2,70.57,2.383,47.45,0
281,477.5,47.25,2.854,46.72,0
282,416.8,80.62,3.543,33.95,1
283,399.5,69.86,0.869,35.85,0
284,631.1,77.55,3.457,41.05,0
285,559.6,34.73,2.084,37.41,0
286,301.4,35.95,1.718,41.28,0
287,441.6,54.57,3.913,26.39,0
288,153.1,56.26,2.622,41.42,0
289,343.8,24.2,3.981,33.95,0
290,946.8,66.55,1.497,31.18,1
291,406.8,29.9,1.616,30.7,0
292,143.5,17.89,3.687,34.01,0
293,616.9,80.54,1.979,41.4,0
294,297.9,18.37,1.606,43.38,0
295,1092.5,29.94,2.837,32.08,1
296,339.0,80.53,2.281,45.23,0
297,590.1,60.28,1.195,37.74,0
298,315.5,72.48,2.027,32.36,0
299,92.7,45.96,3.184,31.83,0
300,1028.0,24.16,1.586,32.79,0
301,282.3,76.2,1.486,37.51,0
302,292.8,76.94,1.38,31.71,0
303,684.7,16.67,1.907,34.76,0
304,412.4,68.83,1.369,45.74,0
305,542.6,34.41,1.795,39.69,0
306,413.7,39.27,2.517,28.91,0
307,738.9,47.77,1.847,31.71,0
308,423.9,59.99,2.717,40.27,0
309,312.6,66.73,2.665,40.21,0
310,236.1,71.73,1.596,51.25,0
311,443.7,74.85,3.828,40.16,0
312,400.0,75.03,2.045,35.14,0
313,209.6,84.6,4.822,39.44,0
314,379.9,69.3,1.183,41.17,0
315,442.1,76.9,5.182,39.92,1
316,792.7,47.64,1.998,50.56,0
317,94.9,39.62,1.343,42.07,0
318,115.5,69.61,1.085,37.98,0
319,255.2,62.66,2.078,38.12,0
320,795.1,34.81,0.715,40.21,0
321,283.0,25.87,1.552,28.52,0
322,379.9,35.09,1.615,39.56,0
323,120.0,56.93,3.001,35.95,0
324,776.6,73.42,1.581,38.86,1
325,623.6,59.77,3.086,25.51,0
326,433.9,30.22,1.286,47.02,0
327,440.7,60.97,0.801,49.12,0
328,173.4,33.36,2.691,31.89,0
329,731.7,82.34,2.526,33.05,1
330,64.2,74.13,2.619,44.88,0
331,586.5,29.94,1.473,28.46,0
332,314.8,65.95,2.207,42.09,0
333,573.4,61.73,2.247,53.58,0
334,682.0,84.65,3.931,32.02,1
335,224.0,59.54,2.136,27.14,0
336,561.9,37.14,1.919,42.01,0
337,407.3,59.78,1.7,40.7,0
338,81.9,37.69,1.441,36.93,0
339,56.8,15.9,1.461,35.46,0
340,636.7,46.48,1.913,34.39,0
341,260.5,74.01,1.648,41.42,0
342,280.3,74.21,4.169,42.52,0
343,137.9,48.94,3.306,48.34,0
344,478.3,52.68,4.378,31.4,0
345,613.7,73.9,2.27,43.68,0
346,416.6,69.81,2.022,41.87,0
347,97.6,59.39,2.249,35.9,0
348,630.7,90.91,4.446,40.22,1
349,189.0,66.23,4.755,32.82,0
350,269.7,86.81,2.097,27.04,1
351,392.9,37.54,1.59,43.71,0
352,514.7,75.07,4.042,35.35,1
353,147.0,71.53,0.8,39.69,0
354,329.7,67.67,1.647,35.34,0
355,396.1,23.88,2.318,46.68,0
356,454.6,40.56,2.041,29.72,1
357,615.0,72.8,6.484,32.57,1
358,63.9,28.81,4.538,39.29,0
359,175.2,85.92,5.65,46.73,1
360,214.4,52.01,2.172,36.54,0
361,676.7,38.92,1.827,41.07,0
362,268.4,66.57,1.926,40.33,0
363,443.3,27.22,1.415,29.24,0
364,35.4,41.95,3.116,36.86,0
365,615.3,50.79,1.463,44.21,0
366,240.3,62.1,0.906,43.05,0
367,463.9,75.77,3.601,40.43,1
368,92.8,65.03,2.414,37.47,0
369,364.5,38.89,2.55,24.36,0
370,716.6,45.66,2.568,51.22,0
371,306.3,90.61,3.457,37.49,1
372,830.6,41.69,3.433,37.83,0
373,266.0,33.88,2.776,44.6,0
374,423.3,28.83,5.643,40.06,0
375,698.8,38.2,1.642,46.44,0
376,772.2,36.72,0.53,36.66,0
377,187.7,21.46,1.737,36.56,0
378,178.5,64.89,2.935,42.16,0
379,189.0,87.36,1.554,37.73,0
380,199.1,63.76,6.43,41.89,0
381,327.5,68.69,2.011,37.26,1
382,1035.0,63.98,2.501,33.57,1
383,265.8,60.8,3.976,44.69,0
384,560.0,66.94,2.167,35.06,0
385,72.6,36.67,1.424,36.09,0
386,362.2,36.74,2.372,41.16,0
387,690.2,61.14,1.982,40.16,0
388,42.4,50.43,5.445,38.85,0
389,207.3,53.16,1.426,33.95,0
390,272.7,56.4,1.806,38.16,0
391,628.4,37.58,3.928,32.96,0
392,355.5,49.33,1.923,44.6,0
393,634.8,24.88,2.129,39.22,0
394,291.1,39.32,2.766,44.99,0
395,515.6,51.71,2.916,38.77,0
396,274.7,46.71,2.326,35.78,0
397,361.1,24.62,2.727,49.84,0
398,354.0,38.61,2.81,39.71,0
399,20.8,89.92,4.649,39.62,0
400,167.8,47.69,2.066,28.79,0
401,529.3,50.04,0.572,36.54,0
402,726.8,75.38,4.359,37.51,1
403,237.8,55.45,2.42,26.87,1
404,409.3,17.87,1.472,34.08,0
405,797.2,83.1,4.664,35.28,0
406,142.1,47.36,1.037,38.4,0
407,615.3,50.22,2.552,42.05,0
408,299.3,87.88,1.851,47.48,1
409,241.6,89.61,0.933,37.58,1
410,439.7,40.84,1.13,46.39,0
411,404.7,85.41,1.634,40.84,0
412,278.6,15.87,2.735,41.61,0
413,300.9,54.5,2.531,34.84,0
414,706.6,23.29,1.105,40.37,0
415,314.9,24.82,1.497,38.53,0
416,693.4,50.67,0.86,34.18,0
417,289.4,69.22,1.579,41.92,0
418,386.2,69.27,3.884,28.98,1
419,510.9,62.86,2.024,30.11,1
420,356.1,43.51,2.669,40.12,0
421,412.0,81.55,3.823,36.09,0
422,323.1,66.8,3.141,38.01,0
423,704.7,45.38,1.113,43.93,0
424,353.9,96.47,4.404,34.11,1
425,646.1,40.12,1.327,34.75,0
426,405.0,34.31,1.52,39.89,0
427,294.7,25.23,2.536,39.55,0
428,822.6,44.55,2.425,43.81,0
429,359.3,67.6,1.975,40.58,0
430,589.3,74.77,0.411,36.46,0
431,150.8,46.66,1.653,51.21,0
432,147.0,63.64,1.846,38.54,0
433,380.0,66.45,6.576,42.6,1
434,482.5,86.77,1.265,42.04,1
435,339.0,31.67,3.536,40.41,0
436,770.2,74.23,0.848,30.12,1
437,787.9,38.76,6.002,34.85,1
438,123.6,30.38,2.255,49.07,0
439,130.7,52.73,2.124,42.02,0
440,688.9,81.77,1.35,40.93,0
441,155.2,43.02,2.113,46.04,0
442,620.0,61.15,5.039,35.87,0
443,332.2,64.43,1.948,28.88,1
444,259.7,53.71,2.258,43.41,0
445,647.0,73.71,5.893,41.86,1
446,154.1,49.93,1.596,39.83,0
447,372.8,46.95,1.352,33.51,0
448,157.7,27.5,3.025,42.5,0
449,672.7,64.24,1.074,28.66,0
450,342.7,22.19,1.313,46.08,0
451,896.0,22.28,2.445,43.62,0
452,364.3,78.07,5.323,27.93,1
453,258.9,55.9,3.582,36.93,0
454,593.3,20.63,2.568,37.4,0
455,167.8,63.79,2.955,41.93,0
456,858.6,63.75,1.05,42.09,0
457,385.3,24.93,1.218,32.3,0
458,359.0,57.01,1.053,42.78,0
459,208.1,42.64,2.851,44.86,0
460,489.6,97.27,1.549,36.15,1
461,269.7,47.65,3.739,46.73,0
462,193.7,24.34,1.289,48.3,0
463,696.9,75.84,4.424,36.27,0
464,328.3,74.5,8.857,36.6,0
465,461.6,21.03,3.769,35.49,0
466,696.0,48.08,0.711,41.44,0
467,462.5,14.26,8.362,28.09,0
468,141.3,28.25,2.585,31.48,0
469,128.5,29.93,1.521,42.62,0
470,334.1,7.26,1.277,36.24,0
471,629.9,70.3,2.492,36.87,0
472,309.8,45.98,4.338,31.46,0
473,76.0,50.66,16.048,43.6,0
474,570.1,32.44,2.762,47.38,0
475,350.1,25.82,1.791,47.35,0
476,336.5,27.53,1.021,31.1,0
477,468.8,81.42,1.323,33.26,0
478,334.5,57.57,3.377,38.49,0
479,1552.1,60.95,2.883,49.09,0
480,272.9,66.12,0.606,40.7,0
481,637.6,45.58,1.856,34.21,0
482,517.9,39.05,0.983,42.3,0
483,104.2,81.55,1.999,29.17,0
484,430.9,68.27,1.349,34.48,0
485,77.0,44.82,3.688,47.39,0
486,607.0,81.86,0.958,37.88,0
487,346.3,68.92,1.625,51.32,0
488,683.5,35.12,1.176,40.69,0
489,465.9,47.89,1.575,31.97,0
490,679.1,59.74,4.993,33.29,0
491,1534.6,91.9,1.739,34.1,1
492,688.0,38.47,0.695,46.62,0
493,516.9,55.06,6.441,41.02,0
494,387.3,56.44,2.296,46.35,0
495,577.8,40.59,2.196,27.5,0
496,973.6,55.79,2.041,38.46,1
497,226.2,41.05,1.447,38.47,0
498,346.0,31.09,4.941,34.98,1
499,159.1,60.52,1.337,36.75,0
500,648.9,61.94,3.114,32.78,1
501,261.2,32.9,2.974,46.3,0
502,673.3,67.17,1.39,42.33,0
503,415.8,90.74,2.141,27.14,1
504,417.2,32.16,2.111,32.58,0
505,167.0,54.02,3.254,42.42,0
506,593.6,56.25,1.903,41.94,0
507,157.2,82.03,1.929,36.37,0
508,316.8,58.81,2.591,42.93,0
509,448.7,51.27,2.282,35.01,0
510,276.7,64.17,1.994,43.46,1
511,68.4,75.89,2.436,35.96,0
512,183.6,25.28,2.823,42.65,0
513,199.1,50.11,3.69,40.31,0
514,765.1,79.86,2.074,33.69,0
515,287.0,10.39,4.242,45.66,0
516,468.1,45.06,2.06,37.32,0
517,113.4,40.74,2.144,16.91,0
518,749.2,46.86,1.106,45.35,0
519,577.1,82.24,2.837,38.99,1
520,602.7,52.63,3.38,40.18,0
521,716.5,53.29,4.045,40.65,0
522,504.2,53.19,2.949,37.94,0
523,90.3,77.9,1.336,33.54,0
524,1250.5,71.69,1.065,40.16,0
525,246.5,24.61,1.618,32.59,0
526,51.1,59.56,2.457,41.92,0
527,269.7,72.17,2.416,28.42,1
528,414.4,37.87,1.676,28.11,0
529,247.0,81.0,4.794,35.1,0
530,29.9,82.67,0.796,40.52,0
531,247.4,75.88,1.388,36.77,0
532,464.0,78.78,3.804,25.28,0
533,312.6,61.18,1.606,36.67,0
534,198.9,29.44,1.36,37.52,0
535,327.4,75.11,2.849,30.14,0
536,273.3,70.46,2.772,39.75,0
537,335.2,63.66,2.931,42.07,0
538,432.9,94.05,2.91,31.11,1
539,454.3,49.29,1.494,40.54,0
540,935.2,38.17,1.393,33.68,0
541,1175.3,21.71,1.639,41.05,0
542,103.6,40.97,2.742,38.24,0
543,104.5,54.92,2.373,32.97,0
544,136.1,53.79,3.315,33.08,0
545,86.9,47.35,1.593,32.94,0
546,989.4,65.6,1.403,38.38,0
547,735.6,41.31,3.06,38.32,0
548,320.5,81.08,0.953,39.96,0
549,427.7,29.79,0.789,23.53,0
550,290.1,53.37,1.441,33.42,0
551,598.5,59.64,0.96,38.12,0
552,109.4,8.21,3.218,39.29,0
553,479.0,35.47,3.124,29.52,0
554,441.4,25.8,1.383,48.27,0
555,504.2,45.49,2.697,45.09,0
556,921.6,30.29,2.1,37.55,0
557,262.6,37.34,4.379,40.75,0
558,56.5,53.48,1.648,27.47,0
559,440.6,56.62,1.571,33.33,0
560,219.0,29.64,1.62,48.41,0
561,321.3,93.53,1.73,34.3,1
562,216.6,27.45,3.472,52.02,0
563,230.0,74.15,3.564,42.32,0
564,181.7,49.96,1.12,34.17,0
565,470.5,63.25,1.538,32.55,0
566,352.9,62.62,1.272,35.95,0
567,272.8,81.81,2.357,39.97,0
568,1241.0,17.68,2.368,36.54,0
569,207.9,66.36,3.519,42.31,1
570,481.8,57.68,1.736,38.92,1
571,222.2,42.94,1.549,39.08,0
572,1180.9,74.24,1.945,33.15,1
573,256.9,90.47,1.417,38.43,0
574,478.5,75.43,2.35,51.05,0
575,79.8,15.02,1.59,33.04,0
576,210.4,79.31,0.564,29.5,1
577,114.8,34.81,2.498,27.09,0
578,363.9,55.49,1.014,42.01,0
579,464.5,7.59,1.438,41.32,0
580,183.5,54.31,1.148,34.73,0
581,228.6,47.4,4.368,38.28,0
582,406.6,86.88,1.2,39.96,1
583,274.3,69.32,3.285,47.67,0
584,266.0,74.74,2.07,29.32,0
585,76.4,68.43,0.774,40.33,0
586,152.9,19.38,1.325,42.24,0
587,635.4,80.14,6.311,37.41,1
588,687.6,45.89,2.158,43.7,0
589,58.5,14.04,2.296,45.23,0
590,718.3,17.86,1.884,35.65,1
591,531.1,82.37,2.994,32.52,1
592,706.8,63.78,1.193,43.37,1
593,299.3,81.63,0.817,40.89,0
594,874.8,52.07,1.783,39.49,0
595,176.6,72.41,1.148,39.07,0
596,280.8,61.1,2.377,48.0,0
597,846.2,28.24,3.415,35.05,0
598,326.6,69.38,1.555,46.26,0
599,131.7,53.8,4.153,42.74,0
600,275.9,81.03,2.131,40.2,0
601,274.9,69.46,1.75,45.1,0
602,704.2,51.51,4.468,38.67,0
603,55.1,60.24,0.871,29.87,1
604,669.6,8.84,1.13,36.0,0
605,201.9,78.26,2.087,38.08,0
606,110.2,66.59,4.642,39.68,0
607,637.5,39.03,1.713,37.91,0
608,271.1,10.72,1.02,38.64,0
609,450.6,91.6,1.374,35.07,1
610,644.1,27.53,1.216,31.07,0
611,227.3,18.84,3.661,41.04,0
612,1050.3,39.19,2.618,37.26,0
613,238.7,64.31,2.626,38.17,0
614,154.2,37.96,2.484,33.8,0
615,551.3,73.32,2.061,34.78,1
616,832.5,75.68,3.527,39.03,0
617,831.2,46.26,1.449,40.29,0
618,262.0,59.05,1.568,41.71,0
619,502.7,18.13,3.863,38.91,0
620,463.2,49.02,2.027,41.5,0
621,569.5,58.81,0.798,33.91,0
622,354.1,27.08,2.402,46.27,0
623,557.5,60.03,1.565,42.29,0
624,594.6,55.7,4.011,26.92,0
625,974.9,86.18,2.787,41.21,1
626,606.9,15.2,1.402,29.74,0
627,44.3,59.24,4.277,42.28,0
628,225.6,31.22,2.941,42.66,0
629,308.4,40.86,4.843,40.02,0
630,457.6,19.78,2.179,36.45,0
631,78.6,51.36,1.484,39.78,0
632,545.3,44.11,3.033,20.36,0
633,106.7,72.72,2.869,41.76,0
634,572.4,27.79,2.072,33.99,0
635,508.9,45.7,1.284,51.56,0
636,728.3,42.98,1.809,30.39,0
637,705.7,63.54,1.965,35.8,0
638,293.6,27.44,0.814,27.47,0
639,884.8,63.44,1.781,35.53,0
640,572.2,72.15,2.886,30.84,1
641,200.7,53.06,1.164,15.1,0
642,314.4,60.51,7.895,31.67,0
643,227.7,51.18,2.874,25.95,0
644,636.4,56.53,1.202,41.07,0
645,297.4,39.53,1.406,33.24,0
646,664.4,93.27,2.006,38.41,1
647,501.9,84.5,3.732,41.99,1
648,247.3,15.01,1.054,40.77,0
649,486.9,35.2,1.044,35.89,0
650,467.0,65.35,4.47,24.66,1
651,539.9,19.38,1.959,29.85,0
652,600.2,47.12,0.962,28.56,0
653,758.4,62.94,2.45,20.88,0
654,506.1,36.8,1.511,43.79,0
655,541.4,56.2,1.394,33.34,0
656,727.7,13.75,2.486,34.4,0
657,687.8,68.79,1.361,39.77,0
658,571.3,30.43,1.57,36.33,0
659,530.8,69.62,3.286,39.9,0
660,1088.1,77.65,1.744,54.12,0
661,1000.8,70.04,0.608,36.49,0
662,487.9,71.73,4.178,38.73,0
663,38.7,64.76,3.647,35.5,0
664,344.8,59.9,1.672,29.51,0
665,744.8,26.28,1.207,41.71,0
666,161.4,28.01,1.316,36.14,0
667,349.7,62.01,1.311,40.03,0
668,789.2,36.44,1.831,33.73,0
669,237.0,42.71,1.901,47.14,0
670,932.9,67.55,1.944,38.53,0
671,679.5,67.57,1.625,45.3,0
672,510.3,39.97,1.167,45.0,0
673,558.1,62.12,1.346,31.82,0
674,251.2,38.91,3.123,49.63,0
675,464.6,92.75,3.054,35.51,1
676,507.4,72.52,2.021,35.4,0
677,89.3,65.45,2.751,56.71,0
678,387.9,26.85,1.022,42.91,0
679,320.9,85.53,1.902,46.44,0
680,846.0,61.92,1.256,34.91,0
681,178.6,49.89,0.915,32.59,0
682,680.1,35.85,1.373,36.96,0
683,783.2,61.26,1.117,39.93,1
684,636.2,77.82,1.575,45.28,1
685,90.1,71.3,1.024,37.95,0
686,265.7,52.25,1.403,32.15,0
687,617.0,91.82,1.362,41.03,1
688,299.3,64.52,1.938,28.81,1
689,748.3,54.09,2.193,50.25,0
690,231.3,49.59,1.615,24.86,0
691,383.4,98.62,4.074,32.94,1
692,247.8,94.5,1.309,36.74,0
693,50.0,46.82,1.055,36.74,0
694,228.8,93.95,2.189,22.52,1
695,970.2,11.82,1.307,43.96,0
