doc_id,topic,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47
10,3,-0.042998,0.110919,-0.002421,0.135715,0.008868,0.031306,-0.1973,-0.179711,-0.005426,-0.23093,0.045455,-0.084006,0.021643,-0.030587,-0.051225,-0.22422,0.001265,0.072045,-0.159729,0.228821,-0.052425,0.148643,-0.116991,-0.020103,0.10564,-0.150262,-0.126769,-0.169348,0.091362,0.285858,0.147617,-0.105092,-0.056716,0.026427,-0.164051,0.19786,-0.13174,0.135428,0.192564,-0.139635,-0.112406,-0.367474,-0.203604,-0.140645,-0.088573,-0.147357,-0.085388,-0.216715
11,3,-0.104864,0.03722,-0.065875,0.245398,0.033535,0.033753,-0.25451,-0.084478,-0.012086,-0.17472,0.027693,0.003944,0.025155,0.029429,0.008075,-0.192692,0.029804,0.079405,-0.216353,0.232802,-0.211745,-0.00479,-0.134705,0.017283,0.081547,-0.120255,-0.131307,-0.219202,0.172016,0.270995,0.128727,-0.166395,0.036707,0.016096,-0.082732,0.194514,-0.184337,0.23165,0.116634,-0.22728,-0.179231,-0.187325,-0.147191,-0.105882,-0.014616,-0.190157,-0.108874,-0.161359
12,1,-0.135428,0.070947,0.015331,-0.127053,0.006431,0.162279,-0.062841,-0.213281,-0.125937,0.055697,-0.100871,-0.067161,-0.148384,-0.125989,-0.035938,-0.201942,0.097059,0.170915,-0.127674,0.199345,0.005281,-0.244592,-0.105304,-0.202526,0.106802,0.116605,-0.117648,-0.129668,0.279696,0.1433,0.173089,-0.177319,-0.013786,0.104107,0.083455,0.181859,-0.050968,0.284069,0.062878,-0.169351,-0.167023,-0.184469,-0.027282,-0.060739,0.171349,-0.134856,0.125998,-0.227146
13,1,-0.093519,0.006841,0.021993,-0.07163,-0.02492,0.107816,0.078633,-0.200211,-0.190108,-0.026294,-0.112548,-0.036646,-0.092263,-0.037854,-0.07745,-0.167035,0.122092,0.166203,-0.146479,0.18091,-0.007228,-0.256738,-0.033733,-0.079214,0.069205,0.098808,-0.206262,-0.296434,0.100717,0.154071,0.161487,-0.217488,-0.026649,0.086966,0.161664,0.135445,-0.123191,0.255598,0.149799,-0.110014,-0.287303,-0.207551,-0.048963,0.020547,0.143271,-0.033065,0.074002,-0.2945
14,4,-0.117545,0.008166,-0.160249,-0.032275,-0.186098,0.036606,-0.120439,0.028663,-0.145848,-0.202195,-0.046107,0.047162,0.060738,-0.132528,-0.047712,-0.238395,-0.052958,-0.107143,-0.257187,0.227981,0.078206,-0.178483,-0.025264,0.055843,0.102336,0.193874,-0.114881,-0.016163,0.02405,0.162186,0.22353,-0.067792,-0.084038,-0.107821,-0.08699,0.105948,-0.1911,0.005786,-0.012106,0.012111,-0.365915,-0.298474,-0.154215,-0.128529,-0.025912,-0.129199,0.275135,-0.116023
15,3,-0.157413,-0.066551,0.034723,0.143756,-0.002018,0.005897,-0.133095,-0.177933,-0.004252,-0.02751,0.071621,-3.2e-05,-0.036829,-0.017551,-0.21924,-0.215078,-0.017858,-0.048982,-0.118299,0.292902,-0.08675,0.018816,-0.112737,-0.080689,0.050047,-0.112479,-0.109306,-0.155769,0.127089,0.275917,0.16658,-0.094044,0.082249,-0.066116,-0.059063,0.155768,-0.100404,0.213181,0.174908,-0.191936,-0.073782,-0.346631,-0.152669,-0.197384,-0.007697,-0.253099,-0.036557,-0.269441
16,5,0.059029,0.023939,-0.116586,0.019209,-0.085162,-0.143993,0.03049,-0.115689,-0.053558,-0.05815,-0.03113,-0.112739,0.081426,-0.193312,-0.004718,-0.146034,0.105582,0.181517,-0.077765,0.190629,-0.040094,0.032656,-0.131279,-0.116269,-0.016995,-0.004658,-0.124109,-0.375256,0.141927,0.124559,0.101447,-0.095853,0.031143,0.087748,-0.136598,0.29371,-0.008028,0.375104,-0.10997,-0.035416,-0.241571,-0.289519,-0.158855,-0.024429,0.057739,0.071184,0.241505,-0.142768
17,4,-0.051281,0.013043,-0.315776,-0.061016,-0.167637,0.026957,-0.11351,-0.042706,-0.064036,-0.105786,-0.048126,0.067012,0.018025,-0.022875,-0.06186,-0.409317,0.007014,-0.05387,-0.21823,0.265232,0.04347,-0.219716,-0.03782,0.079304,0.166722,0.164982,-0.010528,-0.025513,0.110599,0.185405,0.168884,-0.15102,-0.050627,-0.067585,-0.093318,0.126755,-0.149975,0.113729,0.06152,-0.069462,-0.315313,-0.276559,-0.145586,-0.175607,0.026409,-0.056702,0.078925,-0.096784
18,3,-0.072167,0.051568,0.009573,0.145665,-0.017442,0.116164,-0.135165,-0.116882,0.006674,-0.235111,-0.007604,0.135123,0.195472,0.048773,-0.124029,-0.189463,0.076361,-0.041886,-0.18811,0.353432,-0.100387,0.049429,-0.098756,-0.063691,0.119164,-0.059326,-0.093003,-0.245797,0.08151,0.176828,0.144385,-0.182429,0.133502,-0.036087,-0.05854,0.201482,0.013027,0.225714,0.162098,-0.140431,-0.003776,-0.309186,-0.244262,-0.107916,-0.003917,-0.107292,-0.038295,-0.215348
19,3,-0.015639,-0.00813,-0.062474,0.099491,0.089074,-0.055198,-0.094042,-0.098719,-0.086765,-0.141588,-0.034191,0.066617,-0.051394,-0.166929,-0.148181,-0.190835,0.031772,0.077114,-0.222365,0.338369,-0.045639,0.191575,-0.138546,0.019348,0.045519,-0.04103,-0.081412,-0.157528,0.059713,0.273695,0.226553,-0.130136,0.090517,-0.031567,-0.105211,0.184838,-0.043748,0.234175,0.099749,-0.291377,-0.154711,-0.257243,-0.210934,-0.061297,-0.06554,-0.178044,-0.050939,-0.200235
20,5,0.032555,0.061126,-0.12819,0.067235,-0.030356,-0.098461,-0.029791,-0.149754,-0.048848,-0.066657,-0.057084,-0.163622,-0.094696,-0.167029,-0.005958,-0.203645,0.107827,0.102995,-0.168393,0.184236,-0.082678,-0.080813,-0.153576,-0.066661,0.03898,0.140156,0.027961,-0.201189,0.126129,0.1414,0.049004,-0.123403,-0.02244,-0.004975,-0.057238,0.250304,-0.143272,0.356037,-0.011534,-0.154119,-0.342629,-0.411941,-0.012393,-0.100685,0.109803,0.049117,0.140719,-0.117988
21,1,-0.134165,0.04593,0.016599,-0.147031,0.065772,0.087179,-0.082384,-0.31805,-0.090149,-0.05457,-0.136121,-0.056988,-0.091317,-0.115544,0.063155,-0.140397,0.019917,0.138604,-0.135346,0.201457,-0.049364,-0.199394,-0.018037,-0.179554,0.062002,0.049901,-0.120347,-0.290245,0.221368,0.276885,0.089953,-0.198341,-0.064548,0.143386,0.110875,0.01532,-0.081029,0.279004,-0.00655,-0.141034,-0.231137,-0.169887,0.009847,-0.044541,0.128473,-0.105653,0.169873,-0.214333
22,2,-0.368812,0.066169,-0.132656,0.007993,-0.208536,0.044431,-0.023666,-0.073503,-0.232812,-0.06733,-0.117584,0.045895,-0.056506,-0.064252,-0.083902,-0.146607,-0.020174,0.071644,-0.079347,0.131786,-0.100443,-0.239312,-0.170062,-0.025333,-0.0026,-0.053149,-0.075817,-0.192617,0.152152,0.285981,0.043259,-0.06882,-0.054997,0.208749,0.02044,0.181224,0.091283,0.192872,-0.098657,-0.190752,-0.243272,-0.219163,-0.309372,-0.061162,0.081077,-0.044236,0.068805,-0.072122
23,4,-0.028328,-0.019871,-0.203343,-0.104078,-0.169973,0.027726,-0.217849,0.014687,-0.058386,-0.140062,-0.135975,0.04781,0.044223,0.003405,-0.031735,-0.320226,0.010467,-0.117845,-0.201342,0.206001,0.073853,-0.24687,-0.066671,-0.088054,0.194389,0.157236,-0.171906,-0.124502,0.063144,0.189108,0.168659,-0.200436,0.036117,0.029687,-0.079436,0.096756,-0.144397,0.062525,0.139894,-0.011995,-0.312866,-0.316121,-0.049006,-0.155146,0.014851,-0.063055,0.185111,-0.05816
24,5,0.044721,0.055237,-0.191124,0.007273,-0.077657,-0.088007,-0.0447,-0.19961,-0.048949,-0.038535,-0.041003,-0.198011,0.020317,-0.1259,-0.076241,-0.188525,0.040365,0.122285,-0.150848,0.283461,-0.082609,-0.11155,-0.216688,0.013201,-0.002676,0.152688,0.024107,-0.313212,0.075083,0.00227,0.056034,-0.110364,-0.015246,0.037765,-0.154033,0.279532,-0.158911,0.277818,-0.055522,0.002449,-0.360925,-0.248566,-0.205636,-0.093426,0.045985,-0.011742,0.077564,-0.104541
25,2,-0.135722,0.048056,-0.137647,0.055957,-0.234057,0.027276,-0.157945,-0.146578,-0.225635,-0.016782,-0.136436,0.129782,-0.003032,0.052497,-0.20702,-0.154029,0.031345,0.141745,-0.071004,0.159727,-0.182645,-0.142627,-0.122064,0.141955,0.012495,-0.057955,-0.103657,-0.099794,0.232155,0.302541,0.064953,-0.13383,-0.011909,0.164081,-0.013194,0.271942,0.034261,0.201694,0.103516,-0.111996,-0.221725,-0.263428,-0.179485,-0.118304,0.050788,-0.141198,-0.01638,-0.114998
26,1,-0.205217,0.070167,-0.010293,0.045005,-0.00627,0.119879,-0.094861,-0.208313,-0.158045,0.01372,-0.184944,-0.022678,-0.060494,-0.215084,-0.101138,-0.139557,-1.9e-05,0.140549,-0.178513,0.218583,-0.012118,-0.219145,-0.102201,-0.15448,0.079959,0.041431,-0.144594,-0.240675,0.148121,0.162919,0.200844,-0.249236,0.091304,0.0876,0.007647,0.190905,-0.097846,0.256236,0.075478,-0.089018,-0.275159,-0.136534,-0.055773,-0.119462,0.144941,-0.044569,0.124097,-0.182378
27,0,-0.12037,0.146524,-0.298799,-0.064035,-0.034709,0.070469,-0.102578,-0.105435,-0.162874,-0.283595,-0.095957,0.108401,-0.083901,-0.015621,-0.140478,-0.242177,0.032525,0.13631,-0.137041,0.205547,0.152752,-0.327263,-0.073051,-0.087862,0.001318,0.033039,-0.104581,-0.053059,0.099184,0.130373,-0.033635,-0.285063,0.079826,-0.067918,0.045278,0.25591,-0.124414,0.057419,-0.01877,-0.000478,-0.194766,-0.14222,0.171358,0.009747,0.027873,-0.110256,0.109702,-0.266082
28,0,-0.119302,0.073135,-0.188599,-0.206287,-0.000546,0.045574,-0.069111,-0.113349,-0.208623,-0.141317,-0.204818,0.047824,-0.190149,0.053577,-0.065818,-0.19455,0.079352,0.159213,-0.166378,0.268198,0.073773,-0.317618,-0.044703,-0.120128,-0.041952,0.063241,-0.142967,-0.086162,0.147628,0.100724,0.04034,-0.139118,0.155881,-0.115854,-0.020806,0.275732,-0.181176,0.093785,0.090686,-0.0808,-0.302273,-0.140178,0.114344,-0.007653,0.042821,-0.063079,0.094944,-0.208723
29,4,-0.080799,0.031546,-0.167433,-0.106424,-0.06276,-0.024317,-0.221412,0.013252,0.022063,-0.01876,0.022692,0.061905,0.092383,-0.070183,0.013468,-0.318177,-0.127828,0.003311,-0.247214,0.345132,0.104862,-0.246948,-0.03483,-0.075498,0.096682,0.170063,-0.072297,-0.055522,-0.033585,0.202718,0.146466,-0.141908,0.019092,0.03626,-0.100361,0.098144,-0.161599,0.07326,0.123131,0.036508,-0.323387,-0.291691,-0.207311,-0.05953,-0.036929,-0.177204,0.186679,-0.017331
30,5,0.067626,-0.022318,-0.117967,0.158701,-0.135137,-0.03384,-0.019788,-0.07259,-0.109924,-0.178108,-0.070845,-0.151728,0.069395,-0.305693,-0.100161,-0.210197,0.034313,0.09871,-0.090535,0.194794,-0.153721,0.036997,-0.102202,-0.083706,-0.060055,0.175762,-0.098533,-0.277001,0.038314,0.116904,0.035772,-0.079818,-0.113764,0.13397,-0.064006,0.265332,-0.092387,0.314458,0.108216,0.042299,-0.246132,-0.324788,0.00259,-0.109776,0.203202,0.077583,0.095071,-0.049163
31,4,-0.029,0.038755,-0.207799,-0.122244,-0.167594,0.008226,-0.134798,-0.001051,-0.118107,-0.075078,-0.06292,-0.002877,0.060085,-0.156948,-0.052711,-0.213396,-0.067874,-0.106081,-0.321216,0.264039,0.098374,-0.168165,0.042194,-0.012875,0.043849,0.133339,0.027132,-0.150971,0.074859,0.16504,0.130562,-0.225427,0.024498,0.121164,-0.127204,0.128249,-0.150429,0.14006,0.033771,-0.007266,-0.3451,-0.328569,-0.103515,-0.16553,-0.013621,-0.16974,0.160716,-0.095686
32,1,-0.222701,0.090324,0.062431,-0.176192,0.121828,0.168682,-0.054244,-0.29484,-0.170487,0.00408,-0.109457,-0.021007,-0.110849,0.015534,-0.074883,-0.129765,0.051031,0.091176,-0.071849,0.249353,0.020259,-0.232647,-0.026972,-0.20035,0.050745,0.111443,-0.151981,-0.122611,0.164454,0.177372,0.169097,-0.258372,-0.093623,0.119051,0.076495,0.157685,-0.173414,0.138291,0.044133,-0.195148,-0.220693,-0.142796,0.0294,-0.076729,0.183303,0.049372,0.138352,-0.207619
33,4,-0.008423,-0.027336,-0.242972,-0.140057,-0.086913,-0.049652,-0.133935,-0.07195,-0.09123,-0.144395,-0.011576,0.04029,0.135713,-0.131087,0.043474,-0.332057,-0.102032,0.005414,-0.176994,0.179337,0.154358,-0.294676,-0.122516,-0.04552,-0.044493,0.115444,-0.077072,-0.117342,0.02644,0.099598,0.205667,-0.037496,0.001889,-0.041793,-0.07165,0.128432,-0.204114,0.037851,0.019045,-0.018316,-0.394641,-0.285882,-0.170881,-0.130276,0.075903,-0.013242,0.219977,-0.11207
34,3,-0.065989,0.015783,0.01565,0.103771,0.012914,0.080882,-0.205407,-0.186936,-0.151776,-0.080179,-0.092916,0.084027,0.01279,0.004441,-0.097997,-0.132528,0.084833,0.099364,-0.085818,0.339613,-0.102055,0.165545,-0.176672,0.009965,0.020989,-0.102726,-0.107751,-0.138282,0.173272,0.245511,0.236234,-0.1486,0.02697,-0.043912,-0.087761,0.16142,-0.129978,0.154509,0.187908,-0.269191,-0.12753,-0.350674,-0.172254,-0.111058,-0.098063,-0.047466,-0.052388,-0.168527
35,3,-0.086371,0.015419,0.037584,0.081994,-0.005968,0.002142,-0.227732,-0.197983,-0.117354,-0.131975,-0.031607,-0.00553,0.017427,-0.005179,-0.284652,-0.104898,0.005813,0.142805,-0.179319,0.238874,-0.007591,0.043106,-0.182171,-0.090275,0.117089,-0.145995,-0.128257,-0.268112,0.131938,0.283965,0.192649,-0.018543,0.065909,0.076047,-0.052666,0.204363,-0.058102,0.127757,0.130175,-0.180135,-0.111271,-0.27461,-0.095142,-0.113715,0.045861,-0.266502,0.010783,-0.223514
36,1,-0.222894,0.03811,0.006031,-0.091478,0.126498,0.203066,-0.102603,-0.251256,-0.080996,-0.032291,-0.05125,-0.109947,-0.059816,-0.174575,-0.099589,-0.176589,0.103121,0.124234,-0.275922,0.131102,0.023812,-0.119143,-0.043717,-0.013877,0.055862,0.12085,-0.16911,-0.175703,0.130149,0.156204,0.076716,-0.196045,-0.026385,0.054917,0.053933,0.171444,-0.052325,0.358959,0.092832,-0.100846,-0.246912,-0.198615,0.034045,-0.059152,0.104769,-0.04617,0.062502,-0.323278
37,0,-0.111401,0.249871,-0.140909,-0.170199,0.058266,0.094557,-0.125596,-0.067761,-0.097711,-0.179093,-0.085187,0.137726,-0.040898,-0.001866,-0.0472,-0.288509,-0.00127,0.12738,-0.138606,0.337593,0.070099,-0.213265,-0.036984,-0.167547,-0.069779,0.070667,-0.111169,-0.133348,0.08351,0.060498,0.036244,-0.196892,0.154695,-0.02141,-0.010162,0.201684,-0.176278,0.183024,0.03093,-0.069,-0.232153,-0.209788,0.097925,-0.080835,0.076186,-0.014224,0.123474,-0.312956
38,4,-0.102212,-0.016493,-0.263824,-0.007942,-0.137221,-0.00658,-0.146976,0.004489,-0.077439,-0.042322,-0.0667,0.023805,0.064929,-0.165488,-0.02055,-0.334557,-0.065895,-0.096921,-0.307103,0.224398,0.137063,-0.137296,-0.076909,-0.004306,0.087012,0.136442,-0.11285,-0.069999,-0.007801,0.165006,0.202423,-0.070396,-0.019461,-0.023213,-0.109268,0.077707,-0.149083,0.095422,0.02795,-0.061214,-0.405996,-0.283078,-0.185552,-0.068943,-0.000173,-0.135915,0.190542,-0.098314
39,2,-0.165562,-0.100184,-0.007204,0.10461,-0.245011,0.055594,-0.058146,-0.117735,-0.258727,-0.038229,-0.1309,0.065203,-0.028095,0.027383,-0.150457,-0.147208,-0.05137,0.047154,-0.035061,0.090388,-0.119377,-0.257811,-0.13442,0.001585,0.010021,0.023132,-0.079186,-0.133802,0.210759,0.242584,0.071524,-0.063282,-0.159219,0.195351,-0.049111,0.269454,0.015737,0.277221,0.021107,-0.195912,-0.170854,-0.255055,-0.238522,-0.170617,-0.009341,-0.101279,0.155573,-0.126738
40,0,-0.131372,0.18025,-0.077054,-0.167728,-0.01338,0.086434,0.00686,-0.08877,-0.178018,-0.222286,-0.157677,0.035868,-0.039272,-0.10952,-0.124804,-0.231162,-0.057948,0.231401,-0.166082,0.245492,0.004277,-0.316225,0.043389,-0.08627,0.100145,0.077756,-0.127861,-0.166092,0.085721,0.148593,0.018389,-0.127808,0.160823,-0.025843,-0.001828,0.262589,-0.173068,0.069727,0.07882,-0.07549,-0.298495,-0.111001,0.104875,-0.080458,-0.00652,-0.03863,0.139497,-0.26172
41,4,0.019908,0.044701,-0.223028,-0.123644,-0.133146,-0.111548,-0.215965,0.019055,-0.028636,-0.083868,-0.048732,-0.092082,0.11424,-0.13414,-0.045981,-0.245653,-0.072091,-0.014475,-0.259849,0.235837,0.037714,-0.157112,0.008279,-0.059416,0.043769,0.233165,-0.002804,-0.094809,0.050307,0.253516,0.141794,-0.121974,-0.027867,0.042999,-0.108065,0.165716,-0.126554,0.175874,0.21145,0.051348,-0.330085,-0.269582,-0.144324,-0.077111,0.000992,-0.16964,0.190991,-0.090285
42,1,-0.219532,0.092447,-0.039116,-0.108813,-0.024954,0.239113,-0.068479,-0.168771,-0.12979,-0.062377,-0.117303,-0.01681,-0.123064,-0.01698,-0.034933,-0.269064,0.059096,0.149973,-0.194478,0.260434,0.035129,-0.234117,0.006147,-0.208194,0.049358,0.032539,-0.037995,-0.224988,0.19497,0.149624,0.095545,-0.172748,-0.083893,0.132665,0.114729,0.151968,-0.164268,0.19898,0.082336,-0.170351,-0.14526,-0.181583,-0.001554,-0.123573,0.182754,-0.0303,0.060666,-0.241843
43,3,-0.145054,-0.113316,-0.027021,0.132376,0.067521,0.000484,-0.198542,-0.144846,-0.037197,-0.160131,-0.077941,-0.100541,0.035016,-0.05958,-0.222494,-0.113444,0.035766,0.03187,-0.211578,0.285236,-0.162904,0.090453,-0.13051,0.012715,0.107539,-0.084366,-0.106185,-0.254636,0.105931,0.277013,0.124399,-0.11786,0.050442,-0.044896,-0.115973,0.172595,-0.105853,0.156475,0.122856,-0.201325,-0.08204,-0.278551,-0.182081,-0.14168,0.009989,-0.294749,0.005821,-0.128153
44,2,-0.213285,0.143003,-0.028349,0.090827,-0.352627,0.069707,-0.034034,-0.157838,-0.113515,-0.133268,-0.21258,0.143999,-0.096316,-0.023717,0.051721,-0.138951,-0.034275,0.067385,0.022812,0.161779,-0.080906,-0.076414,-0.115286,0.0264,-0.066687,-0.107668,-0.0833,-0.213723,0.126415,0.28974,0.063941,-0.124477,0.072543,0.187273,0.007402,0.080869,0.052021,0.239607,0.1686,-0.159992,-0.229589,-0.163956,-0.276383,-0.076956,0.14071,-0.101044,0.121156,-0.163488
45,0,0.011371,0.201089,-0.122634,-0.255662,-0.071959,0.126781,-0.062187,-0.069114,-0.013446,-0.158905,-0.098782,0.076304,-0.082979,0.030625,-0.194634,-0.262401,0.064009,0.142751,-0.117571,0.310195,-0.014088,-0.354872,-0.033353,-0.142795,-0.003314,0.196324,-0.153584,-0.034754,0.132794,0.130563,0.078911,-0.023691,0.194161,-0.046244,0.007624,0.200421,-0.063529,0.184633,-0.007026,-0.032959,-0.289203,-0.060652,0.08935,-0.05203,0.022316,-0.067365,0.158781,-0.242922
46,0,-0.10318,0.155892,-0.211374,-0.16274,0.082101,0.06352,-0.154067,-0.123315,-0.087545,-0.172281,-0.116215,0.137926,-0.164089,0.044511,-0.083879,-0.280108,0.039358,0.172672,-0.121736,0.262759,0.018488,-0.241446,0.031009,-0.059778,0.028578,0.065047,-0.053314,-0.144811,0.131768,0.025057,0.041404,-0.129862,0.124029,-0.109514,0.039361,0.22446,-0.120377,0.136463,0.046566,-0.002378,-0.289852,-0.19254,0.150636,-0.100539,0.103333,0.057133,0.15926,-0.329056
47,0,-0.149347,0.114346,-0.192828,-0.121952,0.069005,0.037867,-0.093986,-0.062261,-0.080299,-0.201025,-0.055784,0.045121,-0.058899,-0.064479,-0.072336,-0.280309,0.051774,0.119911,-0.186792,0.208984,-0.063461,-0.294585,-0.007395,-0.031124,0.001468,0.120137,-0.04944,-0.012122,0.06675,0.165401,0.01899,-0.185658,0.11513,-0.008198,-0.048621,0.224179,-0.122451,0.106166,0.05013,-0.043101,-0.295471,-0.182831,0.106852,-0.095769,0.067665,-0.116245,0.204877,-0.425597
48,4,-0.087306,0.04693,-0.164388,-0.029178,-0.149216,0.005133,-0.112532,-0.002263,-0.134996,-0.119786,-0.139309,0.068489,0.128075,-0.121724,-0.047824,-0.295947,-0.004127,-0.06577,-0.274721,0.303559,0.084013,-0.252106,-0.096727,-0.037015,0.269045,0.136638,-0.104091,-0.12012,0.120217,0.153906,0.100759,-0.128447,0.048551,0.118434,-0.134692,0.174947,-0.122048,-0.024223,0.054215,0.012998,-0.252729,-0.260245,-0.119469,-0.101645,0.001052,-0.057514,0.264297,-0.045565
49,2,-0.132739,0.033747,-0.04211,0.011085,-0.18373,0.05481,-0.122387,-0.229442,-0.132599,-0.117901,-0.071874,0.084979,-0.094335,-0.056055,-0.087127,-0.205599,0.019437,0.098587,0.00814,0.125383,-0.13462,-0.167487,-0.187273,0.001477,0.031508,-0.057896,-0.095584,-0.156317,0.22218,0.27753,0.089595,-0.122868,-0.007558,0.173875,-0.130009,0.170699,-0.064818,0.289867,0.073717,-0.10668,-0.25358,-0.292463,-0.314468,-0.095647,0.104336,-0.083284,0.087555,-0.099481
