week,ad_spend_k,revenue_k
173,50.88,156.878
174,49.107,164.302
175,51.357,178.32
176,30.751,117.773
177,59.265,190.173
178,28.984,105.83
179,22.471,80.952
180,27.661,92.664
181,19.314,82.879
182,41.577,146.679
183,21.524,77.724
184,30.361,134.114
185,15.221,69.355
186,29.668,112.623
187,45.799,174.069
188,36.698,140.105
189,42.837,136.538
190,38.534,134.68
191,2.921,6.389
192,56.734,171.752
193,27.36,114.068
194,48.161,167.787
195,15.241,66.603
196,33.858,118.3
197,53.807,201.089
198,47.672,153.063
199,51.796,158.391
200,4.373,23.194
201,47.827,168.548
202,12.702,39.787
203,48.676,180.745
204,49.072,184.005
205,43.455,149.023
206,42.96,155.574
207,3.354,20.691
208,21.105,89.453
209,39.435,129.521
210,20.217,75.38
211,21.002,78.708
212,9.639,47.668
213,52.39,189.349
214,2.817,14.615
215,31.332,105.393
216,58.173,197.993
217,23.071,90.703
218,39.441,141.266
219,23.021,74.574
220,54.177,192.954
221,10.75,52.289
222,52.608,177.949
223,42.481,138.811
224,48.648,158.016
225,7.812,34.118
226,46.579,160.303
227,54.185,188.789
228,5.767,35.566
229,47.206,166.027
230,52.974,180.065
231,9.51,34.958
232,51.52,195.026
233,34.442,117.653
234,54.601,199.689
235,38.415,142.796
236,55.835,176.628
237,46.53,153.263
238,50.313,169.506
239,26.84,109.057
240,37.073,136.206
241,25.229,96.336
242,56.739,187.289
243,39.289,137.212
244,35.876,125.755
245,56.657,197.698
246,12.792,50.322
247,35.31,120.074
248,44.667,155.078
249,34.366,122.671
250,30.079,107.049
251,18.335,70.079
252,2.621,22.432
253,23.224,77.973
254,53.472,179.065
255,40.965,133.39
256,41.244,147.192
257,12.301,52.415
258,10.015,44.854
259,40.518,154.47
260,46.02,168.517
261,56.328,187.026
262,51.853,170.331
263,48.7,165.794
264,31.742,107.166
265,14.572,57.961
266,35.78,121.537
267,13.355,53.686
268,48.787,168.818
269,9.568,38.839
270,38.842,145.206
271,16.983,58.877
272,22.802,85.273
273,5.789,16.009
274,29.551,98.601
275,10.763,51.363
276,47.166,163.11
277,11.257,39.039
278,25.069,97.236
279,56.377,187.302
280,29.908,113.826
281,24.668,80.613
282,32.153,120.464
283,3.749,31.668
284,25.797,112.142
285,9.796,51.922
286,28.638,107.861
287,28.479,109.654
288,14.945,61.155
289,21.396,71.753
290,43.947,155.639
291,32.754,105.961
292,19.232,60.579
293,55.661,188.5
294,2.094,18.374
295,22.13,72.997
296,34.864,121.978
297,15.722,62.076
298,47.012,141.322
299,14.016,49.749
300,27.912,103.514
301,20.255,74.421
302,10.364,57.355
303,40.678,143.59
304,28.566,102.585
305,5.275,23.446
306,42.569,164.899
307,24.09,95.433
308,59.991,204.888
309,53.942,180.704
310,19.09,81.962
311,47.54,169.719
312,3.299,23.805
313,15.685,58.723
314,22.574,95.256
315,8.474,43.698
316,33.578,110.734
317,43.295,147.778
318,37.376,148.628
319,7.244,54.719
320,40.11,136.302
321,46.368,162.862
322,2.199,12.513
323,55.728,180.313
324,27.335,94.99
325,36.095,111.532
326,41.66,156.236
327,32.122,112.879
328,11.835,59.096
329,28.976,116.516
330,28.517,113.604
331,7.17,23.332
332,51.763,178.409
333,29.084,99.33
334,17.866,69.756
335,2.987,28.821
336,7.454,32.894
337,55.021,193.419
338,48.692,182.226
339,13.352,62.925
340,45.091,148.435
341,45.796,155.764
342,14.711,52.342
343,38.437,126.209
344,42.975,152.805
345,22.748,78.89
346,33.889,122.627
347,31.644,111.848
348,34.249,119.31
349,18.85,78.53
350,15.791,66.509
351,30.58,110.857
352,43.837,154.658
353,38.846,140.095
354,17.89,73.601
355,51.421,168.881
356,51.937,171.207
357,27.944,103.156
358,53.981,174.436
359,9.161,46.917
360,57.33,186.076
361,45.737,146.945
362,53.097,180.751
363,55.521,185.353
364,53.328,176.598
365,20.408,84.376
366,45.002,157.186
367,49.524,175.797
368,4.571,26.706
369,31.583,97.811
370,13.077,54.022
371,38.481,142.825
372,25.158,99.401
373,36.821,127.292
374,54.251,185.944
375,48.515,174.551
376,51.124,174.251
377,5.709,27.881
378,24.214,86.106
379,54.967,189.068
380,26.18,105.839
381,33.019,124.14
382,34.612,122.488
383,13.201,62.385
384,2.935,29.63
385,30.702,105.893
386,40.945,134.597
387,55.746,191.308
388,29.417,108.486
389,7.971,43.317
390,58.577,186.681
391,8.709,43.904
392,36.399,128.811
393,51.028,171.782
394,50.95,171.454
395,15.026,50.295
396,5.132,10.411
397,36.503,126.994
398,45.294,161.718
399,33.47,125.001
400,26.026,97.177
401,51.711,180.232
402,15.166,58.859
403,26.406,100.355
404,26.311,108.876
405,2.167,21.552
406,45.418,157.979
407,26.197,90.858
408,59.086,208.995
409,5.762,35.162
410,23.385,83.668
411,30.111,114.744
412,4.371,28.868
413,8.217,46.181
414,26.154,99.831
415,12.743,48.234
416,42.206,146.53
417,25.108,101.574
418,11.74,52.275
419,26.459,98.15
420,6.41,42.047
421,43.888,147.344
422,40.658,147.493
423,22.658,89.871
424,43.687,150.185
425,55.343,182.957
426,44.758,152.811
427,50.132,184.283
428,47.789,172.665
429,4.096,27.269
430,52.526,172.11
431,43.346,144.263
432,11.049,44.164
433,27.096,86.241
434,59.206,216.629
435,59.187,189.497
436,8.213,48.765
437,12.848,52.16
438,16.403,64.969
439,42.31,152.169
440,54.459,193.421
441,13.203,58.163
442,30.852,104.847
443,34.564,130.57
444,37.922,153.291
445,40.137,136.099
446,10.661,37.069
447,34.341,111.973
448,3.635,11.587
449,51.267,167.028
450,49.166,168.615
451,18.264,56.719
452,42.199,145.275
453,11.223,39.579
454,16.823,59.214
455,35.804,128.618
456,42.663,151.161
457,31.395,113.771
458,2.891,9.698
459,10.99,52.747
460,15.904,75.783
461,11.171,49.742
462,48.129,156.275
463,13.852,56.85
464,29.304,112.991
465,10.399,47.906
466,34.958,116.31
467,52.844,183.654
468,51.683,179.358
469,32.356,114.664
470,6.598,34.242
471,26.711,103.646
472,12.631,59.836
473,41.225,148.552
474,14.15,73.186
475,30.958,107.164
476,30.866,111.679
477,38.758,133.872
478,51.974,189.84
479,58.589,203.074
480,22.041,89.789
481,53.363,185.52
482,34.105,116.238
483,36.119,130.183
484,16.572,58.193
485,54.509,190.696
486,57.301,189.97
487,28.224,93.452
488,23.404,91.051
489,34.951,123.125
490,19.117,67.115
491,38.243,128.008
492,26.847,94.949
493,7.174,44.703
494,13.41,46.225
495,48.622,150.496
496,3.595,21.189
497,32.641,121.562
498,8.882,28.856
499,29.835,99.178
500,57.814,194.004
501,49.078,177.053
502,39.838,136.573
503,25.574,101.552
504,21.348,73.214
505,37.951,135.361
506,16.81,81.475
507,2.691,16.374
508,57.933,203.837
509,29.228,99.728
510,47.233,166.742
511,47.078,164.569
512,3.579,27.155
513,58.262,214.919
514,13.5,48.648
515,24.779,95.719
516,57.171,183.432
517,39.713,144.081
518,54.848,187.169
519,53.289,176.372
520,42.896,152.187
521,34.176,118.861
522,30.756,105.418
523,29.896,116.515
524,45.171,158.781
525,34.685,140.605
526,11.849,56.288
527,49.935,171.101
528,26.163,91.42
529,18.859,76.736
530,20.993,94.256
531,25.047,89.504
532,27.319,99.754
533,52.851,180.002
534,46.403,145.516
535,41.064,143.958
536,21.402,89.044
537,18.742,79.416
538,8.613,49.501
539,36.914,125.57
540,6.217,30.845
541,15.847,64.667
542,22.735,90.303
543,38.629,132.384
544,15.309,56.683
545,2.351,14.107
546,15.945,74.508
547,2.102,22.525
548,13.788,50.929
549,59.992,208.281
550,56.793,200.576
551,2.823,22.982
552,23.804,85.144
553,26.835,105.456
554,3.662,12.815
555,20.739,75.693
556,54.991,205.164
557,42.434,156.519
558,19.29,89.599
559,40.106,144.696
560,21.445,75.019
561,10.546,37.142
562,14.282,54.46
563,5.181,32.716
564,41.751,138.782
565,21.507,83.382
566,53.707,177.937
567,37.28,129.241
568,54.929,194.157
569,8.217,41.043
570,12.666,65.691
571,16.56,61.193
572,52.719,177.48
573,23.434,100.292
574,25.241,83.823
575,27.958,104.646
576,52.057,191.825
577,59.308,202.965
578,33.844,130.059
579,11.863,48.249
580,16.73,74.406
581,2.697,1.194
582,13.508,39.703
583,35.965,127.065
584,30.573,102.936
585,21.221,84.866
586,36.587,113.98
587,36.082,137.009
588,12.93,58.373
589,12.775,34.344
590,4.235,25.368
591,12.608,64.319
592,47.117,147.402
593,52.818,174.761
594,40.856,142.053
595,2.375,16.506
596,51.604,172.713
597,50.928,181.073
598,3.4,17.294
599,59.619,199.126
600,51.554,180.914
601,44.25,154.538
602,9.037,41.595
603,53.926,179.78
604,12.199,59.084
605,35.111,119.775
606,58.001,200.532
607,39.226,142.551
608,2.791,32.292
609,33.243,115.034
610,56.121,194.048
611,30.662,115.494
612,24.879,79.803
613,20.127,77.77
614,33.082,108.451
615,3.097,11.188
616,13.87,58.579
617,45.143,140.523
618,48.992,176.557
619,3.882,23.536
620,28.187,106.126
621,23.66,78.892
622,23.674,78.753
623,44.86,157.661
624,30.443,109.193
625,4.93,23.628
626,23.956,97.054
627,4.955,19.407
628,8.071,33.059
629,46.513,170.141
630,15.551,49.623
631,6.125,37.766
632,6.457,40.044
633,36.736,134.794
634,47.607,153.631
635,55.826,197.658
636,2.535,18.317
637,52.081,175.252
638,15.388,48.824
639,25.296,103.071
640,13.969,50.25
641,58.874,194.372
642,46.353,159.181
643,35.136,122.124
644,34.568,125.675
645,33.441,114.476
646,7.214,43.583
647,46.785,171.708
648,38.284,125.903
649,34.948,121.088
650,29.57,116.734
651,12.972,50.445
652,53.578,172.99
653,27.893,111.449
654,41.342,147.957
655,5.084,42.051
656,8.89,35.455
657,20.728,73.511
658,56.887,199.994
659,3.058,41.183
660,42.53,152.149
661,59.282,207.727
662,29.682,103.792
663,9.388,44.31
664,52.101,187.002
665,37.86,127.547
666,10.012,33.398
667,44.189,157.523
668,47.413,152.245
669,3.762,33.12
670,5.487,35.593
671,24.094,86.614
672,8.34,37.07
673,54.056,184.674
674,52.308,175.165
675,58.993,200.631
676,25.173,91.213
677,8.675,43.846
678,21.354,93.701
679,31.629,124.811
680,47.74,173.179
681,14.427,48.655
682,49.874,171.888
683,15.644,60.243
684,2.469,11.182
685,25.383,80.322
686,17.554,57.082
687,16.647,68.176
688,43.086,151.24
689,7.797,37.48
690,24.409,99.098
691,13.166,44.74
692,24.789,100.645
693,22.024,84.023
694,4.572,26.033
695,33.192,112.915
696,15.334,64.371
697,6.443,31.454
698,24.234,88.808
699,58.01,172.418
700,9.491,50.715
701,51.525,189.452
702,44.331,167.038
703,23.761,84.712
704,24.72,99.509
705,31.123,114.234
706,28.398,100.584
707,32.0,111.87
708,22.385,83.062
709,7.161,26.099
710,49.379,165.894
711,44.894,150.215
712,36.825,136.495
713,3.276,16.217
714,8.401,53.022
715,53.404,179.52
716,29.591,90.517
717,10.132,47.813
718,12.124,43.835
719,51.207,169.788
720,53.489,192.917
721,24.686,93.209
722,58.081,214.534
723,44.08,156.413
724,59.747,193.414
725,9.506,55.252
726,17.083,65.305
727,34.308,122.597
728,26.574,97.947
729,20.988,85.19
730,8.908,35.553
731,6.057,25.031
732,59.467,208.849
733,13.58,56.43
734,43.886,152.043
735,51.986,168.462
736,26.086,79.582
737,34.767,132.527
738,12.189,49.83
739,5.674,38.761
740,3.283,26.903
741,34.127,101.568
742,35.387,137.809
743,49.907,171.958
744,42.367,156.293
745,54.766,199.763
746,2.411,7.959
747,44.427,161.421
748,32.631,117.61
749,39.596,137.138
750,26.989,104.408
751,19.423,80.986
752,12.596,38.708
753,47.453,164.047
754,41.544,143.872
755,20.424,74.195
756,48.996,177.699
757,41.816,156.292
758,8.9,25.961
759,5.335,31.746
760,22.815,90.174
761,52.737,189.721
762,47.454,164.454
763,25.576,99.301
764,16.023,67.743
765,37.787,130.011
766,31.641,109.626
767,45.357,152.253
768,2.122,27.016
769,15.366,70.918
770,7.021,25.638
771,15.779,60.037
772,18.853,73.763
773,36.637,139.451
774,43.194,172.971
775,20.75,89.611
776,59.836,200.663
777,10.798,48.62
778,25.446,91.004
779,54.482,187.892
780,6.941,32.45
781,24.612,94.261
782,9.957,34.972
783,10.994,45.695
784,11.187,53.946
785,30.373,118.458
786,43.358,156.417
787,59.704,200.177
788,36.885,131.157
789,7.742,38.223
790,32.383,125.293
791,23.64,105.372
792,40.473,131.405
793,19.839,81.42
794,48.231,162.112
795,3.996,20.877
796,42.845,150.743
797,12.375,35.48
798,28.593,84.319
799,12.373,50.009
800,50.142,185.864
801,19.097,74.531
802,55.802,189.406
803,53.624,182.256
804,22.247,78.595
805,13.27,43.653
806,9.061,29.454
807,11.484,40.796
808,26.151,94.276
809,19.383,77.788
810,3.883,22.601
811,13.26,60.396
812,35.212,111.542
813,45.257,147.635
814,15.852,48.268
815,12.02,59.949
816,36.149,134.772
817,6.021,23.422
818,4.007,26.003
819,12.822,53.526
820,45.728,160.463
821,31.331,124.999
822,26.345,108.008
823,4.197,20.332
824,9.557,49.44
825,53.883,201.877
826,43.695,152.053
827,39.423,146.849
828,12.251,43.421
829,53.891,166.063
830,37.921,135.956
831,38.296,129.337
832,10.095,52.689
833,30.677,93.614
834,7.576,27.721
835,58.481,195.663
836,45.951,173.367
837,58.84,188.882
838,16.449,51.953
839,12.431,48.681
840,22.439,79.459
841,42.662,153.483
842,24.384,91.682
843,46.082,152.219
844,17.613,69.634
845,42.114,145.751
846,33.809,121.869
847,51.056,188.061
848,43.482,142.487
849,6.214,42.331
850,37.58,130.162
851,52.468,185.506
852,20.158,71.763
853,22.142,64.044
854,30.496,105.077
855,30.323,115.439
856,30.815,107.792
857,42.559,152.375
858,2.973,14.382
859,18.041,74.356
860,49.563,168.208
861,30.638,110.145
862,48.293,165.783
863,4.493,36.029
864,55.865,182.672
865,38.654,120.421
866,7.967,56.359
867,38.817,134.019
868,34.036,122.958
869,53.824,183.443
870,10.693,42.751
871,54.239,175.871
872,10.527,66.483
873,29.529,106.521
874,50.077,172.895
875,24.287,84.879
876,9.555,36.641
877,37.396,141.477
878,53.49,165.319
879,43.246,159.222
880,33.301,138.845
881,26.413,94.136
882,19.607,65.457
883,20.272,76.214
884,6.277,31.922
885,48.691,151.485
886,8.292,52.561
887,53.819,181.955
888,47.01,165.314
889,45.721,158.355
890,23.498,87.897
891,44.443,157.031
892,11.258,38.874
893,9.913,49.567
894,51.16,185.609
895,7.379,25.701
896,39.764,145.24
897,26.854,85.633
898,44.704,162.414
899,50.336,179.678
900,17.552,59.905
901,46.151,151.231
902,36.675,139.993
903,54.875,180.399
904,58.628,204.455
905,27.399,99.937
906,41.058,140.146
907,43.349,156.531
908,27.847,95.294
909,34.99,131.405
910,57.249,187.492
911,51.306,176.85
912,6.03,36.838
913,39.66,151.801
914,23.195,84.397
915,51.267,183.026
916,57.739,177.619
917,30.156,108.338
918,48.739,165.671
919,3.369,18.053
920,37.989,134.724
921,45.824,150.218
922,21.666,67.531
923,30.21,100.272
924,25.036,94.804
925,53.554,190.3
926,11.825,46.405
927,8.452,33.624
928,18.163,69.85
929,13.31,51.727
930,14.251,67.886
931,8.034,36.978
932,36.66,121.109
933,42.664,166.118
934,53.729,183.496
935,16.299,55.718
936,14.191,61.007
937,40.075,142.096
938,7.1,34.206
939,46.899,171.365
940,41.884,137.433
941,12.957,44.356
942,40.399,135.02
943,4.335,15.68
944,12.983,48.871
945,17.098,59.263
946,40.422,137.447
947,46.218,165.564
948,17.117,62.153
949,10.602,34.75
950,43.48,172.034
951,13.426,68.003
952,8.214,24.425
953,50.634,179.38
954,12.126,50.873
955,57.564,190.348
956,50.936,174.431
957,59.914,208.986
958,41.181,152.427
959,51.16,190.959
960,47.124,151.802
961,6.907,36.596
962,9.408,48.899
963,11.214,47.641
964,24.103,79.561
965,56.235,187.797
966,16.955,60.379
967,15.184,53.708
968,37.723,134.557
969,43.195,155.682
970,17.199,70.135
971,9.237,28.838
972,39.09,135.268
973,45.293,154.964
974,38.777,131.287
975,5.947,21.789
976,34.666,127.879
977,48.8,173.452
978,38.948,134.313
979,27.658,100.464
980,7.654,41.548
981,19.592,73.368
982,4.862,27.445
983,41.941,153.548
984,13.063,52.516
985,56.77,197.648
986,6.038,35.749
987,45.207,158.107
988,15.409,74.835
989,35.659,136.325
990,2.366,28.621
991,5.746,33.422
992,16.774,50.161
993,23.962,98.428
994,3.917,13.961
995,30.715,112.668
996,39.391,147.366
997,24.003,92.895
998,35.621,133.82
999,31.729,104.833
1000,51.069,186.069
1001,58.26,192.742
1002,54.244,173.522
1003,43.678,156.271
1004,13.516,63.733
1005,50.609,159.611
1006,9.589,45.456
1007,26.036,102.81
1008,27.232,109.96
1009,17.832,63.518
1010,49.515,164.548
1011,49.648,168.384
1012,41.281,149.433
1013,24.628,86.037
1014,29.898,106.548
1015,2.32,16.661
1016,51.223,171.769
1017,49.918,169.93
1018,21.615,86.007
1019,15.92,70.894
1020,6.662,13.052
1021,29.815,111.411
1022,54.037,165.628
1023,28.704,98.395
1024,16.681,70.799
1025,44.811,153.414
1026,23.789,78.422
1027,31.919,112.892
1028,36.398,132.789
1029,29.28,100.465
1030,7.581,46.673
1031,31.032,106.179
1032,40.75,144.077
1033,54.553,192.175
1034,19.893,75.666
1035,28.499,99.291
1036,33.319,121.885
1037,50.035,167.422
1038,18.43,72.257
1039,38.597,137.724
1040,31.165,103.314
1041,20.843,67.547
1042,58.014,194.654
1043,9.966,35.128
1044,23.865,96.133
1045,43.845,165.198
1046,11.676,44.036
1047,30.867,114.701
1048,19.451,72.229
1049,3.83,23.397
1050,10.223,39.884
1051,16.72,74.809
1052,4.432,33.814
1053,14.987,53.161
1054,18.427,86.288
1055,37.496,110.262
1056,47.678,182.833
1057,11.983,53.118
1058,45.078,171.212
1059,45.108,164.148
1060,29.383,102.61
1061,40.598,138.613
1062,42.492,145.673
1063,59.056,210.557
1064,31.017,110.868
1065,29.8,116.713
1066,45.031,174.126
1067,40.478,130.005
1068,56.421,191.548
1069,18.323,67.39
1070,24.492,95.492
1071,28.032,89.643
1072,50.336,181.174
1073,39.266,146.1
1074,25.322,81.935
1075,5.126,17.465
1076,14.01,67.582
1077,35.745,123.871
1078,29.42,109.579
1079,35.287,113.099
1080,33.613,125.217
1081,10.494,35.568
1082,24.128,83.196
1083,17.588,72.022
1084,44.488,151.733
1085,37.942,136.299
1086,6.524,40.775
1087,8.435,27.171
1088,44.439,150.711
1089,35.991,137.13
1090,20.337,76.658
1091,3.622,35.25
1092,44.514,160.95
1093,58.896,205.959
1094,46.238,179.336
1095,20.65,81.257
1096,33.421,115.982
1097,19.659,70.738
1098,21.308,93.183
1099,57.248,201.128
1100,26.105,97.572
1101,54.914,197.353
1102,23.052,81.534
1103,29.789,99.098
1104,22.561,80.951
1105,28.02,104.614
1106,44.216,154.279
1107,10.432,47.062
1108,42.024,143.426
1109,7.954,18.166
1110,39.781,140.086
1111,36.322,116.731
1112,16.433,67.311
1113,40.956,131.248
1114,53.815,205.56
1115,9.917,48.75
1116,22.69,89.899
1117,59.482,194.577
1118,26.705,102.827
1119,51.124,185.247
1120,41.201,142.097
1121,5.317,40.141
1122,50.159,171.822
1123,34.899,137.133
1124,7.632,32.291
1125,37.005,141.451
1126,48.139,160.529
1127,33.266,129.504
1128,43.146,157.88
1129,23.517,100.706
1130,45.039,145.708
1131,16.692,84.093
1132,19.887,77.998
1133,55.538,179.826
1134,22.45,88.229
1135,28.368,102.837
1136,26.546,98.029
1137,34.503,116.46
1138,20.082,80.42
1139,15.472,62.431
1140,16.359,71.137
1141,17.575,63.723
1142,37.498,130.53
1143,15.151,51.721
1144,11.614,57.362
1145,3.809,20.176
1146,54.225,194.75
1147,13.584,56.432
1148,40.595,140.785
1149,53.359,173.564
1150,54.879,190.087
1151,12.518,36.695
1152,29.366,103.696
1153,28.836,102.801
1154,15.752,64.66
1155,39.653,153.873
1156,11.269,34.722
1157,50.528,185.103
1158,4.001,19.131
1159,29.102,111.208
1160,58.865,215.635
1161,31.979,112.781
1162,8.957,40.313
1163,55.782,189.227
1164,18.288,76.47
1165,54.029,195.382
1166,8.732,35.783
1167,35.081,129.882
1168,11.778,54.125
1169,51.359,180.899
1170,39.21,144.967
1171,57.834,200.407
1172,28.283,97.07
1173,41.259,145.038
1174,23.996,89.204
1175,35.577,122.531
1176,22.287,78.843
1177,4.243,22.955
1178,16.025,64.651
1179,44.212,150.658
1180,56.826,196.341
1181,34.744,103.282
1182,23.532,84.831
1183,42.246,147.839
1184,35.597,128.808
1185,44.061,164.399
1186,12.752,54.064
1187,33.205,123.048
1188,41.643,157.185
1189,43.405,147.915
1190,29.625,108.864
1191,13.122,46.852
1192,43.687,134.568
1193,32.993,116.613
1194,32.333,110.957
1195,9.231,53.379
1196,21.358,89.195
1197,3.845,9.292
1198,40.154,130.494
1199,19.691,89.043
1200,57.962,198.76
1201,16.816,49.792
1202,32.945,108.803
1203,26.488,99.685
1204,21.009,90.222
1205,48.593,185.199
1206,22.678,74.309
1207,22.556,82.504
1208,29.162,110.373
1209,40.529,143.623
1210,18.378,84.839
1211,24.444,87.248
1212,36.146,123.198
1213,20.478,75.349
1214,47.151,162.427
1215,32.127,122.873
1216,59.914,212.27
1217,57.859,203.334
1218,43.478,154.629
1219,44.884,153.481
1220,17.192,56.968
1221,24.172,85.479
1222,21.216,78.773
1223,24.558,94.759
1224,11.336,48.02
1225,15.437,63.786
1226,25.744,98.955
1227,54.295,174.728
1228,27.062,96.357
1229,23.934,96.692
1230,39.678,135.096
1231,48.62,164.763
1232,22.246,74.601
1233,9.283,30.434
1234,5.364,29.842
1235,40.102,144.878
1236,27.091,98.591
1237,11.894,43.543
1238,37.025,122.385
1239,17.909,81.4
1240,8.11,29.126
1241,37.303,129.165
1242,13.697,62.193
1243,38.941,136.151
1244,26.951,109.338
1245,13.085,56.953
1246,2.768,12.452
1247,55.907,182.273
1248,8.458,29.768
1249,31.556,110.226
1250,10.643,41.122
1251,7.711,51.373
1252,23.922,91.961
1253,20.936,78.668
1254,42.671,149.996
1255,4.607,32.118
1256,28.46,107.131
1257,53.721,184.583
1258,21.873,84.942
1259,42.243,140.674
1260,55.331,186.427
1261,33.193,116.867
1262,47.318,157.408
1263,35.232,127.833
1264,12.974,64.981
1265,9.059,62.014
1266,14.043,61.976
1267,13.467,46.19
1268,15.599,55.87
1269,9.363,26.354
1270,51.004,170.426
1271,45.33,148.81
1272,33.436,106.513
1273,50.202,164.4
1274,51.777,165.918
1275,17.872,76.511
1276,24.836,80.189
1277,30.364,122.409
1278,19.329,48.374
1279,49.307,181.88
1280,15.851,71.67
1281,29.117,120.822
1282,44.004,147.43
1283,19.974,81.733
1284,18.846,78.793
1285,46.262,159.271
1286,9.656,51.833
1287,59.265,196.016
1288,40.64,146.289
1289,54.237,205.365
1290,31.686,106.197
1291,55.994,187.436
1292,42.782,152.917
1293,43.866,166.402
1294,4.363,33.148
1295,41.535,133.805
1296,12.732,62.897
1297,20.055,70.284
1298,57.499,185.47
1299,30.996,109.397
1300,57.895,189.605
1301,52.6,176.38
1302,27.992,86.551
1303,36.326,133.89
1304,24.139,87.136
1305,58.529,195.605
1306,36.586,128.871
1307,44.387,157.544
1308,43.967,168.265
1309,7.216,25.745
1310,10.413,56.091
1311,36.634,122.282
1312,28.889,95.89
1313,8.917,39.509
1314,45.493,150.352
1315,35.228,135.016
1316,32.779,116.701
1317,2.171,17.967
1318,56.204,191.571
1319,5.786,34.218
1320,9.788,51.472
1321,57.927,202.044
1322,46.884,169.351
1323,29.743,120.705
1324,22.598,79.852
1325,2.566,13.548
1326,8.707,46.728
1327,13.211,58.872
1328,32.165,105.851
1329,29.857,104.917
1330,31.208,112.308
1331,25.516,102.296
1332,44.619,166.793
1333,6.389,44.642
1334,16.353,64.304
1335,50.009,181.872
1336,28.823,107.824
1337,2.09,21.752
1338,59.632,197.291
1339,21.729,79.679
1340,56.406,193.701
1341,52.427,177.918
1342,25.651,94.417
1343,44.896,153.083
1344,27.772,109.238
1345,44.919,159.883
1346,54.461,181.126
1347,42.207,151.984
1348,14.85,61.675
1349,33.409,134.053
1350,8.498,38.308
1351,58.389,195.409
1352,24.311,87.596
1353,54.128,193.159
1354,44.481,160.176
1355,45.788,153.847
1356,16.069,56.436
1357,55.98,186.427
1358,40.05,152.18
1359,55.858,195.384
1360,36.081,123.415
