label,logit,score
0,-1.650502,0.161041
0,-3.051604,0.045148
0,-3.026262,0.046253
0,-2.27015,0.093625
0,-0.32134,0.420349
0,-0.524772,0.371737
0,0.704658,0.66922
0,-2.867695,0.053774
1,-0.851795,0.299057
0,0.640668,0.654904
0,-2.498106,0.075991
0,-0.570296,0.361168
1,1.904391,0.870388
1,2.632479,0.932923
1,0.609803,0.647896
1,0.847492,0.700041
0,-1.753251,0.147638
0,-2.652174,0.065855
0,-0.067889,0.483034
0,1.250659,0.777414
0,-0.564314,0.36255
0,0.423618,0.604349
0,-1.362834,0.20378
1,1.632586,0.836524
0,-0.041091,0.489729
1,3.290205,0.964091
0,-0.895555,0.289965
1,0.941774,0.719458
0,-1.246681,0.223275
1,0.495252,0.621343
0,-0.008559,0.49786
0,-0.13923,0.465249
0,-0.519238,0.37303
0,2.302227,0.909061
0,-2.965215,0.049022
0,-2.283992,0.092457
0,-0.291233,0.427702
0,-2.004291,0.118753
1,2.105637,0.89145
0,-0.47185,0.384178
0,-0.821661,0.305411
1,-0.083444,0.479151
0,-1.696002,0.154988
1,2.552489,0.927741
0,-1.112736,0.247361
0,-1.737722,0.149603
0,-1.617187,0.165593
1,1.162244,0.76174
0,-1.263644,0.220347
1,2.335128,0.911745
1,-0.048249,0.48794
1,0.834001,0.6972
0,-0.947329,0.279422
0,-1.957581,0.123729
1,-0.545055,0.367012
0,-1.149933,0.240501
0,-1.445733,0.190659
1,3.172538,0.959788
1,1.479994,0.814572
0,-1.753816,0.147566
0,-0.153725,0.461644
0,1.057949,0.742298
0,-1.685022,0.156432
1,0.179654,0.544793
1,2.022309,0.88312
0,-0.365255,0.409688
0,0.273027,0.567836
0,0.463431,0.613828
1,-0.008363,0.497909
0,-1.59003,0.16938
0,-1.472643,0.186541
1,1.877885,0.867368
1,1.451627,0.810249
0,-1.966141,0.122804
1,1.437787,0.808112
0,-0.762027,0.318206
1,-2.461534,0.078599
0,-0.217928,0.445733
1,0.084553,0.521126
1,0.940672,0.719235
1,2.197885,0.900059
0,0.146488,0.536557
0,-0.419822,0.396559
1,1.18976,0.766698
0,-0.656267,0.341579
0,0.063338,0.515829
1,1.889733,0.868725
1,-0.090706,0.477339
1,1.483399,0.815085
0,-2.704484,0.062709
1,0.829616,0.696274
1,1.751703,0.852167
1,1.717988,0.847869
1,1.692409,0.844541
1,2.31671,0.910252
0,0.954134,0.721946
1,3.568287,0.97257
0,-0.786619,0.312895
0,-3.245848,0.037476
0,-1.256514,0.221575
0,-1.680949,0.15697
1,2.1889,0.899248
0,-2.695659,0.06323
0,0.376657,0.593066
0,-0.066589,0.483359
0,0.434863,0.607034
0,-1.535363,0.17721
0,0.208862,0.552027
0,-1.729079,0.150705
1,2.754133,0.940146
0,-2.278172,0.092947
0,-1.218008,0.228287
0,-1.10242,0.249287
0,-1.917056,0.12819
0,-1.449193,0.190126
1,-1.037631,0.261607
0,-2.155746,0.103795
1,3.092211,0.95657
1,2.373881,0.914814
0,-0.285595,0.429083
0,0.309001,0.576641
1,1.314137,0.788205
0,-0.54625,0.366735
1,1.574526,0.828428
1,-0.378711,0.406438
0,-1.102321,0.249305
1,2.638049,0.933271
0,0.691604,0.666324
0,-0.804516,0.30906
1,0.345286,0.585474
1,3.809653,0.978324
0,-0.357213,0.411634
0,-1.982828,0.121018
0,-3.709854,0.023896
1,0.799772,0.689926
0,-2.841861,0.055104
0,-2.404815,0.082806
0,-1.684043,0.156561
1,2.214934,0.901583
0,-1.260453,0.220896
1,1.96501,0.877074
0,1.156794,0.76075
0,-0.560512,0.363429
0,-0.471501,0.384261
0,-0.945414,0.279808
1,3.093123,0.956608
1,2.664569,0.934903
0,-0.325649,0.4193
0,-0.895803,0.289914
1,1.674761,0.84221
0,-1.763284,0.146379
0,0.852125,0.701013
1,0.20913,0.552093
0,0.228817,0.556956
0,-1.033034,0.262496
0,-3.38564,0.032747
0,-2.876133,0.053346
0,-1.017769,0.265462
1,-0.649933,0.343005
0,-1.330155,0.209134
0,-1.114809,0.246976
0,0.07457,0.518634
0,0.98762,0.728618
0,0.787735,0.687345
0,-2.617753,0.068005
0,-1.10519,0.248769
0,-1.348024,0.206194
0,-1.212921,0.229185
0,0.353137,0.587378
1,1.276253,0.781811
1,1.368533,0.797143
0,-1.639825,0.162489
0,-1.778421,0.144498
1,2.058388,0.886792
1,1.066437,0.743919
0,-0.532562,0.36992
1,2.185522,0.898942
1,0.567599,0.638209
0,0.681846,0.664151
0,0.342211,0.584727
0,-1.706922,0.153563
1,0.950208,0.721157
0,0.521235,0.627437
1,-0.080809,0.479809
0,-1.489031,0.184067
0,0.176449,0.543998
0,-0.303425,0.424721
0,-1.116515,0.246658
0,-3.11872,0.042342
0,-1.169653,0.236918
0,-1.201661,0.23118
0,-2.129104,0.1063
0,-1.879592,0.132436
1,0.614017,0.648857
1,1.287711,0.78376
1,0.553986,0.63506
0,-0.170119,0.457573
0,-0.812781,0.307298
0,-0.246218,0.438754
0,1.404356,0.802874
1,2.687055,0.936258
0,-0.726036,0.326065
1,2.270188,0.906378
0,-1.926874,0.127097
0,0.339209,0.583998
1,0.994939,0.730062
0,-1.72438,0.151308
0,-0.442209,0.391215
1,0.838345,0.698117
0,-5.2e-05,0.499987
0,0.976323,0.726378
0,-0.363254,0.410172
1,1.833244,0.862148
0,0.081679,0.520408
0,-0.594157,0.355682
1,0.287492,0.571382
1,3.405019,0.967861
0,-2.365875,0.085812
1,1.594434,0.831239
1,2.486733,0.923207
0,-0.808457,0.308219
0,-1.643514,0.161988
0,0.073142,0.518277
1,-1.137201,0.242835
0,0.320395,0.57942
1,0.616803,0.649491
0,-0.638306,0.34563
0,0.943274,0.719761
0,-1.34957,0.205941
1,-0.663464,0.339962
0,-0.616825,0.350504
1,1.864411,0.86581
0,-2.098903,0.109204
0,-1.392808,0.19896
0,-1.385415,0.200141
0,0.045271,0.511316
0,-0.291928,0.427532
0,-0.289457,0.428137
0,-1.630586,0.16375
1,1.693168,0.84464
1,-0.221308,0.444898
0,-1.326401,0.209755
0,-0.039538,0.490117
1,3.272364,0.963468
1,-1.833038,0.137877
0,0.493576,0.620948
0,-1.685125,0.156418
0,0.691289,0.666254
1,3.476652,0.970016
0,0.813878,0.692935
0,-0.574672,0.36016
1,3.604822,0.973528
1,1.957068,0.876215
0,-1.613927,0.166044
1,0.013797,0.503449
1,-2.149553,0.104373
1,-0.846509,0.300166
0,-1.3388,0.207707
0,-2.019738,0.117146
0,0.401907,0.599146
0,-2.090486,0.110025
1,1.279679,0.782395
0,0.633804,0.653351
0,-0.517172,0.373514
0,-1.280659,0.217438
0,-0.726416,0.325982
1,0.1179,0.529441
0,0.830531,0.696467
1,0.978771,0.726864
1,2.251035,0.90474
0,0.3239,0.580274
1,-0.155707,0.461152
0,-1.050842,0.259063
0,-2.361887,0.086126
0,-1.186353,0.233912
0,-1.14207,0.241941
1,2.576017,0.929302
0,0.724562,0.673611
0,-0.640695,0.345089
0,-0.832516,0.303113
0,-3.401691,0.032243
0,1.212954,0.770821
0,-5.113079,0.005982
1,-0.177835,0.455658
0,-0.735967,0.323887
0,-2.758932,0.059584
0,-1.74492,0.148689
0,-0.214612,0.446552
0,-1.188621,0.233506
0,0.154646,0.538585
1,-0.261598,0.434971
0,-2.82708,0.055878
0,-0.390323,0.40364
0,0.540421,0.63191
0,0.302301,0.575005
0,0.283635,0.570437
0,-1.0707,0.25527
1,3.144464,0.95869
0,-2.776108,0.058629
0,-1.954288,0.124087
0,-0.079907,0.480034
0,-1.094835,0.250709
0,-1.608456,0.166803
0,-1.862429,0.13442
1,0.284917,0.570751
0,-0.831309,0.303368
1,2.161139,0.896705
0,-1.578605,0.170993
0,-2.760864,0.059476
0,1.17666,0.764347
0,-0.457632,0.387548
0,-0.605588,0.353066
1,4.61682,0.990213
1,0.833488,0.697092
0,-0.171618,0.4572
0,0.568179,0.638343
0,0.490259,0.620167
0,1.311145,0.787705
0,-1.645179,0.161762
0,0.757726,0.68086
0,-2.007805,0.118386
0,0.215266,0.55361
0,0.323693,0.580224
0,-1.345771,0.206563
0,-0.489565,0.379996
1,2.503166,0.924363
0,-0.124739,0.468856
0,0.606836,0.647219
0,-1.949045,0.124658
1,1.64988,0.838875
0,0.218694,0.554457
0,-1.852013,0.135637
0,-0.537261,0.368825
0,-0.834932,0.302603
0,-0.74531,0.321844
0,-0.992908,0.270338
0,-1.844297,0.136544
0,-2.081352,0.110923
1,0.712699,0.670997
0,-1.586606,0.169862
1,1.447196,0.809567
0,0.488539,0.619762
0,0.901546,0.711267
0,-0.502705,0.376905
1,0.268693,0.566772
0,-0.131633,0.467139
0,-0.212136,0.447164
0,-0.112778,0.471835
0,-0.853788,0.298639
0,-1.881423,0.132225
0,-0.717667,0.327907
0,-0.341928,0.415341
0,-0.906541,0.287708
1,0.685763,0.665024
1,1.452257,0.810345
1,0.554988,0.635292
0,-1.496486,0.18295
0,1.08409,0.747267
1,1.264155,0.779741
0,-1.201225,0.231257
1,-0.331726,0.417821
1,0.287231,0.571318
1,0.794303,0.688754
1,3.436024,0.968812
0,-0.570941,0.36102
1,3.32428,0.965252
1,3.469195,0.969798
1,1.330095,0.790856
0,-1.410726,0.19612
0,-1.527219,0.178401
1,3.828868,0.978728
1,3.566631,0.972525
0,0.727708,0.674302
0,-2.081532,0.110905
0,-1.471079,0.186779
0,1.432605,0.807307
0,-0.293659,0.427108
0,-1.724155,0.151337
1,1.220439,0.772141
0,0.646852,0.656301
0,-0.175582,0.456217
0,-0.345458,0.414484
1,0.977144,0.726541
0,-1.822257,0.139163
1,0.387127,0.595591
0,1.037898,0.738444
0,-2.018627,0.117261
1,1.274004,0.781427
1,1.978097,0.878478
1,-0.94665,0.279559
0,-2.693082,0.063383
0,0.373307,0.592258
0,-1.980432,0.121273
0,2.325808,0.910992
0,-0.522103,0.372361
0,-0.782722,0.313734
0,1.185941,0.766014
0,0.700678,0.668338
0,1.620157,0.834817
1,0.669409,0.661371
0,-1.238,0.224784
0,-0.226147,0.443703
0,0.196919,0.549071
1,2.683612,0.936053
0,-1.398721,0.198019
1,2.002916,0.881103
0,-0.295223,0.426726
1,0.192966,0.548092
0,-0.163359,0.459251
0,-3.039676,0.045665
0,-1.043469,0.260481
0,-1.53383,0.177434
0,0.411017,0.601332
1,-0.055403,0.486153
0,-0.720427,0.327299
1,4.031909,0.982569
0,-0.0515,0.487128
0,0.03147,0.507867
1,2.978778,0.951606
0,0.341688,0.5846
1,0.939474,0.718993
0,-0.538197,0.368607
1,0.150427,0.537536
0,-2.120583,0.107112
1,-0.660836,0.340552
1,2.299898,0.908869
1,1.200188,0.768558
1,1.70676,0.846416
1,1.285544,0.783392
0,0.494938,0.621269
1,0.294597,0.573121
0,1.27291,0.78124
0,-2.285494,0.092331
0,-1.90595,0.129437
1,2.509626,0.924814
1,1.797363,0.857828
0,-2.101194,0.108981
1,0.943213,0.719748
0,0.18722,0.546669
1,1.101879,0.750612
0,-2.559405,0.071797
0,-0.388339,0.404117
1,1.983573,0.879062
1,0.697035,0.66753
0,1.653827,0.839408
0,-0.214688,0.446533
0,0.278447,0.569165
0,-0.492092,0.379401
0,-1.612489,0.166243
0,0.402189,0.599213
0,-0.518771,0.37314
1,-0.231931,0.442276
1,0.862824,0.70325
0,1.781638,0.855899
1,1.348044,0.79381
1,-1.739974,0.149316
1,1.61532,0.834149
0,-0.145269,0.463747
0,-1.225546,0.226962
0,1.099132,0.750097
0,-2.580528,0.070402
0,-0.602286,0.353821
0,0.622614,0.650813
1,-0.334105,0.417242
0,-0.038884,0.49028
1,-0.850012,0.29943
1,3.550146,0.972081
0,-0.727536,0.325736
1,-0.379108,0.406342
0,-2.769628,0.058988
0,0.080291,0.520062
0,-0.887911,0.291541
0,-0.345179,0.414552
0,-3.293704,0.035788
0,0.787691,0.687335
0,-1.083077,0.252924
0,-1.054028,0.258452
1,2.843991,0.945007
0,-0.38893,0.403975
1,2.082426,0.889183
0,-2.976269,0.04851
1,-0.94608,0.279674
0,-2.17371,0.102136
1,-0.324718,0.419526
0,0.933674,0.71782
0,0.937724,0.71864
1,-1.36311,0.203735
1,0.098145,0.524517
0,-1.428508,0.193331
0,-1.610017,0.166586
0,1.1179,0.753599
1,1.132299,0.756263
1,-0.69155,0.333688
1,1.894482,0.869266
0,-0.465613,0.385655
0,-1.9783,0.1215
0,-1.79686,0.142234
0,0.483165,0.618495
0,-3.768208,0.022572
0,-2.210234,0.098835
1,2.671246,0.935308
0,-1.301891,0.213847
0,-0.684137,0.335338
1,3.277035,0.963633
0,-3.378156,0.032985
0,0.54967,0.634059
0,-2.769932,0.058971
1,1.053848,0.741513
0,0.300934,0.574671
1,-1.395651,0.198507
1,-1.797999,0.142095
1,0.721791,0.673001
1,0.292071,0.572503
0,-0.322702,0.420017
1,0.343654,0.585078
0,-1.387184,0.199858
0,-3.0528,0.045097
0,-2.750266,0.060072
0,-1.472939,0.186496
0,-2.706512,0.06259
0,-1.535295,0.17722
0,-1.895054,0.130669
1,0.304636,0.575575
0,1.28219,0.782822
1,1.279564,0.782376
0,-0.153912,0.461598
0,-0.695538,0.332802
0,-0.974917,0.273902
1,1.40205,0.802509
1,-2.69457,0.063295
0,-1.667222,0.158795
0,1.807013,0.859001
0,-1.314325,0.211764
0,-3.447258,0.030851
0,-1.069285,0.255539
1,0.314234,0.577918
1,1.480059,0.814581
0,-0.039578,0.490107
0,-3.075001,0.04415
0,-1.264353,0.220225
0,-2.83288,0.055573
0,1.575597,0.82858
0,-1.348825,0.206063
0,-1.869648,0.133582
1,1.551251,0.825094
0,-1.884552,0.131867
1,2.420334,0.918365
0,-0.07898,0.480265
1,0.163032,0.540668
0,-2.01268,0.117878
1,1.273228,0.781295
0,-2.136281,0.10562
1,1.848015,0.863894
0,-0.558949,0.363791
1,-1.885152,0.131798
0,-1.704208,0.153916
0,-2.311694,0.090159
0,-1.612887,0.166188
1,2.287975,0.907876
0,2.537264,0.926713
0,-1.54053,0.176458
0,-0.569358,0.361385
0,2.328551,0.911214
1,1.780284,0.855732
1,-1.53689,0.176988
1,0.776859,0.685003
0,0.004191,0.501048
1,0.356158,0.58811
0,1.65061,0.838973
1,1.77871,0.855537
1,2.464533,0.921618
1,0.927977,0.716665
1,0.628715,0.652198
1,0.984041,0.727909
0,-1.174306,0.236078
0,-1.994356,0.119797
0,-2.955708,0.049467
0,-0.225964,0.443748
0,-0.722465,0.32685
0,-1.420366,0.194604
1,0.081622,0.520394
1,1.184754,0.765801
0,0.729816,0.674765
0,1.0001,0.731078
0,1.620194,0.834822
1,0.60449,0.646683
1,1.747787,0.851674
0,-0.83986,0.301564
0,-0.156861,0.460865
1,0.587863,0.642875
0,-0.348558,0.413732
0,-1.350977,0.205711
0,-0.58002,0.358928
1,1.934782,0.873778
1,0.848326,0.700216
1,2.717005,0.938023
0,-1.239878,0.224457
0,-2.468803,0.078074
1,-0.498884,0.377803
0,0.532662,0.630104
0,-3.302915,0.035471
1,-0.946762,0.279536
0,-0.480891,0.382042
1,-0.58761,0.357183
0,-0.802157,0.309564
0,0.484701,0.618857
1,-1.974123,0.121947
1,0.024552,0.506138
1,2.308,0.909537
0,-1.407533,0.196623
0,-1.018885,0.265245
0,0.967753,0.724671
1,1.222234,0.772456
0,-0.109748,0.47259
0,-0.033472,0.491633
0,-0.507176,0.375856
1,2.286041,0.907714
1,1.697833,0.845251
0,-2.99313,0.047737
0,-0.355818,0.411972
0,-0.167776,0.458154
1,3.30214,0.964502
0,-0.550366,0.36578
0,-0.700537,0.331693
0,-3.389327,0.032631
1,2.538361,0.926788
0,-0.352879,0.412684
0,-1.149579,0.240566
0,-0.64178,0.344844
0,-2.356177,0.086576
0,0.551741,0.63454
0,1.172367,0.763573
0,-1.081093,0.253299
0,0.291935,0.57247
0,0.528537,0.629142
1,-0.898232,0.289414
0,-0.031537,0.492116
0,0.245132,0.560978
1,0.721798,0.673003
0,-1.520989,0.179316
0,-0.146069,0.463548
0,0.584671,0.642141
0,-3.564001,0.027545
1,3.335078,0.965613
0,0.049678,0.512417
0,-3.041729,0.045576
1,1.48798,0.815775
0,-0.036391,0.490903
0,-0.264665,0.434217
0,-0.853427,0.298714
0,0.424555,0.604573
0,0.853243,0.701247
0,-0.295959,0.426546
0,-1.781862,0.144073
0,0.995962,0.730264
1,1.847186,0.863796
1,1.720168,0.848151
0,-1.503007,0.181977
1,1.27131,0.780967
1,-1.478348,0.185677
0,-0.862795,0.296756
0,-0.079102,0.480235
0,2.231024,0.903001
0,0.696378,0.667384
0,-0.473783,0.383721
0,-1.194832,0.232396
0,-0.34793,0.413884
0,-1.853507,0.135462
0,0.777157,0.685067
0,2.443503,0.920085
1,0.838754,0.698203
0,-1.352277,0.205498
0,-3.240411,0.037673
0,-0.716555,0.328152
1,1.503705,0.818126
1,0.494073,0.621065
1,0.574048,0.639697
0,0.346652,0.585805
1,1.247948,0.776944
0,-0.795145,0.311065
1,0.986768,0.728449
1,0.981948,0.727495
0,1.688364,0.844009
0,-0.978156,0.273258
0,-0.554568,0.364805
0,-0.863754,0.296556
1,-0.685609,0.33501
0,0.419362,0.603331
0,-0.494467,0.378842
0,-1.868608,0.133703
0,-1.776673,0.144714
0,1.129644,0.755773
0,-2.408783,0.082505
1,1.737597,0.850382
0,0.631218,0.652766
0,0.657444,0.658686
0,-0.003158,0.499211
0,-1.201542,0.231201
0,-1.282462,0.217131
0,-0.477144,0.382927
0,0.673499,0.662286
0,-2.286454,0.092251
1,2.241978,0.903956
0,3.784011,0.977774
0,-3.254738,0.037157
0,-0.127669,0.468126
1,1.700978,0.845662
0,-2.818172,0.05635
1,3.491759,0.970452
0,-0.279267,0.430634
0,-0.476314,0.383123
0,-2.128217,0.106384
0,-0.078705,0.480334
1,1.947797,0.875206
0,-2.649418,0.066025
1,0.397965,0.598199
0,1.658645,0.840056
0,-1.670254,0.15839
1,-1.263485,0.220375
0,-2.850461,0.054658
0,0.154428,0.53853
0,-2.39684,0.083414
1,-1.284415,0.2168
1,2.604238,0.931134
0,-2.86566,0.053877
0,-0.29212,0.427485
1,0.814482,0.693064
1,0.478176,0.617317
0,-0.507588,0.375759
1,-0.774525,0.315501
1,0.872979,0.705365
1,1.067916,0.7442
1,0.479527,0.617636
1,1.696738,0.845108
0,-0.883569,0.292439
0,-0.492066,0.379407
0,2.137702,0.894514
0,-0.446381,0.390222
1,3.843258,0.979026
0,-0.688273,0.334417
0,1.18537,0.765912
1,0.361031,0.58929
1,2.811932,0.943317
1,-0.479876,0.382281
0,-1.727243,0.150941
1,4.196491,0.985175
1,2.112161,0.89208
1,-0.055599,0.486104
1,-0.576738,0.359684
0,-1.735469,0.149889
0,-0.895494,0.289977
0,-0.540835,0.367993
0,-1.747052,0.148419
0,-1.2449,0.223584
1,1.302721,0.786292
0,-0.101951,0.474534
0,-2.785209,0.058129
0,-0.981394,0.272615
0,-1.158411,0.238956
0,-2.304983,0.090711
0,-2.322181,0.089303
0,-2.681827,0.064054
0,0.680101,0.663761
1,2.252157,0.904836
0,-2.210162,0.098842
0,-1.181291,0.23482
0,-0.646484,0.343782
1,1.153078,0.760073
0,-2.279026,0.092875
0,0.256954,0.563887
0,-0.283965,0.429482
0,-0.585567,0.357653
0,0.458902,0.612754
1,0.689948,0.665955
0,0.344642,0.585318
1,0.430138,0.605907
0,-1.544112,0.175938
1,2.718038,0.938083
0,-0.433945,0.393185
1,2.101076,0.891008
0,-2.224391,0.097581
0,-2.38196,0.084559
0,-1.671711,0.158196
1,3.059913,0.955209
0,-1.908527,0.129146
0,-0.562657,0.362933
0,0.059587,0.514892
1,1.598907,0.831866
0,-1.145359,0.241338
0,0.629634,0.652407
0,-0.349378,0.413533
