area_k_sqft,area_sqft,bedrooms,bathrooms,age_years,lot_sqft,price_usd
2.205,2205.0,3,1,21.43,4573.7,713879.14
1.3196,1319.6,2,2,18.66,4546.1,478806.08
2.9303,2930.3,5,3,64.95,8489.1,952738.41
1.3127,1312.7,1,1,22.42,2212.2,383630.0
1.4103,1410.3,1,1,12.1,2830.6,406595.18
1.8902,1890.2,2,1,10.39,3536.4,588429.93
1.4942,1494.2,2,1,15.48,4747.8,508296.99
1.7491,1749.1,3,2,47.18,3184.0,590309.29
2.6588,2658.8,3,2,27.66,9301.2,828172.75
3.7144,3714.4,5,2,15.38,7271.7,1164392.92
2.1538,2153.8,4,3,7.09,4846.6,754305.35
2.1733,2173.3,3,1,39.75,3825.5,728599.26
3.5545,3554.5,6,4,33.9,10197.9,1196776.67
2.4855,2485.5,4,1,11.31,4049.4,820828.01
3.9243,3924.3,7,4,26.73,10991.2,1335006.36
1.3107,1310.7,3,2,16.05,1888.2,508083.69
1.4746,1474.6,2,1,14.72,4763.0,536230.7
5.4088,5408.8,7,4,10.56,18390.0,1714329.4
1.9666,1966.6,3,1,43.45,3468.0,597837.95
2.3917,2391.7,3,2,19.49,8664.5,764334.72
1.7913,1791.3,3,1,54.95,2998.9,515667.38
2.4346,2434.6,3,2,22.76,10209.9,807671.49
2.4995,2499.5,3,1,38.89,6382.6,766209.03
1.2621,1262.1,1,1,50.73,4669.1,367679.57
1.8287,1828.7,3,2,26.64,5477.0,631765.23
2.7598,2759.8,4,3,63.63,3978.7,862918.82
2.6408,2640.8,4,2,17.41,5450.2,866952.54
2.4148,2414.8,4,2,26.36,9869.1,833649.72
1.7591,1759.1,3,1,25.95,5578.7,604547.68
2.3413,2341.3,4,2,40.99,5526.5,771575.44
2.398,2398.0,3,1,12.21,4380.9,739367.05
1.7235,1723.5,3,2,27.21,6187.2,592789.45
2.0333,2033.3,4,3,10.89,3778.4,756476.47
3.0529,3052.9,5,3,26.46,5832.8,1019986.75
2.6314,2631.4,4,3,21.18,5780.6,873199.21
2.5742,2574.2,4,2,20.21,5810.7,840714.52
4.5125,4512.5,7,3,6.01,15889.9,1516348.22
3.3958,3395.8,5,3,26.3,11600.8,1138883.77
3.8609,3860.9,6,4,13.42,12916.8,1269864.77
0.9779,977.9,1,1,56.36,3233.4,258506.15
2.4489,2448.9,3,1,14.49,4662.8,705256.42
2.5413,2541.3,4,3,27.44,3787.1,815047.63
2.6693,2669.3,4,2,10.58,10077.4,897404.87
3.2588,3258.8,5,3,50.13,8330.5,1090257.95
2.3917,2391.7,5,2,6.15,9064.5,872463.55
1.4364,1436.4,2,1,22.36,3940.4,493759.29
2.5759,2575.9,4,2,29.68,9045.4,860216.56
2.1341,2134.1,3,2,22.15,7328.3,696549.07
2.0987,2098.7,3,2,19.98,7024.5,720527.56
2.7752,2775.2,5,3,18.81,8309.3,996382.73
0.9988,998.8,2,1,21.19,3541.4,398956.11
1.8843,1884.3,3,2,5.06,6912.3,670574.25
2.0745,2074.5,3,1,10.29,7295.4,685731.61
2.8941,2894.1,4,3,41.34,6541.9,895382.76
2.7648,2764.8,4,1,13.78,9897.5,907552.67
1.4794,1479.4,2,1,52.63,5547.6,448703.72
2.4759,2475.9,4,2,54.41,6921.5,796377.36
2.4303,2430.3,4,2,17.34,6583.6,825125.09
3.2239,3223.9,5,3,13.21,4673.8,1071998.45
5.3046,5304.6,7,4,17.6,19812.4,1726818.85
1.636,1636.0,2,1,25.83,2925.1,501207.38
2.1173,2117.3,3,3,12.43,7539.5,735291.08
3.0527,3052.7,5,2,5.54,12429.8,1067656.94
2.4356,2435.6,3,1,62.94,8576.7,701956.74
3.3253,3325.3,4,2,34.77,5281.0,1034622.4
1.504,1504.0,3,2,12.34,2889.3,580036.14
2.7164,2716.4,4,3,30.77,8558.7,886861.72
2.0102,2010.2,3,2,29.47,5815.9,650402.79
1.3699,1369.9,4,2,20.1,3691.2,569198.96
1.8257,1825.7,3,1,1.86,3061.7,630689.93
2.3469,2346.9,3,2,25.01,6808.5,748696.07
2.2116,2211.6,3,1,22.14,6327.6,673265.49
2.3863,2386.3,3,1,7.2,7386.4,784968.58
2.0756,2075.6,4,2,5.43,3725.9,761256.91
1.272,1272.0,2,2,20.27,1860.1,453469.97
2.1326,2132.6,4,3,28.82,6972.6,790430.74
1.7617,1761.7,2,1,70.28,6585.6,509819.86
3.0049,3004.9,4,2,22.37,5289.7,979163.51
2.0737,2073.7,2,1,6.7,4227.9,590532.27
1.2121,1212.1,1,1,28.57,5079.3,367787.69
2.553,2553.0,4,2,7.31,9522.2,881983.69
1.9306,1930.6,3,2,18.22,5203.5,621414.87
1.9463,1946.3,4,2,6.97,5876.9,721075.29
1.7252,1725.2,2,2,32.87,5974.3,589423.18
1.8692,1869.2,2,1,7.05,3529.8,603482.6
2.4856,2485.6,4,2,32.63,8703.7,795120.29
1.9713,1971.3,2,1,27.98,7307.0,654636.83
2.1062,2106.2,3,1,11.46,7341.5,727137.76
3.2259,3225.9,5,3,33.22,11196.0,1092929.07
3.718,3718.0,5,3,46.34,9103.0,1172192.14
1.4657,1465.7,2,1,36.2,3991.7,455693.75
1.3151,1315.1,1,1,35.21,2731.7,410152.66
2.3913,2391.3,3,2,51.44,3775.8,748839.01
1.346,1346.0,1,1,52.34,4649.6,363951.81
2.5052,2505.2,4,2,48.44,4800.5,826863.73
1.7813,1781.3,4,3,12.26,5898.6,681277.57
2.4708,2470.8,4,3,77.1,9587.8,794468.78
2.706,2706.0,5,2,22.72,6771.8,938576.62
3.765,3765.0,6,3,12.14,8225.7,1314052.05
2.0809,2080.9,3,2,26.52,4056.2,767404.61
4.4341,4434.1,7,4,8.12,17678.0,1511769.66
1.5382,1538.2,3,1,25.45,3069.3,556653.4
2.2275,2227.5,3,1,16.96,6135.5,680630.99
2.2102,2210.2,3,1,11.27,5340.4,721123.42
2.3633,2363.3,3,2,69.18,6434.4,787163.45
1.7625,1762.5,3,1,36.22,2892.0,556171.65
2.6368,2636.8,4,2,25.45,8433.7,862853.78
1.4336,1433.6,3,2,32.53,5511.5,484568.95
4.3359,4335.9,7,4,16.01,16908.8,1427121.72
2.4872,2487.2,5,3,36.39,6336.0,927091.81
2.8723,2872.3,4,2,33.74,8526.0,880179.27
1.1702,1170.2,1,1,75.1,4759.2,343288.08
2.8483,2848.3,5,3,22.49,9705.8,957061.09
1.9368,1936.8,3,1,10.81,7627.5,667412.97
1.7998,1799.8,3,2,50.44,7553.6,603242.93
2.1696,2169.6,4,2,40.65,3230.5,732512.14
3.1538,3153.8,5,2,12.99,6168.1,998568.28
2.4568,2456.8,5,3,20.91,8857.7,886969.84
2.2775,2277.5,3,2,36.58,6644.7,728900.12
2.53,2530.0,5,3,17.07,6139.2,894674.63
1.5215,1521.5,2,1,54.5,5992.8,501484.75
2.4757,2475.7,3,2,83.04,9125.3,706494.01
2.0012,2001.2,3,2,28.0,7422.7,714596.8
2.5583,2558.3,4,3,23.71,3792.4,865848.67
4.9971,4997.1,7,4,21.89,11839.9,1588911.67
1.4296,1429.6,1,1,30.94,2444.8,406571.07
2.1187,2118.7,4,2,71.0,3987.7,659925.1
2.4771,2477.1,5,2,9.4,9769.6,912270.93
2.2376,2237.6,3,2,11.26,4786.8,719089.09
1.4973,1497.3,2,1,5.02,4979.8,531091.5
2.6574,2657.4,4,3,12.79,9037.7,913558.35
3.0224,3022.4,5,4,13.87,7351.7,1092191.22
2.9012,2901.2,4,2,31.52,5737.1,889563.44
1.2158,1215.8,3,1,18.15,4516.6,480478.48
2.6279,2627.9,3,2,37.47,7138.6,793102.73
1.8818,1881.8,3,1,39.13,5252.4,635696.56
1.934,1934.0,3,2,36.03,4911.1,644693.33
1.8033,1803.3,4,2,43.07,4890.6,644507.7
1.4877,1487.7,2,1,1.91,5918.4,560621.51
1.5598,1559.8,2,1,40.17,5564.6,490191.07
2.4577,2457.7,4,2,15.22,9557.1,869026.53
2.781,2781.0,5,3,30.27,7729.9,973678.52
3.1951,3195.1,5,2,30.32,13383.0,1032492.01
1.2425,1242.5,2,1,17.73,1902.1,466147.33
4.894,4894.0,7,4,45.1,12690.8,1519137.31
3.5305,3530.5,5,2,6.15,9887.1,1151517.11
1.9895,1989.5,3,2,74.86,6730.1,594035.04
1.3168,1316.8,1,1,33.86,5463.3,365210.52
2.1375,2137.5,3,2,41.45,4071.9,646652.18
1.521,1521.0,2,1,21.62,2218.1,499998.14
1.4607,1460.7,2,1,11.36,3008.8,481121.97
1.7339,1733.9,3,1,16.96,3791.0,560980.73
1.1346,1134.6,2,1,12.19,3203.0,409806.58
2.4911,2491.1,4,2,12.67,8961.1,834600.13
1.9158,1915.8,3,1,28.7,2709.0,669426.71
1.4982,1498.2,3,2,40.51,3516.6,548134.45
1.5422,1542.2,2,1,20.78,4489.8,444035.7
2.3449,2344.9,4,3,15.58,9298.6,840896.55
1.2906,1290.6,2,1,58.65,2261.5,396586.04
3.8475,3847.5,5,3,23.84,9684.1,1206336.18
1.3652,1365.2,2,1,2.43,5326.1,481254.07
2.4231,2423.1,4,1,25.06,9601.4,809233.26
2.034,2034.0,3,2,11.72,3077.9,700469.91
3.3217,3321.7,4,2,18.32,13689.4,1068691.61
2.0039,2003.9,2,1,22.67,3968.5,563341.99
3.1783,3178.3,4,3,27.59,7984.0,1017719.31
1.6108,1610.8,3,1,38.19,3336.9,525359.13
3.2047,3204.7,5,3,29.04,13301.6,1044138.03
1.6733,1673.3,2,1,30.38,3637.5,559269.21
2.628,2628.0,4,2,84.53,10951.8,733095.23
1.8464,1846.4,2,1,0.83,6946.7,613446.48
1.3409,1340.9,3,1,18.37,4351.8,488472.78
2.5294,2529.4,4,3,34.49,6052.3,804515.25
3.5711,3571.1,6,4,67.69,5885.8,1149237.62
1.9391,1939.1,2,1,19.89,6119.2,612375.42
2.1099,2109.9,3,2,20.74,6224.7,732259.8
2.3839,2383.9,3,1,9.25,8646.3,757126.44
3.1496,3149.6,5,3,56.11,12380.4,1043037.07
4.0262,4026.2,5,4,66.68,11471.6,1292638.36
3.4876,3487.6,6,3,27.85,10865.3,1193000.3
2.2681,2268.1,4,3,20.47,6540.1,794693.14
2.2743,2274.3,4,3,13.58,4106.3,791362.92
1.6879,1687.9,2,1,24.36,6208.7,555636.43
3.193,3193.0,5,2,15.82,7022.7,1036797.13
1.7296,1729.6,2,1,14.49,7096.0,543681.72
2.2651,2265.1,3,1,29.36,5878.5,657462.6
3.4008,3400.8,5,3,6.54,11228.5,1155437.02
2.0576,2057.6,3,2,3.4,3166.9,679956.68
2.04,2040.0,3,2,42.67,3637.7,631286.08
1.4745,1474.5,2,1,38.22,3602.6,526761.42
3.9788,3978.8,6,3,17.41,12644.9,1311238.55
2.5864,2586.4,4,3,22.61,9541.8,902453.59
3.0059,3005.9,4,3,43.26,5186.4,968528.55
2.7121,2712.1,4,3,26.6,8980.4,862361.79
1.5314,1531.4,2,1,49.47,3690.2,493662.58
2.4902,2490.2,4,3,17.9,7993.4,846756.21
2.4234,2423.4,4,2,27.46,7055.4,816299.43
1.4105,1410.5,1,1,40.61,3772.0,407421.18
1.6448,1644.8,3,2,39.92,6100.8,558054.51
5.0141,5014.1,7,4,5.48,11093.9,1676375.04
2.7731,2773.1,5,3,46.54,5224.5,903305.84
2.0355,2035.5,3,2,37.79,6367.4,683449.14
1.464,1464.0,2,1,50.02,4059.1,419143.82
2.4515,2451.5,4,2,21.35,9496.1,819488.68
1.5841,1584.1,2,1,22.12,4745.3,520959.33
1.4394,1439.4,3,2,18.96,5920.9,542895.3
2.3022,2302.2,4,2,16.06,6443.2,812787.77
3.6982,3698.2,6,3,17.56,5768.4,1213170.57
2.007,2007.0,3,2,39.85,6835.2,658167.31
2.4372,2437.2,3,2,60.4,6584.5,749941.55
5.0174,5017.4,7,4,3.32,7852.7,1618158.24
2.211,2211.0,3,2,71.18,7965.2,678565.75
2.7581,2758.1,4,2,43.81,11129.2,851485.2
0.9158,915.8,1,1,32.26,3185.2,294394.14
3.4805,3480.5,6,3,14.8,7174.1,1134554.19
4.0691,4069.1,6,3,17.12,12915.3,1331908.04
1.5174,1517.4,2,2,5.37,4321.3,503737.5
2.3482,2348.2,4,3,13.17,4275.4,823943.09
1.3088,1308.8,2,2,6.29,3978.4,428840.8
2.2261,2226.1,4,2,14.32,8929.8,757797.88
1.9761,1976.1,3,2,39.92,5026.1,641163.9
1.7571,1757.1,2,1,16.84,6929.2,551857.07
3.8503,3850.3,6,4,73.16,13294.1,1255950.76
1.7959,1795.9,3,1,16.41,6950.8,628148.27
1.602,1602.0,2,1,51.25,6458.2,450393.62
1.6181,1618.1,2,1,10.37,5706.9,554230.6
2.5343,2534.3,4,3,34.28,6830.1,895960.54
1.9555,1955.5,4,3,47.39,5529.9,682703.95
2.3538,2353.8,4,2,21.93,7613.3,781038.74
2.7305,2730.5,5,3,36.26,5908.5,954100.96
2.1948,2194.8,3,1,16.78,4897.0,686648.98
3.4672,3467.2,4,2,35.98,7468.1,995602.8
4.1457,4145.7,6,3,46.6,8298.7,1290323.57
2.4004,2400.4,4,2,48.39,5949.0,807674.3
1.2919,1291.9,2,2,33.86,1839.9,418598.72
2.2666,2266.6,3,1,46.69,4002.2,665622.21
1.6378,1637.8,2,2,21.52,2898.9,527733.6
1.651,1651.0,3,2,20.93,2322.5,581848.43
2.188,2188.0,4,3,13.4,6887.6,759976.14
2.7288,2728.8,5,3,20.23,3837.4,931195.73
2.6669,2666.9,3,2,21.65,3933.7,836372.77
1.75,1750.0,3,2,9.86,5511.2,605608.91
1.5004,1500.4,2,2,7.32,3688.4,507528.37
2.559,2559.0,4,3,8.49,9541.5,851935.08
2.4783,2478.3,4,2,18.31,6150.8,861784.18
0.994,994.0,2,1,24.07,3821.7,363116.89
1.9188,1918.8,2,1,19.08,3205.2,596206.92
2.5636,2563.6,4,2,33.4,5313.7,873666.81
2.3933,2393.3,3,2,72.11,3421.8,654728.51
2.3436,2343.6,4,3,22.58,7150.9,845811.07
2.9727,2972.7,4,3,11.35,11721.0,979000.88
2.7858,2785.8,4,2,29.19,8331.6,897258.32
2.0498,2049.8,3,2,16.95,7752.4,723358.82
2.4635,2463.5,4,3,13.79,6699.4,869690.34
1.5452,1545.2,3,2,5.05,3002.8,565441.11
2.1793,2179.3,4,2,14.21,7195.7,778196.39
3.7478,3747.8,5,3,17.24,9672.8,1206368.54
2.3646,2364.6,3,1,25.51,8664.8,775487.43
1.5082,1508.2,3,2,47.66,3206.7,517184.4
2.936,2936.0,4,2,13.95,8163.2,968745.56
2.0387,2038.7,3,1,20.46,3877.5,654154.04
4.0852,4085.2,7,4,14.1,12256.5,1415965.45
2.1649,2164.9,4,2,14.28,3139.4,752931.87
2.8663,2866.3,4,2,23.31,6143.2,925084.44
2.0933,2093.3,2,2,13.81,4657.1,621151.74
1.2976,1297.6,2,1,4.67,4109.1,483322.36
3.9373,3937.3,6,3,4.57,6764.7,1270765.55
1.9898,1989.8,3,1,5.84,5953.7,669167.86
2.0227,2022.7,3,1,66.37,4700.0,581980.28
3.1098,3109.8,4,2,28.86,11442.2,964572.53
2.3808,2380.8,5,3,5.48,4143.7,876154.56
2.7404,2740.4,5,3,38.17,6826.7,936081.08
2.3842,2384.2,4,3,7.72,9257.7,830082.62
3.2456,3245.6,5,3,16.25,5054.0,1093204.04
2.4134,2413.4,4,2,8.46,8224.1,831220.33
2.0844,2084.4,4,2,27.28,8345.7,781299.6
1.8395,1839.5,2,1,18.8,2920.2,546385.89
2.4695,2469.5,4,1,53.85,4588.3,798181.38
2.3448,2344.8,4,2,31.7,3821.9,791980.64
1.7496,1749.6,2,1,56.84,6144.3,552978.99
2.2864,2286.4,4,3,45.44,4212.1,766788.04
2.465,2465.0,3,2,17.95,4167.7,739874.25
3.3783,3378.3,5,3,31.42,9328.3,1114005.32
1.3078,1307.8,2,1,16.1,3300.9,402437.57
1.396,1396.0,2,1,17.66,1960.6,417078.42
1.9025,1902.5,3,2,16.3,7304.1,633445.45
3.3842,3384.2,6,3,37.84,11308.9,1099461.65
1.9919,1991.9,3,2,13.24,6173.2,706569.44
2.2866,2286.6,4,2,21.48,4669.2,760288.13
1.4146,1414.6,3,1,49.03,3551.8,491813.69
3.3387,3338.7,5,3,39.29,7554.7,1037980.27
2.9534,2953.4,5,3,4.04,10311.0,1024503.26
2.4419,2441.9,3,2,64.34,4250.4,773453.66
2.4611,2461.1,3,1,37.98,8106.7,785834.85
1.621,1621.0,3,1,17.91,5102.4,599968.26
3.2276,3227.6,5,3,14.98,9043.7,1067574.16
1.1623,1162.3,2,2,34.92,3040.0,362244.08
2.8567,2856.7,4,2,33.5,10320.9,914985.37
2.0913,2091.3,4,2,15.65,3585.7,736425.12
2.8222,2822.2,4,1,14.71,11394.2,896758.57
3.103,3103.0,5,3,42.52,7977.7,1059331.66
1.7988,1798.8,2,1,36.75,7200.9,586655.64
2.7919,2791.9,4,2,19.0,4509.5,889123.92
2.3659,2365.9,4,3,34.52,4442.3,777149.03
1.2482,1248.2,2,1,24.24,2669.4,449705.44
1.1237,1123.7,3,2,13.13,3408.0,450541.59
2.9873,2987.3,5,3,31.2,12338.4,1049791.61
1.9199,1919.9,3,2,25.13,3429.1,654699.56
1.9833,1983.3,3,1,46.19,5299.8,619418.95
1.4865,1486.5,2,1,19.82,2787.1,505857.01
2.566,2566.0,4,2,5.94,4779.9,899266.44
2.9277,2927.7,5,3,12.86,10022.2,1013948.22
2.3925,2392.5,4,2,60.38,3360.2,753944.94
1.3196,1319.6,2,1,40.38,3459.4,461577.82
2.9717,2971.7,4,2,58.79,6829.7,965609.24
1.6771,1677.1,3,1,14.34,4275.4,572099.53
1.9493,1949.3,3,2,11.26,7423.5,661098.26
2.3245,2324.5,3,1,17.62,6548.2,723903.54
2.6654,2665.4,4,3,15.61,5743.2,915519.58
1.5218,1521.8,2,1,14.97,3979.4,498286.42
2.1368,2136.8,4,2,7.81,8845.6,802693.59
2.3336,2333.6,4,2,40.55,9589.0,806353.92
2.5001,2500.1,4,2,26.19,6072.2,810633.6
2.931,2931.0,5,3,4.74,5557.7,984105.95
1.1609,1160.9,2,1,4.2,1722.9,420206.41
1.6277,1627.7,3,1,20.12,2546.2,581475.39
1.7661,1766.1,3,2,23.4,6875.4,590162.36
3.0894,3089.4,5,2,13.39,5412.0,1030825.34
1.9451,1945.1,3,1,43.22,7527.4,597156.17
2.4685,2468.5,4,3,51.72,6644.1,853858.59
0.9995,999.5,1,1,13.95,3822.9,285646.9
2.9319,2931.9,4,2,17.99,8492.3,984746.44
1.8533,1853.3,2,1,6.24,3222.2,568865.75
2.5259,2525.9,4,2,38.0,4120.3,772984.02
1.2981,1298.1,2,1,39.84,1832.0,429726.16
2.2413,2241.3,4,2,38.01,9202.4,767009.41
3.1901,3190.1,4,1,11.72,9878.3,1042042.95
2.0651,2065.1,3,2,26.69,6687.2,719814.89
3.4705,3470.5,6,4,11.75,8101.7,1192078.6
1.9377,1937.7,3,2,11.5,7540.5,668414.52
2.4119,2411.9,4,2,16.96,6571.7,847482.38
3.1452,3145.2,5,3,15.79,8511.7,1051873.89
3.328,3328.0,5,2,8.49,13413.3,1096799.09
1.6726,1672.6,3,2,21.83,6138.1,590484.73
1.6395,1639.5,2,1,21.24,5341.3,513026.16
1.6772,1677.2,3,2,11.56,4760.9,577815.12
1.713,1713.0,3,1,16.82,2421.0,570017.76
2.1301,2130.1,3,1,29.69,6533.7,675770.53
3.9534,3953.4,6,3,22.12,14417.8,1293124.05
1.9369,1936.9,2,1,24.65,5083.6,601458.61
2.7869,2786.9,4,2,22.88,9213.2,901157.19
1.2042,1204.2,2,1,100.84,3499.4,390455.27
2.2345,2234.5,3,2,24.96,4070.3,720569.23
3.1236,3123.6,6,4,8.95,7417.2,1151403.21
1.0429,1042.9,2,1,31.16,1981.1,349465.6
1.7414,1741.4,3,2,24.95,2582.9,593073.76
1.9591,1959.1,2,1,8.41,7574.8,629496.95
2.9659,2965.9,5,2,31.25,11799.5,1029998.8
2.2145,2214.5,2,2,25.24,6559.0,692697.89
2.9822,2982.2,5,3,29.95,9637.8,1041467.3
2.0176,2017.6,3,2,39.45,6823.0,648467.82
2.6678,2667.8,3,2,17.19,8387.0,865041.71
1.9655,1965.5,3,2,43.77,5893.4,671417.78
2.2311,2231.1,4,3,19.14,3449.5,794332.79
2.2099,2209.9,3,2,3.19,3392.0,715964.24
0.8969,896.9,2,1,35.72,2268.6,349981.63
1.6002,1600.2,3,2,13.23,5430.2,499754.78
2.7049,2704.9,3,2,25.2,6111.1,830188.44
3.2155,3215.5,5,3,21.77,12646.5,1065307.02
1.8453,1845.3,3,1,15.36,7470.1,645199.12
2.3719,2371.9,4,3,22.24,8473.0,851740.57
3.3893,3389.3,6,3,17.97,5934.0,1143609.09
1.503,1503.0,2,1,12.43,4234.5,462939.4
2.932,2932.0,5,3,11.44,8414.8,1019114.11
2.0433,2043.3,2,1,48.37,7266.6,596538.76
1.8578,1857.8,2,1,6.37,4451.0,588695.91
2.4581,2458.1,4,2,36.89,5950.5,787252.76
2.3584,2358.4,4,2,80.63,8375.6,752052.75
1.978,1978.0,3,1,25.7,3038.9,625766.9
2.0483,2048.3,3,2,29.87,4699.0,660627.68
3.1648,3164.8,5,3,5.46,12418.8,1065513.77
2.0915,2091.5,3,3,25.96,7442.1,735964.93
3.1318,3131.8,4,2,20.22,10849.1,1058075.78
2.0121,2012.1,3,2,14.44,4047.3,662163.85
2.3048,2304.8,3,2,43.48,8907.7,758808.92
2.6551,2655.1,5,3,27.88,8501.1,912129.65
2.2161,2216.1,4,2,12.8,5319.2,805061.32
2.3796,2379.6,4,1,8.48,7457.5,804207.82
2.1168,2116.8,4,3,61.66,3953.3,724042.42
3.1602,3160.2,6,3,28.12,9763.8,1090987.53
2.2096,2209.6,4,2,8.19,5522.3,782830.91
3.0114,3011.4,5,2,8.64,7599.4,1072030.81
2.3595,2359.5,4,2,14.74,8744.1,844903.75
2.0287,2028.7,4,2,13.12,2932.7,727810.84
3.4512,3451.2,5,3,52.73,8592.0,1096713.67
2.2257,2225.7,4,2,50.33,6576.0,727552.85
2.864,2864.0,4,2,6.73,6831.5,929635.99
1.5363,1536.3,3,1,20.33,3735.8,516675.5
1.522,1522.0,3,1,10.4,4822.1,515356.62
2.2867,2286.7,3,1,19.39,4004.6,716546.93
2.5775,2577.5,4,2,27.13,7409.9,853628.83
2.1649,2164.9,3,1,45.21,6429.5,643326.86
3.3231,3323.1,5,4,42.45,9264.6,1091758.42
3.3665,3366.5,6,4,9.99,7061.5,1193805.13
1.4294,1429.4,2,1,12.5,2965.7,465950.19
1.4582,1458.2,2,2,39.08,5213.4,448423.21
3.1203,3120.3,5,3,64.75,8163.8,1000103.91
1.5533,1553.3,2,1,25.28,2484.9,544430.92
2.9441,2944.1,5,3,21.68,11729.7,986696.98
2.1444,2144.4,3,2,81.17,6394.0,613194.8
1.917,1917.0,3,2,29.23,6048.4,626565.66
3.0136,3013.6,5,3,37.82,10050.1,1016321.14
1.5491,1549.1,2,1,55.57,5228.9,485942.94
2.2658,2265.8,3,2,30.68,5131.3,755106.3
1.5628,1562.8,3,1,36.43,3564.7,498912.02
3.0792,3079.2,4,2,39.88,8987.0,979118.04
2.1763,2176.3,4,2,61.03,7240.0,697632.08
3.6277,3627.7,6,3,16.26,12858.1,1200822.45
2.2405,2240.5,4,2,25.52,9263.8,753189.65
1.9145,1914.5,3,2,14.69,4382.0,662273.28
2.8747,2874.7,5,3,29.64,9129.4,976418.95
1.6004,1600.4,3,2,10.31,5210.9,592730.18
3.5382,3538.2,6,3,99.67,7314.3,1068566.01
2.3022,2302.2,4,3,25.71,9483.0,843468.43
2.2249,2224.9,3,2,47.15,5112.1,693728.38
1.7443,1744.3,2,1,31.55,3936.2,475980.24
2.5968,2596.8,4,2,11.37,7008.3,881626.96
1.9493,1949.3,3,2,1.97,2967.7,654694.6
1.6938,1693.8,3,1,14.16,3949.6,585078.1
3.1405,3140.5,5,3,21.77,6767.5,1084470.37
2.1324,2132.4,2,1,17.99,3554.4,624613.45
2.5196,2519.6,5,4,23.42,9891.6,914987.02
3.1382,3138.2,5,3,31.68,12628.2,1043627.68
2.522,2522.0,5,3,52.66,8711.2,880966.54
1.4997,1499.7,2,1,36.73,4902.9,480558.45
1.449,1449.0,2,2,21.44,3481.7,477441.31
2.1501,2150.1,2,1,23.63,7439.8,655306.54
2.9697,2969.7,4,2,13.53,11228.5,938008.28
2.0758,2075.8,3,2,30.04,6940.6,668287.76
1.2206,1220.6,3,2,16.87,4588.8,530368.16
2.8136,2813.6,4,2,31.94,10458.7,916485.94
2.1984,2198.4,3,2,14.58,6614.8,704348.16
2.1575,2157.5,4,2,7.71,6125.1,739561.51
5.4656,5465.6,7,5,47.53,12007.1,1720198.57
2.5397,2539.7,4,2,21.7,9471.9,867714.05
2.1513,2151.3,3,2,74.81,5133.5,644993.21
5.0955,5095.5,7,4,45.99,14781.6,1590903.09
1.9598,1959.8,2,1,30.08,3935.2,616954.4
2.9896,2989.6,5,3,34.24,6993.0,994547.01
2.6741,2674.1,4,3,20.13,10887.2,947647.98
1.348,1348.0,2,1,47.21,5004.2,448706.02
2.4335,2433.5,5,3,35.52,4464.9,859311.1
1.2253,1225.3,2,1,16.57,4051.4,485659.19
2.9103,2910.3,4,2,26.01,5748.7,908150.99
2.1868,2186.8,3,2,22.03,6771.4,736362.3
3.1068,3106.8,5,3,10.85,12862.0,1070531.89
2.5316,2531.6,4,2,8.04,4027.2,817587.7
3.0955,3095.5,5,2,65.39,11338.5,1018782.13
5.0581,5058.1,7,4,32.03,8147.9,1573835.25
