area_sqft,bedrooms,age_years,lot_sqft,price_k
1683.5,3,21.7,6581.4,453.27
1994.1,3,9.8,12896.2,632.63
1003.6,2,2.3,4836.9,315.92
2365.5,3,33.7,6178.9,518.1
1510.5,3,40.2,6981.5,438.32
2507.2,3,25.5,11135.3,651.84
1967.0,4,9.0,11485.1,633.5
2347.8,5,15.9,5871.8,577.93
1857.5,3,31.4,6720.3,460.82
1296.2,3,17.9,5126.0,359.69
1997.9,3,5.8,4900.0,453.73
2446.7,3,20.2,6476.6,559.06
1741.6,3,10.4,4373.6,416.72
2057.5,4,20.3,12253.8,632.61
873.6,2,5.7,3373.2,282.59
1657.0,3,28.8,5245.2,413.45
1446.9,2,61.1,9216.1,423.78
2066.1,3,12.0,8923.0,528.9
2436.0,3,14.8,8671.8,641.41
1242.6,2,34.8,2300.6,210.53
1740.0,2,30.5,7236.3,459.38
2253.3,3,11.2,12679.0,673.8
788.9,2,14.4,3044.8,207.22
1977.7,3,41.8,7310.7,479.21
2124.2,4,8.8,6483.4,544.36
2388.9,2,40.9,4641.4,483.15
1610.7,2,39.9,6536.7,424.13
1291.3,2,5.9,2373.3,322.15
1625.3,3,58.5,4713.4,341.94
2524.8,4,15.9,14230.6,759.43
1409.8,2,23.2,4500.9,370.34
2047.9,3,27.2,12489.6,639.36
895.3,2,33.6,2604.2,239.9
806.5,2,33.4,5087.3,259.98
1552.7,2,20.2,4158.3,373.55
2484.1,4,14.4,10319.4,639.37
2074.0,3,13.7,12792.8,629.98
3001.3,5,42.9,13748.1,814.14
1648.3,3,48.8,4443.8,371.99
1408.9,2,12.0,8951.5,443.42
1768.2,2,46.8,5951.4,401.94
2146.0,3,61.1,10855.4,576.86
2575.2,3,21.8,13315.8,725.77
946.1,2,39.6,4697.1,258.76
2860.5,4,35.8,16590.8,826.72
1675.7,3,7.5,10709.1,519.72
1122.2,2,9.2,2490.7,305.09
2143.7,3,26.0,6428.4,517.14
932.0,2,33.7,3136.5,244.28
2089.0,3,0.4,5857.4,525.55
2001.8,3,26.2,6308.3,512.08
1623.9,3,12.0,3795.1,398.7
972.7,3,11.0,4747.5,330.87
1919.9,3,23.0,6150.3,492.99
2088.7,4,33.2,7369.5,557.91
1879.5,3,26.7,11272.6,561.69
1466.7,2,22.6,8763.4,471.98
2159.8,3,8.9,12816.3,646.84
2062.8,3,48.0,9113.0,551.87
1897.7,3,19.6,10498.3,581.54
2234.4,3,38.9,10483.6,592.83
2172.9,3,49.3,5571.5,483.34
2886.2,4,22.2,15016.7,804.92
1933.8,4,18.5,12232.6,629.15
1746.2,4,47.8,7692.1,490.51
1925.9,3,20.9,8653.8,514.46
3228.4,4,31.1,20000.0,947.46
1190.3,3,30.6,6151.6,371.87
1207.0,3,15.9,4315.9,319.73
2179.5,4,23.9,10594.4,621.75
1870.7,3,11.9,4219.1,436.03
1595.9,3,10.7,6495.0,444.29
1856.3,3,24.6,11453.5,572.77
1734.6,3,2.6,8783.9,505.14
1979.9,3,9.5,7764.1,511.9
2418.0,4,52.8,13666.3,708.94
1447.8,3,18.1,2926.8,328.97
1976.3,4,38.4,12410.1,641.14
2185.2,3,10.3,13942.6,707.76
1755.7,3,15.1,8517.6,530.13
1083.3,3,59.9,5152.3,299.78
1937.9,3,10.8,9758.5,572.52
3180.7,5,26.5,13814.1,856.0
1212.8,1,22.4,6272.6,356.9
2075.2,4,22.9,13229.3,667.97
2179.0,3,15.8,7493.2,548.07
2348.6,5,14.1,4734.6,525.16
2644.3,4,3.5,12071.5,738.29
726.9,2,8.6,3972.7,255.68
1249.8,2,17.6,7696.6,397.89
2332.5,4,11.0,6451.2,580.63
2447.6,4,22.2,5230.9,497.15
1616.4,2,12.7,7410.1,471.99
2757.7,4,31.7,7643.9,627.76
1485.0,3,21.3,4542.7,402.82
2203.6,3,46.6,13373.9,630.26
1822.4,4,27.8,7135.9,482.36
2779.2,4,21.5,7133.5,607.72
2530.6,5,19.3,7835.2,624.31
1793.2,3,14.5,4689.3,429.28
2052.2,4,53.4,5701.0,500.18
1604.6,2,15.5,8676.4,478.82
1911.5,3,20.2,8224.3,517.51
1566.1,3,21.7,5081.2,407.28
2107.2,5,14.2,4413.4,483.23
2691.7,4,37.5,11699.3,699.16
1187.8,3,25.0,2730.6,280.26
1511.0,4,18.6,2828.8,353.65
2066.5,3,68.8,5141.9,414.35
3010.6,4,45.4,18145.7,905.89
1675.5,4,31.6,10070.1,506.24
1340.4,2,23.4,3432.2,309.3
2128.1,4,7.1,6716.1,574.12
2064.8,3,2.8,10363.0,609.83
3487.7,5,37.5,12993.9,854.04
2690.3,5,6.8,5303.8,611.84
1078.4,2,7.8,6303.6,372.35
1788.1,2,26.5,9774.0,525.88
1779.0,3,13.3,8947.0,527.0
2336.8,3,28.5,14844.0,715.66
2067.6,3,5.2,12043.2,622.32
2254.7,4,31.7,12719.3,689.12
1879.0,2,28.4,9119.4,541.14
2082.6,3,11.3,4357.0,455.22
1159.6,2,26.1,2889.5,289.4
1727.4,3,49.4,6261.4,432.85
2200.0,4,10.9,5331.9,500.87
1146.9,1,44.5,2340.6,211.15
2447.4,4,17.8,7307.7,611.25
1853.0,3,32.2,9201.9,504.9
2367.9,3,9.0,4903.6,572.19
1408.7,3,18.5,3860.2,357.0
794.3,1,15.0,3173.7,226.53
1637.9,3,18.9,8415.8,510.85
2178.8,4,7.1,7365.3,585.3
2127.2,3,6.7,10134.3,637.65
1564.7,2,7.4,7730.7,453.07
1670.7,3,38.7,8091.8,458.63
1613.8,4,44.4,6452.5,435.7
1885.9,4,5.7,6002.5,506.32
1488.5,3,10.2,4227.1,402.62
1651.7,4,14.8,7438.2,471.05
1148.3,2,30.5,3375.0,276.99
1622.0,2,38.3,9046.8,473.62
1231.6,2,26.5,3919.9,303.94
1127.6,2,14.3,4352.2,322.18
2052.9,3,27.5,5257.0,441.74
2303.6,3,26.4,6041.3,524.92
2286.6,5,16.5,8105.9,589.29
2395.4,3,26.9,13158.3,708.03
2556.3,4,19.7,9590.7,636.87
2544.1,5,7.6,13390.3,758.23
832.4,1,13.4,2861.7,218.59
1260.5,3,48.5,4870.3,336.68
3441.9,5,39.9,15163.0,914.85
2565.8,4,12.9,15562.7,787.36
2755.5,4,55.0,11706.1,718.43
1846.0,3,22.0,10704.2,563.87
1664.8,3,36.7,3494.8,372.54
2038.7,3,23.9,11001.0,584.94
934.3,2,34.6,5794.3,278.67
1604.8,2,18.0,2985.8,364.36
1795.1,3,24.5,9846.4,526.64
1586.0,3,23.7,10166.9,514.3
1187.2,2,61.7,6776.4,337.62
1488.4,3,23.3,4886.4,420.2
1116.2,2,23.3,6406.7,365.0
1295.7,3,44.1,4488.2,314.47
1418.6,3,9.2,8447.6,487.61
2249.3,3,7.5,9580.4,589.79
672.5,2,11.9,2917.8,200.79
2290.2,3,26.5,7288.2,537.69
2078.1,4,19.9,8658.4,577.43
2697.4,4,43.1,9591.4,641.5
1596.9,2,15.3,8087.3,476.58
2563.5,4,21.5,16311.9,812.32
1160.6,3,15.5,6734.9,362.9
2642.6,4,17.9,13051.0,720.83
1211.5,2,17.8,2727.3,294.73
1078.1,2,53.7,6171.6,293.49
1965.4,4,31.3,4286.3,429.56
2419.1,4,20.5,7747.1,631.65
899.0,2,8.7,3363.6,270.69
2196.3,4,28.1,4521.5,504.54
2930.8,4,2.8,9784.0,737.54
1874.2,4,29.5,8704.2,516.06
997.6,3,16.8,6032.0,354.38
2515.5,4,14.2,15526.1,784.95
2026.4,3,23.7,11060.3,580.45
3144.4,5,42.6,7715.9,694.26
1704.9,2,26.7,8499.1,513.36
2883.4,5,35.8,8752.4,683.61
2633.3,4,90.0,17016.4,784.22
2517.1,4,9.0,12514.9,727.23
1677.9,3,24.2,5187.0,426.17
1148.3,2,7.0,3720.8,303.5
2545.9,4,34.8,13814.9,758.46
2128.7,4,22.0,13012.9,638.19
1288.3,2,13.0,7158.5,400.51
1751.5,4,90.0,3515.0,367.94
2562.2,4,30.2,4932.8,533.38
2821.8,4,10.6,7546.4,673.6
1355.6,2,17.2,4256.4,386.42
1837.6,3,28.6,3615.0,404.57
2178.9,5,90.0,4576.1,447.48
2755.1,3,35.0,11501.6,708.69
1530.7,3,8.9,3376.4,342.42
2193.6,4,21.1,12065.3,665.72
966.1,2,30.0,4708.0,281.73
1081.9,3,23.9,4993.6,329.01
2106.8,3,19.2,7409.1,498.63
1107.7,2,9.5,6586.8,383.32
2778.5,4,25.9,15093.4,798.01
1834.7,3,8.2,8074.0,511.68
1618.6,3,74.3,3252.3,321.94
705.2,3,8.5,3309.8,248.85
1771.5,3,34.4,10006.2,508.59
2093.6,3,11.2,6747.8,493.97
1996.0,3,14.6,11677.3,605.67
2031.3,4,12.4,3746.7,442.56
2528.1,4,33.7,12517.1,704.87
2453.4,5,35.5,6505.1,599.0
3024.8,4,4.8,17849.0,939.3
2571.2,3,22.2,8577.2,643.13
2730.8,4,15.7,9587.3,681.58
1724.0,2,40.4,4997.3,386.63
1903.9,3,25.3,9634.3,532.64
1662.5,3,3.9,10447.5,569.05
1908.9,3,43.3,3669.8,385.3
1979.3,3,51.8,5085.8,441.46
1371.0,2,28.1,2720.8,306.72
1917.1,3,8.5,11055.5,594.64
2555.0,4,9.1,6948.0,594.89
2254.9,2,20.8,4725.5,473.16
1414.2,3,67.0,5031.7,355.17
1736.1,3,12.2,7429.1,442.11
1901.5,3,9.6,9945.8,543.85
2047.0,3,9.2,5542.2,511.85
2680.2,4,33.6,13045.9,730.56
1799.9,3,28.5,8300.0,498.95
1725.8,3,30.8,10740.3,536.04
3308.0,5,42.4,16855.4,880.7
1710.2,3,18.4,7988.7,504.48
1499.7,2,49.0,8795.0,406.44
1132.6,2,68.1,2629.8,210.22
2425.5,3,21.5,5269.2,550.03
3000.2,3,3.6,14460.6,808.92
1013.6,1,31.3,5401.8,291.25
2148.7,4,17.1,8648.6,590.2
2910.1,4,47.6,15026.3,806.13
2436.7,3,17.8,11141.5,669.53
2581.8,4,27.2,7809.6,627.06
1790.2,3,19.9,4794.2,421.4
1199.2,2,4.1,2263.7,257.85
1600.4,3,53.4,4842.8,346.22
2077.4,3,9.1,8695.0,554.97
2898.2,4,24.3,7418.2,633.94
2026.6,3,41.3,6181.1,466.22
1702.6,4,22.4,9459.7,507.94
1054.8,3,22.9,6421.7,351.05
2603.9,4,12.0,16896.1,853.91
1325.2,2,13.8,3476.4,324.6
2192.9,3,65.2,9988.7,570.32
3495.2,5,11.2,15242.2,938.94
921.1,2,15.5,1814.7,225.22
2281.2,4,32.3,5893.8,525.63
2186.3,4,21.8,11579.3,610.35
1706.2,3,18.2,6449.8,441.01
2297.2,3,9.2,12495.3,713.55
1120.1,1,29.3,6812.9,332.99
2089.9,3,29.8,6958.5,475.54
2048.1,2,11.1,7013.2,508.1
1650.6,4,9.4,9911.7,542.43
1258.7,2,53.1,5753.4,338.2
2452.2,4,38.3,5656.1,554.19
1090.3,2,15.1,5584.6,301.39
2058.7,4,45.2,3776.5,432.09
1931.4,3,18.2,10823.7,550.98
2429.9,4,9.1,10988.9,709.99
2849.6,4,35.3,8226.6,653.01
963.3,2,9.2,5345.9,298.76
1680.7,2,5.5,3686.8,365.69
2677.2,4,32.8,9780.0,654.12
2037.2,3,33.7,3802.4,420.18
1827.1,4,15.8,4796.0,459.65
3496.6,5,18.5,10864.0,839.27
2042.6,3,52.6,11625.7,566.83
1857.0,3,11.7,7313.8,532.26
1520.4,3,12.6,5604.4,393.24
2270.8,3,5.9,11663.3,663.79
1569.5,2,22.0,4222.2,374.53
600.0,1,21.3,1500.0,165.02
1373.0,2,20.6,3449.6,313.79
2726.7,4,44.3,14836.1,752.14
1222.5,2,30.0,7382.3,366.76
3047.0,4,15.7,14279.0,835.32
1673.2,3,42.3,7207.7,489.6
1183.0,2,10.8,3875.7,304.45
1577.6,2,45.8,8804.6,451.61
1968.0,3,10.0,11887.0,657.27
2607.9,4,33.6,8501.4,657.96
923.6,1,65.4,3669.2,237.63
1545.8,4,13.3,4308.1,419.08
1869.5,3,31.8,9871.2,549.21
2070.3,4,21.0,4192.1,439.84
1652.7,3,18.4,3789.7,422.77
2492.7,3,14.6,6156.7,562.94
1442.3,2,21.6,7901.4,460.61
1797.0,3,56.4,11534.7,546.18
2932.3,5,50.1,17055.1,831.15
1795.8,3,15.7,10673.4,561.31
1481.1,3,22.2,8197.9,446.96
1918.9,3,12.3,11144.4,572.44
1296.3,2,20.8,7966.7,379.53
2001.3,4,18.2,9999.9,591.33
2110.4,3,3.2,13618.3,678.81
2637.5,3,46.7,6897.4,571.17
1633.8,3,12.8,6891.8,457.42
2382.5,4,7.0,12947.4,751.22
1972.4,3,27.5,12194.0,627.39
1128.6,3,43.4,6910.8,378.38
2251.5,3,22.8,13218.1,707.62
1377.1,3,36.8,3736.4,306.26
1843.5,3,48.8,10000.3,526.47
1507.8,3,6.6,9388.2,493.9
2719.0,5,55.9,9519.4,670.27
1330.7,3,32.2,4988.3,352.44
3086.0,5,36.9,6853.0,683.55
2478.6,3,12.0,14315.6,733.28
2008.8,4,19.2,10490.3,597.07
1568.4,3,45.5,8733.2,473.38
900.8,2,40.3,3230.6,203.93
2532.2,4,25.3,12794.7,702.73
1902.7,4,19.6,6535.1,488.39
1891.3,3,13.9,9613.7,528.12
1317.6,2,58.8,4267.0,291.55
1859.1,4,14.2,9897.1,581.49
1331.8,1,25.6,7313.1,351.27
1765.1,4,51.3,6064.1,403.7
1837.8,3,15.6,5027.8,449.77
1679.5,2,19.8,10657.9,534.42
2250.4,3,6.6,8875.1,596.49
2848.1,4,16.9,10152.8,734.26
2206.7,3,30.2,13133.2,661.26
2296.8,3,43.3,13895.5,675.06
1435.1,4,13.7,8622.3,469.89
1247.1,2,21.9,3208.7,292.64
1163.2,2,10.6,2222.8,274.1
1512.4,3,11.9,9818.5,524.14
2128.6,3,7.2,4847.1,471.74
1284.2,2,53.1,4758.8,322.28
2068.5,3,36.0,11411.4,607.77
2297.8,5,22.0,7447.3,586.67
600.0,1,11.6,3844.2,222.13
3358.8,4,16.9,10719.9,789.68
1599.7,3,63.7,5203.0,341.63
1635.6,3,11.3,7836.7,483.44
2132.0,4,29.9,9432.8,590.21
1508.9,3,72.3,8404.8,413.4
2003.3,4,29.5,4510.8,462.29
1248.6,3,12.2,6694.3,395.04
1964.4,3,3.7,5710.8,453.25
3140.6,5,38.7,13523.2,832.97
2415.1,4,14.9,6869.1,589.61
2337.9,3,20.0,13493.0,690.6
2289.9,3,9.7,10176.5,629.44
1466.0,2,75.2,5274.4,310.81
1718.9,3,27.0,7951.4,497.67
1854.9,3,4.8,10518.4,599.79
2057.3,2,50.0,11959.3,580.14
1393.2,2,11.9,8639.3,460.86
1215.0,2,44.7,3828.2,308.19
2657.9,4,14.5,16342.8,829.84
1830.5,4,14.6,6958.3,507.3
2271.4,3,15.5,13658.8,707.07
2876.9,5,26.3,10102.6,760.61
1197.6,2,13.9,2625.1,278.08
1980.9,2,2.7,7052.1,518.62
1434.1,3,42.9,2794.7,333.08
1172.4,2,16.3,7569.1,347.67
1953.0,3,19.8,11081.8,577.43
2391.0,4,44.9,7462.4,578.48
1518.0,3,25.9,5957.4,376.51
1709.0,2,28.4,11029.0,535.19
2032.5,2,53.9,11799.5,584.14
3055.2,4,37.9,5534.7,640.48
1229.5,2,10.0,7142.3,390.3
1818.4,3,41.0,8853.3,518.09
1144.9,2,16.0,2141.2,290.98
2344.6,4,12.2,13173.7,714.31
2865.0,3,18.8,10109.4,691.89
1757.1,3,32.3,11024.2,569.67
1182.1,3,14.8,3148.0,318.24
908.5,2,49.9,3897.0,248.44
2249.6,3,10.2,14301.0,697.54
2978.4,5,7.2,11177.0,756.78
2076.3,3,19.1,11353.4,613.5
1665.1,2,28.1,6658.8,430.85
2267.4,4,23.1,12945.4,691.58
1694.8,4,8.5,3530.7,451.16
2471.6,3,52.3,8115.7,596.07
2503.1,3,2.2,7579.8,615.96
2852.0,4,41.6,11004.4,708.48
1993.6,4,10.6,7861.1,550.08
1395.0,3,12.6,4972.2,364.83
2258.5,3,16.1,5231.4,535.01
1283.7,1,21.7,4902.6,376.23
1996.3,3,39.0,10124.6,581.1
1979.4,3,22.1,5001.1,453.15
2587.3,4,56.4,7826.1,560.54
2366.9,3,21.6,9204.8,609.6
2018.9,4,15.2,9311.0,589.41
2286.1,3,4.7,14056.8,719.88
1749.3,3,47.8,5874.1,411.97
1918.4,3,29.0,6026.5,483.08
1524.0,2,22.5,6863.5,444.18
2556.7,4,12.1,10659.8,686.96
2061.8,3,10.1,13055.2,652.67
1960.9,3,22.0,11698.8,575.69
1965.4,3,17.7,12275.6,649.61
768.9,2,19.0,2944.7,222.79
1434.7,2,19.6,8871.6,453.85
1185.5,3,47.2,5573.1,329.89
1918.7,2,43.2,9579.6,534.56
2464.8,4,15.6,7843.9,627.67
2058.4,3,4.5,9698.1,590.65
2522.9,3,28.1,16343.8,761.69
2667.0,5,19.9,17074.0,829.16
2117.7,3,8.2,7741.4,577.86
922.2,2,53.3,2276.5,183.08
2546.6,4,54.4,13721.1,692.36
1036.7,2,10.8,4331.8,321.89
1759.2,2,13.8,6644.3,478.07
1584.3,2,15.4,7231.1,453.29
1758.5,3,8.8,7605.2,487.63
2670.5,4,7.4,5289.9,588.71
1910.1,2,55.3,10392.5,528.76
1667.0,3,10.6,7838.5,503.08
1258.8,2,39.9,4870.6,301.85
1918.8,3,8.8,10754.1,571.77
1830.0,3,54.3,10178.6,582.95
1059.8,2,39.1,6803.8,299.47
2261.6,4,16.7,7737.4,586.07
2643.5,4,4.1,6371.8,607.19
1777.8,3,9.6,3810.1,387.83
2402.5,4,20.6,11542.0,660.35
2188.3,3,51.2,11869.8,619.24
2040.8,3,59.1,6182.0,467.98
2784.9,5,32.0,13978.0,766.97
2055.4,3,26.9,4588.5,469.58
1957.1,3,8.8,7121.7,505.85
1299.5,3,7.4,6827.8,382.67
2449.2,4,6.9,8001.1,615.85
2576.3,4,42.0,8835.6,660.21
2161.8,5,15.5,10142.4,612.07
715.0,1,42.6,1934.0,183.73
1686.9,3,41.3,5909.2,390.69
2338.2,3,25.8,8990.6,609.14
1886.8,3,4.2,8461.0,512.46
1755.3,3,9.0,5037.8,437.94
2818.7,4,20.0,15905.5,809.15
2314.8,4,16.8,9642.6,596.16
2656.3,3,57.1,7852.2,600.82
2498.8,4,9.7,12338.2,709.42
1874.7,3,52.0,7821.9,502.91
1484.1,2,8.5,5250.0,395.37
1706.7,2,48.4,10087.2,480.98
2294.1,3,22.3,7859.0,536.27
2369.4,4,9.6,9785.3,686.54
1982.0,3,8.3,8454.7,557.75
1875.4,3,31.4,9055.2,534.97
840.5,1,18.6,5162.6,270.87
2786.6,3,16.7,7882.3,652.81
655.4,1,35.8,3328.5,231.46
1822.9,3,76.7,4423.0,383.34
2424.6,4,0.8,10326.6,650.06
1677.6,3,29.4,6185.7,435.16
1600.7,4,58.0,8622.6,487.27
2477.6,4,38.6,6322.4,584.57
1659.2,2,42.8,4962.4,432.01
2186.4,3,14.9,6932.7,531.16
1146.9,2,13.7,5706.9,332.37
2899.2,5,24.2,16282.1,868.3
2133.8,3,25.2,7248.6,539.48
1470.0,3,41.5,7217.5,444.27
2385.5,4,5.9,11180.4,658.41
2063.2,4,21.7,11647.3,611.51
2002.7,3,17.1,7483.4,519.39
2191.1,3,22.9,12778.0,659.19
938.0,2,7.4,3117.5,251.3
2358.6,3,36.6,7757.7,557.83
2414.4,4,31.5,10079.2,629.4
1384.3,3,36.5,5832.4,385.26
1359.5,3,22.8,3728.8,311.75
2376.9,4,13.7,6901.8,576.76
