session_id,region,plan,satisfaction,temp_c,latency_ms,page_views,session_minutes,bytes_sent_kb,converted
NM-000137,ap-south,free,3,18.36,34.0,7,13.17,940.13,0
NM-000138,eu-west,basic,3,23.17,118.6,6,20.63,780.91,0
NM-000139,eu-west,free,4,18.83,62.8,7,13.59,598.8,0
NM-000140,eu-west,pro,5,24.99,30.7,12,11.16,734.76,0
NM-000141,ap-south,basic,3,20.7,85.8,7,12.06,714.0,0
NM-000142,us-west,free,4,22.7,181.9,10,10.23,797.91,0
NM-000143,us-east,basic,5,24.4,39.5,8,7.46,99.71,0
NM-000144,ap-south,basic,3,21.19,194.8,7,16.22,1085.48,0
NM-000145,ap-south,free,5,17.61,53.0,8,21.54,644.96,0
NM-000146,us-east,basic,5,18.66,42.2,8,15.15,1075.62,0
NM-000147,us-west,free,4,20.34,95.5,8,3.54,58.63,0
NM-000148,us-east,pro,1,22.71,75.4,11,11.71,660.29,1
NM-000149,eu-west,free,4,17.27,44.1,8,2.41,304.3,0
NM-000150,eu-west,free,4,20.67,73.2,12,8.39,372.89,0
NM-000151,eu-west,free,5,20.04,47.4,9,12.18,581.15,0
NM-000152,eu-west,free,4,18.99,52.0,6,6.74,119.99,0
NM-000153,us-east,pro,4,21.67,119.1,8,12.12,228.85,0
NM-000154,us-east,basic,4,21.96,243.3,8,15.07,273.89,0
NM-000155,us-east,pro,3,21.99,94.7,8,3.46,0.0,0
NM-000156,us-east,basic,2,17.55,65.1,11,6.35,601.86,0
NM-000157,eu-west,free,2,19.51,125.3,10,2.59,71.81,0
NM-000158,ap-south,basic,5,20.29,59.6,12,24.16,839.62,0
NM-000159,eu-west,basic,4,21.37,43.8,16,1.19,61.26,0
NM-000160,eu-west,free,4,21.06,63.5,8,3.18,646.56,0
NM-000161,us-east,basic,4,22.85,85.3,8,14.4,258.08,0
NM-000162,us-east,free,1,20.7,1012.0,9,7.52,814.92,0
NM-000163,ap-south,basic,3,22.46,96.3,7,11.04,651.39,0
NM-000164,ap-south,free,4,22.24,70.7,4,8.1,811.59,0
NM-000165,eu-west,basic,2,23.89,86.7,6,10.39,929.21,0
NM-000166,sa-east,free,3,21.5,72.2,6,4.96,4.7,0
NM-000167,eu-west,basic,1,21.5,24.9,5,5.33,0.0,0
NM-000168,ap-south,basic,4,22.84,64.3,10,10.1,555.92,0
NM-000169,eu-west,free,4,18.35,328.4,10,33.6,1515.73,0
NM-000170,ap-south,free,3,20.37,95.3,8,5.46,436.7,0
NM-000171,us-east,free,1,21.84,50.2,7,7.77,23.09,0
NM-000172,us-west,free,5,21.55,120.1,7,3.8,0.0,0
NM-000173,us-east,basic,5,18.28,46.9,8,4.7,140.05,0
NM-000174,us-east,free,3,19.22,88.6,2,14.57,781.83,0
NM-000175,eu-west,pro,4,21.21,131.4,8,15.51,725.15,0
NM-000176,us-west,basic,3,23.32,96.3,8,13.55,360.79,0
NM-000177,us-west,basic,3,22.03,90.3,10,23.0,608.67,1
NM-000178,ap-south,basic,4,21.49,232.7,8,13.01,660.31,0
NM-000179,eu-west,basic,4,22.58,67.0,5,6.12,363.15,0
NM-000180,us-east,basic,5,20.44,83.4,9,6.47,286.19,0
NM-000181,us-east,pro,3,20.08,70.2,7,4.65,288.48,0
NM-000182,ap-south,free,2,22.06,106.0,7,8.44,351.71,1
NM-000183,us-east,basic,3,22.15,86.9,9,5.85,136.16,0
NM-000184,ap-south,free,3,21.41,26.8,7,11.02,51.95,0
NM-000185,us-west,free,4,22.66,28.6,6,8.98,319.99,0
NM-000186,us-west,free,5,20.74,27.7,12,5.84,66.37,0
NM-000187,sa-east,free,3,19.29,69.6,15,6.41,489.77,0
NM-000188,eu-west,basic,3,17.06,46.1,6,6.88,198.07,0
NM-000189,sa-east,basic,5,20.76,346.9,5,22.84,814.73,0
NM-000190,us-west,free,1,20.74,73.0,9,10.79,545.87,0
NM-000191,us-west,free,4,21.82,21.3,6,13.0,537.86,0
NM-000192,us-east,free,4,22.46,87.2,8,15.24,864.0,0
NM-000193,us-east,free,4,18.08,74.9,9,3.46,0.0,0
NM-000194,sa-east,free,4,19.91,31.2,8,13.85,213.84,0
NM-000195,us-west,free,4,19.97,97.8,9,3.97,0.0,0
NM-000196,us-west,free,1,22.2,116.5,4,6.13,344.97,0
NM-000197,ap-south,free,4,20.03,43.4,10,8.18,702.4,0
NM-000198,eu-west,free,5,22.51,36.7,6,2.74,0.0,0
NM-000199,ap-south,basic,4,22.01,85.1,6,2.71,139.36,0
NM-000200,eu-west,free,5,23.72,86.6,5,29.61,1354.04,0
NM-000201,us-west,free,3,21.72,71.6,14,7.94,519.98,1
NM-000202,ap-south,free,3,21.24,73.0,5,6.53,0.0,0
NM-000203,us-east,free,4,20.85,17.3,10,16.89,476.31,0
NM-000204,eu-west,free,4,21.07,78.6,9,16.22,1035.13,0
NM-000205,ap-south,free,4,22.39,27.9,9,9.21,581.16,0
NM-000206,us-west,free,4,19.94,79.2,11,47.32,2510.87,0
NM-000207,us-west,free,4,21.1,141.6,4,6.28,494.68,0
NM-000208,eu-west,basic,2,22.18,83.3,5,8.15,476.35,0
NM-000209,eu-west,basic,2,17.91,102.9,6,2.27,10.74,0
NM-000210,us-west,basic,5,21.36,87.8,8,3.38,0.0,0
NM-000211,ap-south,free,5,22.62,86.6,10,21.67,632.05,0
NM-000212,eu-west,free,2,20.75,58.1,10,1.74,0.0,0
NM-000213,us-east,enterprise,5,21.01,85.6,6,6.59,545.41,1
NM-000214,us-west,free,4,20.47,119.8,9,7.16,165.96,0
NM-000215,eu-west,free,4,21.54,52.4,7,8.38,0.0,0
NM-000216,us-east,pro,4,20.34,145.7,7,16.42,607.86,0
NM-000217,sa-east,free,2,21.92,89.5,10,11.44,226.67,0
NM-000218,us-east,free,4,23.58,52.6,8,18.18,628.93,0
NM-000219,sa-east,basic,5,19.35,59.7,10,12.26,216.94,0
NM-000220,us-east,free,4,18.35,174.0,7,6.15,0.0,0
NM-000221,us-east,free,3,21.02,192.2,8,6.17,0.0,0
NM-000222,eu-west,basic,4,21.73,26.3,5,6.37,384.13,0
NM-000223,ap-south,free,5,19.55,47.0,7,23.69,725.75,0
NM-000224,us-west,pro,4,21.53,71.8,7,5.96,148.99,0
NM-000225,us-east,free,3,21.43,79.5,3,4.26,208.08,0
NM-000226,ap-south,basic,5,20.6,120.1,9,0.9,198.98,0
NM-000227,eu-west,enterprise,5,18.5,92.2,5,14.82,401.11,0
NM-000228,eu-west,basic,5,19.64,40.8,8,4.19,0.0,0
NM-000229,sa-east,basic,4,22.06,156.2,6,13.95,524.48,0
NM-000230,eu-west,pro,1,22.55,109.4,6,10.28,778.32,0
NM-000231,us-east,free,3,22.14,53.1,7,11.15,439.39,0
NM-000232,eu-west,free,4,20.59,30.1,6,4.65,0.0,0
NM-000233,us-west,free,5,18.76,124.6,5,8.34,569.8,0
NM-000234,ap-south,enterprise,4,23.59,98.8,7,14.49,770.35,0
NM-000235,us-east,free,3,24.9,171.8,4,28.02,1206.42,0
NM-000236,eu-west,free,2,19.92,47.3,10,14.89,748.81,0
NM-000237,us-east,basic,3,22.11,75.3,6,5.67,726.9,0
NM-000238,us-west,free,4,22.33,49.4,9,5.51,325.32,0
NM-000239,us-east,free,3,20.5,80.5,7,0.67,362.65,0
NM-000240,eu-west,free,2,18.3,70.2,7,7.05,397.02,0
NM-000241,us-east,pro,3,19.44,38.4,6,11.0,481.15,0
NM-000242,ap-south,free,4,18.87,42.0,5,7.11,354.0,0
NM-000243,eu-west,pro,4,17.78,85.6,15,13.56,359.87,0
NM-000244,us-west,pro,4,21.36,57.6,10,12.57,318.05,0
NM-000245,ap-south,basic,2,19.71,73.8,3,2.19,547.69,0
NM-000246,ap-south,free,2,21.59,44.3,7,6.97,301.42,0
NM-000247,us-east,basic,2,19.22,72.6,4,18.44,904.4,0
NM-000248,eu-west,basic,1,19.56,111.9,7,8.95,510.88,0
NM-000249,eu-west,pro,1,20.95,68.8,6,8.43,379.27,0
NM-000250,us-east,basic,4,22.82,31.2,5,3.84,0.0,1
NM-000251,us-east,free,3,20.85,72.8,6,6.47,971.51,0
NM-000252,us-east,basic,4,19.7,137.8,6,28.19,1287.24,0
NM-000253,us-west,pro,3,21.9,116.6,12,10.23,0.0,0
NM-000254,us-east,basic,5,20.71,60.0,10,5.41,492.56,0
NM-000255,sa-east,basic,4,22.08,63.0,7,12.78,515.12,0
NM-000256,us-east,free,5,20.91,16.2,7,16.47,440.57,0
NM-000257,ap-south,free,4,18.84,84.6,3,8.5,769.5,0
NM-000258,us-east,free,5,19.4,157.1,8,10.56,816.1,0
NM-000259,ap-south,free,4,20.34,65.6,5,3.56,228.37,0
NM-000260,us-west,free,3,20.02,120.0,6,5.25,313.86,0
NM-000261,sa-east,free,4,18.44,73.8,12,12.13,479.3,0
NM-000262,us-east,basic,4,18.46,107.0,7,11.27,676.05,0
NM-000263,us-east,basic,4,22.79,57.3,7,5.28,649.83,0
NM-000264,us-east,free,1,21.72,159.4,6,11.37,0.0,0
NM-000265,us-west,pro,4,20.86,107.3,11,4.47,249.38,0
NM-000266,eu-west,pro,1,21.82,146.7,5,2.4,148.29,0
NM-000267,us-east,basic,5,19.8,34.1,5,9.39,457.23,0
NM-000268,us-east,free,3,24.32,139.4,9,2.53,0.0,0
NM-000269,ap-south,free,3,20.28,188.8,8,15.05,958.89,0
NM-000270,us-west,free,3,19.3,77.7,8,1.92,211.29,0
NM-000271,eu-west,pro,4,23.21,188.5,4,19.07,528.42,0
NM-000272,us-east,free,5,21.4,120.8,11,16.11,996.37,0
NM-000273,eu-west,free,3,18.34,38.2,5,6.36,395.67,0
NM-000274,eu-west,pro,3,22.31,42.6,9,22.8,1096.49,0
NM-000275,eu-west,free,3,25.13,195.2,6,4.93,0.0,0
NM-000276,eu-west,free,4,21.53,78.9,8,10.34,464.35,0
NM-000277,eu-west,basic,4,20.52,94.7,4,8.9,1063.34,0
NM-000278,ap-south,free,2,21.97,124.8,6,5.6,34.69,0
NM-000279,ap-south,free,2,18.61,57.2,16,8.29,277.02,0
NM-000280,us-west,basic,4,22.96,187.3,3,4.36,224.09,0
NM-000281,ap-south,free,4,18.87,60.8,7,24.14,1662.76,0
NM-000282,us-east,free,2,19.71,89.0,12,17.38,1016.21,0
NM-000283,ap-south,basic,4,18.45,47.4,10,12.22,666.52,0
NM-000284,ap-south,free,1,20.4,53.3,14,10.36,340.7,0
NM-000285,eu-west,free,5,19.8,88.8,16,20.47,961.67,0
NM-000286,ap-south,free,1,26.35,41.8,8,7.77,264.18,0
NM-000287,us-east,pro,3,20.54,32.5,9,13.28,881.73,0
NM-000288,us-west,basic,4,18.29,29.6,8,12.12,593.99,0
NM-000289,ap-south,pro,2,22.72,38.5,5,9.39,335.23,0
NM-000290,us-west,basic,2,20.84,95.9,10,5.77,104.79,0
NM-000291,eu-west,basic,4,19.93,82.2,9,11.53,127.01,0
NM-000292,us-east,pro,4,17.05,65.7,7,15.52,805.98,0
NM-000293,eu-west,basic,5,21.12,49.1,5,20.53,400.56,0
NM-000294,ap-south,free,4,19.15,31.9,12,14.17,539.79,0
NM-000295,us-west,free,4,19.73,52.6,13,5.66,0.0,0
NM-000296,us-west,pro,5,19.54,68.2,9,7.59,133.79,1
NM-000297,eu-west,pro,5,21.0,97.8,6,9.51,539.66,0
NM-000298,eu-west,free,3,15.38,36.6,9,12.0,618.97,0
NM-000299,ap-south,basic,3,22.36,73.6,9,6.18,86.5,0
NM-000300,us-east,free,3,17.03,57.5,3,7.74,347.7,0
NM-000301,ap-south,free,2,19.27,43.2,10,5.09,161.31,1
NM-000302,us-east,free,5,20.22,70.4,5,10.46,413.64,1
NM-000303,us-east,pro,5,21.26,2196.8,6,7.72,764.81,0
NM-000304,us-east,basic,2,20.31,37.9,10,5.24,118.43,0
NM-000305,us-east,basic,1,19.35,161.3,8,15.62,457.02,0
NM-000306,us-east,basic,3,20.66,44.5,5,5.49,666.29,0
NM-000307,ap-south,basic,5,18.47,51.2,7,18.32,337.31,0
NM-000308,ap-south,basic,4,20.29,60.9,8,15.95,1001.88,0
NM-000309,ap-south,free,4,20.58,54.1,8,5.85,201.48,0
NM-000310,ap-south,free,2,17.86,31.3,6,30.26,1216.33,0
NM-000311,us-west,basic,2,21.36,74.7,8,14.49,1126.71,0
NM-000312,sa-east,free,4,19.58,98.5,7,5.88,428.12,0
NM-000313,us-east,free,1,20.4,86.7,8,5.1,74.16,0
NM-000314,ap-south,free,3,22.23,55.3,10,2.26,290.75,0
NM-000315,ap-south,free,4,21.43,162.7,1,8.85,660.33,0
NM-000316,us-east,free,3,22.41,115.3,5,20.7,1346.7,0
NM-000317,us-east,basic,4,19.47,65.2,6,7.11,83.21,0
NM-000318,us-west,free,4,19.74,77.8,8,4.48,0.0,0
NM-000319,ap-south,pro,4,21.23,73.9,5,5.15,94.24,0
NM-000320,sa-east,pro,2,22.45,119.2,7,14.52,510.73,0
NM-000321,us-west,pro,5,20.42,43.1,6,6.67,220.28,1
NM-000322,us-east,free,3,19.49,77.3,6,7.32,109.72,0
NM-000323,us-east,basic,4,21.47,40.4,8,12.52,473.52,0
NM-000324,sa-east,enterprise,1,19.68,84.3,4,4.2,102.58,0
NM-000325,ap-south,basic,3,21.69,51.5,9,23.25,1268.53,0
NM-000326,ap-south,free,4,19.15,63.3,5,7.95,821.24,0
NM-000327,us-east,free,5,20.2,24.1,6,9.8,986.33,0
NM-000328,us-east,free,3,22.36,1932.4,4,10.01,929.17,0
NM-000329,ap-south,free,5,21.69,34.5,3,9.73,233.8,0
NM-000330,us-east,free,4,18.28,35.8,8,7.84,0.0,0
NM-000331,eu-west,basic,5,18.84,100.0,5,7.68,94.53,0
NM-000332,us-west,enterprise,5,16.96,34.1,5,27.67,1291.92,0
NM-000333,ap-south,basic,5,21.3,68.3,6,9.17,502.47,0
NM-000334,ap-south,basic,4,16.84,345.1,7,12.12,834.52,0
NM-000335,us-east,free,4,22.42,47.1,7,22.73,1028.93,0
NM-000336,sa-east,basic,1,23.37,80.1,7,8.94,353.23,0
NM-000337,us-east,pro,3,23.05,45.0,9,14.0,788.26,0
NM-000338,ap-south,basic,4,18.91,279.5,10,14.3,236.06,0
NM-000339,us-west,free,3,20.11,81.2,7,3.97,0.0,0
NM-000340,us-east,basic,4,19.12,254.3,4,15.13,431.96,0
NM-000341,us-west,pro,3,21.22,56.9,4,15.38,636.46,0
NM-000342,eu-west,basic,5,19.51,174.9,13,11.55,768.79,0
NM-000343,us-west,pro,3,21.05,93.8,6,4.09,0.0,0
NM-000344,ap-south,free,3,21.15,68.1,10,18.56,948.47,0
NM-000345,us-east,pro,4,20.79,86.9,10,10.11,606.17,0
NM-000346,eu-west,enterprise,2,21.24,121.3,7,34.15,1757.64,0
NM-000347,us-west,basic,3,17.61,27.7,5,3.5,0.0,0
NM-000348,us-west,pro,5,18.26,104.3,7,10.87,728.02,0
NM-000349,us-east,free,4,20.02,147.5,2,14.56,583.98,0
NM-000350,eu-west,free,4,26.24,65.4,8,3.4,404.23,0
NM-000351,eu-west,basic,4,19.95,27.5,5,3.96,286.22,0
NM-000352,sa-east,basic,4,21.86,218.6,12,4.54,302.66,0
NM-000353,eu-west,enterprise,3,17.59,192.8,5,8.74,179.66,1
NM-000354,eu-west,free,3,20.42,50.4,9,11.04,627.3,0
NM-000355,ap-south,free,1,20.73,46.6,7,10.36,414.56,0
NM-000356,us-west,free,5,20.67,41.2,4,3.64,0.0,0
NM-000357,us-east,free,4,21.72,28.4,8,10.61,576.01,0
NM-000358,us-west,pro,4,18.58,29.8,9,8.7,781.93,0
NM-000359,ap-south,pro,5,19.84,63.2,6,7.51,134.04,0
NM-000360,eu-west,basic,1,21.21,76.6,5,9.24,596.0,0
NM-000361,us-west,free,2,21.19,51.2,10,25.73,1256.87,0
NM-000362,ap-south,enterprise,2,22.57,119.4,8,7.9,486.1,0
NM-000363,us-east,pro,5,20.16,132.6,6,1.55,0.0,0
NM-000364,us-west,free,5,22.83,62.9,7,27.46,1502.08,0
NM-000365,eu-west,free,3,17.9,37.9,4,16.02,839.14,0
NM-000366,sa-east,pro,4,20.83,67.3,8,8.36,655.6,0
NM-000367,eu-west,free,4,22.14,81.3,13,1.23,0.0,0
NM-000368,us-east,basic,4,24.93,37.8,5,6.52,51.8,0
NM-000369,us-east,basic,5,19.92,52.6,7,8.14,514.88,0
NM-000370,us-east,free,3,22.36,3704.4,13,1.16,0.0,0
NM-000371,ap-south,free,5,21.53,110.9,6,9.46,750.03,0
NM-000372,ap-south,basic,4,22.21,209.1,4,13.52,297.4,0
NM-000373,eu-west,free,4,22.86,37.9,10,7.22,293.2,0
NM-000374,us-west,pro,4,23.72,72.5,9,10.61,147.96,0
NM-000375,us-east,free,1,19.87,89.2,5,8.23,544.45,0
NM-000376,us-west,free,1,21.73,47.3,8,1.99,0.0,0
NM-000377,eu-west,enterprise,3,19.19,53.9,5,6.98,602.55,1
NM-000378,us-west,free,1,22.38,41.9,3,2.79,304.42,0
NM-000379,eu-west,pro,3,21.9,72.9,7,16.42,487.26,0
NM-000380,us-west,basic,3,18.12,76.9,11,9.54,662.61,0
NM-000381,eu-west,basic,5,22.73,64.8,5,9.5,0.0,0
NM-000382,us-west,free,5,20.69,61.4,8,30.44,1343.57,0
NM-000383,eu-west,basic,5,19.86,350.9,9,4.27,0.0,0
NM-000384,sa-east,free,4,21.31,50.5,6,14.49,236.21,1
NM-000385,eu-west,free,1,20.21,510.8,5,19.12,872.04,0
NM-000386,us-east,free,4,23.52,90.8,6,10.54,702.5,0
NM-000387,us-west,free,2,21.05,43.8,5,25.1,1408.96,0
NM-000388,us-west,free,4,21.26,62.7,11,8.26,453.17,0
NM-000389,us-east,free,4,22.05,54.7,3,16.56,560.48,0
NM-000390,eu-west,free,4,18.73,81.7,8,20.64,654.65,0
NM-000391,us-east,basic,4,23.42,27.0,8,6.49,310.08,0
NM-000392,us-east,pro,3,21.23,108.7,8,8.73,731.43,0
NM-000393,us-west,enterprise,5,22.25,150.9,11,49.11,2040.26,0
NM-000394,us-west,basic,4,20.4,106.0,8,13.21,661.28,1
