request_id,tier,prompt_tokens,output_tokens,queue_depth,gpu_util,latency_ms,cache_hit,screen_dpi,log_resid,resid_energy
29,free,43,29,5,52.127,205.025,0,148.35,0.6822,0.4654
30,free,160,31,2,79.329,172.053,0,217.66,-0.2861,0.0819
31,free,319,88,2,45.138,326.275,0,253.17,1.2078,1.4588
32,free,436,125,2,16.858,129.023,0,224.18,0.275,0.0756
33,free,190,89,2,88.344,279.562,0,201.6,-0.0968,0.0094
34,pro,332,66,1,47.018,105.597,0,231.1,-0.1941,0.0377
35,free,267,161,2,42.049,261.882,0,198.61,0.714,0.5098
36,enterprise,274,207,2,65.654,198.539,0,151.69,0.9784,0.9573
37,enterprise,81,35,5,75.855,119.471,0,267.58,0.2658,0.0706
38,pro,130,94,4,74.814,829.638,0,217.52,2.9343,8.6101
39,pro,517,190,2,50.68,46.956,0,178.63,-2.3907,5.7154
40,enterprise,121,21,2,69.745,78.398,0,164.83,-0.3045,0.0927
41,free,110,28,3,59.665,74.458,0,157.55,-1.1224,1.2598
42,pro,124,74,1,23.324,111.829,0,240.31,0.5852,0.3425
43,pro,322,49,4,77.684,223.424,0,213.92,0.5105,0.2606
44,free,173,73,4,55.769,81.077,0,214.88,-1.2303,1.5136
45,enterprise,236,126,1,16.896,56.673,0,255.43,-0.0975,0.0095
46,free,221,108,1,53.733,83.897,0,227.7,-1.2646,1.5992
47,pro,129,76,5,67.374,108.292,0,191.4,-0.82,0.6724
48,pro,177,96,2,40.19,114.918,0,216.69,0.0163,0.0003
49,free,467,173,3,28.069,494.8,0,169.44,2.0549,4.2226
50,free,90,19,3,52.075,259.512,0,254.57,1.2137,1.4731
51,enterprise,261,33,3,40.781,114.488,0,247.25,1.5803,2.4973
52,free,532,100,3,66.415,334.369,0,184.31,0.6842,0.4681
53,free,614,124,2,35.996,275.625,0,214.35,1.0365,1.0743
54,pro,58,29,1,27.453,111.434,0,280.77,0.8657,0.7494
55,free,175,54,2,30.307,177.691,0,309.52,0.7618,0.5803
56,free,274,54,3,73.254,211.506,0,209.82,-0.0023,0.0
57,free,427,171,1,71.565,376.922,0,216.39,0.5617,0.3155
58,free,291,66,1,37.336,98.591,0,246.27,-0.4305,0.1853
59,free,177,93,0,35.418,64.657,0,243.21,-1.186,1.4066
60,free,63,12,2,58.053,99.631,0,152.64,-0.3128,0.0978
61,free,138,29,8,54.279,196.678,0,224.59,0.5628,0.3167
62,free,152,142,3,68.398,124.258,0,217.58,-1.0851,1.1774
63,pro,309,217,5,75.617,104.287,0,241.15,-1.6057,2.5783
64,pro,179,108,9,82.488,467.515,0,183.09,1.4946,2.2338
65,pro,279,88,3,66.442,101.299,0,212.64,-0.9899,0.9799
66,free,200,37,7,94.613,98.328,0,270.35,-1.6233,2.6351
67,free,108,45,5,67.664,159.712,0,211.38,-0.2546,0.0648
68,enterprise,776,213,1,67.785,123.39,0,287.94,-0.3744,0.1402
69,pro,241,38,2,57.421,181.073,0,254.13,0.8135,0.6618
70,free,288,71,9,77.283,561.516,0,224.95,1.3774,1.8972
71,free,564,92,5,83.178,1008.201,0,298.58,2.086,4.3514
72,free,61,22,5,68.193,124.846,0,252.9,-0.4108,0.1688
73,free,312,29,0,20.147,13.663,0,247.37,-2.908,8.4565
74,free,103,36,4,34.242,256.896,0,171.25,1.4045,1.9726
75,free,142,37,2,57.667,130.105,0,253.18,-0.2725,0.0743
76,enterprise,220,92,2,56.162,87.992,0,175.02,-0.3166,0.1002
77,enterprise,516,265,1,59.126,106.304,0,225.63,-0.5493,0.3017
78,free,147,48,4,33.645,71.601,0,239.36,-0.7436,0.5529
79,enterprise,579,132,0,48.884,148.602,0,129.65,1.1423,1.3048
80,free,164,51,2,29.437,96.433,0,224.86,-0.1825,0.0333
81,pro,496,87,1,27.897,88.397,0,277.42,-0.0943,0.0089
82,free,228,63,4,78.244,881.367,0,232.79,2.1236,4.5097
83,enterprise,337,89,5,57.573,46.218,0,204.79,-2.0479,4.1939
84,pro,648,71,7,89.881,114.543,0,245.78,-1.3569,1.8412
85,pro,312,98,3,80.911,122.412,0,253.68,-1.0952,1.1995
86,pro,97,22,0,17.81,112.731,0,316.12,1.3014,1.6936
87,free,385,115,2,56.163,213.594,0,247.74,0.1612,0.026
88,free,62,20,1,47.535,110.762,0,274.99,-0.0673,0.0045
89,pro,694,149,6,83.906,257.694,0,222.99,0.1188,0.0141
90,pro,465,116,1,55.581,196.231,0,228.45,0.5387,0.2902
91,enterprise,290,95,3,64.123,128.011,0,259.58,0.3352,0.1124
92,free,142,47,6,70.384,71.492,0,246.49,-1.6326,2.6654
93,free,126,34,6,62.658,283.259,0,213.65,0.8909,0.7937
94,free,191,59,5,77.127,276.062,0,229.81,0.3017,0.091
95,free,584,125,5,37.703,152.828,0,173.12,0.0409,0.0017
96,free,147,76,1,37.255,60.946,0,166.61,-1.2544,1.5735
97,pro,306,61,3,44.798,112.783,0,246.82,0.0392,0.0015
98,free,215,123,5,62.013,131.138,0,196.5,-0.7918,0.6269
99,free,169,25,2,63.15,114.482,0,244.49,-0.4732,0.2239
100,free,46,10,4,47.949,31.6,0,218.46,-1.8544,3.4388
101,free,364,232,2,66.459,158.101,0,271.01,-0.8236,0.6783
102,free,227,83,0,79.583,187.962,0,282.77,-0.4992,0.2492
103,free,543,210,3,59.605,234.251,0,203.99,0.0127,0.0002
104,free,231,53,2,79.576,114.73,0,238.74,-1.136,1.2905
105,free,587,259,1,55.461,357.744,0,236.47,0.7221,0.5214
106,free,43,45,1,53.224,160.762,0,247.72,0.1074,0.0115
107,free,372,53,0,20.179,51.863,0,279.49,-0.9713,0.9434
108,free,599,167,5,67.798,269.221,0,184.16,0.119,0.0142
109,enterprise,399,133,1,63.397,148.557,0,218.48,0.5609,0.3146
110,free,613,1574,0,44.205,295.156,0,240.6,0.0455,0.0021
111,pro,112,57,0,69.89,256.675,0,198.43,0.9566,0.9151
112,enterprise,336,77,1,34.404,123.136,0,252.09,1.5346,2.355
113,free,731,137,1,53.06,293.75,0,222.06,0.6886,0.4742
114,free,222,60,5,88.717,201.08,0,221.8,-0.4975,0.2475
115,pro,73,38,0,65.897,86.016,0,183.01,-0.931,0.8668
116,free,154,45,2,77.375,528.863,0,208.68,1.4403,2.0745
117,enterprise,202,55,0,22.02,110.978,0,245.2,1.9475,3.7928
118,pro,345,108,4,66.058,173.582,0,213.08,0.0087,0.0001
119,pro,147,91,2,35.963,78.904,0,283.06,-0.5846,0.3418
120,free,316,77,0,48.531,218.822,0,175.22,0.5283,0.2791
121,free,183,41,4,49.138,314.098,0,229.17,1.3201,1.7427
122,free,937,310,4,82.85,637.003,0,303.8,0.9224,0.8508
123,free,520,87,1,28.847,54.312,0,181.06,-1.2836,1.6476
124,free,327,133,3,64.552,182.456,1,205.2,-0.3487,0.1216
125,free,634,180,3,54.383,1384.776,0,224.16,3.0604,9.366
126,free,41,32,3,83.259,473.584,0,205.94,1.2401,1.5378
127,free,600,189,0,56.846,515.187,0,187.66,1.3884,1.9277
128,pro,284,79,1,40.684,85.275,0,203.9,-0.5096,0.2597
129,free,256,36,6,69.422,232.704,0,239.11,0.3889,0.1512
130,free,214,45,6,81.562,119.863,0,269.79,-1.0557,1.1145
131,free,227,109,6,56.728,70.845,0,251.69,-1.6135,2.6034
132,free,541,394,3,27.183,212.025,0,186.66,0.4176,0.1744
133,free,383,127,2,42.825,355.625,0,187.52,1.2728,1.62
134,free,436,146,7,57.336,272.468,0,332.89,0.4406,0.1941
135,pro,1233,140,2,33.671,86.924,0,286.88,-0.5114,0.2615
136,free,371,40,2,25.534,72.944,0,252.46,-0.4516,0.2039
137,free,125,44,5,51.453,76.45,0,174.66,-1.0404,1.0824
138,enterprise,827,101,6,57.418,80.974,0,159.72,-0.6393,0.4087
139,pro,328,108,2,17.439,58.173,0,203.26,-0.7107,0.5051
140,free,107,77,4,40.773,198.286,0,271.9,0.5581,0.3115
141,free,260,59,4,55.466,131.154,0,286.79,-0.3716,0.1381
142,pro,118,33,10,96.564,165.119,0,167.56,-0.49,0.2401
143,free,169,60,2,63.313,136.708,0,292.35,-0.5016,0.2516
144,pro,158,27,1,27.274,69.177,0,225.24,-0.051,0.0026
145,free,297,50,4,54.868,143.291,0,235.42,-0.1556,0.0242
146,enterprise,108,58,5,74.051,197.366,0,155.14,1.366,1.866
147,enterprise,56,19,1,38.604,66.633,0,246.25,0.5619,0.3157
148,free,173,24,7,55.825,76.685,0,235.34,-0.9268,0.859
149,enterprise,210,122,0,67.643,235.891,0,224.56,1.6592,2.7529
150,free,291,190,0,48.545,211.45,0,187.31,0.1522,0.0232
151,pro,354,100,1,40.693,112.142,0,300.42,-0.0658,0.0043
152,pro,145,28,6,67.36,115.716,0,315.74,-0.2476,0.0613
153,free,105,39,2,64.742,84.051,0,191.9,-1.1681,1.3645
154,free,483,204,5,76.009,237.922,1,168.11,-0.3511,0.1233
155,free,149,154,0,9.04,46.87,0,274.39,-1.242,1.5426
156,pro,307,116,3,74.44,241.577,0,238.09,0.3855,0.1486
157,pro,85,30,6,65.569,242.656,0,278.39,1.2571,1.5803
158,free,241,46,4,14.148,90.402,0,161.27,0.122,0.0149
159,enterprise,600,113,1,64.024,216.385,0,223.02,1.6201,2.6247
160,free,277,187,0,59.57,472.28,0,205.88,1.1856,1.4056
161,free,624,171,2,70.916,104.08,0,237.64,-1.4981,2.2443
162,enterprise,233,74,2,45.043,73.332,0,239.18,-0.2287,0.0523
163,free,249,102,2,47.304,122.464,0,260.04,-0.4778,0.2283
164,free,103,42,1,66.04,58.613,0,233.76,-1.8074,3.2667
165,enterprise,64,37,0,35.866,90.577,0,265.77,1.0927,1.194
166,enterprise,369,73,2,55.18,88.644,0,177.26,-0.1243,0.0155
167,free,144,24,3,37.349,113.517,0,206.32,0.1555,0.0242
168,pro,317,155,8,72.819,292.37,0,154.41,0.6885,0.474
169,pro,113,131,3,54.94,175.008,0,317.39,0.2756,0.076
170,pro,248,64,3,73.009,241.164,0,265.9,0.6869,0.4718
171,free,357,166,1,52.68,492.764,0,308.18,1.464,2.1433
172,pro,308,143,3,32.064,152.022,0,203.65,0.6457,0.4169
173,free,167,121,2,38.977,110.907,0,200.9,-0.4957,0.2457
174,free,308,63,1,21.598,206.838,0,195.34,1.164,1.3549
175,free,166,39,3,27.084,51.05,0,218.15,-1.056,1.1151
176,free,391,64,6,55.434,406.7,0,195.35,1.4256,2.0323
177,free,1059,178,1,40.238,162.274,0,148.92,-0.0495,0.0025
178,free,265,96,2,41.642,269.354,0,206.06,0.9528,0.9078
179,pro,277,46,3,48.946,435.609,0,214.77,2.7408,7.512
180,pro,105,22,6,89.263,221.182,0,194.3,0.4933,0.2433
181,free,364,73,7,31.549,160.03,0,207.44,0.4558,0.2078
182,pro,219,107,5,76.735,297.324,0,116.18,0.767,0.5883
183,pro,365,429,2,73.514,282.654,0,261.08,0.152,0.0231
184,enterprise,343,101,7,83.673,96.686,0,200.88,-1.215,1.4762
185,pro,194,53,4,78.355,102.515,0,195.6,-1.1024,1.2153
186,pro,280,40,2,59.733,165.861,0,250.29,0.5456,0.2977
187,free,354,251,1,7.335,86.042,0,191.39,-0.3941,0.1553
188,enterprise,166,50,1,51.206,61.049,0,127.94,-0.7289,0.5313
189,pro,376,84,2,20.047,166.604,0,207.17,1.4256,2.0323
190,free,219,112,2,33.134,174.463,0,275.87,0.4046,0.1637
191,free,598,138,1,35.142,185.986,0,270.15,0.3848,0.1481
192,free,400,173,1,71.023,137.026,0,308.1,-1.0613,1.1264
193,enterprise,489,101,5,48.105,138.194,0,186.95,1.1371,1.293
194,free,186,52,2,50.193,105.961,0,236.54,-0.5425,0.2943
195,free,143,35,1,17.285,157.492,0,248.59,1.0379,1.0772
196,pro,308,91,2,83.433,485.625,0,191.83,1.6174,2.616
197,pro,1452,262,3,67.166,140.52,0,249.31,-0.8372,0.7009
198,free,400,75,1,61.72,356.907,0,162.1,1.0057,1.0114
199,free,152,48,2,64.114,193.861,0,318.46,0.1214,0.0147
200,free,447,60,3,54.641,369.862,1,257.39,1.3147,1.7284
201,free,1897,283,0,28.299,144.541,0,255.24,-0.1101,0.0121
202,free,268,152,4,75.945,304.044,0,179.83,0.1504,0.0226
203,pro,693,304,5,75.822,283.933,0,221.69,0.2429,0.059
204,free,882,102,5,48.373,74.601,0,234.63,-1.3033,1.6986
205,free,203,82,2,75.943,337.023,0,251.43,0.5355,0.2868
206,free,92,70,3,61.046,44.216,0,223.78,-2.3217,5.3903
207,free,415,28,2,33.31,214.436,0,263.0,1.225,1.5006
208,pro,405,55,1,27.151,56.57,1,215.07,-0.7627,0.5817
209,free,170,69,4,62.269,188.295,0,162.12,-0.0094,0.0001
210,free,155,85,1,52.016,61.865,0,225.18,-1.6292,2.6543
211,free,522,98,0,54.395,208.018,0,207.61,0.2183,0.0477
212,free,290,110,0,45.255,204.664,0,246.71,0.3735,0.1395
213,pro,1172,159,1,72.94,150.474,0,261.64,-0.6548,0.4288
214,free,295,43,3,71.75,349.184,0,281.5,0.9238,0.8534
215,free,277,53,5,53.774,89.065,0,231.02,-0.9166,0.8402
216,free,281,85,4,83.259,195.405,0,204.82,-0.5344,0.2856
217,free,300,82,2,27.369,156.951,0,180.48,0.4849,0.2351
218,free,572,138,1,43.392,176.564,0,193.27,0.1002,0.01
219,free,545,145,9,75.157,656.327,0,135.06,1.4274,2.0375
220,free,137,79,2,25.695,53.1,0,189.75,-1.2091,1.4619
221,free,111,29,1,29.82,37.894,1,320.3,-1.4981,2.2443
222,free,112,51,2,56.912,174.504,0,248.48,0.1055,0.0111
223,pro,745,164,2,20.116,118.7,0,220.1,0.4511,0.2035
224,pro,254,127,2,74.173,166.719,0,283.19,-0.3881,0.1506
225,pro,221,30,6,81.943,147.45,0,265.96,-0.2333,0.0544
226,free,493,220,1,50.43,343.307,0,208.35,0.8359,0.6987
227,pro,244,106,7,82.669,280.682,0,216.48,0.4769,0.2274
228,free,181,39,1,68.614,212.244,0,221.37,0.2317,0.0537
229,free,78,114,2,80.043,489.563,0,323.22,0.921,0.8482
230,free,462,107,7,90.674,551.206,0,191.11,0.8761,0.7676
231,pro,126,25,1,44.306,64.746,0,185.31,-0.6634,0.4401
232,free,405,140,3,43.261,329.193,0,280.26,1.1031,1.2168
233,pro,218,40,1,54.132,160.727,0,243.21,0.6517,0.4247
234,free,234,42,2,39.075,82.408,0,265.64,-0.6017,0.362
235,free,529,96,6,76.505,298.013,0,231.36,0.2675,0.0716
236,enterprise,93,72,1,33.216,51.304,0,152.49,-0.6834,0.467
237,pro,158,53,4,31.957,39.678,0,247.86,-1.6008,2.5626
238,free,166,33,0,47.805,163.548,0,224.26,0.377,0.1421
239,free,148,76,1,44.423,94.67,0,222.44,-0.7185,0.5162
240,enterprise,382,135,3,18.884,48.484,0,185.78,-0.6271,0.3933
241,free,133,19,5,77.997,722.931,0,236.79,2.2353,4.9966
242,free,221,65,1,60.544,112.516,0,184.26,-0.7768,0.6034
243,free,172,130,1,59.446,358.913,0,191.61,0.8749,0.7655
244,enterprise,311,45,1,77.22,125.134,0,225.36,0.188,0.0353
245,enterprise,138,42,6,88.712,81.603,0,224.62,-1.3534,1.8317
246,free,85,32,1,50.337,173.87,0,234.53,0.425,0.1806
247,enterprise,2178,155,1,36.23,73.15,0,295.05,-0.3135,0.0983
248,pro,544,92,13,88.186,82.553,0,183.21,-2.0748,4.3048
249,free,930,248,1,78.937,272.601,0,218.42,-0.2722,0.0741
250,enterprise,124,30,5,81.356,114.469,0,236.74,0.0241,0.0006
251,free,905,72,7,78.74,295.726,0,194.71,0.3028,0.0917
252,pro,433,52,1,66.616,149.822,0,236.17,0.0191,0.0004
253,free,384,67,1,41.692,497.95,0,306.28,2.0703,4.2861
254,pro,371,56,1,70.734,104.859,0,238.61,-0.8514,0.7249
255,free,797,104,1,43.703,164.24,0,208.08,0.0763,0.0058
256,free,686,104,2,72.557,277.883,0,270.12,0.2224,0.0495
257,free,75,35,7,64.297,185.596,0,201.65,0.1588,0.0252
258,free,157,48,2,20.395,203.017,0,206.86,1.2597,1.5868
259,free,392,119,1,53.001,194.68,0,276.29,0.0765,0.0059
260,free,64,33,6,72.902,139.395,0,271.53,-0.4914,0.2415
261,free,326,37,1,33.674,267.438,0,182.82,1.4735,2.1712
262,free,149,96,3,73.403,548.217,0,201.46,1.3261,1.7585
263,free,328,102,2,63.13,129.274,0,198.14,-0.7756,0.6016
264,pro,386,127,3,55.226,139.573,0,218.45,-0.1718,0.0295
265,pro,640,78,3,65.188,202.312,0,259.97,0.4845,0.2347
266,pro,343,113,0,59.127,138.255,0,236.18,-0.2571,0.0661
267,pro,82,59,1,64.778,111.106,0,157.28,-0.5789,0.3351
268,free,693,120,0,65.463,615.473,0,263.91,1.6268,2.6465
269,pro,798,61,1,58.204,177.503,0,300.06,0.5418,0.2935
270,pro,243,170,5,33.043,124.549,0,250.97,0.1414,0.02
271,pro,643,199,2,52.425,137.488,0,201.44,-0.315,0.0992
272,free,200,169,3,57.901,564.271,0,200.83,1.5492,2.4
273,free,253,220,2,87.864,702.683,0,288.35,1.0803,1.167
274,free,91,98,2,34.313,97.915,0,239.23,-0.5083,0.2584
275,free,545,274,0,68.136,324.954,0,121.65,0.2386,0.0569
276,free,501,110,0,31.527,241.896,0,193.24,0.9772,0.9549
277,free,101,76,3,50.019,130.708,0,187.15,-0.3344,0.1118
278,free,78,30,2,71.326,89.768,1,272.17,-1.1291,1.2749
279,free,194,76,4,34.773,29.994,0,249.28,-2.3375,5.4639
280,free,473,152,4,68.047,367.971,0,266.12,0.6504,0.423
281,pro,261,78,9,91.36,453.197,0,108.89,1.3078,1.7103
282,free,552,164,5,78.098,368.305,0,185.57,0.3803,0.1446
283,free,442,91,3,73.111,159.54,0,131.75,-0.6387,0.4079
284,pro,287,70,1,75.586,91.443,0,218.95,-1.3698,1.8764
285,pro,182,59,2,27.956,148.27,0,199.4,1.1092,1.2303
286,free,391,83,2,63.293,336.15,0,248.93,0.8349,0.6971
287,free,177,42,2,46.948,189.325,0,158.8,0.5483,0.3006
288,pro,66,38,3,68.996,668.595,0,269.11,3.0768,9.4667
289,free,353,57,2,44.126,172.275,0,286.56,0.3564,0.127
290,free,109,17,4,53.087,168.126,0,180.23,0.5284,0.2792
291,enterprise,162,33,3,75.565,73.209,0,213.51,-0.9774,0.9553
292,pro,1022,179,0,48.885,91.666,0,233.95,-0.9724,0.9456
293,free,232,47,0,26.706,341.794,0,193.93,1.9538,3.8173
294,pro,207,30,1,67.288,197.097,0,143.21,0.7893,0.623
295,free,71,40,2,74.049,72.563,0,228.96,-1.6406,2.6916
296,free,94,37,3,72.925,122.821,0,224.85,-0.7368,0.5429
297,free,118,39,1,55.782,179.766,0,231.15,0.2761,0.0762
298,pro,307,80,1,41.457,189.875,0,230.67,1.0625,1.1289
299,free,87,28,2,57.919,279.849,0,294.26,1.0555,1.1141
300,free,200,180,3,49.96,377.827,0,207.63,1.0731,1.1515
301,free,183,114,5,59.599,220.581,0,290.44,0.1326,0.0176
302,free,182,76,3,35.154,324.987,0,188.31,1.4964,2.2392
303,free,139,55,1,42.708,203.42,0,166.5,0.6717,0.4512
304,free,181,67,4,64.299,309.92,0,241.68,0.7553,0.5705
305,free,123,92,2,20.99,123.236,0,133.22,0.2092,0.0438
306,pro,137,53,0,35.276,73.292,1,200.11,-0.4736,0.2243
307,free,124,44,6,62.821,132.419,0,206.61,-0.431,0.1858
308,free,365,55,2,55.489,217.752,0,230.11,0.4705,0.2214
309,free,280,151,1,70.892,115.943,0,273.92,-1.2793,1.6366
310,free,108,31,4,63.121,50.48,0,213.37,-1.8695,3.495
311,free,273,30,2,44.678,250.682,0,173.96,1.1757,1.3823
312,pro,37,11,2,64.029,90.393,0,203.12,-0.2299,0.0529
313,free,397,132,2,65.502,509.309,0,201.73,1.2866,1.6553
314,free,45,12,6,75.532,307.887,0,179.26,1.0816,1.1699
315,pro,210,49,4,73.495,193.868,0,225.7,0.3531,0.1247
316,free,177,79,1,55.399,95.949,0,249.34,-0.9777,0.9559
317,free,314,73,4,85.818,146.627,0,187.86,-1.0059,1.0118
318,pro,160,55,3,61.249,391.901,0,281.02,2.0795,4.3243
319,free,152,30,1,50.327,141.364,0,138.58,0.1143,0.0131
320,free,199,83,0,26.386,102.275,0,217.0,-0.1862,0.0347
321,free,252,90,2,36.193,105.017,0,283.44,-0.4109,0.1688
322,enterprise,268,190,1,61.288,140.344,0,202.83,0.2885,0.0832
323,free,155,34,3,42.894,80.467,0,130.46,-0.6581,0.4331
324,pro,133,54,1,50.369,130.151,0,251.32,0.2112,0.0446
325,pro,246,50,4,30.137,88.21,0,229.72,0.0776,0.006
326,pro,242,89,3,73.967,73.06,0,227.95,-1.8755,3.5175
327,pro,850,82,0,41.996,76.594,0,218.55,-0.7803,0.6089
328,free,697,83,1,87.764,253.573,0,209.85,-0.2153,0.0464
329,free,512,123,4,64.027,327.153,0,238.83,0.6337,0.4016
330,pro,465,81,1,58.225,180.61,0,299.69,0.4511,0.2035
331,free,108,41,2,64.733,116.823,0,262.48,-0.6546,0.4285
332,free,126,90,5,76.065,761.18,0,95.9,1.8136,3.2891
333,pro,137,131,3,56.808,172.435,0,300.2,0.1896,0.0359
334,pro,113,37,2,79.864,110.345,0,288.02,-0.8426,0.71
335,free,126,27,1,66.063,145.151,0,222.29,-0.1886,0.0356
336,free,56,21,2,42.499,95.927,0,158.42,-0.194,0.0376
337,free,174,38,4,71.514,177.287,0,284.88,-0.1199,0.0144
338,free,96,84,3,73.445,769.896,0,207.34,1.9202,3.6872
339,enterprise,345,78,1,30.636,62.84,0,199.93,-0.0936,0.0088
340,pro,197,60,1,72.964,171.409,0,244.08,0.0338,0.0011
341,free,546,136,3,17.745,138.998,0,264.84,0.3436,0.1181
342,pro,225,124,3,46.231,220.563,0,226.43,1.0253,1.0512
343,pro,212,44,4,53.637,86.93,0,132.78,-0.6045,0.3654
344,free,242,45,1,40.837,78.033,0,152.51,-0.757,0.573
345,pro,584,67,7,66.387,211.546,0,150.77,0.6045,0.3654
346,free,267,94,2,9.591,50.238,0,277.33,-0.9683,0.9376
347,pro,217,155,0,68.969,463.945,0,252.57,1.7282,2.9867
348,free,111,40,6,75.144,153.286,0,296.69,-0.461,0.2125
349,pro,105,67,1,47.433,91.349,0,192.32,-0.5031,0.2531
350,free,151,153,1,47.978,99.964,0,260.68,-0.9655,0.9322
351,free,143,23,2,49.251,229.473,0,192.81,1.0162,1.0327
352,free,166,60,2,74.765,285.234,0,210.11,0.4059,0.1648
353,pro,153,37,3,64.775,74.44,0,192.62,-1.1745,1.3795
354,free,171,39,6,88.542,736.35,0,247.64,1.7532,3.0737
355,free,516,103,4,46.155,386.756,0,194.35,1.4015,1.9642
356,free,188,41,3,43.703,145.365,0,216.2,0.2097,0.044
357,pro,151,32,5,86.981,294.027,0,197.39,0.9667,0.9345
358,free,235,33,3,44.249,63.774,0,148.25,-1.0554,1.1139
359,free,84,43,3,47.704,482.423,0,163.12,2.0302,4.1217
360,free,64,30,2,25.716,252.428,0,245.45,1.6484,2.7172
361,free,199,42,1,66.316,280.315,0,106.34,0.71,0.5041
362,free,508,70,2,27.677,151.96,0,160.52,0.4814,0.2317
363,pro,304,40,4,86.323,298.482,0,224.59,0.9184,0.8435
364,free,121,41,6,65.939,284.938,0,267.44,0.7541,0.5687
365,free,182,18,2,77.882,820.278,0,219.13,2.4611,6.057
366,free,171,44,0,52.156,101.967,0,194.68,-0.593,0.3516
367,pro,598,479,7,85.749,350.934,0,260.6,0.1671,0.0279
368,pro,1288,120,1,18.355,200.604,0,227.0,1.6911,2.8598
369,pro,228,74,0,65.151,213.608,0,182.67,0.6174,0.3812
370,free,447,88,5,56.864,192.744,0,230.03,0.0734,0.0054
371,enterprise,558,49,1,66.043,83.041,0,240.59,-0.4966,0.2466
372,free,272,30,4,69.451,102.432,0,313.64,-0.8706,0.7579
373,free,198,26,1,28.123,127.513,0,264.38,0.5391,0.2906
374,free,198,125,2,60.24,64.418,0,156.76,-1.9009,3.6134
375,free,601,176,3,85.395,313.28,0,182.16,-0.0833,0.0069
376,free,328,60,3,65.915,320.928,0,242.89,0.8115,0.6585
377,free,471,193,3,76.462,275.936,0,240.99,-0.1034,0.0107
378,free,226,101,3,65.215,237.485,0,164.21,0.158,0.025
379,free,202,71,0,33.717,188.635,0,268.82,0.6781,0.4598
380,free,212,73,0,61.359,173.14,0,243.51,-0.1426,0.0203
381,free,51,4,1,6.698,71.888,0,260.7,0.8003,0.6405
382,free,385,85,5,68.934,107.766,0,232.9,-1.1457,1.3126
383,free,156,35,0,23.531,112.333,0,182.48,0.3409,0.1162
384,pro,590,154,3,45.911,84.318,0,242.57,-0.9836,0.9675
385,enterprise,254,53,0,31.911,74.395,0,182.66,0.5237,0.2743
386,free,225,75,0,28.095,109.777,0,155.36,-0.0777,0.006
387,free,591,150,6,83.685,336.156,0,274.89,0.1287,0.0166
388,free,102,55,0,52.088,175.207,0,266.84,0.2026,0.041
389,free,277,177,3,70.849,700.305,0,253.69,1.5661,2.4527
390,free,602,147,5,64.412,188.712,0,195.28,-0.3264,0.1065
391,free,716,58,4,49.982,127.157,0,240.94,-0.282,0.0795
392,enterprise,626,111,1,69.521,91.09,0,239.23,-0.8647,0.7477
393,free,140,37,0,42.09,99.149,0,218.99,-0.3318,0.1101
394,free,155,68,4,56.517,103.976,0,273.37,-0.8221,0.6758
395,free,220,131,1,50.921,215.317,0,221.57,0.2555,0.0653
396,free,115,135,6,52.803,101.251,0,182.22,-1.0179,1.0361
397,free,364,55,10,90.595,305.507,0,242.02,0.1623,0.0263
