# page: ai-system-design-course/lessons/0003-cost-and-performance.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

callout | paper light | div.callout | color=rgb(26, 26, 24); background-color=rgb(242, 238, 227); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=rgb(21, 88, 92); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; margin-top=26px; margin-bottom=26px; padding-top=16.8px; padding-right=20.8px; padding-bottom=16.8px; padding-left=20.8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=4px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px
callout | aubergine dark | div.callout | color=rgb(235, 226, 234); background-color=rgb(29, 23, 29); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=rgb(224, 180, 95)
callout | press light | div.callout | color=rgb(28, 26, 23); background-color=rgb(238, 231, 218); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=rgb(125, 42, 14)
callout | press dark | div.callout | color=rgb(237, 228, 211); background-color=rgb(38, 33, 24); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=rgb(240, 187, 155)
card | paper light | div.card.tldr | color=rgb(26, 26, 24); background-color=color(srgb 0.968275 0.93498 0.914353); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=rgb(166, 58, 36); box-shadow=rgba(38, 34, 24, 0.06) 0px 1px 2px 0px, rgba(38, 34, 24, 0.07) 0px 6px 20px 0px; font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; margin-top=27px; margin-bottom=27px; padding-top=18.4px; padding-right=21.6px; padding-bottom=18.4px; padding-left=21.6px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=4px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px
card | paper dark | div.card.tldr | color=rgb(234, 230, 218); background-color=color(srgb 0.147569 0.12251 0.0898431); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=rgb(232, 154, 128); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | slate light | div.card.tldr | color=rgb(20, 23, 28); background-color=color(srgb 0.947569 0.945373 0.98051); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=rgb(64, 56, 184)
card | slate dark | div.card.tldr | color=rgb(230, 234, 241); background-color=color(srgb 0.116784 0.134667 0.175216); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=rgb(173, 185, 253); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | ink light | div.card.tldr | color=rgb(13, 13, 13); background-color=color(srgb 0.936314 0.948941 0.969255); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=rgb(23, 69, 143)
card | ink dark | div.card.tldr | color=rgb(245, 245, 245); background-color=color(srgb 0.100275 0.112706 0.132); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=rgb(166, 198, 255); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | sage light | div.card.tldr | color=rgb(22, 26, 19); background-color=color(srgb 0.919529 0.948784 0.919216); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=rgb(15, 95, 67)
card | sage dark | div.card.tldr | color=rgb(228, 234, 217); background-color=color(srgb 0.0969412 0.143451 0.11149); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=rgb(114, 217, 167); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | harbor light | div.card.tldr | color=rgb(17, 24, 32); background-color=color(srgb 0.918431 0.947412 0.955726); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=rgb(11, 90, 107)
card | harbor dark | div.card.tldr | color=rgb(223, 232, 237); background-color=color(srgb 0.0782353 0.13651 0.159137); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=rgb(99, 205, 221); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | aubergine light | div.card.tldr | color=rgb(25, 19, 25); background-color=color(srgb 0.960588 0.925569 0.949059); border-top-color=color(srgb 0.875922 0.866039 0.875922); border-right-color=color(srgb 0.875922 0.866039 0.875922); border-bottom-color=color(srgb 0.875922 0.866039 0.875922); border-left-color=rgb(138, 37, 96)
card | aubergine dark | div.card.tldr | color=rgb(235, 226, 234); background-color=color(srgb 0.144745 0.105647 0.13651); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=rgb(235, 159, 205); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
card | press light | div.card.tldr | color=rgb(28, 26, 23); background-color=color(srgb 0.946471 0.908078 0.880784); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=rgb(153, 53, 20)
card | press dark | div.card.tldr | color=rgb(237, 228, 211); background-color=color(srgb 0.170549 0.132902 0.0985882); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=rgb(236, 152, 120); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | paper light | figure.diagram | color=rgb(26, 26, 24); background-color=color(srgb 0.961 0.957216 0.941804); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=color(srgb 0.876431 0.87302 0.858353); box-shadow=rgba(38, 34, 24, 0.06) 0px 1px 2px 0px, rgba(38, 34, 24, 0.07) 0px 6px 20px 0px; font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=center; display=block; max-width=100%; margin-top=32px; margin-bottom=35px; padding-top=20.8px; padding-right=20.8px; padding-bottom=20.8px; padding-left=20.8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px; overflow-x=auto; overflow-y=auto
diagram | paper dark | figure.diagram | color=rgb(234, 230, 218); background-color=color(srgb 0.119157 0.114824 0.0866863); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=color(srgb 0.197765 0.192314 0.162314); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | slate light | figure.diagram | color=rgb(20, 23, 28); background-color=color(srgb 0.967745 0.968157 0.968843); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=color(srgb 0.880196 0.881725 0.884275)
diagram | slate dark | figure.diagram | color=rgb(230, 234, 241); background-color=color(srgb 0.103471 0.119157 0.142824); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=color(srgb 0.182078 0.197765 0.221804); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | ink light | figure.diagram | color=rgb(13, 13, 13); background-color=color(srgb 0.966784 0.966784 0.966784); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=color(srgb 0.876627 0.876627 0.876627)
diagram | ink dark | figure.diagram | color=rgb(245, 245, 245); background-color=color(srgb 0.0903922 0.0941765 0.0979608); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=color(srgb 0.176078 0.17949 0.182902); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | sage light | figure.diagram | color=rgb(22, 26, 19); background-color=color(srgb 0.952882 0.961 0.937333); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=color(srgb 0.867569 0.876431 0.852392)
diagram | sage dark | figure.diagram | color=rgb(228, 234, 217); background-color=color(srgb 0.0994118 0.119157 0.097902); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=color(srgb 0.177647 0.197765 0.172039); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | harbor light | figure.diagram | color=rgb(17, 24, 32); background-color=color(srgb 0.952196 0.960725 0.965608); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=color(srgb 0.86502 0.875412 0.882902)
diagram | harbor dark | figure.diagram | color=rgb(223, 232, 237); background-color=color(srgb 0.0835883 0.115098 0.134706); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=color(srgb 0.161451 0.193333 0.212941); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | aubergine light | figure.diagram | color=rgb(25, 19, 25); background-color=color(srgb 0.960863 0.952471 0.960863); border-top-color=color(srgb 0.875922 0.866039 0.875922); border-right-color=color(srgb 0.875922 0.866039 0.875922); border-bottom-color=color(srgb 0.875922 0.866039 0.875922); border-left-color=color(srgb 0.875922 0.866039 0.875922)
diagram | aubergine dark | figure.diagram | color=rgb(235, 226, 234); background-color=color(srgb 0.11551 0.095353 0.115373); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=color(srgb 0.194863 0.173216 0.194353); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
diagram | press light | figure.diagram | color=rgb(28, 26, 23); background-color=color(srgb 0.942353 0.930725 0.911392); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=color(srgb 0.860392 0.849137 0.830549)
diagram | press dark | figure.diagram | color=rgb(237, 228, 211); background-color=color(srgb 0.142275 0.125902 0.0970785); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=color(srgb 0.219765 0.201529 0.16898); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
dir | paper light | span.dir | color=rgb(99, 99, 91); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=10.88px; font-weight=400; line-height=18.7136px; letter-spacing=1.1968px; text-transform=uppercase; display=inline; min-height=0px
dir | paper dark | span.dir | color=rgb(154, 148, 134)
dir | slate light | span.dir | color=rgb(95, 103, 116)
dir | slate dark | span.dir | color=rgb(138, 146, 160)
dir | ink light | span.dir | color=rgb(88, 88, 88)
dir | ink dark | span.dir | color=rgb(154, 154, 154)
dir | sage light | span.dir | color=rgb(94, 101, 87)
dir | sage dark | span.dir | color=rgb(139, 148, 126)
dir | harbor light | span.dir | color=rgb(90, 102, 112)
dir | harbor dark | span.dir | color=rgb(131, 145, 155)
dir | aubergine light | span.dir | color=rgb(101, 92, 101)
dir | aubergine dark | span.dir | color=rgb(148, 135, 152)
dir | press light | span.dir | color=rgb(107, 97, 84)
dir | press dark | span.dir | color=rgb(151, 141, 123)
eyebrow | paper light | div.eyebrow | color=rgb(21, 88, 92); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.84px; font-weight=700; line-height=20.3648px; letter-spacing=1.6576px; text-transform=uppercase; display=block; margin-top=30px; margin-bottom=4px
eyebrow | paper dark | div.eyebrow | color=rgb(102, 199, 205)
eyebrow | slate light | div.eyebrow | color=rgb(13, 106, 128)
eyebrow | slate dark | div.eyebrow | color=rgb(111, 220, 240)
eyebrow | ink light | div.eyebrow | color=rgb(59, 59, 64)
eyebrow | ink dark | div.eyebrow | color=rgb(210, 210, 214)
eyebrow | sage light | div.eyebrow | color=rgb(125, 83, 9)
eyebrow | sage dark | div.eyebrow | color=rgb(226, 180, 95)
eyebrow | harbor light | div.eyebrow | color=rgb(168, 56, 40)
eyebrow | harbor dark | div.eyebrow | color=rgb(243, 150, 128)
eyebrow | aubergine light | div.eyebrow | color=rgb(111, 82, 16)
eyebrow | aubergine dark | div.eyebrow | color=rgb(224, 180, 95)
eyebrow | press light | div.eyebrow | color=rgb(125, 42, 14)
eyebrow | press dark | div.eyebrow | color=rgb(240, 187, 155)
gloss | paper light | span.gloss | color=rgb(99, 99, 91); border-top-color=color(srgb 0.876431 0.87302 0.858353); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=12.8px; font-weight=400; line-height=22.016px; display=block; min-height=0px; margin-top=6px; padding-top=6.4px; border-top-width=1px; border-top-style=dotted
gloss | paper dark | span.gloss | color=rgb(154, 148, 134); border-top-color=color(srgb 0.197765 0.192314 0.162314)
gloss | slate light | span.gloss | color=rgb(95, 103, 116); border-top-color=color(srgb 0.880196 0.881725 0.884275)
gloss | slate dark | span.gloss | color=rgb(138, 146, 160); border-top-color=color(srgb 0.182078 0.197765 0.221804)
gloss | ink light | span.gloss | color=rgb(88, 88, 88); border-top-color=color(srgb 0.876627 0.876627 0.876627)
gloss | ink dark | span.gloss | color=rgb(154, 154, 154); border-top-color=color(srgb 0.176078 0.17949 0.182902)
gloss | sage light | span.gloss | color=rgb(94, 101, 87); border-top-color=color(srgb 0.867569 0.876431 0.852392)
gloss | sage dark | span.gloss | color=rgb(139, 148, 126); border-top-color=color(srgb 0.177647 0.197765 0.172039)
gloss | harbor light | span.gloss | color=rgb(90, 102, 112); border-top-color=color(srgb 0.86502 0.875412 0.882902)
gloss | harbor dark | span.gloss | color=rgb(131, 145, 155); border-top-color=color(srgb 0.161451 0.193333 0.212941)
gloss | aubergine light | span.gloss | color=rgb(101, 92, 101); border-top-color=color(srgb 0.875922 0.866039 0.875922)
gloss | aubergine dark | span.gloss | color=rgb(148, 135, 152); border-top-color=color(srgb 0.194863 0.173216 0.194353)
gloss | press light | span.gloss | color=rgb(107, 97, 84); border-top-color=color(srgb 0.860392 0.849137 0.830549)
gloss | press dark | span.gloss | color=rgb(151, 141, 123); border-top-color=color(srgb 0.219765 0.201529 0.16898)
h-label | paper light | h2.h-label | color=rgb(166, 58, 36); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=13.12px; font-weight=700; line-height=15.2192px; letter-spacing=1.1808px; text-transform=uppercase; display=block; min-height=0px; margin-top=2px; margin-bottom=7px
h-label | paper dark | h2.h-label | color=rgb(232, 154, 128)
h-label | slate light | h2.h-label | color=rgb(64, 56, 184)
h-label | slate dark | h2.h-label | color=rgb(173, 185, 253)
h-label | ink light | h2.h-label | color=rgb(23, 69, 143)
h-label | ink dark | h2.h-label | color=rgb(166, 198, 255)
h-label | sage light | h2.h-label | color=rgb(15, 95, 67)
h-label | sage dark | h2.h-label | color=rgb(114, 217, 167)
h-label | harbor light | h2.h-label | color=rgb(11, 90, 107)
h-label | harbor dark | h2.h-label | color=rgb(99, 205, 221)
h-label | aubergine light | h2.h-label | color=rgb(138, 37, 96)
h-label | aubergine dark | h2.h-label | color=rgb(235, 159, 205)
h-label | press light | h2.h-label | color=rgb(153, 53, 20)
h-label | press dark | h2.h-label | color=rgb(236, 152, 120)
home | paper light | a.home | color=oklch(0.499418 0.146858 8.34772); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=12.16px; font-weight=700; line-height=20.9152px; letter-spacing=0.4864px; text-transform=uppercase; white-space=nowrap; display=flex; min-height=24px; align-items=center
home | paper dark | a.home | color=oklch(0.757751 0.101214 14.1914)
home | slate light | a.home | color=oklch(0.43736 0.193086 252.583)
home | slate dark | a.home | color=oklch(0.801275 0.09737 251.275)
home | ink light | a.home | color=oklch(0.404849 0.132559 234.77)
home | ink dark | a.home | color=oklch(0.823498 0.0879101 236.802)
home | sage light | a.home | color=oklch(0.432336 0.0868142 138.631)
home | sage dark | a.home | color=oklch(0.809508 0.121133 135.847)
home | harbor light | a.home | color=oklch(0.432492 0.0738736 192.305)
home | harbor dark | a.home | color=oklch(0.791639 0.0999238 183.5)
home | aubergine light | a.home | color=oklch(0.442656 0.148251 323.987)
home | aubergine dark | a.home | color=oklch(0.790447 0.107073 317.846)
home | press light | a.home | color=oklch(0.469491 0.14072 12.3824)
home | press dark | a.home | color=oklch(0.75735 0.110947 16.5668)
math | paper light | div.math | color=rgb(26, 26, 24); background-color=rgb(242, 238, 227); border-top-color=color(srgb 0.547059 0.545098 0.533333); border-right-color=color(srgb 0.547059 0.545098 0.533333); border-bottom-color=color(srgb 0.547059 0.545098 0.533333); border-left-color=color(srgb 0.547059 0.545098 0.533333); font-family="JetBrains Mono", ui-monospace, "SF Mono", SFMono-Regular, Menlo, Consolas, "Liberation Mono", monospace; font-size=14.72px; font-weight=400; line-height=25.3184px; display=block; margin-top=19px; margin-bottom=19px; padding-top=11.2px; padding-right=16.8px; padding-bottom=11.2px; padding-left=16.8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=dashed; border-right-style=dashed; border-bottom-style=dashed; border-left-style=dashed; border-top-left-radius=8px; border-top-right-radius=8px; border-bottom-right-radius=8px; border-bottom-left-radius=8px; overflow-x=auto; overflow-y=auto
math | paper dark | div.math | color=rgb(234, 230, 218); background-color=rgb(31, 29, 21); border-top-color=color(srgb 0.503922 0.494118 0.456863); border-right-color=color(srgb 0.503922 0.494118 0.456863); border-bottom-color=color(srgb 0.503922 0.494118 0.456863); border-left-color=color(srgb 0.503922 0.494118 0.456863)
math | slate light | div.math | color=rgb(20, 23, 28); background-color=rgb(240, 243, 248); border-top-color=color(srgb 0.539216 0.545098 0.554902); border-right-color=color(srgb 0.539216 0.545098 0.554902); border-bottom-color=color(srgb 0.539216 0.545098 0.554902); border-left-color=color(srgb 0.539216 0.545098 0.554902)
math | slate dark | div.math | color=rgb(230, 234, 241); background-color=rgb(26, 31, 39); border-top-color=color(srgb 0.488235 0.503922 0.529412); border-right-color=color(srgb 0.488235 0.503922 0.529412); border-bottom-color=color(srgb 0.488235 0.503922 0.529412); border-left-color=color(srgb 0.488235 0.503922 0.529412)
math | ink light | div.math | color=rgb(13, 13, 13); background-color=rgb(233, 233, 233); border-top-color=color(srgb 0.52549 0.52549 0.52549); border-right-color=color(srgb 0.52549 0.52549 0.52549); border-bottom-color=color(srgb 0.52549 0.52549 0.52549); border-left-color=color(srgb 0.52549 0.52549 0.52549)
math | ink dark | div.math | color=rgb(245, 245, 245); background-color=rgb(24, 25, 27); border-top-color=color(srgb 0.509804 0.511765 0.513726); border-right-color=color(srgb 0.509804 0.511765 0.513726); border-bottom-color=color(srgb 0.509804 0.511765 0.513726); border-left-color=color(srgb 0.509804 0.511765 0.513726)
math | sage light | div.math | color=rgb(22, 26, 19); background-color=rgb(232, 237, 225); border-top-color=color(srgb 0.535294 0.547059 0.521569); border-right-color=color(srgb 0.535294 0.547059 0.521569); border-bottom-color=color(srgb 0.535294 0.547059 0.521569); border-left-color=color(srgb 0.535294 0.547059 0.521569)
math | sage dark | div.math | color=rgb(228, 234, 217); background-color=rgb(25, 32, 26); border-top-color=color(srgb 0.482353 0.503922 0.460784); border-right-color=color(srgb 0.482353 0.503922 0.460784); border-bottom-color=color(srgb 0.482353 0.503922 0.460784); border-left-color=color(srgb 0.482353 0.503922 0.460784)
math | harbor light | div.math | color=rgb(17, 24, 32); background-color=rgb(228, 235, 240); border-top-color=color(srgb 0.52549 0.543137 0.560784); border-right-color=color(srgb 0.52549 0.543137 0.560784); border-bottom-color=color(srgb 0.52549 0.543137 0.560784); border-left-color=color(srgb 0.52549 0.543137 0.560784)
math | harbor dark | div.math | color=rgb(223, 232, 237); background-color=rgb(20, 29, 36); border-top-color=color(srgb 0.464706 0.498039 0.517647); border-right-color=color(srgb 0.464706 0.498039 0.517647); border-bottom-color=color(srgb 0.464706 0.498039 0.517647); border-left-color=color(srgb 0.464706 0.498039 0.517647)
